,NWS
2015-03-16,14.702872276306152
2015-03-17,14.596458435058594
2015-03-18,14.711739540100098
2015-03-19,14.54325008392334
2015-03-20,14.667403221130371
2015-03-23,14.729475021362305
2015-03-24,14.685136795043945
2015-03-25,14.401368141174316
2015-03-26,14.20627498626709
2015-03-27,14.144201278686523
2015-03-30,14.22400951385498
2015-03-31,14.073256492614746
2015-04-01,14.12646484375
2015-04-02,14.179672241210938
2015-04-06,14.268348693847656
2015-04-07,14.144201278686523
2015-04-08,14.090993881225586
2015-04-09,13.940240859985352
2015-04-10,13.94910717010498
2015-04-13,14.135331153869629
2015-04-14,14.055521965026855
2015-04-15,14.046651840209961
2015-04-16,13.922503471374512
2015-04-17,13.73627758026123
2015-04-20,13.727410316467285
2015-04-21,13.612130165100098
2015-04-22,13.665335655212402
2015-04-23,13.709675788879395
2015-04-24,13.683073997497559
2015-04-27,13.718541145324707
2015-04-28,14.064386367797852
2015-04-29,13.887030601501465
2015-04-30,13.807222366333008
2015-05-01,14.12646484375
2015-05-04,14.25061321258545
2015-05-05,14.117593765258789
2015-05-06,13.221942901611328
2015-05-07,13.221942901611328
2015-05-08,13.381564140319824
2015-05-11,13.824958801269531
2015-05-12,13.46137809753418
2015-05-13,13.390435218811035
2015-05-14,13.425904273986816
2015-05-15,13.567789077758789
2015-05-18,13.612130165100098
2015-05-19,13.647602081298828
2015-05-20,13.59439468383789
2015-05-21,13.620997428894043
2015-05-22,13.52345085144043
2015-05-26,13.337226867675781
2015-05-27,13.417035102844238
2015-05-28,13.390435218811035
2015-05-29,13.25741195678711
2015-06-01,13.30175495147705
2015-06-02,13.221942901611328
2015-06-03,13.24854850769043
2015-06-04,13.053457260131836
2015-06-05,12.982512474060059
2015-06-08,12.92043685913086
2015-06-09,12.681007385253906
2015-06-10,12.672138214111328
2015-06-11,12.645535469055176
2015-06-12,12.574591636657715
2015-06-15,12.459312438964844
2015-06-16,12.406103134155273
2015-06-17,12.370633125305176
2015-06-18,12.618928909301758
2015-06-19,12.929306030273438
2015-06-22,13.017984390258789
2015-06-23,13.000248908996582
2015-06-24,12.831761360168457
2015-06-25,12.716479301452637
2015-06-26,12.964777946472168
2015-06-29,12.44157600402832
2015-06-30,12.627799034118652
2015-07-01,12.681007385253906
2015-07-02,12.601197242736816
2015-07-06,12.264219284057617
2015-07-07,12.44157600402832
2015-07-08,12.246482849121094
2015-07-09,12.193277359008789
2015-07-10,12.264219284057617
2015-07-13,12.414970397949219
2015-07-14,12.432706832885742
2015-07-15,12.50364875793457
2015-07-16,12.672138214111328
2015-07-17,12.725346565246582
2015-07-20,12.840627670288086
2015-07-21,12.627799034118652
2015-07-22,12.645535469055176
2015-07-23,12.778552055358887
2015-07-24,12.796287536621094
2015-07-27,12.725346565246582
2015-07-28,12.672138214111328
2015-07-29,12.716479301452637
2015-07-30,12.672138214111328
2015-07-31,12.654400825500488
2015-08-03,12.468179702758789
2015-08-04,12.530255317687988
2015-08-05,12.592328071594238
2015-08-06,12.157803535461426
2015-08-07,12.264219284057617
2015-08-10,12.432706832885742
2015-08-11,12.184407234191895
2015-08-12,12.28195571899414
2015-08-13,13.20421028137207
2015-08-14,13.221942901611328
2015-08-17,13.354964256286621
2015-08-18,13.28402042388916
2015-08-19,13.20421028137207
2015-08-20,12.565726280212402
2015-08-21,12.299692153930664
2015-08-24,11.563660621643066
2015-08-25,11.678940773010254
2015-08-26,11.909505844116211
2015-08-27,12.246482849121094
2015-08-28,12.432706832885742
2015-08-31,12.264219284057617
2015-09-01,11.803091049194336
2015-09-02,11.82082748413086
2015-09-03,12.042523384094238
2015-09-04,11.607996940612793
2015-09-08,11.93610954284668
