,WELL
2014-10-22,44.98405456542969
2014-10-23,45.35310363769531
2014-10-24,45.37947082519531
2014-10-27,45.768272399902344
2014-10-28,45.93303680419922
2014-10-29,45.61012268066406
2014-10-30,46.18345642089844
2014-10-31,46.86224365234375
2014-11-03,46.987449645996094
2014-11-04,47.6003303527832
2014-11-05,47.16538619995117
2014-11-06,46.75554656982422
2014-11-07,47.06209182739258
2014-11-10,47.40861511230469
2014-11-11,47.20869445800781
2014-11-12,47.12873077392578
2014-11-13,47.48193359375
2014-11-14,47.428611755371094
2014-11-17,48.09502029418945
2014-11-18,48.26830291748047
2014-11-19,47.68852233886719
2014-11-20,47.76848602294922
2014-11-21,48.461551666259766
2014-11-24,48.17500305175781
2014-11-25,48.26830291748047
2014-11-26,48.62816619873047
2014-11-28,49.087989807128906
2014-12-01,49.65443801879883
2014-12-02,49.827701568603516
2014-12-03,49.90102005004883
2014-12-04,50.14090347290039
2014-12-05,49.30790328979492
2014-12-08,49.827701568603516
2014-12-09,50.34749984741211
2014-12-10,50.720703125
2014-12-11,50.89394760131836
2014-12-12,50.82063674926758
2014-12-15,50.074256896972656
2014-12-16,49.63443374633789
2014-12-17,50.880645751953125
2014-12-18,50.82063674926758
2014-12-19,50.98059844970703
2014-12-22,51.966888427734375
2014-12-23,51.10054397583008
2014-12-24,50.714027404785156
2014-12-26,51.17385482788086
2014-12-29,51.060569763183594
2014-12-30,51.12721252441406
2014-12-31,50.4274787902832
2015-01-02,51.28047180175781
2015-01-05,51.91357421875
2015-01-06,52.65329360961914
2015-01-07,53.139774322509766
2015-01-08,52.919857025146484
2015-01-09,52.973175048828125
2015-01-12,53.77286911010742
2015-01-13,53.8928108215332
2015-01-14,54.579219818115234
2015-01-15,55.425575256347656
2015-01-16,56.18527603149414
2015-01-20,55.5588493347168
2015-01-21,54.932403564453125
2015-01-22,55.30561065673828
2015-01-23,55.46554183959961
2015-01-26,55.3656120300293
2015-01-27,55.32560348510742
2015-01-28,55.33893585205078
2015-01-29,55.80542755126953
2015-01-30,54.612552642822266
2015-02-02,54.612552642822266
2015-02-03,54.4859504699707
2015-02-04,53.79286575317383
2015-02-05,54.399288177490234
2015-02-06,52.00600814819336
2015-02-09,51.88483810424805
2015-02-10,52.174312591552734
2015-02-11,51.99925994873047
2015-02-12,52.14065170288086
2015-02-13,51.91849136352539
2015-02-17,51.8175163269043
2015-02-18,52.584991455078125
2015-02-19,51.312591552734375
2015-02-20,52.54458999633789
2015-02-23,52.975440979003906
2015-02-24,51.5010871887207
2015-02-25,52.26183319091797
2015-02-26,51.21160125732422
2015-02-27,51.91176223754883
2015-03-02,52.09352493286133
2015-03-03,52.2214469909668
2015-03-04,51.64920425415039
2015-03-05,51.62226867675781
2015-03-06,49.56222915649414
2015-03-09,50.080604553222656
2015-03-10,50.444156646728516
2015-03-11,49.9728889465332
2015-03-12,50.69322967529297
2015-03-13,50.50474166870117
2015-03-16,50.62591552734375
2015-03-17,50.26237487792969
2015-03-18,51.8175163269043
2015-03-19,51.6895866394043
2015-03-20,53.27165603637695
2015-03-23,53.45342254638672
2015-03-24,53.24473190307617
2015-03-25,52.46379470825195
2015-03-26,52.10699462890625
2015-03-27,52.36280822753906
2015-03-30,52.98890686035156
2015-03-31,52.080074310302734
2015-04-01,51.972354888916016
2015-04-02,52.39647674560547
2015-04-06,53.480369567871094
2015-04-07,52.591712951660156
2015-04-08,52.6724853515625
2015-04-09,51.62901306152344
2015-04-10,51.29238510131836
2015-04-13,50.82115936279297
2015-04-14,51.28565979003906
2015-04-15,50.78074645996094
2015-04-16,50.9154052734375
2015-04-17,50.666316986083984
2015-04-20,50.659584045410156
2015-04-21,50.64610290527344
2015-04-22,50.787479400634766
2015-04-23,51.04330825805664
2015-04-24,51.07024002075195
2015-04-27,50.97600173950195
2015-04-28,50.90865707397461
2015-04-29,49.791133880615234
2015-04-30,48.48508834838867
2015-05-01,48.64665222167969
2015-05-04,48.55913162231445
2015-05-05,47.95323181152344
2015-05-06,47.65703201293945
2015-05-07,48.11482620239258
2015-05-08,49.14664840698242
2015-05-11,48.17951965332031
2015-05-12,48.308921813964844
2015-05-13,47.7368049621582
2015-05-14,48.45874786376953
2015-05-15,49.316925048828125
2015-05-18,48.92188262939453
2015-05-19,48.744808197021484
2015-05-20,48.744808197021484
2015-05-21,48.520042419433594
2015-05-22,48.26124572753906
2015-05-26,48.07053756713867
2015-05-27,48.43833541870117
2015-05-28,48.24082946777344
2015-05-29,47.852596282958984
2015-06-01,48.45195388793945
2015-06-02,48.0364875793457
2015-06-03,47.19194793701172
2015-06-04,47.416709899902344
2015-06-05,46.1839485168457
2015-06-08,46.57215881347656
2015-06-09,46.1839485168457
2015-06-10,46.524497985839844
2015-06-11,46.606224060058594
2015-06-12,46.28612518310547
2015-06-15,45.98643112182617
2015-06-16,46.3133659362793
2015-06-17,46.47001647949219
2015-06-18,46.9127311706543
2015-06-19,46.817359924316406
2015-06-22,46.00687789916992
2015-06-23,45.6527099609375
2015-06-24,45.305362701416016
2015-06-25,44.937591552734375
2015-06-26,45.209999084472656
2015-06-29,44.787757873535156
2015-06-30,44.69921112060547
2015-07-01,45.1895866394043
2015-07-02,45.10785675048828
2015-07-06,45.35985565185547
2015-07-07,46.51768112182617
2015-07-08,46.79011917114258
2015-07-09,46.54492950439453
2015-07-10,46.82416915893555
2015-07-13,46.626651763916016
2015-07-14,46.40190124511719
2015-07-15,45.993255615234375
2015-07-16,45.993255615234375
2015-07-17,45.836605072021484
2015-07-20,45.85704803466797
2015-07-21,45.70038986206055
2015-07-22,46.0817985534668
2015-07-23,45.6527099609375
2015-07-24,46.190773010253906
2015-07-27,46.7833137512207
2015-07-28,46.75605773925781
2015-07-29,47.205570220947266
2015-07-30,46.865028381347656
2015-07-31,47.24644088745117
2015-08-03,47.55973434448242
2015-08-04,47.1374626159668
2015-08-05,46.68796157836914
2015-08-06,46.64708709716797
2015-08-07,46.87803268432617
2015-08-10,46.4437255859375
2015-08-11,46.747047424316406
2015-08-12,47.01590347290039
2015-08-13,46.77463150024414
2015-08-14,46.82977294921875
2015-08-17,47.808692932128906
2015-08-18,47.79491424560547
2015-08-19,47.60878372192383
2015-08-20,47.82249450683594
2015-08-21,47.16756820678711
2015-08-24,45.33381652832031
2015-08-25,43.63103103637695
2015-08-26,44.410037994384766
2015-08-27,45.030494689941406
2015-08-28,44.86503219604492
2015-08-31,43.67240905761719
2015-09-01,43.01059341430664
2015-09-02,43.582786560058594
2015-09-03,43.3346061706543
2015-09-04,42.341888427734375
2015-09-08,43.14158630371094
2015-09-09,42.679691314697266
2015-09-10,42.63832092285156
2015-09-11,43.30012512207031
2015-09-14,43.67240905761719
2015-09-15,43.98262405395508
2015-09-16,44.45140838623047
2015-09-17,45.62335968017578
2015-09-18,46.436832427978516
2015-09-21,46.69190216064453
2015-09-22,46.56092834472656
2015-09-23,46.988338470458984
2015-09-24,46.81599807739258
2015-09-25,46.63674545288086
2015-09-28,45.575096130371094
2015-09-29,46.41615295410156
2015-09-30,46.685001373291016
2015-10-01,46.67121124267578
2015-10-02,47.036598205566406
2015-10-05,47.712181091308594
2015-10-06,47.6363525390625
2015-10-07,47.99483871459961
2015-10-08,48.02241516113281
2015-10-09,47.74666213989258
2015-10-12,47.601898193359375
2015-10-13,47.55364227294922
2015-10-14,46.65742492675781
2015-10-15,47.12620544433594
2015-10-16,47.77423095703125
