,EMN
2014-09-30,59.47181701660156
2014-10-01,58.07490921020508
2014-10-02,57.76611328125
2014-10-03,58.01609420776367
2014-10-06,58.42044448852539
2014-10-07,57.060279846191406
2014-10-08,57.61171340942383
2014-10-09,55.92070770263672
2014-10-10,54.832584381103516
2014-10-13,52.56074905395508
2014-10-14,53.538612365722656
2014-10-15,54.01649856567383
2014-10-16,54.6561279296875
2014-10-17,55.24430465698242
2014-10-20,55.795711517333984
2014-10-21,57.42055130004883
2014-10-22,57.07500076293945
2014-10-23,57.347042083740234
2014-10-24,57.02352523803711
2014-10-27,54.6561279296875
2014-10-28,56.28098678588867
2014-10-29,54.788482666015625
2014-10-30,55.7075080871582
2014-10-31,59.39094543457031
2014-11-03,60.309967041015625
2014-11-04,59.19978332519531
2014-11-05,60.317317962646484
2014-11-06,60.626102447509766
2014-11-07,60.63345718383789
2014-11-10,61.640689849853516
2014-11-11,62.0009880065918
2014-11-12,61.80244445800781
2014-11-13,61.44220733642578
2014-11-14,61.890663146972656
2014-11-17,61.72157669067383
2014-11-18,62.85383224487305
2014-11-19,62.69206619262695
2014-11-20,63.22877502441406
2014-11-21,64.58893585205078
2014-11-24,64.16984558105469
2014-11-25,63.522857666015625
2014-11-26,63.78755187988281
2014-11-28,60.96430969238281
2014-12-01,60.40555191040039
2014-12-02,61.50837326049805
2014-12-03,62.01567840576172
2014-12-04,61.18487548828125
2014-12-05,59.19243621826172
2014-12-08,58.5380973815918
2014-12-09,58.42044448852539
2014-12-10,55.77367401123047
2014-12-11,55.95845031738281
2014-12-12,53.63022232055664
2014-12-15,53.25327682495117
2014-12-16,52.89851379394531
2014-12-17,53.88153839111328
2014-12-18,55.27107238769531
2014-12-19,55.88454055786133
2014-12-22,56.53495407104492
2014-12-23,56.734500885009766
2014-12-24,56.76407241821289
2014-12-26,56.72713851928711
2014-12-29,56.43147277832031
2014-12-30,56.60148620605469
2014-12-31,56.06931686401367
2015-01-02,56.527565002441406
2015-01-05,54.5762939453125
2015-01-06,54.347164154052734
2015-01-07,53.99979019165039
2015-01-08,55.67019271850586
2015-01-09,55.01976776123047
2015-01-12,53.64501953125
2015-01-13,53.02415466308594
2015-01-14,52.31459426879883
2015-01-15,51.59027099609375
2015-01-16,52.528953552246094
2015-01-20,51.63462448120117
2015-01-21,52.66200637817383
2015-01-22,53.571102142333984
2015-01-23,51.102447509765625
2015-01-26,51.56809616088867
2015-01-27,51.974605560302734
2015-01-28,50.740291595458984
2015-01-29,50.73290252685547
2015-01-30,52.39591598510742
2015-02-02,51.627227783203125
2015-02-03,54.04413604736328
2015-02-04,53.075897216796875
2015-02-05,54.650211334228516
2015-02-06,54.103267669677734
2015-02-09,55.12324142456055
2015-02-10,54.93846893310547
2015-02-11,54.598453521728516
2015-02-12,55.51497268676758
2015-02-13,55.92887496948242
2015-02-17,56.07670974731445
2015-02-18,55.82540512084961
2015-02-19,55.20452880859375
2015-02-20,55.78104782104492
2015-02-23,56.098876953125
2015-02-24,56.054534912109375
2015-02-25,56.35018539428711
2015-02-26,55.64801025390625
2015-02-27,55.0345458984375
2015-03-02,55.73671340942383
2015-03-03,54.93107223510742
2015-03-04,55.0345458984375
2015-03-05,54.361961364746094
2015-03-06,53.31240463256836
2015-03-09,53.29023361206055
2015-03-10,52.44764709472656
2015-03-11,52.011573791503906
2015-03-12,52.4947395324707
2015-03-13,51.766258239746094
2015-03-16,51.46891784667969
2015-03-17,51.23105239868164
2015-03-18,52.60623550415039
2015-03-19,51.245933532714844
2015-03-20,51.632450103759766
2015-03-23,51.729103088378906
2015-03-24,51.46891784667969
2015-03-25,51.17903518676758
2015-03-26,51.164161682128906
2015-03-27,51.074954986572266
2015-03-30,52.33121109008789
2015-03-31,51.483802795410156
2015-04-01,50.69585037231445
2015-04-02,50.59920883178711
2015-04-06,51.6473503112793
2015-04-07,51.96697998046875
2015-04-08,52.18252944946289
2015-04-09,53.44621658325195
2015-04-10,53.743568420410156
2015-04-13,53.60975646972656
2015-04-14,54.412567138671875
2015-04-15,55.98843765258789
2015-04-16,56.0107421875
2015-04-17,56.38985061645508
2015-04-20,56.278343200683594
2015-04-21,55.40121841430664
2015-04-22,56.55339050292969
2015-04-23,55.97357940673828
2015-04-24,56.099952697753906
