,DE
2014-12-09,74.1632308959961
2014-12-10,72.76642608642578
2014-12-11,73.1572265625
2014-12-12,71.84357452392578
2014-12-15,72.72486877441406
2014-12-16,72.9992446899414
2014-12-17,73.7807846069336
2014-12-18,74.44593811035156
2014-12-19,74.9115219116211
2014-12-22,75.02792358398438
2014-12-23,75.53508758544922
2014-12-24,75.04456329345703
2014-12-26,75.02792358398438
2014-12-29,75.44641876220703
2014-12-30,74.87726593017578
2014-12-31,74.04866027832031
2015-01-02,73.93985748291016
2015-01-05,72.35791778564453
2015-01-06,71.75528717041016
2015-01-07,71.44560241699219
2015-01-08,72.39138793945312
2015-01-09,71.68833923339844
2015-01-12,71.52093505859375
2015-01-13,71.88920593261719
2015-01-14,72.38304138183594
2015-01-15,72.98565673828125
2015-01-16,73.06936645507812
2015-01-20,72.92708587646484
2015-01-21,73.3455581665039
2015-01-22,74.91912841796875
2015-01-23,73.94820404052734
2015-01-26,74.01519012451172
2015-01-27,72.01475524902344
2015-01-28,70.79275512695312
2015-01-29,71.90595245361328
2015-01-30,71.30331420898438
2015-02-02,72.51695251464844
2015-02-03,74.18256378173828
2015-02-04,74.22441864013672
2015-02-05,74.59268188476562
2015-02-06,74.47553253173828
2015-02-09,74.45037841796875
2015-02-10,74.28300476074219
2015-02-11,74.34159851074219
2015-02-12,74.80194091796875
2015-02-13,75.36271667480469
2015-02-17,75.26229095458984
2015-02-18,77.63097381591797
2015-02-19,76.7604751586914
2015-02-20,77.36315155029297
2015-02-23,76.14952087402344
2015-02-24,76.58473205566406
2015-02-25,76.68516540527344
2015-02-26,76.31690979003906
2015-02-27,75.83143615722656
2015-03-02,76.19134521484375
2015-03-03,76.3922348022461
2015-03-04,75.70587921142578
2015-03-05,75.71424865722656
2015-03-06,75.54686737060547
2015-03-09,77.01996612548828
2015-03-10,76.15788269042969
2015-03-11,75.52177429199219
2015-03-12,75.47991943359375
2015-03-13,74.90239715576172
2015-03-16,74.60944366455078
2015-03-17,74.18256378173828
2015-03-18,74.76009368896484
2015-03-19,73.72222137451172
2015-03-20,74.6429443359375
2015-03-23,74.81867980957031
2015-03-24,74.04866027832031
2015-03-25,73.90636444091797
2015-03-26,73.66364288330078
2015-03-27,73.70577239990234
2015-03-30,74.67491912841797
2015-03-31,73.89958953857422
2015-04-01,73.82374572753906
2015-04-02,74.14398956298828
2015-04-06,74.56536102294922
2015-04-07,74.53166198730469
2015-04-08,74.0344467163086
2015-04-09,74.54008483886719
2015-04-10,75.06257629394531
2015-04-13,74.16084289550781
2015-04-14,74.09342956542969
2015-04-15,75.29010009765625
2015-04-16,74.95301055908203
2015-04-17,73.74789428710938
2015-04-20,74.9193344116211
2015-04-21,74.09342956542969
2015-04-22,74.24512481689453
2015-04-23,74.65806579589844
2015-04-24,74.48951721191406
2015-04-27,74.94461059570312
2015-04-28,74.9108657836914
2015-04-29,75.73676300048828
2015-04-30,76.2845230102539
2015-05-01,77.01773834228516
2015-05-04,76.59635925292969
2015-05-05,75.96430969238281
2015-05-06,75.821044921875
2015-05-07,75.53449249267578
2015-05-08,75.75359344482422
2015-05-11,76.80702209472656
2015-05-12,76.19184875488281
2015-05-13,76.38566589355469
2015-05-14,77.70875549316406
2015-05-15,75.1131591796875
2015-05-18,75.15528869628906
