,HPQ
2018-09-21,21.06707000732422
2018-09-24,21.099695205688477
2018-09-25,20.84685516357422
2018-09-26,21.181249618530273
2018-09-27,20.903947830200195
2018-09-28,21.018131256103516
2018-10-01,20.87948226928711
2018-10-02,21.27097511291504
2018-10-03,21.254661560058594
2018-10-04,21.548280715942383
2018-10-05,20.667423248291016
2018-10-08,20.39827537536621
2018-10-09,20.365642547607422
2018-10-10,19.786571502685547
2018-10-11,18.767066955566406
2018-10-12,19.305362701416016
2018-10-15,19.215648651123047
2018-10-16,19.541881561279297
2018-10-17,19.468486785888672
2018-10-18,19.38692855834961
2018-10-19,19.444019317626953
2018-10-22,19.664228439331055
2018-10-23,19.52557373046875
2018-10-24,18.807846069335938
2018-10-25,19.403234481811523
2018-10-26,18.86493492126465
2018-10-29,18.775218963623047
2018-10-30,19.305362701416016
2018-10-31,19.68869972229004
2018-11-01,19.974159240722656
2018-11-02,20.088342666625977
2018-11-05,20.09650230407715
2018-11-06,20.2922420501709
2018-11-07,20.773452758789062
2018-11-08,20.79792022705078
2018-11-09,20.390117645263672
2018-11-12,19.566354751586914
2018-11-13,19.533733367919922
2018-11-14,19.354297637939453
2018-11-15,19.71316909790039
2018-11-16,19.70500946044922
2018-11-19,19.207490921020508
2018-11-20,18.44082260131836
2018-11-21,18.481603622436523
2018-11-23,18.35926055908203
2018-11-26,18.60394287109375
2018-11-27,18.538698196411133
2018-11-28,19.109621047973633
2018-11-29,18.644723892211914
2018-11-30,18.758909225463867
2018-12-03,19.533733367919922
2018-12-04,18.954654693603516
2018-12-06,19.590831756591797
2018-12-07,18.701814651489258
2018-12-10,18.701814651489258
2018-12-11,18.39188575744629
2018-12-12,18.5233154296875
2018-12-13,18.309741973876953
2018-12-14,18.079742431640625
2018-12-17,17.595096588134766
2018-12-18,17.586881637573242
2018-12-19,16.880451202392578
2018-12-20,16.48615837097168
2018-12-21,16.14116096496582
2018-12-24,15.91937255859375
2018-12-26,16.699735641479492
2018-12-27,16.74080467224121
2018-12-28,16.707948684692383
2018-12-31,16.8065185546875
2019-01-02,16.946163177490234
2019-01-03,16.37116241455078
2019-01-04,17.020092010498047
2019-01-07,17.20902442932129
2019-01-08,17.42259407043457
2019-01-09,17.42259407043457
2019-01-10,17.636167526245117
2019-01-11,17.389734268188477
2019-01-14,17.077594757080078
2019-01-15,17.258310317993164
2019-01-16,17.291168212890625
2019-01-17,17.439016342163086
2019-01-18,17.866168975830078
2019-01-22,17.51295280456543
2019-01-23,17.61152458190918
2019-01-24,17.882598876953125
2019-01-25,18.153671264648438
2019-01-28,18.055097579956055
2019-01-29,17.972959518432617
2019-01-30,18.235815048217773
2019-01-31,18.09617042541504
2019-02-01,18.285099029541016
2019-02-04,18.5233154296875
2019-02-05,18.72867202758789
2019-02-06,18.950464248657227
2019-02-07,18.777963638305664
2019-02-08,18.82724380493164
2019-02-11,18.777963638305664
2019-02-12,19.180463790893555
2019-02-13,19.15581703186035
2019-02-14,19.081886291503906
2019-02-15,19.12296485900879
2019-02-19,19.09832191467285
2019-02-20,19.205106735229492
2019-02-21,19.213321685791016
2019-02-22,19.50082015991211
2019-02-25,19.640464782714844
2019-02-26,19.632246017456055
2019-02-27,19.5911808013916
2019-02-28,16.206876754760742
2019-03-01,16.10009002685547
2019-03-04,16.042593002319336
2019-03-05,15.90294361114502
2019-03-06,15.672945022583008
2019-03-07,15.459372520446777
2019-03-08,15.39365291595459
2019-03-11,15.640085220336914
2019-03-12,15.789194107055664
2019-03-13,16.244813919067383
2019-03-14,16.269670486450195
2019-03-15,16.5181884765625
2019-03-18,16.52646827697754
2019-03-19,16.567888259887695
2019-03-20,16.559600830078125
2019-03-21,16.75013542175293
2019-03-22,16.02114486694336
2019-03-25,15.714642524719238
2019-03-26,15.847186088562012
2019-03-27,15.681504249572754
2019-03-28,15.739494323730469
2019-03-29,16.095703125
2019-04-01,16.60930633544922
2019-04-02,16.335939407348633
2019-04-03,16.360788345336914
2019-04-04,16.369070053100586
2019-04-05,16.393930435180664
2019-04-08,16.5181884765625
2019-04-09,16.22825050354004
2019-04-10,16.54303741455078
2019-04-11,16.5181884765625
2019-04-12,16.74184799194336
2019-04-15,16.733570098876953
2019-04-16,17.040071487426758
2019-04-17,16.98208236694336
2019-04-18,16.9986515045166
2019-04-22,16.46847915649414
