,MTCH
2018-04-06,40.078643798828125
2018-04-09,41.32544708251953
2018-04-10,42.48659896850586
2018-04-11,41.78229522705078
2018-04-12,42.600807189941406
2018-04-13,42.67694854736328
2018-04-16,43.93327331542969
2018-04-17,45.770172119140625
2018-04-18,44.86600112915039
2018-04-19,44.437705993652344
2018-04-20,44.45674133300781
2018-04-23,44.17121505737305
2018-04-24,43.07668685913086
2018-04-25,43.15283203125
2018-04-26,44.40915298461914
2018-04-27,43.79050827026367
2018-04-30,44.846961975097656
2018-05-01,34.93913650512695
2018-05-02,32.911888122558594
2018-05-03,34.520362854003906
2018-05-04,33.14030838012695
2018-05-07,33.69232940673828
2018-05-08,34.56794738769531
2018-05-09,35.07238006591797
2018-05-10,37.03300857543945
2018-05-11,38.54631042480469
2018-05-14,36.252567291259766
2018-05-15,37.40419387817383
2018-05-16,37.77538299560547
2018-05-17,38.403541564941406
2018-05-18,38.78424835205078
2018-05-21,38.88894271850586
2018-05-22,38.08946228027344
2018-05-23,38.83183670043945
2018-05-24,39.2791633605957
2018-05-25,39.8216667175293
2018-05-29,38.86990737915039
2018-05-30,39.75504684448242
2018-05-31,39.164955139160156
2018-06-01,40.52597427368164
2018-06-04,40.297550201416016
2018-06-05,40.71632385253906
2018-06-06,40.53548812866211
2018-06-07,38.898460388183594
2018-06-08,39.51710510253906
2018-06-11,40.05009078979492
2018-06-12,41.28738021850586
2018-06-13,41.09702682495117
2018-06-14,41.344482421875
2018-06-15,40.897159576416016
2018-06-18,41.76325988769531
2018-06-19,41.78229522705078
2018-06-20,40.93522644042969
2018-06-21,41.58242416381836
2018-06-22,40.64970016479492
2018-06-25,38.62245178222656
2018-06-26,38.403541564941406
2018-06-27,37.27095031738281
2018-06-28,37.28046417236328
2018-06-29,36.871212005615234
2018-07-02,37.57551193237305
2018-07-03,36.72844696044922
2018-07-05,37.251914978027344
2018-07-06,38.07042694091797
2018-07-09,37.899112701416016
2018-07-10,36.547611236572266
2018-07-11,36.252567291259766
2018-07-12,37.661170959472656
2018-07-13,37.013973236083984
2018-07-16,37.546958923339844
2018-07-17,37.95621871948242
2018-07-18,37.41371536254883
2018-07-19,37.099632263183594
2018-07-20,36.500022888183594
2018-07-23,36.994937896728516
2018-07-24,36.30967330932617
2018-07-25,37.832489013671875
2018-07-26,36.5285758972168
2018-07-27,35.415016174316406
2018-07-30,33.5305290222168
2018-07-31,34.377593994140625
2018-08-01,35.18659591674805
2018-08-02,36.21449279785156
2018-08-03,36.052696228027344
2018-08-06,36.55712890625
2018-08-07,37.00445556640625
2018-08-08,43.40028762817383
2018-08-09,46.902767181396484
2018-08-10,48.36848068237305
2018-08-13,47.57851791381836
2018-08-14,46.11280822753906
