,CMCSA
2016-10-27,25.617637634277344
2016-10-28,25.784311294555664
2016-10-31,25.759309768676758
2016-11-01,25.605134963989258
2016-11-02,25.613468170166016
2016-11-03,25.396791458129883
2016-11-04,25.27596092224121
2016-11-07,25.63013458251953
2016-11-08,26.05097770690918
2016-11-09,26.438493728637695
2016-11-10,27.12602424621582
2016-11-11,27.692716598510742
2016-11-14,28.026060104370117
2016-11-15,27.909387588500977
2016-11-16,28.113563537597656
2016-11-17,28.538578033447266
2016-11-18,28.4760684967041
2016-11-21,28.417739868164062
2016-11-22,28.759422302246094
2016-11-23,28.73442840576172
2016-11-25,28.817760467529297
2016-11-28,28.46356964111328
2016-11-29,29.226104736328125
2016-11-30,28.963600158691406
2016-12-01,29.109437942504883
2016-12-02,28.65941619873047
2016-12-05,28.617753982543945
2016-12-06,28.626083374023438
2016-12-07,28.88859748840332
2016-12-08,28.846923828125
2016-12-09,28.9385929107666
2016-12-12,28.751089096069336
2016-12-13,29.159440994262695
2016-12-14,29.17609977722168
2016-12-15,29.117765426635742
2016-12-16,29.109437942504883
2016-12-19,29.230268478393555
2016-12-20,29.588621139526367
2016-12-21,29.51361656188965
2016-12-22,29.592784881591797
2016-12-23,29.438613891601562
2016-12-27,29.530290603637695
2016-12-28,29.35527229309082
2016-12-29,29.20526123046875
2016-12-30,28.885255813598633
2017-01-03,28.885255813598633
2017-01-04,29.2282772064209
2017-01-05,29.345407485961914
2017-01-06,29.395601272583008
2017-01-09,29.629871368408203
2017-01-10,29.667516708374023
2017-01-11,29.997987747192383
2017-01-12,29.876678466796875
2017-01-13,30.441415786743164
2017-01-17,30.353567123413086
2017-01-18,30.240631103515625
2017-01-19,30.374488830566406
2017-01-20,30.776071548461914
2017-01-23,30.646392822265625
2017-01-24,30.788631439208984
2017-01-25,30.721696853637695
2017-01-26,31.58344841003418
2017-01-27,31.771684646606445
2017-01-30,31.516504287719727
2017-01-31,31.549972534179688
2017-02-01,31.629457473754883
2017-02-02,31.41192054748535
2017-02-03,31.483055114746094
2017-02-06,31.181854248046875
2017-02-07,31.315704345703125
2017-02-08,31.24460792541504
2017-02-09,31.38681983947754
2017-02-10,31.437026977539062
2017-02-13,31.671297073364258
2017-02-14,31.830245971679688
2017-02-15,32.04360580444336
2017-02-16,31.788421630859375
2017-02-17,31.508134841918945
2017-02-21,31.7005615234375
2017-02-22,31.742401123046875
2017-02-23,31.499786376953125
2017-02-24,31.7005615234375
2017-02-27,31.39937973022461
2017-02-28,31.307348251342773
2017-03-01,31.449573516845703
2017-03-02,31.332447052001953
2017-03-03,31.140016555786133
2017-03-06,31.324073791503906
2017-03-07,31.307348251342773
2017-03-08,31.047990798950195
2017-03-09,31.27388572692871
2017-03-10,31.223678588867188
2017-03-13,31.206937789916992
2017-03-14,31.298978805541992
2017-03-15,31.58344841003418
2017-03-16,31.524879455566406
2017-03-17,31.340818405151367
2017-03-20,31.35755157470703
2017-03-21,31.0145263671875
2017-03-22,30.989412307739258
2017-03-23,31.140016555786133
2017-03-24,31.27388572692871
2017-03-27,31.047990798950195
2017-03-28,31.0312557220459
2017-03-29,31.140016555786133
2017-03-30,31.382646560668945
2017-03-31,31.449573516845703
2017-04-03,31.557125091552734
2017-04-04,31.750364303588867
2017-04-05,31.37228012084961
2017-04-06,32.03602600097656
2017-04-07,31.95200538635254
2017-04-10,31.64954376220703
2017-04-11,31.279869079589844
2017-04-12,31.330272674560547
2017-04-13,31.20425033569336
2017-04-17,31.254653930664062
2017-04-18,31.58232307434082
2017-04-19,31.531925201416016
2017-04-20,31.926799774169922
2017-04-21,32.06122970581055
2017-04-24,31.93519401550293
2017-04-25,32.33848190307617
2017-04-26,32.590545654296875
2017-04-27,33.26267623901367
2017-04-28,32.926612854003906
2017-05-01,32.926612854003906
2017-05-02,33.05263900756836
2017-05-03,32.380489349365234
2017-05-04,32.17045593261719
2017-05-05,32.77537536621094
2017-05-08,32.93501663208008
2017-05-09,32.834190368652344
2017-05-10,32.85100555419922
2017-05-11,32.98542404174805
2017-05-12,32.75017547607422
2017-05-15,32.741764068603516
2017-05-16,32.615745544433594
2017-05-17,32.01081848144531
2017-05-18,32.489715576171875
2017-05-19,32.64095687866211
2017-05-22,33.17866134643555
2017-05-23,33.42232131958008
2017-05-24,33.88441848754883
2017-05-25,33.892818450927734
2017-05-26,34.37171936035156
2017-05-30,34.531349182128906
2017-05-31,35.027061462402344
2017-06-01,35.001853942871094
2017-06-02,35.279109954833984
