,PARA
2017-06-27,53.785621643066406
2017-06-28,54.734981536865234
2017-06-29,53.390750885009766
2017-06-30,53.58399200439453
2017-07-03,53.90324020385742
2017-07-05,53.155521392822266
2017-07-06,52.14735794067383
2017-07-07,52.769065856933594
2017-07-10,53.51678466796875
2017-07-11,53.57558059692383
2017-07-12,53.23952865600586
2017-07-13,53.00429916381836
2017-07-14,53.72682189941406
2017-07-17,54.27290344238281
2017-07-18,53.93684768676758
2017-07-19,54.592159271240234
2017-07-20,55.33147430419922
2017-07-21,55.3062744140625
2017-07-24,55.66753387451172
2017-07-25,55.516300201416016
2017-07-26,55.969974517822266
2017-07-27,56.75970458984375
2017-07-28,56.65049743652344
2017-07-31,55.3062744140625
2017-08-01,55.516300201416016
2017-08-02,54.4493293762207
2017-08-03,54.46613311767578
2017-08-04,53.44956588745117
2017-08-07,54.205692291259766
2017-08-08,55.19705581665039
2017-08-09,54.90299987792969
2017-08-10,55.60871887207031
2017-08-11,56.04558563232422
2017-08-14,55.68433380126953
2017-08-15,56.037193298339844
2017-08-16,55.88595962524414
2017-08-17,55.188663482666016
2017-08-18,54.44093322753906
2017-08-21,54.61736297607422
2017-08-22,55.155059814453125
2017-08-23,54.373722076416016
2017-08-24,53.752017974853516
2017-08-25,53.67639923095703
2017-08-28,53.558780670166016
2017-08-29,53.155521392822266
2017-08-30,54.197296142578125
2017-08-31,53.81922149658203
2017-09-01,54.05447006225586
2017-09-05,53.466373443603516
2017-09-06,52.07173538208008
2017-09-07,50.97638702392578
2017-09-08,50.06637954711914
2017-09-11,48.86992645263672
2017-09-12,49.56083679199219
2017-09-13,50.98480224609375
2017-09-14,48.99630355834961
2017-09-15,49.06370544433594
2017-09-18,48.63399887084961
2017-09-19,49.586116790771484
2017-09-20,49.75462341308594
2017-09-21,49.535560607910156
2017-09-22,49.90629196166992
2017-09-25,50.639347076416016
2017-09-26,48.86992645263672
2017-09-27,49.046871185302734
2017-09-28,47.95992660522461
2017-09-29,48.86992645263672
2017-10-02,49.33333969116211
2017-10-03,49.61981201171875
2017-10-04,50.529808044433594
2017-10-05,49.62825012207031
2017-10-06,49.12269592285156
2017-10-09,48.80250930786133
2017-10-10,48.35594177246094
2017-10-11,48.11159896850586
2017-10-12,47.614463806152344
2017-10-13,48.02733612060547
2017-10-16,47.94308090209961
2017-10-17,47.7408561706543
2017-10-18,47.99363708496094
2017-10-19,48.726680755615234
2017-10-20,49.64509963989258
2017-10-23,48.82778549194336
2017-10-24,47.976783752441406
2017-10-25,48.22113800048828
2017-10-26,48.06104278564453
2017-10-27,47.816680908203125
2017-10-30,47.285865783691406
2017-10-31,47.285865783691406
2017-11-01,47.34482955932617
2017-11-02,45.887168884277344
2017-11-03,46.679195404052734
2017-11-06,47.99363708496094
2017-11-07,48.54132080078125
2017-11-08,48.23797607421875
2017-11-09,48.93733215332031
2017-11-10,47.80825424194336
2017-11-13,47.11734390258789
2017-11-14,47.53020477294922
2017-11-15,47.21845626831055
2017-11-16,47.52178192138672
2017-11-17,47.80825424194336
2017-11-20,47.12577438354492
2017-11-21,47.80825424194336
2017-11-22,47.38697052001953
2017-11-24,47.63974380493164
2017-11-27,47.151039123535156
2017-11-28,46.13995361328125
2017-11-29,47.63974380493164
2017-11-30,47.23530578613281
2017-12-01,48.12002182006836
2017-12-04,50.639347076416016
2017-12-05,48.954185485839844
2017-12-06,48.389644622802734
2017-12-07,48.19585037231445
2017-12-08,48.57620620727539
2017-12-11,48.753719329833984
2017-12-12,48.99884033203125
2017-12-13,48.3226432800293
2017-12-14,49.134071350097656
2017-12-15,49.784912109375
2017-12-18,49.86943817138672
2017-12-19,50.25825881958008
2017-12-20,50.78229904174805
2017-12-21,51.162654876708984
2017-12-22,50.858375549316406
2017-12-26,50.87527084350586
2017-12-27,50.11456298828125
2017-12-28,50.08919143676758
2017-12-29,49.86943817138672
2018-01-02,50.01313400268555
2018-01-03,50.038490295410156
2018-01-04,49.02418899536133
2018-01-05,48.669193267822266
2018-01-08,47.97609329223633
2018-01-09,47.32524871826172
2018-01-10,47.891571044921875
2018-01-11,48.83824157714844
2018-01-12,49.725738525390625
2018-01-16,50.23288345336914
2018-01-17,49.784912109375
2018-01-18,50.714691162109375
2018-01-19,48.81287384033203
2018-01-22,49.235504150390625
2018-01-23,48.618473052978516
2018-01-24,50.0638427734375
2018-01-25,50.09764862060547
2018-01-26,50.714691162109375
2018-01-29,49.64121627807617
2018-01-30,49.36228942871094
2018-01-31,48.69454574584961
2018-02-01,49.81026840209961
2018-02-02,46.82655715942383
2018-02-05,45.710838317871094
2018-02-06,45.48260498046875
2018-02-07,45.16987609863281
2018-02-08,43.78366470336914
2018-02-09,44.59511184692383
2018-02-12,44.93320083618164
2018-02-13,46.209510803222656
2018-02-14,47.206912994384766
2018-02-15,47.95917892456055
2018-02-16,46.81809997558594
2018-02-20,47.54500961303711
2018-02-21,46.809654235839844
2018-02-22,45.9136848449707
2018-02-23,46.589881896972656
2018-02-26,47.06322479248047
2018-02-27,45.77000045776367
2018-02-28,44.772613525390625
2018-03-01,44.04570388793945
2018-03-02,45.06844711303711
2018-03-05,45.14451599121094
2018-03-06,44.992374420166016
2018-03-07,44.04570388793945
2018-03-08,44.66487121582031
2018-03-09,44.257747650146484
2018-03-12,44.351051330566406
2018-03-13,44.020263671875
2018-03-14,43.485904693603516
2018-03-15,43.29083251953125
2018-03-16,43.2144889831543
2018-03-19,43.09574508666992
2018-03-20,42.629241943359375
2018-03-21,43.146636962890625
2018-03-22,42.629241943359375
2018-03-23,41.78955841064453
2018-03-26,43.84213638305664
2018-03-27,44.40192794799805
2018-03-28,44.0032844543457
2018-03-29,43.587684631347656
2018-04-02,43.010921478271484
2018-04-03,44.834495544433594
2018-04-04,45.6233024597168
2018-04-05,44.85145568847656
2018-04-06,44.81753921508789
2018-04-09,44.82601547241211
2018-04-10,44.20685577392578
2018-04-11,43.26537322998047
2018-04-12,42.4596061706543
2018-04-13,42.46809005737305
2018-04-16,43.17207717895508
2018-04-17,43.375640869140625
2018-04-18,43.401084899902344
2018-04-19,43.2144889831543
2018-04-20,41.8404541015625
2018-04-23,42.162750244140625
2018-04-24,42.36630630493164
2018-04-25,42.76495361328125
2018-04-26,42.434165954589844
2018-04-27,42.38327407836914
2018-04-30,41.73018264770508
2018-05-01,42.07793045043945
2018-05-02,41.55207443237305
2018-05-03,41.340023040771484
2018-05-04,45.097434997558594
2018-05-07,44.4613037109375
2018-05-08,43.485904693603516
2018-05-09,43.63009262084961
2018-05-10,44.376487731933594
2018-05-11,44.546119689941406
2018-05-14,45.504554748535156
2018-05-15,46.15765380859375
2018-05-16,45.6572265625
2018-05-17,43.77428436279297
2018-05-18,43.89302062988281
2018-05-21,44.105072021484375
2018-05-22,43.69795608520508
2018-05-23,42.841285705566406
2018-05-24,42.91761779785156
2018-05-25,43.2314453125
2018-05-29,42.63773727416992
2018-05-30,43.45197296142578
2018-05-31,42.72255325317383
2018-06-01,42.39176559448242
2018-06-04,42.50203323364258
2018-06-05,42.60380554199219
2018-06-06,42.95154571533203
2018-06-07,43.41971969604492
2018-06-08,43.52186584472656
2018-06-11,44.25389099121094
2018-06-12,44.58585739135742
2018-06-13,46.18611526489258
2018-06-14,46.91814041137695
2018-06-15,47.760833740234375
2018-06-18,47.931068420410156
2018-06-19,48.05875778198242
2018-06-20,49.539852142333984
2018-06-21,48.00768280029297
2018-06-22,48.26304244995117
2018-06-25,47.87149429321289
2018-06-26,47.54802703857422
2018-06-27,47.42034912109375
2018-06-28,47.777862548828125
2018-06-29,47.85446548461914
2018-07-02,47.650169372558594
2018-07-03,47.360774993896484
2018-07-05,48.43328094482422
2018-07-06,49.497283935546875
2018-07-09,49.68454360961914
2018-07-10,49.99948501586914
2018-07-11,50.476173400878906
2018-07-12,50.32293701171875
2018-07-13,50.22931671142578
2018-07-16,50.07610321044922
2018-07-17,49.386619567871094
2018-07-18,49.55686950683594
2018-07-19,48.892921447753906
2018-07-20,48.71417236328125
2018-07-23,48.407745361328125
2018-07-24,48.229000091552734
2018-07-25,48.78226852416992
2018-07-26,48.96953201293945
2018-07-27,45.97331619262695
2018-07-30,43.649539947509766
2018-07-31,44.83270263671875
2018-08-01,44.730560302734375
2018-08-02,44.87525939941406
2018-08-03,45.24980926513672
2018-08-06,44.985923767089844
2018-08-07,45.300865173339844
2018-08-08,45.24980926513672
2018-08-09,45.598793029785156
2018-08-10,44.70502471923828
2018-08-13,44.4411506652832
2018-08-14,44.747589111328125
2018-08-15,44.943359375
2018-08-16,45.09658432006836
2018-08-17,45.300865173339844
2018-08-20,45.59027862548828
2018-08-21,45.93927764892578
2018-08-22,45.43705749511719
2018-08-23,45.01145553588867
2018-08-24,45.19871520996094
2018-08-27,45.67539978027344
2018-08-28,45.44557571411133
2018-08-29,45.87117004394531
2018-08-30,45.12210464477539
2018-08-31,45.13062286376953
2018-09-04,44.76462173461914
2018-09-05,45.071048736572266
2018-09-06,46.49254608154297
2018-09-07,47.876060485839844
2018-09-10,47.141597747802734
2018-09-11,47.31240463256836
2018-09-12,47.09036636352539
2018-09-13,48.004154205322266
2018-09-14,47.69670486450195
2018-09-17,48.063926696777344
2018-09-18,47.5429801940918
2018-09-19,47.7991828918457
2018-09-20,48.42261505126953
2018-09-21,48.456783294677734
2018-09-24,48.32014083862305
2018-09-25,48.294517517089844
2018-09-26,48.2518196105957
2018-09-27,48.294517517089844
2018-09-28,49.06312942504883
2018-10-01,47.61984634399414
2018-10-02,48.26036071777344
2018-10-03,47.747947692871094
2018-10-04,47.841888427734375
2018-10-05,47.24407958984375
2018-10-08,48.721527099609375
2018-10-09,49.00334548950195
2018-10-10,47.423423767089844
2018-10-11,45.96305847167969
2018-10-12,46.390071868896484
2018-10-15,46.42422866821289
2018-10-16,47.01348876953125
2018-10-17,47.70524978637695
2018-10-18,47.969993591308594
2018-10-19,48.84963607788086
2018-10-22,48.508018493652344
2018-10-23,48.046844482421875
2018-10-24,45.50189208984375
2018-10-25,46.697505950927734
2018-10-26,45.971595764160156
2018-10-29,46.227806091308594
2018-10-30,48.02977752685547
2018-10-31,48.97773361206055
2018-11-01,49.95130157470703
2018-11-02,47.969993591308594
2018-11-05,48.93502426147461
2018-11-06,49.35350036621094
2018-11-07,49.370574951171875
2018-11-08,49.46452331542969
2018-11-09,49.14852523803711
2018-11-12,48.78984451293945
2018-11-13,48.65321350097656
2018-11-14,48.6446647644043
2018-11-15,48.93502426147461
2018-11-16,49.0972900390625
2018-11-19,46.94517135620117
2018-11-20,45.160282135009766
2018-11-21,45.886192321777344
2018-11-23,46.048465728759766
2018-11-26,45.87766647338867
2018-11-27,46.21925354003906
2018-11-28,47.09036636352539
2018-11-29,47.26969528198242
