,TFC
2014-11-28,25.708843231201172
2014-12-01,25.339527130126953
2014-12-02,25.585731506347656
2014-12-03,25.96188735961914
2014-12-04,25.93454360961914
2014-12-05,26.5227108001709
2014-12-08,26.509031295776367
2014-12-09,26.62529945373535
2014-12-10,26.057645797729492
2014-12-11,26.112363815307617
2014-12-12,25.613088607788086
2014-12-15,25.36003875732422
2014-12-16,25.10015106201172
2014-12-17,25.66095733642578
2014-12-18,26.208106994628906
2014-12-19,26.214950561523438
2014-12-22,26.481678009033203
2014-12-23,26.837318420410156
2014-12-24,26.74840545654297
2014-12-26,26.81679916381836
2014-12-29,26.926233291625977
2014-12-30,26.905717849731445
2014-12-31,26.597951889038086
2015-01-02,26.433805465698242
2015-01-05,25.599414825439453
2015-01-06,25.10015106201172
2015-01-07,25.435274124145508
2015-01-08,25.85930633544922
2015-01-09,25.18906021118164
2015-01-12,24.956523895263672
2015-01-13,24.91547966003418
2015-01-14,24.388866424560547
2015-01-15,24.279438018798828
2015-01-16,24.635072708129883
2015-01-20,24.457250595092773
2015-01-21,24.375179290771484
2015-01-22,25.24376678466797
2015-01-23,25.182218551635742
2015-01-26,25.298479080200195
2015-01-27,24.819740295410156
2015-01-28,24.183677673339844
2015-01-29,24.39569854736328
2015-01-30,24.13581085205078
2015-02-02,24.594038009643555
2015-02-03,24.949674606323242
2015-02-04,24.874448776245117
2015-02-05,25.36687660217285
2015-02-06,26.009775161743164
2015-02-09,25.749879837036133
2015-02-10,25.85930633544922
2015-02-11,25.74917984008789
2015-02-12,26.375534057617188
2015-02-13,26.347991943359375
2015-02-17,26.458126068115234
2015-02-18,26.031373977661133
2015-02-19,26.017608642578125
2015-02-20,26.286052703857422
2015-02-23,26.134626388549805
2015-02-24,26.306699752807617
2015-02-25,26.389293670654297
2015-02-26,26.43747901916504
2015-02-27,26.189695358276367
2015-03-02,26.430587768554688
2015-03-03,26.272281646728516
2015-03-04,26.024494171142578
2015-03-05,26.134626388549805
2015-03-06,26.47188949584961
2015-03-09,26.5476016998291
2015-03-10,25.85930824279785
2015-03-11,26.134626388549805
2015-03-12,26.836706161499023
2015-03-13,26.781625747680664
2015-03-16,27.00187110900879
2015-03-17,27.153303146362305
2015-03-18,27.332260131835938
2015-03-19,27.229019165039062
2015-03-20,27.40108299255371
2015-03-23,27.194608688354492
2015-03-24,26.926162719726562
2015-03-25,26.48564910888672
2015-03-26,26.60955238342285
2015-03-27,26.492538452148438
2015-03-30,26.87798309326172
2015-03-31,26.836706161499023
