,STX
2015-11-13,21.324268341064453
2015-11-16,22.117395401000977
2015-11-17,21.846572875976562
2015-11-18,22.16898536682129
2015-11-19,22.104503631591797
2015-11-20,22.188316345214844
2015-11-23,22.375328063964844
2015-11-24,22.098052978515625
2015-11-25,22.2914981842041
2015-11-27,22.323740005493164
2015-11-30,23.174909591674805
2015-12-01,23.542449951171875
2015-12-02,22.272153854370117
2015-12-03,21.77564239501953
2015-12-04,22.214120864868164
2015-12-07,22.63325309753418
2015-12-08,22.846046447753906
2015-12-09,23.033052444458008
2015-12-10,23.355457305908203
2015-12-11,23.200700759887695
2015-12-14,21.711156845092773
2015-12-15,22.085147857666016
2015-12-16,22.426910400390625
2015-12-17,21.87236785888672
2015-12-18,21.988431930541992
2015-12-21,22.375328063964844
2015-12-22,22.85894203186035
2015-12-23,23.613391876220703
2015-12-24,23.632728576660156
2015-12-28,23.69076156616211
2015-12-29,23.95514678955078
2015-12-30,23.974485397338867
2015-12-31,23.63918113708496
2016-01-04,23.387693405151367
2016-01-05,23.426387786865234
2016-01-06,22.407567977905273
2016-01-07,22.272153854370117
2016-01-08,20.982507705688477
2016-01-11,20.215171813964844
2016-01-12,20.357032775878906
2016-01-13,20.034626007080078
2016-01-14,20.705236434936523
2016-01-15,19.918556213378906
2016-01-19,19.23504066467285
2016-01-20,18.84169578552246
2016-01-21,17.771303176879883
2016-01-22,18.009878158569336
2016-01-25,17.023303985595703
2016-01-26,17.887371063232422
2016-01-27,17.390851974487305
2016-01-28,17.255435943603516
2016-01-29,18.732080459594727
2016-02-01,19.609041213989258
2016-02-02,18.448362350463867
2016-02-03,19.67997169494629
2016-02-04,20.756816864013672
2016-02-05,20.77655029296875
2016-02-08,19.967588424682617
2016-02-09,19.34278678894043
2016-02-10,19.85577964782715
2016-02-11,19.09286117553711
2016-02-12,19.651899337768555
2016-02-16,20.605552673339844
2016-02-17,21.026477813720703
2016-02-18,21.77625274658203
2016-02-19,20.612131118774414
2016-02-22,21.197479248046875
2016-02-23,20.217512130737305
2016-02-24,20.441129684448242
2016-02-25,20.33589744567871
2016-02-26,20.842327117919922
2016-02-29,20.625286102294922
2016-03-01,21.855175018310547
2016-03-02,22.3155574798584
2016-03-03,22.854867935180664
2016-03-04,22.71017074584961
2016-03-07,23.334985733032227
2016-03-08,22.51944351196289
2016-03-09,22.499711990356445
2016-03-10,22.98641014099121
2016-03-11,23.788787841796875
2016-03-14,23.256061553955078
2016-03-15,22.769367218017578
2016-03-16,22.683868408203125
2016-03-17,22.973249435424805
2016-03-18,24.05187225341797
2016-03-21,24.032136917114258
2016-03-22,24.360992431640625
2016-03-23,22.88774299621582
2016-03-24,21.855175018310547
2016-03-28,22.059059143066406
2016-03-29,22.230058670043945
2016-03-30,22.473403930664062
2016-03-31,22.65755844116211
2016-04-01,22.1577091217041
2016-04-04,22.065635681152344
2016-04-05,21.6118221282959
2016-04-06,22.177448272705078
2016-04-07,21.77625274658203
2016-04-08,21.855175018310547
2016-04-11,23.006141662597656
2016-04-12,23.04559898376465
2016-04-13,22.3155574798584
2016-04-14,17.830081939697266
2016-04-15,16.830387115478516
2016-04-18,16.955350875854492
2016-04-19,16.659395217895508
2016-04-20,16.88300895690918
2016-04-21,16.72515869140625
2016-04-22,16.652814865112305
2016-04-25,17.290775299072266
2016-04-26,17.757740020751953
2016-04-27,17.981351852416992
2016-04-28,17.691972732543945
2016-04-29,14.317994117736816
2016-05-02,13.469572067260742
2016-05-03,12.78557014465332
2016-05-04,13.252532005310059
2016-05-05,13.160457611083984
2016-05-06,12.949945449829102
2016-05-09,12.80733871459961
2016-05-10,13.072175025939941
2016-05-11,12.712265968322754
2016-05-12,12.759805679321289
2016-05-13,12.963525772094727
2016-05-16,13.01106071472168
2016-05-17,13.337018013000488
2016-05-18,13.744464874267578
2016-05-19,13.934600830078125
2016-05-20,13.859903335571289
2016-05-23,14.124739646911621
2016-05-24,14.179069519042969
2016-05-25,14.586511611938477
