,NOC
2014-08-15,105.0577163696289
2014-08-18,106.62258911132812
2014-08-19,106.85816192626953
2014-08-20,107.83414459228516
2014-08-21,107.71633911132812
2014-08-22,107.35454559326172
2014-08-25,107.7079086303711
2014-08-26,107.076904296875
2014-08-27,107.37139129638672
2014-08-28,107.33755493164062
2014-08-29,107.62519073486328
2014-09-02,108.76724243164062
2014-09-03,108.22581481933594
2014-09-04,107.62519073486328
2014-09-05,107.88743591308594
2014-09-08,107.90435028076172
2014-09-09,108.69110107421875
2014-09-10,109.96855163574219
2014-09-11,109.77393341064453
2014-09-12,109.96855163574219
2014-09-15,110.45919799804688
2014-09-16,111.60971069335938
2014-09-17,112.15116882324219
2014-09-18,112.04118347167969
2014-09-19,113.07331085205078
2014-09-22,111.5843505859375
2014-09-23,108.99567413330078
2014-09-24,109.96855163574219
2014-09-25,109.0464096069336
2014-09-26,111.60971069335938
2014-09-29,111.65203094482422
2014-09-30,111.4659194946289
2014-10-01,108.30196380615234
2014-10-02,107.35443878173828
2014-10-03,108.68266296386719
2014-10-06,108.07353973388672
2014-10-07,105.41719818115234
2014-10-08,106.89765167236328
2014-10-09,104.91806030273438
2014-10-10,104.90960693359375
2014-10-13,102.76081848144531
2014-10-14,105.0618667602539
2014-10-15,102.60855102539062
2014-10-16,102.87081146240234
2014-10-17,105.27336883544922
2014-10-20,105.46792602539062
2014-10-21,106.70307159423828
2014-10-22,105.84016418457031
2014-10-23,109.30020141601562
2014-10-24,110.64531707763672
2014-10-27,110.64531707763672
2014-10-28,113.53005981445312
2014-10-29,114.76520538330078
2014-10-30,116.1441650390625
2014-10-31,116.71099090576172
2014-11-03,115.8650131225586
2014-11-04,117.22700500488281
