,CHD
2018-03-02,46.160255432128906
2018-03-05,46.520084381103516
2018-03-06,46.8430290222168
2018-03-07,46.095680236816406
2018-03-08,47.03678894042969
2018-03-09,46.676944732666016
2018-03-12,46.64927291870117
2018-03-13,46.815345764160156
2018-03-14,45.984954833984375
2018-03-15,45.708160400390625
2018-03-16,46.14181900024414
2018-03-19,46.30788803100586
2018-03-20,45.837345123291016
2018-03-21,45.20071029663086
2018-03-22,44.63788986206055
2018-03-23,43.64141845703125
2018-03-26,43.706016540527344
2018-03-27,44.43490219116211
2018-03-28,45.431373596191406
2018-03-29,46.4647331237793
2018-04-02,45.14534378051758
2018-04-03,45.80965805053711
2018-04-04,46.56622314453125
2018-04-05,46.00341796875
2018-04-06,45.671260833740234
2018-04-09,45.643577575683594
2018-04-10,45.837345123291016
2018-04-11,45.560550689697266
2018-04-12,45.02539825439453
2018-04-13,45.16380310058594
2018-04-16,46.224849700927734
2018-04-17,46.42783737182617
2018-04-18,46.3817024230957
2018-04-19,44.95158767700195
2018-04-20,42.29434585571289
2018-04-23,41.897613525390625
2018-04-24,41.94374084472656
2018-04-25,42.34048843383789
2018-04-26,42.57114791870117
2018-04-27,43.161643981933594
2018-04-30,42.62650680541992
2018-05-01,42.71876525878906
2018-05-02,42.322025299072266
2018-05-03,43.8720817565918
2018-05-04,43.687557220458984
2018-05-07,43.844398498535156
2018-05-08,44.03816604614258
2018-05-09,44.056610107421875
2018-05-10,44.075077056884766
2018-05-11,43.7890510559082
2018-05-14,43.6018180847168
2018-05-15,43.11981964111328
2018-05-16,43.203243255615234
2018-05-17,43.27738952636719
2018-05-18,42.74905014038086
2018-05-21,43.01786422729492
2018-05-22,43.0734748840332
2018-05-23,43.64815139770508
2018-05-24,43.31447219848633
2018-05-25,43.954044342041016
2018-05-29,44.130149841308594
2018-05-30,44.61213684082031
2018-05-31,43.51839065551758
2018-06-01,43.86134338378906
2018-06-04,43.574005126953125
2018-06-05,43.342281341552734
2018-06-06,43.3237419128418
2018-06-07,43.93550109863281
2018-06-08,44.667755126953125
2018-06-11,45.279518127441406
2018-06-12,46.05811309814453
2018-06-13,46.00250244140625
2018-06-14,46.160091400146484
2018-06-15,46.58646774291992
2018-06-18,46.60498809814453
2018-06-19,47.680213928222656
2018-06-20,47.0406494140625
2018-06-21,46.98503875732422
2018-06-22,46.929412841796875
2018-06-25,47.80070495605469
2018-06-26,47.91193771362305
2018-06-27,48.45881271362305
2018-06-28,49.28376770019531
2018-06-29,49.27449417114258
2018-07-02,49.07057189941406
2018-07-03,49.38572311401367
2018-07-05,50.3404426574707
2018-07-06,50.66486358642578
2018-07-09,49.54330062866211
2018-07-10,50.48876190185547
2018-07-11,50.66486358642578
2018-07-12,50.91511535644531
2018-07-13,51.80495834350586
2018-07-16,50.85950469970703
2018-07-17,50.76683807373047
2018-07-18,49.85845184326172
2018-07-19,50.1828727722168
2018-07-20,50.96147155761719
