,APD
2014-07-08,92.93366241455078
2014-07-09,93.43960571289062
2014-07-10,93.01313781738281
2014-07-11,93.54077911376953
2014-07-14,93.67811584472656
2014-07-15,93.67086791992188
2014-07-16,93.81543731689453
2014-07-17,93.0492935180664
2014-07-18,93.94551849365234
2014-07-21,94.00336456298828
2014-07-22,94.1985092163086
2014-07-23,98.36163330078125
2014-07-24,97.68949127197266
2014-07-25,98.20265197753906
2014-07-28,98.52789306640625
2014-07-29,98.1954116821289
2014-07-30,97.819580078125
2014-07-31,95.36936950683594
2014-08-01,96.21501159667969
2014-08-04,97.80509948730469
2014-08-05,95.88253784179688
2014-08-06,95.63678741455078
2014-08-07,94.79840850830078
2014-08-08,95.8897933959961
2014-08-11,95.42720031738281
2014-08-12,95.3982925415039
2014-08-13,95.72354125976562
2014-08-14,95.80302429199219
2014-08-15,95.96929168701172
2014-08-18,96.95223236083984
2014-08-19,97.12571716308594
2014-08-20,96.71371459960938
2014-08-21,96.22225189208984
2014-08-22,95.94760131835938
2014-08-25,96.2583999633789
2014-08-26,96.41739654541016
2014-08-27,96.12828063964844
2014-08-28,96.37403869628906
2014-08-29,96.28006744384766
2014-09-02,95.61511993408203
2014-09-03,96.04156494140625
2014-09-04,95.71632385253906
2014-09-05,95.7957992553711
2014-09-08,95.3982925415039
2014-09-09,94.03950500488281
2014-09-10,95.1236343383789
2014-09-11,92.82522583007812
2014-09-12,92.6734619140625
2014-09-15,93.20108032226562
2014-09-16,95.0296630859375
2014-09-17,94.62491607666016
2014-09-18,96.15719604492188
2014-09-19,97.21245574951172
2014-09-22,96.99563598632812
2014-09-23,96.42465209960938
2014-09-24,98.06531524658203
2014-09-25,96.14273834228516
2014-09-26,97.40760040283203
2014-09-29,96.77518463134766
2014-09-30,94.6307601928711
2014-10-01,91.94114685058594
2014-10-02,92.62444305419922
2014-10-03,93.4531478881836
2014-10-06,93.5331039428711
2014-10-07,91.4831771850586
2014-10-08,92.1010513305664
2014-10-09,89.6368179321289
2014-10-10,89.38237762451172
2014-10-13,86.52557373046875
2014-10-14,87.9648666381836
2014-10-15,91.78849792480469
2014-10-16,92.8352279663086
2014-10-17,93.7802505493164
2014-10-20,94.47810363769531
2014-10-21,95.04509735107422
2014-10-22,94.2091293334961
2014-10-23,94.15096282958984
2014-10-24,95.59027862548828
2014-10-27,93.44587707519531
2014-10-28,94.29635620117188
2014-10-29,93.66394805908203
2014-10-30,97.10231018066406
2014-10-31,97.88735961914062
2014-11-03,98.41800689697266
2014-11-04,97.16771697998047
