,ROST
2014-06-10,30.57504653930664
2014-06-11,30.448566436767578
2014-06-12,30.16847801208496
2014-06-13,30.322067260742188
2014-06-16,30.24526023864746
2014-06-17,30.376270294189453
2014-06-18,30.778335571289062
2014-06-19,30.64281463623047
2014-06-20,30.6925048828125
2014-06-23,30.71057891845703
2014-06-24,30.159427642822266
2014-06-25,29.965173721313477
2014-06-26,29.82061004638672
2014-06-27,29.725749969482422
2014-06-30,29.87482452392578
2014-07-01,30.051006317138672
2014-07-02,30.254304885864258
2014-07-03,30.34012794494629
2014-07-07,30.096189498901367
2014-07-08,30.23622703552246
2014-07-09,30.611188888549805
2014-07-10,30.087139129638672
2014-07-11,29.725749969482422
2014-07-14,29.391441345214844
2014-07-15,29.486303329467773
2014-07-16,28.076814651489258
2014-07-17,28.09488868713379
2014-07-18,28.600862503051758
2014-07-21,28.361427307128906
2014-07-22,28.280115127563477
2014-07-23,28.460817337036133
2014-07-24,28.745424270629883
2014-07-25,28.668624877929688
2014-07-28,28.889986038208008
2014-07-29,28.853845596313477
2014-07-30,29.26042938232422
2014-07-31,29.093273162841797
2014-08-01,29.224285125732422
2014-08-04,29.31464195251465
2014-08-05,29.21074104309082
2014-08-06,29.33723258972168
2014-08-07,29.201696395874023
2014-08-08,30.154903411865234
2014-08-11,29.960651397705078
2014-08-12,29.82061004638672
2014-08-13,29.545032501220703
2014-08-14,29.86126708984375
2014-08-15,29.61279296875
2014-08-18,30.096189498901367
2014-08-19,31.31140899658203
2014-08-20,31.56439971923828
2014-08-21,31.284317016601562
2014-08-22,33.59731674194336
2014-08-25,33.34886169433594
2014-08-26,33.588279724121094
2014-08-27,33.949684143066406
2014-08-28,33.98582458496094
2014-08-29,34.0716552734375
2014-09-02,34.22977828979492
2014-09-03,34.47438049316406
2014-09-04,34.8186149597168
2014-09-05,34.805030822753906
2014-09-08,34.542320251464844
2014-09-09,34.202598571777344
2014-09-10,34.10747528076172
2014-09-11,34.18901824951172
2014-09-12,34.044071197509766
2014-09-15,33.948944091796875
2014-09-16,34.19355010986328
2014-09-17,34.19355010986328
2014-09-18,34.27507400512695
2014-09-19,34.19807434082031
2014-09-22,33.785892486572266
2014-09-23,33.595638275146484
2014-09-24,34.29772186279297
2014-09-25,33.894588470458984
2014-09-26,34.429073333740234
2014-09-29,34.17995834350586
2014-09-30,34.23431396484375
2014-10-01,33.967063903808594
2014-10-02,34.33848571777344
2014-10-03,34.86391830444336
2014-10-06,34.329429626464844
2014-10-07,34.01689910888672
2014-10-08,34.623844146728516
2014-10-09,34.50154495239258
2014-10-10,35.11758041381836
2014-10-13,34.8186149597168
2014-10-14,35.25798034667969
2014-10-15,34.63289260864258
2014-10-16,34.75068283081055
2014-10-17,34.96357345581055
2014-10-20,35.51164627075195
2014-10-21,36.04612350463867
2014-10-22,35.96006393432617
2014-10-23,36.27260971069336
2014-10-24,36.462867736816406
2014-10-27,36.517189025878906
2014-10-28,36.38132095336914
2014-10-29,36.26807403564453
2014-10-30,36.61232376098633
2014-10-31,36.562496185302734
2014-11-03,36.79801940917969
2014-11-04,36.4356575012207
