,MKTX
2014-11-14,60.22884750366211
2014-11-17,58.646060943603516
2014-11-18,58.33317184448242
2014-11-19,57.992706298828125
2014-11-20,58.83930587768555
2014-11-21,57.73503494262695
2014-11-24,59.17058181762695
2014-11-25,58.90372848510742
2014-11-26,59.695125579833984
2014-11-28,60.33927917480469
2014-12-01,59.08775329589844
2014-12-02,60.05399703979492
2014-12-03,61.369937896728516
2014-12-04,61.99567794799805
2014-12-05,62.66746139526367
2014-12-08,62.56621170043945
2014-12-09,63.817718505859375
2014-12-10,63.40363693237305
2014-12-11,64.22264862060547
2014-12-12,62.98952865600586
2014-12-15,63.0355339050293
2014-12-16,63.12755584716797
2014-12-17,64.47109985351562
2014-12-18,66.46797943115234
2014-12-19,65.83302307128906
2014-12-22,65.91586303710938
2014-12-23,66.5231704711914
2014-12-24,66.53240203857422
2014-12-26,67.40660095214844
2014-12-29,66.46797943115234
2014-12-30,66.24715423583984
2014-12-31,65.98945617675781
2015-01-02,64.73797607421875
2015-01-05,63.4864387512207
2015-01-06,62.26254653930664
2015-01-07,62.82386016845703
2015-01-08,65.98026275634766
2015-01-09,65.80538940429688
2015-01-12,65.32691955566406
2015-01-13,66.81767272949219
2015-01-14,67.13973999023438
2015-01-15,64.9680404663086
2015-01-16,66.63363647460938
2015-01-20,66.40357971191406
2015-01-21,65.84222412109375
2015-01-22,68.50167846679688
2015-01-23,68.11518859863281
2015-01-26,68.42808532714844
2015-01-27,68.2348403930664
2015-01-28,67.41583251953125
2015-01-29,69.89122009277344
2015-01-30,69.90963745117188
2015-02-02,69.09062194824219
2015-02-03,69.89122009277344
2015-02-04,71.7593002319336
2015-02-05,73.99542999267578
2015-02-06,75.16413116455078
2015-02-09,73.68255615234375
2015-02-10,74.2822265625
2015-02-11,74.6512222290039
2015-02-12,75.53687286376953
2015-02-13,74.92794799804688
2015-02-17,73.56260681152344
2015-02-18,74.2822265625
2015-02-19,73.39655303955078
2015-02-20,72.85228729248047
2015-02-23,73.8670654296875
2015-02-24,73.89474487304688
2015-02-25,73.64568328857422
2015-02-26,74.66044616699219
2015-02-27,73.42428588867188
2015-03-02,74.59586334228516
2015-03-03,74.05158233642578
2015-03-04,77.29888916015625
2015-03-05,79.3469009399414
2015-03-06,77.68635559082031
2015-03-09,78.66422271728516
2015-03-10,78.00923156738281
2015-03-11,79.07014465332031
2015-03-12,79.33769226074219
2015-03-13,78.87642669677734
2015-03-16,79.36534118652344
2015-03-17,79.95577239990234
2015-03-18,80.16796875
2015-03-19,80.54618835449219
2015-03-20,81.9207763671875
2015-03-23,80.19563293457031
2015-03-24,79.16240692138672
2015-03-25,76.65310668945312
2015-03-26,77.02214050292969
2015-03-27,77.47417449951172
2015-03-30,79.7712631225586
2015-03-31,76.47782897949219
2015-04-01,76.4501724243164
2015-04-02,77.97233581542969
2015-04-06,78.81183624267578
2015-04-07,79.3469009399414
2015-04-08,80.72148895263672
2015-04-09,80.50927734375
2015-04-10,81.24729919433594
2015-04-13,81.32109069824219
2015-04-14,82.38202667236328
2015-04-15,81.7085952758789
2015-04-16,82.83407592773438
2015-04-17,80.54618835449219
2015-04-20,81.84697723388672
2015-04-21,83.03701782226562
2015-04-22,81.79161834716797
2015-04-23,81.8285140991211
2015-04-24,81.11814880371094
2015-04-27,81.03511810302734
2015-04-28,82.88020324707031
2015-04-29,82.16061401367188
2015-04-30,79.19929504394531
2015-05-01,78.37825775146484
2015-05-04,78.39671325683594
2015-05-05,77.02810668945312
2015-05-06,77.58296966552734
2015-05-07,78.6186294555664
2015-05-08,78.29497528076172
2015-05-11,79.5895767211914
2015-05-12,79.54332733154297
2015-05-13,79.5895767211914
2015-05-14,80.69921875
2015-05-15,80.90265655517578
2015-05-18,82.39144897460938
2015-05-19,82.0030517578125
2015-05-20,81.70716094970703
2015-05-21,81.374267578125
2015-05-22,81.11536407470703
2015-05-26,80.04267883300781
2015-05-27,82.51165008544922
2015-05-28,82.31745910644531
2015-05-29,81.79037475585938
2015-06-01,82.26197052001953
2015-06-02,81.82736206054688
2015-06-03,81.27255249023438
2015-06-04,79.97793579101562
2015-06-05,80.12594604492188
2015-06-08,79.78378295898438
2015-06-09,78.96073913574219
2015-06-10,80.05191802978516
2015-06-11,80.15365600585938
2015-06-12,79.81148529052734
2015-06-15,80.4402847290039
2015-06-16,80.72698211669922
2015-06-17,82.0307846069336
2015-06-18,82.49314880371094
2015-06-19,84.61998748779297
2015-06-22,88.09690856933594
2015-06-23,88.95684814453125
2015-06-24,89.92779541015625
2015-06-25,90.01102447509766
2015-06-26,89.56716918945312
2015-06-29,85.3689956665039
2015-06-30,85.78510284423828
2015-07-01,87.62527465820312
2015-07-02,87.37559509277344
2015-07-06,89.57643127441406
2015-07-07,90.13125610351562
2015-07-08,90.41791534423828
2015-07-09,92.11934661865234
2015-07-10,95.5038070678711
2015-07-13,94.0797119140625
2015-07-14,93.31224060058594
2015-07-15,92.35977172851562
2015-07-16,93.85781860351562
2015-07-17,93.68211364746094
2015-07-20,93.33997344970703
2015-07-21,92.67417907714844
2015-07-22,90.57508850097656
2015-07-23,90.57508850097656
2015-07-24,89.2712631225586
2015-07-27,90.57508850097656
2015-07-28,90.30694580078125
2015-07-29,90.76927947998047
2015-07-30,89.76136779785156
2015-07-31,90.4364013671875
2015-08-03,90.5473403930664
2015-08-04,89.8431167602539
2015-08-05,91.96504974365234
2015-08-06,90.7419204711914
2015-08-07,90.40837860107422
2015-08-10,90.2601089477539
2015-08-11,89.10186004638672
2015-08-12,88.36983489990234
2015-08-13,87.60076141357422
2015-08-14,89.3056869506836
2015-08-17,90.37129974365234
2015-08-18,90.334228515625
2015-08-19,90.86238098144531
2015-08-20,89.48179626464844
2015-08-21,87.06334686279297
2015-08-24,83.03264617919922
2015-08-25,82.38398742675781
2015-08-26,84.29283142089844
2015-08-27,85.08965301513672
2015-08-28,84.73757934570312
2015-08-31,83.78317260742188
2015-09-01,84.97847747802734
2015-09-02,89.53736877441406
2015-09-03,89.138916015625
2015-09-04,87.88800048828125
2015-09-08,89.41691589355469
2015-09-09,89.5280990600586
2015-09-10,90.00992584228516
2015-09-11,90.20451354980469
2015-09-14,89.8431167602539
2015-09-15,90.15818786621094
2015-09-16,90.34351348876953
2015-09-17,89.41691589355469
2015-09-18,89.25012969970703
2015-09-21,89.91727447509766
2015-09-22,88.87944030761719
2015-09-23,91.7241439819336
2015-09-24,90.01917266845703
2015-09-25,92.21524047851562
2015-09-28,87.74897766113281
2015-09-29,84.1537857055664
2015-09-30,86.0625991821289
2015-10-01,87.11894989013672
2015-10-02,88.03627014160156
2015-10-05,89.81536102294922
2015-10-06,86.47962188720703
2015-10-07,87.87873840332031
2015-10-08,88.49028015136719
2015-10-09,87.74897766113281
2015-10-12,89.8431167602539
2015-10-13,87.61930847167969
2015-10-14,87.32279205322266
2015-10-15,89.41691589355469
2015-10-16,89.63001251220703
2015-10-19,88.89800262451172
2015-10-20,89.0462417602539
2015-10-21,80.48448944091797
2015-10-22,82.9770278930664
2015-10-23,83.40325164794922
2015-10-26,88.8238754272461
2015-10-27,88.2679214477539
2015-10-28,92.84532165527344
2015-10-29,95.3378677368164
2015-10-30,93.87386322021484
2015-11-02,91.91484069824219
2015-11-03,91.8034439086914
2015-11-04,91.49705505371094
2015-11-05,91.89630889892578
2015-11-06,92.67616271972656
2015-11-09,92.06342315673828
2015-11-10,92.81544494628906
2015-11-11,93.93882751464844
2015-11-12,92.85257720947266
2015-11-13,91.52490997314453
2015-11-16,93.53963470458984
2015-11-17,94.44947052001953
2015-11-18,96.19493103027344
2015-11-19,96.0835189819336
2015-11-20,99.04523468017578
2015-11-23,99.66726684570312
2015-11-24,97.67115020751953
2015-11-25,98.41389465332031
2015-11-27,99.95510864257812
2015-11-30,99.13806915283203
2015-12-01,99.06379699707031
2015-12-02,98.82240295410156
2015-12-03,101.66338348388672
2015-12-04,105.72994995117188
2015-12-07,105.43283081054688
2015-12-08,104.83863067626953
2015-12-09,101.67271423339844
2015-12-10,101.36632537841797
2015-12-11,99.01737976074219
2015-12-14,100.52143096923828
2015-12-15,100.27074432373047
2015-12-16,101.40345001220703
2015-12-17,100.19650268554688
2015-12-18,97.3740234375
2015-12-21,98.06108093261719
2015-12-22,97.29977416992188
2015-12-23,97.26264190673828
2015-12-24,103.17675018310547
2015-12-28,104.63436889648438
2015-12-29,106.06415557861328
2015-12-30,104.87577819824219
2015-12-31,103.60381317138672
2016-01-04,101.45913696289062
2016-01-05,102.21119689941406
2016-01-06,100.9763412475586
2016-01-07,99.39803314208984
2016-01-08,98.1632308959961
2016-01-11,98.89669036865234
2016-01-12,98.673828125
2016-01-13,95.53575897216797
2016-01-14,96.96553802490234
2016-01-15,94.48661804199219
2016-01-19,95.05294036865234
2016-01-20,95.91638946533203
2016-01-21,94.61659240722656
2016-01-22,95.90714263916016
2016-01-25,94.67228698730469
2016-01-26,96.90982055664062
2016-01-27,100.53070831298828
2016-01-28,103.95663452148438
2016-01-29,107.91175842285156
2016-02-01,107.47540283203125
2016-02-02,106.42626190185547
2016-02-03,105.69280242919922
2016-02-04,103.52954864501953
2016-02-05,98.970947265625
2016-02-08,97.8011245727539
2016-02-09,99.5694808959961
2016-02-10,97.99654388427734
2016-02-11,98.76905059814453
2016-02-12,101.28204345703125
2016-02-16,103.11558532714844
2016-02-17,106.24282836914062
2016-02-18,104.15801239013672
2016-02-19,106.22421264648438
2016-02-22,103.54374694824219
2016-02-23,107.26663970947266
2016-02-24,107.96468353271484
2016-02-25,110.98957061767578
2016-02-26,111.59453582763672
2016-02-29,110.2542953491211
2016-03-01,110.11467742919922
2016-03-02,111.65038299560547
2016-03-03,112.39495849609375
2016-03-04,117.54190826416016
2016-03-07,113.57698059082031
2016-03-08,115.2150650024414
2016-03-09,114.10752868652344
2016-03-10,117.20684814453125
2016-03-11,116.27609252929688
2016-03-14,115.57807922363281
2016-03-15,114.54496765136719
2016-03-16,114.5728759765625
2016-03-17,115.11270141601562
2016-03-18,115.73626708984375
