,TMUS
2019-11-12,75.9726791381836
2019-11-13,76.50251007080078
2019-11-14,75.39378356933594
2019-11-15,76.60063171386719
2019-11-18,76.7183837890625
2019-11-19,75.707763671875
2019-11-20,76.17872619628906
2019-11-21,76.23759460449219
2019-11-22,77.11083221435547
2019-11-25,76.53195190429688
2019-11-26,76.97348022460938
2019-11-27,77.49349975585938
2019-11-29,77.07159423828125
2019-12-02,76.17872619628906
2019-12-03,76.54176330566406
2019-12-04,76.86554718017578
2019-12-05,75.49189758300781
2019-12-06,76.27684020996094
2019-12-09,74.44203186035156
2019-12-10,73.60803985595703
2019-12-11,73.21556091308594
2019-12-12,73.48047637939453
2019-12-13,74.04956817626953
2019-12-16,74.04956817626953
2019-12-17,74.06918334960938
2019-12-18,74.87374114990234
2019-12-19,75.7666244506836
2019-12-20,75.94324493408203
2019-12-23,75.51152038574219
2019-12-24,75.86474609375
2019-12-26,75.94324493408203
2019-12-27,75.78623962402344
2019-12-30,76.6104507446289
2019-12-31,76.94403839111328
2020-01-02,77.11083221435547
2020-01-03,76.69874572753906
2020-01-06,77.14028930664062
2020-01-07,77.43463134765625
2020-01-08,77.92521667480469
2020-01-09,78.3078842163086
2020-01-10,77.51313018798828
2020-01-13,77.90559387207031
2020-01-14,78.29806518554688
2020-01-15,78.75922393798828
2020-01-16,79.9072036743164
2020-01-17,80.60384368896484
2020-01-21,80.48609924316406
2020-01-22,80.93743133544922
2020-01-23,80.63327026367188
2020-01-24,80.04456329345703
2020-01-27,79.20075225830078
2020-01-28,80.12306213378906
2020-01-29,78.7494125366211
2020-01-30,79.41661834716797
2020-01-31,77.69954681396484
2020-02-03,77.96446990966797
2020-02-04,79.97588348388672
2020-02-05,80.25061798095703
2020-02-06,81.21217346191406
2020-02-07,83.83192443847656
2020-02-10,82.93904113769531
2020-02-11,92.71157836914062
2020-02-12,93.86937713623047
2020-02-13,93.3493423461914
2020-02-14,94.66413879394531
2020-02-18,98.0001449584961
2020-02-19,98.5986557006836
2020-02-20,97.62728881835938
2020-02-21,96.71479034423828
2020-02-24,94.55620574951172
2020-02-25,92.79989624023438
2020-02-26,91.88740539550781
2020-02-27,89.52275848388672
2020-02-28,88.46308135986328
2020-03-02,91.53417205810547
2020-03-03,87.68795013427734
2020-03-04,92.04439544677734
2020-03-05,88.1687240600586
2020-03-06,86.20636749267578
2020-03-09,78.24900817871094
2020-03-10,83.38057708740234
2020-03-11,84.82290649414062
2020-03-12,75.31529235839844
2020-03-13,83.78286743164062
2020-03-16,75.08961486816406
2020-03-17,76.8753662109375
2020-03-18,72.92121124267578
2020-03-19,77.95464324951172
2020-03-20,73.14689636230469
2020-03-23,74.27522277832031
2020-03-24,77.16971588134766
2020-03-25,77.67991638183594
2020-03-26,83.03716278076172
2020-03-27,80.18193817138672
2020-03-30,81.55558776855469
2020-03-31,82.32090759277344
2020-04-01,83.52775573730469
2020-04-02,82.82130432128906
2020-04-03,80.43704223632812
2020-04-06,84.46968078613281
2020-04-07,84.88177490234375
2020-04-08,85.21537780761719
2020-04-09,84.28325653076172
2020-04-13,84.54817962646484
2020-04-14,87.9332504272461
2020-04-15,86.87358093261719
2020-04-16,88.57100677490234
2020-04-17,89.2774658203125
2020-04-20,88.24722290039062
2020-04-21,85.57842254638672
2020-04-22,88.46308135986328
2020-04-23,88.63969421386719
2020-04-24,89.0910415649414
2020-04-27,89.19896697998047
2020-04-28,86.28487396240234
2020-04-29,87.62908935546875
2020-04-30,86.14750671386719
2020-05-01,84.5776138305664
2020-05-04,87.2856674194336
2020-05-05,87.29547119140625
2020-05-06,84.96027374267578
2020-05-07,93.49652099609375
2020-05-08,96.66574096679688
2020-05-11,94.89961242675781
2020-05-12,92.82933044433594
2020-05-13,91.03376770019531
2020-05-14,93.1236801147461
2020-05-15,95.48831939697266
2020-05-18,99.98211669921875
2020-05-19,96.74421691894531
2020-05-20,96.29289245605469
2020-05-21,92.61347198486328
2020-05-22,93.99693298339844
2020-05-26,93.77125549316406
2020-05-27,95.37057495117188
2020-05-28,97.35256958007812
2020-05-29,98.15713500976562
2020-06-01,97.82351684570312
2020-06-02,98.5201644897461
2020-06-03,99.30510711669922
2020-06-04,98.28467559814453
2020-06-05,99.22661590576172
2020-06-08,102.49393463134766
2020-06-09,101.24784088134766
2020-06-10,103.79890441894531
2020-06-11,98.99112701416016
2020-06-12,100.3843994140625
2020-06-15,102.70980072021484
2020-06-16,100.95348358154297
2020-06-17,100.69837951660156
2020-06-18,104.38761901855469
2020-06-19,104.88801574707031
2020-06-22,104.59365844726562
2020-06-23,105.14311981201172
2020-06-24,106.38922119140625
2020-06-25,108.11610412597656
2020-06-26,103.22001647949219
2020-06-29,103.96570587158203
2020-06-30,102.18977355957031
2020-07-01,104.13250732421875
2020-07-02,104.0147705078125
2020-07-06,104.77027130126953
2020-07-07,103.8087158203125
2020-07-08,104.60347747802734
2020-07-09,104.1717529296875
2020-07-10,105.03520202636719
2020-07-13,102.55280303955078
2020-07-14,103.40644073486328
2020-07-15,102.94528198242188
2020-07-16,102.52337646484375
2020-07-17,103.3671875
2020-07-20,104.14231872558594
2020-07-21,103.5928726196289
2020-07-22,102.95509338378906
2020-07-23,102.54299926757812
2020-07-24,102.95509338378906
2020-07-27,103.63211059570312
2020-07-28,102.55280303955078
2020-07-29,103.78910064697266
2020-07-30,103.49473571777344
2020-07-31,105.35897827148438
2020-08-03,104.86839294433594
2020-08-04,106.34996795654297
2020-08-05,105.86920166015625
2020-08-06,106.0654296875
2020-08-07,112.92385864257812
2020-08-10,113.88542938232422
2020-08-11,111.45209503173828
2020-08-12,113.08085632324219
2020-08-13,113.19860076904297
2020-08-14,113.31634521484375
2020-08-17,114.67036437988281
2020-08-18,113.83635711669922
2020-08-19,112.9729232788086
2020-08-20,113.22803497314453
2020-08-21,112.84537506103516
2020-08-24,113.09066772460938
2020-08-25,113.23784637451172
2020-08-26,114.00316619873047
2020-08-27,113.071044921875
2020-08-28,114.07185363769531
2020-08-31,114.48394775390625
2020-09-01,114.6998062133789
2020-09-02,116.64252471923828
2020-09-03,112.6785659790039
2020-09-04,112.13892364501953
