,ODFL
2021-01-27,95.55680847167969
2021-01-28,97.86300659179688
2021-01-29,95.39454650878906
2021-02-01,97.90235137939453
2021-02-02,100.59207916259766
2021-02-03,97.2385025024414
2021-02-04,100.48880767822266
2021-02-05,102.99169158935547
2021-02-08,104.3685302734375
2021-02-09,105.9764633178711
2021-02-10,102.76551055908203
2021-02-11,102.29835510253906
2021-02-12,104.3488540649414
2021-02-16,103.35557556152344
2021-02-17,102.27376556396484
2021-02-18,104.1423110961914
2021-02-19,106.03546142578125
2021-02-22,104.1275634765625
2021-02-23,104.05873107910156
2021-02-24,106.85664367675781
2021-02-25,105.98137664794922
2021-02-26,105.60767364501953
2021-03-01,108.53343963623047
2021-03-02,109.46361541748047
2021-03-03,109.6358871459961
2021-03-04,105.82649993896484
2021-03-05,108.20365905761719
2021-03-08,107.61304473876953
2021-03-09,110.15758514404297
2021-03-10,111.19606018066406
2021-03-11,113.03677368164062
2021-03-12,115.07435607910156
2021-03-15,114.17861938476562
2021-03-16,112.69717407226562
2021-03-17,112.17549133300781
2021-03-18,113.24842071533203
2021-03-19,113.49943542480469
2021-03-22,113.81440734863281
2021-03-23,114.01127624511719
2021-03-24,115.22200012207031
2021-03-25,114.06542205810547
2021-03-26,116.02919006347656
2021-03-29,115.82738494873047
2021-03-30,118.42111206054688
2021-03-31,118.32269287109375
2021-04-01,119.93699645996094
2021-04-05,121.2215805053711
2021-04-06,120.37997436523438
2021-04-07,119.79428100585938
2021-04-08,120.57191467285156
2021-04-09,122.68821716308594
2021-04-12,122.56029510498047
2021-04-13,122.22069549560547
2021-04-14,122.00413513183594
2021-04-15,123.08689880371094
2021-04-16,123.71688079833984
2021-04-19,122.01395416259766
2021-04-20,121.8810806274414
2021-04-21,121.41845703125
2021-04-22,123.41173553466797
2021-04-23,126.86187744140625
2021-04-26,124.7602767944336
2021-04-27,127.15713500976562
2021-04-28,126.59607696533203
2021-04-29,127.6247329711914
2021-04-30,126.88642883300781
2021-05-03,128.78622436523438
2021-05-04,130.30210876464844
2021-05-05,129.99697875976562
2021-05-06,130.40550231933594
2021-05-07,132.6743621826172
2021-05-10,132.95001220703125
2021-05-11,130.0019073486328
2021-05-12,126.18265533447266
2021-05-13,129.91822814941406
2021-05-14,132.6743621826172
2021-05-17,132.99923706054688
2021-05-18,130.43499755859375
2021-05-19,130.00682067871094
2021-05-20,130.22830200195312
2021-05-21,129.41128540039062
2021-05-24,130.27261352539062
2021-05-25,128.618896484375
2021-05-26,129.27842712402344
2021-05-27,130.09046936035156
2021-05-28,130.64662170410156
2021-06-01,131.92724609375
2021-06-02,129.74530029296875
2021-06-03,130.11964416503906
2021-06-04,128.1938018798828
2021-06-07,125.24838256835938
2021-06-08,125.79510498046875
2021-06-09,123.02210235595703
2021-06-10,122.35224914550781
2021-06-11,123.64269256591797
2021-06-14,123.19940948486328
2021-06-15,124.81495666503906
2021-06-16,124.33718872070312
2021-06-17,122.7364273071289
2021-06-18,121.3376235961914
2021-06-21,123.82493591308594
2021-06-22,124.5785140991211
2021-06-23,124.59330749511719
2021-06-24,124.16972351074219
2021-06-25,124.91346740722656
2021-06-28,125.88375854492188
2021-06-29,125.61286163330078
2021-06-30,125.00704193115234
2021-07-01,127.07571411132812
2021-07-02,127.07571411132812
2021-07-06,125.36659240722656
2021-07-07,127.6519775390625
2021-07-08,126.30736541748047
2021-07-09,128.34645080566406
2021-07-12,126.88855743408203
2021-07-13,126.86884307861328
2021-07-14,127.45005798339844
2021-07-15,127.47467803955078
2021-07-16,125.07599639892578
2021-07-19,123.20926666259766
2021-07-20,124.63269805908203
2021-07-21,125.30747985839844
2021-07-22,125.76556396484375
2021-07-23,128.5927276611328
2021-07-26,127.45989990234375
2021-07-27,127.70124816894531
2021-07-28,127.58304595947266
2021-07-29,131.99620056152344
2021-07-30,132.5675506591797
2021-08-02,131.40516662597656
2021-08-03,134.8677520751953
2021-08-04,133.1635284423828
2021-08-05,134.0648956298828
2021-08-06,134.32594299316406
2021-08-09,134.0648956298828
2021-08-10,134.17323303222656
2021-08-11,136.10397338867188
2021-08-12,137.44369506835938
2021-08-13,138.40415954589844
2021-08-16,138.7390594482422
2021-08-17,137.81312561035156
2021-08-18,136.17294311523438
2021-08-19,137.6702880859375
2021-08-20,139.14791870117188
2021-08-23,139.95074462890625
2021-08-24,140.63536071777344
2021-08-25,140.8964385986328
2021-08-26,140.9161376953125
2021-08-27,142.72869873046875
2021-08-30,144.72842407226562
2021-08-31,142.30343627929688
2021-09-01,144.3587646484375
2021-09-02,147.8088836669922
2021-09-03,148.4298858642578
2021-09-07,148.82911682128906
2021-09-08,147.73001098632812
2021-09-09,142.76181030273438
2021-09-10,143.6539306640625
2021-09-13,142.8702392578125
2021-09-14,142.2738800048828
2021-09-15,143.3187713623047
2021-09-16,143.67367553710938
2021-09-17,142.76181030273438
2021-09-20,143.66871643066406
2021-09-21,146.97592163085938
2021-09-22,146.25140380859375
2021-09-23,147.7004852294922
2021-09-24,149.32691955566406
2021-09-27,147.13858032226562
2021-09-28,144.6643524169922
2021-09-29,144.49673461914062
2021-09-30,140.95297241210938
2021-10-01,140.7311553955078
2021-10-04,139.66162109375
2021-10-05,142.73716735839844
2021-10-06,144.33409118652344
2021-10-07,144.76783752441406
2021-10-08,141.7859344482422
2021-10-11,141.4310760498047
2021-10-12,140.84945678710938
2021-10-13,140.3565673828125
2021-10-14,145.68458557128906
2021-10-15,149.10023498535156
2021-10-18,151.64349365234375
2021-10-19,151.82089233398438
2021-10-20,154.35922241210938
2021-10-21,157.074951171875
2021-10-22,158.5733184814453
2021-10-25,160.0371856689453
2021-10-26,160.5596160888672
2021-10-27,159.637939453125
2021-10-28,165.12364196777344
2021-10-29,168.24356079101562
2021-11-01,170.00807189941406
2021-11-02,170.98397827148438
2021-11-03,171.68386840820312
2021-11-04,175.0994873046875
2021-11-05,171.93028259277344
2021-11-08,173.22164916992188
2021-11-09,173.46315002441406
2021-11-10,170.0474853515625
2021-11-11,172.1964569091797
2021-11-12,176.14439392089844
2021-11-15,177.2779998779297
2021-11-16,178.10108947753906
2021-11-17,177.8940887451172
2021-11-18,173.49269104003906
2021-11-19,173.40399169921875
2021-11-22,174.6608123779297
2021-11-23,174.94667053222656
2021-11-24,176.85903930664062
2021-11-26,173.52227783203125
2021-11-29,176.06549072265625
2021-11-30,175.15318298339844
2021-12-01,172.8107452392578
2021-12-02,176.0802764892578
2021-12-03,177.03213500976562
2021-12-06,174.14715576171875
2021-12-07,179.5077362060547
2021-12-08,175.96192932128906
2021-12-09,174.94606018066406
2021-12-10,175.70553588867188
2021-12-13,177.0025177001953
2021-12-14,173.6293487548828
2021-12-15,174.36416625976562
2021-12-16,173.19537353515625
2021-12-17,167.97779846191406
2021-12-20,164.63914489746094
2021-12-21,167.39585876464844
