,CARR
2020-12-31,35.83208084106445
2021-01-04,35.176612854003906
2021-01-05,36.04106140136719
2021-01-06,38.04545974731445
2021-01-07,39.03341293334961
2021-01-08,38.65342330932617
2021-01-11,39.4893798828125
2021-01-12,39.650875091552734
2021-01-13,39.30888366699219
2021-01-14,38.7579231262207
2021-01-15,38.35894012451172
2021-01-19,38.34944152832031
2021-01-20,38.03595733642578
2021-01-21,37.750972747802734
2021-01-22,37.53248596191406
2021-01-25,36.94351959228515
2021-01-26,35.45209884643555
2021-01-27,34.41665267944336
2021-01-28,36.28805160522461
2021-01-29,36.573036193847656
2021-02-01,36.72502899169922
2021-02-02,36.55404281616211
2021-02-03,36.24056243896485
2021-02-04,36.41154861450195
2021-02-05,37.19050979614258
2021-02-08,37.71297836303711
2021-02-09,35.38560485839844
2021-02-10,35.32859802246094
2021-02-11,35.338104248046875
2021-02-12,35.414100646972656
2021-02-16,35.537593841552734
2021-02-17,35.37610626220703
2021-02-18,34.815635681152344
2021-02-19,35.75608444213867
2021-02-22,35.43309783935547
2021-02-23,35.24311447143555
2021-02-24,35.575599670410156
2021-02-25,34.33115768432617
2021-02-26,34.70164108276367
2021-03-01,35.338104248046875
2021-03-02,35.281105041503906
2021-03-03,35.262107849121094
2021-03-04,33.742183685302734
2021-03-05,35.09111404418945
2021-03-08,35.205108642578125
2021-03-09,35.262107849121094
2021-03-10,36.839019775390625
2021-03-11,37.26649856567383
2021-03-12,37.608489990234375
2021-03-15,37.61798477172851
2021-03-16,36.6395378112793
2021-03-17,37.38048553466797
2021-03-18,38.94791030883789
2021-03-19,38.8624153137207
2021-03-22,39.33738708496094
2021-03-23,38.27344512939453
2021-03-24,38.130958557128906
2021-03-25,38.330440521240234
2021-03-26,39.03341293334961
2021-03-29,40.22084045410156
2021-03-30,40.239837646484375
2021-03-31,40.10685348510742
2021-04-01,39.9168586730957
2021-04-05,40.44882583618164
2021-04-06,40.66732025146485
2021-04-07,40.55332565307617
2021-04-08,40.40133285522461
2021-04-09,40.610321044921875
2021-04-12,40.46782684326172
2021-04-13,40.99979782104492
2021-04-14,40.9713020324707
2021-04-15,41.40827941894531
2021-04-16,41.68376922607422
2021-04-19,41.67426300048828
2021-04-20,40.3918342590332
2021-04-21,40.90480422973633
2021-04-22,40.933311462402344
2021-04-23,42.24422454833984
2021-04-26,41.89275360107422
2021-04-27,42.70970916748047
2021-04-28,42.26323318481445
2021-04-29,41.94025039672851
2021-04-30,41.51161193847656
2021-05-03,41.39730453491211
2021-05-04,41.082969665527344
2021-05-05,41.21632766723633
2021-05-06,42.064083099365234
2021-05-07,42.71181106567383
2021-05-10,43.2547492980957
2021-05-11,42.387943267822266
2021-05-12,40.41619110107422
2021-05-13,41.197265625
2021-05-14,41.568756103515625
2021-05-17,42.073612213134766
2021-05-18,41.58781051635742
2021-05-19,41.37825393676758
2021-05-20,41.80689239501953
2021-05-21,41.7973747253418
2021-05-24,42.27363967895508
2021-05-25,42.59749984741211
2021-05-26,42.59749984741211
2021-05-27,43.15950393676758
2021-05-28,43.75006866455078
2021-06-01,44.62641143798828
2021-06-02,43.8643798828125
2021-06-03,43.55956268310547
2021-06-04,43.71196746826172
2021-06-07,43.8739013671875
2021-06-08,44.159671783447266
2021-06-09,43.99773025512695
2021-06-10,43.68339920043945
2021-06-11,43.9119987487793
2021-06-14,44.01678085327149
2021-06-15,44.32159423828125
2021-06-16,44.68356704711914
2021-06-17,43.940574645996094
2021-06-18,42.91183853149414
2021-06-21,44.29301452636719
2021-06-22,43.92152786254883
2021-06-23,44.02657699584961
2021-06-24,44.14118957519531
2021-06-25,44.94340515136719
2021-06-28,45.726524353027344
2021-06-29,46.51919174194336
2021-06-30,46.41414260864258
2021-07-01,46.55739212036133
2021-07-02,46.33774185180664
2021-07-06,46.00348281860352
2021-07-07,46.6338005065918
2021-07-08,45.888877868652344
2021-07-09,46.09897994995117
2021-07-12,46.9967041015625
2021-07-13,47.015811920166016
2021-07-14,46.7961540222168
2021-07-15,47.330963134765625
2021-07-16,46.87255096435547
2021-07-19,46.07987976074219
2021-07-20,47.65567398071289
2021-07-21,48.180938720703125
2021-07-22,48.52474594116211
2021-07-23,49.56571960449219
2021-07-26,49.193260192871094
2021-07-27,49.62302017211914
2021-07-28,49.25056457519531
2021-07-29,51.51396179199219
2021-07-30,52.765045166015625
2021-08-02,52.15383529663086
2021-08-03,54.60823822021485
2021-08-04,54.47453308105469
2021-08-05,53.78691864013672
2021-08-06,53.8442268371582
2021-08-09,53.71052169799805
2021-08-10,54.06388092041016
2021-08-11,54.331295013427734
2021-08-12,53.46221160888672
2021-08-13,53.62457275390625
2021-08-16,54.054325103759766
2021-08-17,52.6695442199707
2021-08-18,52.68864059448242
2021-08-19,52.765045166015625
2021-08-20,52.87965393066406
2021-08-23,53.3667106628418
2021-08-24,54.06388092041016
2021-08-25,55.14305877685547
2021-08-26,54.79924774169922
2021-08-27,55.696964263916016
2021-08-30,55.420013427734375
2021-08-31,55.00934600830078
2021-09-01,55.28631210327149
2021-09-02,55.31495666503906
2021-09-03,54.8278923034668
2021-09-07,53.6914176940918
2021-09-08,54.11162567138672
2021-09-09,54.17848205566406
2021-09-10,53.89197540283203
2021-09-13,53.23301315307617
2021-09-14,52.5071907043457
2021-09-15,53.25211334228515
2021-09-16,52.5931396484375
2021-09-17,52.52628707885742
2021-09-20,51.39936447143555
2021-09-21,49.36515426635742
2021-09-22,50.22468566894531
2021-09-23,51.08420944213867
2021-09-24,50.7308464050293
2021-09-27,50.01457977294922
2021-09-28,49.62302017211914
2021-09-29,50.47298431396485
