,SYF
2019-03-28,27.358320236206055
2019-03-29,27.418485641479492
2019-04-01,28.002952575683594
2019-04-02,27.865432739257812
2019-04-03,27.805267333984375
2019-04-04,27.93419647216797
2019-04-05,27.77088737487793
2019-04-08,27.968576431274418
2019-04-09,27.736509323120117
2019-04-10,27.977174758911133
2019-04-11,28.03733253479004
2019-04-12,28.36395263671875
2019-04-15,28.320980072021484
2019-04-16,28.50147819519043
2019-04-17,28.570236206054688
2019-04-18,28.65619468688965
2019-04-22,28.836685180664062
2019-04-23,28.75932884216309
2019-04-24,28.819494247436523
2019-04-25,28.79371452331543
2019-04-26,29.56727409362793
2019-04-29,29.57586669921875
2019-04-30,29.799335479736328
2019-05-01,29.36098289489746
2019-05-02,29.352399826049805
2019-05-03,29.698326110839844
2019-05-06,29.65508270263672
2019-05-07,29.40427589416504
2019-05-08,29.248615264892575
2019-05-09,29.75021743774414
2019-05-10,30.277761459350582
2019-05-13,29.3956356048584
2019-05-14,30.070207595825195
2019-05-15,30.148038864135746
2019-05-16,30.47668075561523
2019-05-17,30.191282272338867
2019-05-20,30.269115447998047
2019-05-21,30.398845672607425
2019-05-22,30.47668075561523
2019-05-23,30.052915573120117
2019-05-24,30.104799270629883
2019-05-28,29.92318344116211
2019-05-29,29.72426986694336
2019-05-30,29.603187561035156
2019-05-31,29.084299087524418
2019-06-03,28.798900604248047
2019-06-04,29.352392196655273
2019-06-05,29.464824676513672
2019-06-06,29.68967628479004
2019-06-07,29.214027404785156
2019-06-10,28.81620216369629
2019-06-11,29.447525024414062
2019-06-12,29.222671508789062
2019-06-13,29.386987686157227
2019-06-14,29.361040115356445
2019-06-17,29.412931442260746
2019-06-18,29.784807205200195
2019-06-19,29.265899658203125
2019-06-20,29.61184310913086
2019-06-21,29.672380447387695
2019-06-24,29.3956356048584
2019-06-25,29.317808151245117
2019-06-26,29.603187561035156
2019-06-27,29.65508270263672
2019-06-28,29.983713150024418
2019-07-01,30.32965660095215
2019-07-02,30.433427810668945
2019-07-03,30.727476119995117
2019-07-05,30.79666519165039
2019-07-08,30.874502182006836
2019-07-09,30.92638397216797
2019-07-10,30.718828201293945
2019-07-11,30.822607040405273
2019-07-12,31.099353790283203
2019-07-15,30.99557304382324
2019-07-16,31.159900665283203
2019-07-17,30.736120223999023
2019-07-18,31.21178436279297
2019-07-19,30.312360763549805
2019-07-22,30.56315803527832
2019-07-23,31.20313262939453
2019-07-24,31.64419937133789
2019-07-25,31.57501220703125
2019-07-26,31.65283966064453
2019-07-29,31.43663024902344
2019-07-30,31.298261642456055
2019-07-31,31.03016471862793
