,GE
2019-03-19,49.61272048950195
2019-03-20,49.758792877197266
2019-03-21,50.00223922729492
2019-03-22,48.59028625488281
2019-03-25,48.10340881347656
2019-03-26,49.1745491027832
2019-03-27,48.49291229248047
2019-03-28,48.15209197998047
2019-03-29,48.63896942138672
2019-04-01,49.1745491027832
2019-04-02,49.856163024902344
2019-04-03,49.1745491027832
2019-04-04,48.83372116088867
2019-04-05,48.736351013183594
2019-04-08,46.20458984375
2019-04-09,44.89002227783203
2019-04-10,44.597896575927734
2019-04-11,44.40315246582031
2019-04-12,43.81889343261719
2019-04-15,43.72151565551758
2019-04-16,44.50051498413086
2019-04-17,44.40315246582031
2019-04-18,45.52296829223633
2019-04-22,45.37689971923828
2019-04-23,45.425594329833984
2019-04-24,45.37689971923828
2019-04-25,44.40315246582031
2019-04-26,46.594085693359375
2019-04-29,47.37310028076172
2019-04-30,49.51536560058594
2019-05-01,49.1745491027832
2019-05-02,49.90485763549805
2019-05-03,51.122039794921875
2019-05-06,50.7812385559082
2019-05-07,49.22322463989258
2019-05-08,49.4666633605957
2019-05-09,48.882408142089844
2019-05-10,49.32060241699219
2019-05-13,48.054725646972656
2019-05-14,50.24566650390625
2019-05-15,49.95353698730469
2019-05-16,49.32060241699219
2019-05-17,48.68766784667969
2019-05-20,48.10340881347656
2019-05-21,48.49291229248047
2019-05-22,48.200782775878906
2019-05-23,46.54540252685547
2019-05-24,46.00983810424805
2019-05-28,45.57164764404297
2019-05-29,45.620330810546875
2019-05-30,46.107215881347656
2019-05-31,45.961158752441406
2019-06-03,46.39934158325195
2019-06-04,48.68766784667969
2019-06-05,48.15209197998047
2019-06-06,48.298160552978516
2019-06-07,48.59028625488281
2019-06-10,48.93110656738281
2019-06-11,49.27191162109375
2019-06-12,50.05091857910156
2019-06-13,50.19697952270508
2019-06-14,49.80747985839844
2019-06-17,48.93110656738281
2019-06-18,50.732540130615234
2019-06-19,50.343040466308594
2019-06-20,51.7549934387207
2019-06-21,51.0246696472168
2019-06-24,50.05091857910156
2019-06-25,49.758792877197266
2019-06-26,50.00223922729492
2019-06-27,50.635169982910156
2019-06-28,51.17124938964844
2019-07-01,51.804805755615234
2019-07-02,51.75606155395508
2019-07-03,51.70732116699219
2019-07-05,51.17124938964844
2019-07-08,49.70921325683594
2019-07-09,49.95288848876953
2019-07-10,49.70921325683594
2019-07-11,49.27060317993164
2019-07-12,50.537689208984375
2019-07-15,50.05036163330078
2019-07-16,50.5864372253418
2019-07-17,48.637054443359375
2019-07-18,49.02693176269531
2019-07-19,48.92945098876953
2019-07-22,49.75794219970703
2019-07-23,51.90226745605469
2019-07-24,52.04846954345703
2019-07-25,50.830108642578125
2019-07-26,51.2199821472168
2019-07-29,50.5864372253418
2019-07-30,51.26871871948242
2019-07-31,50.927581787109375
2019-08-01,49.12440490722656
2019-08-02,48.734519958496094
2019-08-05,47.077552795410156
2019-08-06,46.638938903808594
2019-08-07,46.102867126464844
2019-08-08,46.24906921386719
2019-08-09,44.59209060668945
2019-08-12,44.1047477722168
2019-08-13,45.5667839050293
2019-08-14,44.00727081298828
2019-08-15,39.036354064941406
2019-08-16,42.83763885498047
2019-08-19,42.25282669067383
2019-08-20,40.83952331542969
2019-08-21,39.767372131347656
2019-08-22,39.91356658935547
2019-08-23,38.84142303466797
2019-08-26,39.231300354003906
2019-08-27,38.646484375
2019-08-28,38.69520568847656
2019-08-29,39.5236930847168
2019-08-30,40.20598602294922
2019-09-03,40.595848083496094
2019-09-04,42.88637924194336
2019-09-05,42.935123443603516
2019-09-06,42.44776153564453
2019-09-09,43.66614532470703
2019-09-10,44.54335021972656
2019-09-11,45.61550521850586
2019-09-12,45.12816619873047
2019-09-13,45.56725311279297
2019-09-16,45.76240158081055
2019-09-17,45.664825439453125
2019-09-18,45.76240158081055
2019-09-19,45.95754623413086
2019-09-20,45.7136116027832
2019-09-23,45.56725311279297
2019-09-24,43.762123107910156
2019-09-25,44.6890869140625
2019-09-26,44.00606155395508
2019-09-27,44.10363006591797
2019-09-30,43.61576843261719
2019-10-01,42.00578689575195
2019-10-02,41.517921447753906
2019-10-03,42.49365234375
2019-10-04,41.81064224243164
2019-10-07,41.76185989379883
2019-10-08,40.395809173583984
2019-10-09,40.7373161315918
2019-10-10,41.22517776489258
2019-10-11,42.9327392578125
2019-10-14,42.542442321777344
2019-10-15,43.371829986572266
2019-10-16,43.42061233520508
2019-10-17,44.10363006591797
2019-10-18,43.713348388671875
2019-10-21,42.88395690917969
2019-10-22,44.201202392578125
2019-10-23,44.59151077270508
2019-10-24,43.664546966552734
2019-10-25,43.90849304199219
2019-10-28,44.25
2019-10-29,44.25
2019-10-30,49.3238639831543
2019-10-31,48.68963623046875
2019-11-01,50.64112854003906
2019-11-04,53.32441711425781
2019-11-05,53.51956558227539
2019-11-06,53.76350402832031
2019-11-07,55.08075714111328
2019-11-08,56.2028694152832
2019-11-11,55.37348556518555
2019-11-12,55.71499252319336
2019-11-13,55.08075714111328
2019-11-14,55.08075714111328
2019-11-15,56.2028694152832
2019-11-18,55.812564849853516
2019-11-19,56.10528564453125
2019-11-20,55.568634033203125
2019-11-21,56.25165939331055
2019-11-22,56.3492317199707
2019-11-25,56.495582580566406
2019-11-26,55.37348556518555
2019-11-27,55.08075714111328
2019-11-29,54.983184814453125
2019-12-02,54.44652557373047
