,DPZ
2016-01-15,94.74408721923828
2016-01-19,95.43537139892578
2016-01-20,96.83616638183594
2016-01-21,97.97315216064453
2016-01-22,101.51152038574219
2016-01-25,100.72017669677734
2016-01-26,102.0300064086914
2016-01-27,101.02031707763672
2016-01-28,102.05728912353516
2016-01-29,103.63091278076172
2016-02-01,104.01290893554688
2016-02-02,103.4671630859375
2016-02-03,103.51263427734375
2016-02-04,103.69456481933594
2016-02-05,100.39269256591797
2016-02-08,98.38250732421875
2016-02-09,96.07207489013672
2016-02-10,97.32734680175781
2016-02-11,97.23639678955078
2016-02-12,99.60134887695312
2016-02-16,101.03852844238281
2016-02-17,102.7394790649414
2016-02-18,101.91173553466797
2016-02-19,102.66671752929688
2016-02-22,104.6860122680664
2016-02-23,106.98729705810547
2016-02-24,106.97822570800781
2016-02-25,120.88601684570312
2016-02-26,122.2413101196289
2016-02-29,121.01335144042969
2016-03-01,122.02303314208984
2016-03-02,121.03157043457031
2016-03-03,120.83141326904297
2016-03-04,120.96788787841797
2016-03-07,121.90480041503906
2016-03-08,122.10488891601562
2016-03-09,121.6865005493164
2016-03-10,120.986083984375
2016-03-11,120.15599060058594
2016-03-14,121.00431823730469
2016-03-15,119.6816177368164
2016-03-16,120.2745590209961
2016-03-17,119.74546813964844
2016-03-18,119.32585906982422
2016-03-21,119.65428161621094
2016-03-22,119.2529067993164
2016-03-23,118.69641876220703
2016-03-24,117.4376220703125
2016-03-28,117.81159210205078
2016-03-29,118.6690673828125
2016-03-30,119.47183990478516
2016-03-31,120.28369903564453
2016-04-01,121.75234985351562
2016-04-04,121.65200805664062
2016-04-05,120.70330047607422
2016-04-06,124.00548553466797
2016-04-07,124.29740142822266
2016-04-08,125.0180435180664
2016-04-11,125.19137573242188
2016-04-12,124.7352523803711
2016-04-13,125.10017395019531
2016-04-14,125.21873474121094
2016-04-15,126.45023345947266
2016-04-18,126.47758483886719
2016-04-19,125.44676208496094
2016-04-20,127.71817016601562
2016-04-21,125.79339599609375
2016-04-22,120.78540802001953
2016-04-25,121.93478393554688
2016-04-26,122.0625
2016-04-27,121.89827728271484
2016-04-28,109.89364624023438
2016-04-29,110.26763153076172
2016-05-02,109.80242919921875
2016-05-03,108.15130615234375
2016-05-04,108.57093811035156
2016-05-05,109.40104675292969
2016-05-06,108.83547973632812
2016-05-09,110.84231567382812
2016-05-10,111.49000549316406
2016-05-11,109.30982971191406
2016-05-12,110.79672241210938
2016-05-13,111.24369049072266
2016-05-16,112.35659790039062
2016-05-17,110.44095611572266
2016-05-18,110.4957046508789
2016-05-19,110.21290588378906
2016-05-20,112.25626373291016
2016-05-23,111.17984008789062
2016-05-24,111.76365661621094
2016-05-25,110.64163208007812
2016-05-26,112.20152282714844
2016-05-27,111.45352172851562
2016-05-31,110.26763153076172
2016-06-01,110.74198150634766
2016-06-02,112.42958068847656
2016-06-03,111.48089599609375
2016-06-06,113.44212341308594
2016-06-07,113.86174774169922
2016-06-08,115.29391479492188
2016-06-09,116.28822326660156
2016-06-10,115.16617584228516
2016-06-13,114.17804718017578
2016-06-14,115.61454010009766
2016-06-15,115.63284301757812
2016-06-16,116.15437316894531
2016-06-17,116.46542358398438
2016-06-20,116.6484603881836
2016-06-21,116.50204467773438
2016-06-22,114.66297149658203
2016-06-23,116.42881774902344
2016-06-24,114.34274291992188
2016-06-27,111.6985092163086
2016-06-28,113.9401626586914
2016-06-29,116.0903091430664
2016-06-30,120.20763397216797
2016-07-01,121.31472778320312
2016-07-05,122.54076385498047
2016-07-06,123.50149536132812
2016-07-07,122.47671508789062
2016-07-08,123.62045288085938
2016-07-11,124.43476867675781
2016-07-12,124.114501953125
2016-07-13,123.90409851074219
2016-07-14,124.10541534423828
2016-07-15,124.16024780273438
2016-07-18,124.0230484008789
2016-07-19,124.0230484008789
2016-07-20,125.2491226196289
2016-07-21,132.35833740234375
2016-07-22,136.1279754638672
2016-07-25,135.13067626953125
2016-07-26,133.70335388183594
2016-07-27,134.7097625732422
2016-07-28,134.7280731201172
2016-07-29,134.7738494873047
2016-08-01,134.9751434326172
2016-08-02,133.0811309814453
2016-08-03,133.73074340820312
2016-08-04,134.04183959960938
2016-08-05,133.74905395507812
2016-08-08,132.3949432373047
2016-08-09,132.59622192382812
2016-08-10,132.66941833496094
2016-08-11,133.60272216796875
2016-08-12,133.70335388183594
2016-08-15,132.806640625
2016-08-16,131.72698974609375
2016-08-17,132.27597045898438
2016-08-18,134.6182403564453
2016-08-19,134.75552368164062
2016-08-22,137.30825805664062
2016-08-23,137.6833953857422
2016-08-24,137.07955932617188
2016-08-25,137.4638214111328
2016-08-26,135.7345428466797
2016-08-29,137.2350311279297
2016-08-30,136.72264099121094
2016-08-31,136.85086059570312
2016-09-01,136.33839416503906
2016-09-02,138.15919494628906
2016-09-06,137.4088897705078
2016-09-07,137.6833953857422
2016-09-08,136.54885864257812
2016-09-09,133.70335388183594
2016-09-12,137.43637084960938
2016-09-13,137.2804718017578
2016-09-14,137.86752319335938
2016-09-15,139.2342071533203
2016-09-16,137.6198272705078
2016-09-19,138.9774169921875
2016-09-20,139.37181091308594
2016-09-21,139.98635864257812
2016-09-22,141.33485412597656
2016-09-23,141.4999237060547
2016-09-26,140.7936248779297
2016-09-27,140.92205810546875
2016-09-28,140.14234924316406
2016-09-29,139.19752502441406
2016-09-30,139.2892608642578
2016-10-03,139.04159545898438
2016-10-04,138.94068908691406
2016-10-05,138.48202514648438
2016-10-06,138.62887573242188
2016-10-07,138.3628387451172
2016-10-10,140.51840209960938
2016-10-11,139.77545166015625
2016-10-12,139.6470184326172
2016-10-13,137.87664794921875
2016-10-14,138.6196746826172
2016-10-17,139.43600463867188
2016-10-18,146.2606201171875
2016-10-19,151.36993408203125
2016-10-20,151.71839904785156
2016-10-21,152.59902954101562
2016-10-24,152.75497436523438
2016-10-25,151.25064086914062
2016-10-26,151.1680450439453
2016-10-27,152.21377563476562
