,CB
2020-02-24,147.26092529296875
2020-02-25,144.25128173828125
2020-02-26,145.00367736816406
2020-02-27,137.73654174804688
2020-02-28,133.07525634765625
2020-03-02,139.29638671875
2020-03-03,134.13043212890625
2020-03-04,139.41566467285156
2020-03-05,132.94677734375
2020-03-06,132.88255310058594
2020-03-09,123.84449768066406
2020-03-10,127.63404846191406
2020-03-11,120.46785736083984
2020-03-12,107.11720275878906
2020-03-13,111.8151626586914
2020-03-16,93.06000518798828
2020-03-17,101.00615692138672
2020-03-18,91.58271789550781
2020-03-19,91.09272766113281
2020-03-20,93.8940200805664
2020-03-23,87.08955383300781
2020-03-24,94.81852722167969
2020-03-25,94.11592102050781
2020-03-26,100.975830078125
2020-03-27,100.22695922851562
2020-03-30,105.43199920654297
2020-03-31,103.25938415527344
2020-04-01,96.3070068359375
2020-04-02,97.93416595458984
2020-04-03,95.05891418457031
2020-04-06,102.39958953857422
2020-04-07,103.57371520996094
2020-04-08,105.95895385742188
2020-04-09,113.04077911376953
2020-04-13,110.58158111572266
2020-04-14,113.25341033935547
2020-04-15,107.70629119873047
2020-04-16,103.499755859375
2020-04-17,109.82344818115234
2020-04-20,105.9866943359375
2020-04-21,103.90653991699219
2020-04-22,98.20226287841797
2020-04-23,96.22381591796875
2020-04-24,96.1683349609375
2020-04-27,98.48887634277344
2020-04-28,102.07600402832031
2020-04-29,103.61070251464844
2020-04-30,99.85716247558594
2020-05-01,93.92173767089844
2020-05-04,91.8415756225586
2020-05-05,92.59969329833984
2020-05-06,88.060302734375
2020-05-07,91.51800537109375
2020-05-08,94.25455474853516
2020-05-11,94.14363098144531
2020-05-12,93.92173767089844
2020-05-13,91.0742416381836
2020-05-14,91.38856506347656
2020-05-15,91.98027038574219
2020-05-18,97.38868713378906
2020-05-19,94.32854461669922
2020-05-20,96.71379852294922
2020-05-21,104.5444564819336
2020-05-22,108.1685791015625
2020-05-26,109.3889389038086
2020-05-27,113.68794250488281
2020-05-28,114.3720703125
2020-05-29,112.73568725585938
2020-06-01,110.53532409667969
2020-06-02,112.51380157470703
2020-06-03,116.9052734375
2020-06-04,124.37535858154297
2020-06-05,130.05191040039062
2020-06-08,130.07962036132812
2020-06-09,127.29684448242188
2020-06-10,121.09330749511719
2020-06-11,112.27342987060547
2020-06-12,116.20262908935547
2020-06-15,119.44768524169922
2020-06-16,120.61260223388672
2020-06-17,119.9099349975586
2020-06-18,120.58892822265625
2020-06-19,119.00774383544922
2020-06-22,118.47756958007812
2020-06-23,120.33780670166016
2020-06-24,117.3521499633789
2020-06-25,119.5750961303711
2020-06-26,115.29660034179688
2020-06-29,116.91498565673828
2020-06-30,117.77069854736328
2020-07-01,116.87777709960938
2020-07-02,116.79405975341797
2020-07-06,118.39385986328125
2020-07-07,118.2822494506836
2020-07-08,118.92402648925781
2020-07-09,115.65003967285156
2020-07-10,119.45417785644531
2020-07-13,119.34256744384766
2020-07-14,121.6027603149414
2020-07-15,123.51876068115234
2020-07-16,126.52301788330078
2020-07-17,126.44862365722656
2020-07-20,124.89533233642578
2020-07-21,126.07657623291016
2020-07-22,126.29049682617188
2020-07-23,125.88124084472656
2020-07-24,125.48128509521484
2020-07-27,123.13742065429688
2020-07-28,122.73750305175781
2020-07-29,122.71890258789062
2020-07-30,120.91445922851562
2020-07-31,118.34736633300781
2020-08-03,117.61257934570312
2020-08-04,116.04069519042969
2020-08-05,116.8870849609375
2020-08-06,117.71488189697266
2020-08-07,120.86797332763672
2020-08-10,121.807373046875
2020-08-11,122.78396606445312
2020-08-12,121.17489624023438
2020-08-13,122.0306167602539
2020-08-14,121.04469299316406
2020-08-17,117.04520416259766
2020-08-18,116.33831024169922
2020-08-19,115.26868438720703
2020-08-20,114.81292724609375
2020-08-21,113.39915466308594
2020-08-24,115.72444915771484
2020-08-25,117.11031341552734
2020-08-26,116.81267547607422
2020-08-27,118.83102416992188
2020-08-28,117.5567626953125
2020-08-31,116.26390838623047
2020-09-01,116.1336898803711
2020-09-02,117.03590393066406
2020-09-03,115.34310913085938
2020-09-04,116.78477478027344
2020-09-08,112.64576721191406
2020-09-09,113.6781997680664
2020-09-10,110.89715576171875
2020-09-11,112.23653411865234
2020-09-14,112.43184661865234
2020-09-15,109.4369125366211
2020-09-16,110.30188751220703
2020-09-17,109.57159423828125
2020-09-18,109.93675231933594
2020-09-21,108.59789276123047
2020-09-22,108.64469909667969
2020-09-23,106.59427642822266
2020-09-24,106.725341796875
2020-09-25,106.59427642822266
2020-09-28,109.51542663574219
2020-09-29,107.05302429199219
2020-09-30,108.71959686279297
2020-10-01,108.494873046875
2020-10-02,109.13154602050781
2020-10-05,111.50965881347656
2020-10-06,109.78695678710938
2020-10-07,111.51905059814453
2020-10-08,113.55074310302734
2020-10-09,112.77361297607422
2020-10-12,115.58244323730469
2020-10-13,111.01346588134766
2020-10-14,111.00408935546875
2020-10-15,112.50212097167969
2020-10-16,111.65947723388672
2020-10-19,109.46862030029297
2020-10-20,111.69693756103516
2020-10-21,120.04844665527344
2020-10-22,119.49606323242188
2020-10-23,120.79747772216797
2020-10-26,117.96057891845703
2020-10-27,115.54501342773438
2020-10-28,119.29944610595703
2020-10-29,124.28975677490234
2020-10-30,121.63075256347656
2020-11-02,126.04055786132812
2020-11-03,126.6585464477539
2020-11-04,124.47699737548828
2020-11-05,128.01611328125
2020-11-06,128.91494750976562
2020-11-09,137.61285400390625
2020-11-10,141.8448028564453
2020-11-11,139.5322265625
2020-11-12,136.86383056640625
2020-11-13,139.74758911132812
2020-11-16,141.71372985839844
2020-11-17,140.4684600830078
2020-11-18,139.7662811279297
2020-11-19,137.97804260253906
2020-11-20,139.3917999267578
2020-11-23,139.5322265625
2020-11-24,144.88768005371094
2020-11-25,142.80917358398438
2020-11-27,141.7698974609375
2020-11-30,138.40869140625
2020-12-01,142.90280151367188
2020-12-02,143.41773986816406
2020-12-03,144.17613220214844
2020-12-04,145.51495361328125
2020-12-07,142.6312713623047
2020-12-08,142.6874542236328
2020-12-09,143.27728271484375
2020-12-10,143.8858642578125
2020-12-11,143.94204711914062
2020-12-14,141.24557495117188
2020-12-15,144.5506134033203
2020-12-16,144.33529663085938
2020-12-17,144.36351013183594
2020-12-18,143.37542724609375
2020-12-21,142.80140686035156
2020-12-22,141.31455993652344
2020-12-23,142.15206909179688
2020-12-24,141.9356689453125
2020-12-28,142.92372131347656
2020-12-29,142.00148010253906
2020-12-30,142.97079467773438
2020-12-31,144.8434295654297
2021-01-04,140.9005126953125
2021-01-05,141.01345825195312
2021-01-06,147.72299194335938
2021-01-07,146.66903686523438
2021-01-08,146.2361602783203
2021-01-11,145.04104614257812
2021-01-12,147.3748016357422
2021-01-13,147.85470581054688
2021-01-14,146.6314239501953
2021-01-15,146.03854370117188
2021-01-19,146.19851684570312
2021-01-20,146.6314239501953
2021-01-21,147.9017791748047
2021-01-22,143.53538513183594
2021-01-25,143.6859588623047
2021-01-26,141.34278869628906
2021-01-27,136.54351806640625
2021-01-28,138.45384216308594
2021-01-29,137.07992553710938
2021-02-01,139.31015014648438
2021-02-02,141.75686645507812
2021-02-03,146.16087341308594
2021-02-04,153.13389587402344
2021-02-05,152.96456909179688
2021-02-08,156.38046264648438
2021-02-09,154.82778930664062
2021-02-10,154.5924835205078
2021-02-11,156.06993103027344
2021-02-12,154.47958374023438
2021-02-16,154.85598754882812
2021-02-17,156.56866455078125
2021-02-18,155.06301879882812
2021-02-19,154.98776245117188
2021-02-22,158.62010192871094
2021-02-23,158.79891967773438
2021-02-24,160.59629821777344
