,DG
2019-08-29,146.99339294433594
2019-08-30,146.99339294433594
2019-09-03,146.56019592285156
2019-09-04,148.603759765625
2019-09-05,150.50607299804688
2019-09-06,152.1257781982422
2019-09-09,151.39125061035156
2019-09-10,147.9351348876953
2019-09-11,146.91807556152344
2019-09-12,147.94454956054688
2019-09-13,148.5848846435547
2019-09-16,144.24354553222656
2019-09-17,147.68089294433594
2019-09-18,147.56784057617188
2019-09-19,147.67144775390625
2019-09-20,147.12525939941406
2019-09-23,149.46070861816406
2019-09-24,149.5548858642578
2019-09-25,149.8750762939453
2019-09-26,150.2046661376953
2019-09-27,150.6943817138672
2019-09-30,149.67730712890625
2019-10-01,149.771484375
2019-10-02,148.4342498779297
2019-10-03,148.23646545410156
2019-10-04,151.5889892578125
2019-10-07,150.98509216308594
2019-10-08,150.82469177246094
2019-10-09,151.77772521972656
2019-10-10,151.46636962890625
2019-10-11,153.09877014160156
2019-10-14,152.11746215820312
2019-10-15,152.92892456054688
2019-10-16,153.08934020996094
2019-10-17,153.6837921142578
2019-10-18,155.13694763183594
2019-10-21,155.08033752441406
2019-10-22,156.4485626220703
2019-10-23,153.78756713867188
2019-10-24,153.72157287597656
2019-10-25,153.03268432617188
2019-10-28,153.466796875
2019-10-29,151.56068420410156
2019-10-30,152.5137481689453
2019-10-31,151.29649353027344
2019-11-01,150.88131713867188
2019-11-04,149.28662109375
2019-11-05,150.68316650390625
2019-11-06,150.60763549804688
2019-11-07,150.2490997314453
2019-11-08,148.9563751220703
2019-11-11,148.1448516845703
2019-11-12,148.12600708007812
2019-11-13,149.07904052734375
2019-11-14,150.49441528320312
2019-11-15,151.10777282714844
2019-11-18,150.95680236816406
2019-11-19,149.4941864013672
2019-11-20,151.87205505371094
2019-11-21,151.71168518066406
2019-11-22,150.77749633789062
2019-11-25,150.9001922607422
2019-11-26,149.53195190429688
2019-11-27,149.48477172851562
2019-11-29,148.48455810546875
2019-12-02,145.95571899414062
2019-12-03,144.3704833984375
