,TXT
2014-09-29,35.800201416015625
2014-09-30,35.43589401245117
2014-10-01,34.933746337890625
2014-10-02,34.835289001464844
2014-10-03,35.337425231933594
2014-10-06,34.85496520996094
2014-10-07,33.66360092163086
2014-10-08,34.185447692871094
2014-10-09,32.99406051635742
2014-10-10,32.67900466918945
2014-10-13,31.78301429748535
2014-10-14,33.309139251708984
2014-10-15,33.23037338256836
2014-10-16,33.141754150390625
2014-10-17,36.08572006225586
2014-10-20,35.88880920410156
2014-10-21,36.96202850341797
2014-10-22,36.036495208740234
2014-10-23,37.57248306274414
2014-10-24,38.16324234008789
2014-10-27,38.29121780395508
2014-10-28,39.86661148071289
2014-10-29,40.03398895263672
2014-10-30,40.43766784667969
2014-10-31,40.89057922363281
2014-11-03,40.772438049316406
2014-11-04,40.733055114746094
