,IFF
2014-05-30,77.56656646728516
2014-06-02,77.94949340820312
2014-06-03,77.94949340820312
2014-06-04,78.61371612548828
2014-06-05,78.49649810791016
2014-06-06,78.8168716430664
2014-06-09,79.44205474853516
2014-06-10,79.52799987792969
2014-06-11,79.59054565429688
2014-06-12,79.02005767822266
2014-06-13,78.76219177246094
2014-06-16,78.4183349609375
2014-06-17,78.87939453125
2014-06-18,80.44230651855469
2014-06-19,80.29383087158203
2014-06-20,81.90361022949219
2014-06-23,81.35662841796875
2014-06-24,80.9095230102539
2014-06-25,81.45071411132812
2014-06-26,81.19186401367188
2014-06-27,81.86647033691406
2014-06-30,81.79584503173828
2014-07-01,82.45474243164062
2014-07-02,82.39984893798828
2014-07-03,82.69790649414062
2014-07-07,82.58024597167969
2014-07-08,81.96842193603516
2014-07-09,81.87431335449219
2014-07-10,81.52130889892578
2014-07-11,81.77230834960938
2014-07-14,81.97625732421875
2014-07-15,81.81155395507812
2014-07-16,81.76449584960938
2014-07-17,81.12129211425781
2014-07-18,81.80370330810547
2014-07-21,81.42719268798828
2014-07-22,81.6468276977539
2014-07-23,81.5056381225586
2014-07-24,81.45858001708984
2014-07-25,81.42719268798828
2014-07-28,81.623291015625
2014-07-29,80.77616119384766
2014-07-30,80.9565658569336
2014-07-31,79.2152328491211
2014-08-01,79.32503509521484
2014-08-04,79.95256042480469
2014-08-05,75.67764282226562
2014-08-06,76.9091567993164
2014-08-07,76.5639877319336
2014-08-08,77.44252014160156
2014-08-11,77.3248519897461
2014-08-12,78.00726318359375
2014-08-13,78.8700942993164
2014-08-14,78.82302856445312
2014-08-15,78.44651794433594
2014-08-18,79.1289291381836
2014-08-19,79.68584442138672
2014-08-20,79.12107849121094
2014-08-21,79.4348373413086
2014-08-22,79.05050659179688
2014-08-25,79.11323547363281
2014-08-26,78.99559020996094
2014-08-27,79.00341796875
2014-08-28,79.4191665649414
2014-08-29,79.68584442138672
2014-09-02,79.48974609375
2014-09-03,78.92501068115234
2014-09-04,79.36427307128906
2014-09-05,79.52897644042969
2014-09-08,79.48974609375
2014-09-09,77.61508178710938
2014-09-10,77.66998291015625
2014-09-11,77.74842834472656
2014-09-12,77.0816650390625
2014-09-15,77.3248519897461
2014-09-16,77.84254455566406
2014-09-17,77.95234680175781
2014-09-18,78.94853973388672
2014-09-19,79.01129150390625
2014-09-22,78.00726318359375
2014-09-23,76.84085845947266
2014-09-24,76.8329849243164
2014-09-25,75.36711120605469
2014-09-26,76.28131866455078
2014-09-29,76.2576675415039
2014-09-30,75.5641098022461
2014-10-01,74.18492889404297
2014-10-02,74.63414001464844
2014-10-03,74.95728302001953
2014-10-06,74.50016021728516
2014-10-07,73.444091796875
2014-10-08,74.76024627685547
2014-10-09,73.3731918334961
2014-10-10,73.23921966552734
2014-10-13,72.5299072265625
2014-10-14,73.60173034667969
2014-10-15,74.19281768798828
2014-10-16,74.58686828613281
2014-10-17,75.19371795654297
2014-10-20,75.90300750732422
2014-10-21,77.47924041748047
2014-10-22,77.00635528564453
2014-10-23,75.80844116210938
2014-10-24,76.69113159179688
2014-10-27,75.20948028564453
2014-10-28,77.76292419433594
2014-10-29,76.0685043334961
2014-10-30,76.44680786132812
2014-10-31,78.14124298095703
2014-11-03,77.36888885498047
2014-11-04,75.26465606689453
