,STT
2015-01-30,54.703250885009766
2015-02-02,55.82777786254883
2015-02-03,57.08230972290039
2015-02-04,56.43207550048828
2015-02-05,57.13587188720703
2015-02-06,58.22977828979492
2015-02-09,58.26039123535156
2015-02-10,59.10951614379883
2015-02-11,58.895301818847656
2015-02-12,59.201290130615234
2015-02-13,58.84941101074219
2015-02-17,59.10951614379883
2015-02-18,58.329219818115234
2015-02-19,58.55107498168945
2015-02-20,59.3848876953125
2015-02-23,58.97946548461914
2015-02-24,59.82857131958008
2015-02-25,58.834129333496094
2015-02-26,57.22767639160156
2015-02-27,56.952274322509766
2015-03-02,57.809043884277344
2015-03-03,57.656028747558594
2015-03-04,57.47244644165039
2015-03-05,57.12055969238281
2015-03-06,55.69770812988281
2015-03-09,56.279109954833984
2015-03-10,54.57319259643555
2015-03-11,55.399375915527344
2015-03-12,56.35559844970703
2015-03-13,56.156707763671875
2015-03-16,57.2964973449707
2015-03-17,57.801395416259766
2015-03-18,57.47244644165039
2015-03-19,57.24299621582031
2015-03-20,58.32157516479492
2015-03-23,57.809043884277344
2015-03-24,57.1817741394043
2015-03-25,56.04961395263672
2015-03-26,56.340301513671875
2015-03-27,56.2026252746582
2015-03-30,56.747955322265625
2015-03-31,56.4791259765625
2015-04-01,56.417659759521484
2015-04-02,56.81707763671875
2015-04-06,57.33940887451172
2015-04-07,57.761863708496094
2015-04-08,58.20738220214844
2015-04-09,58.54533386230469
2015-04-10,58.645198822021484
2015-04-13,58.87562942504883
2015-04-14,58.67591094970703
2015-04-15,58.78346252441406
2015-04-16,58.71432876586914
2015-04-17,58.13056564331055
2015-04-20,58.59143829345703
2015-04-21,58.890995025634766
2015-04-22,59.858795166015625
2015-04-23,60.058528900146484
2015-04-24,58.652870178222656
2015-04-27,59.09067153930664
2015-04-28,59.51316452026367
2015-04-29,59.643741607666016
2015-04-30,59.23662567138672
2015-05-01,59.643741607666016
2015-05-04,60.48097610473633
2015-05-05,60.48865509033203
2015-05-06,59.92026901245117
2015-05-07,60.04313659667969
2015-05-08,60.48865509033203
2015-05-11,59.92794418334961
2015-05-12,59.72823715209961
2015-05-13,59.91257858276367
2015-05-14,59.69750213623047
2015-05-15,59.79735565185547
2015-05-18,60.44257736206055
2015-05-19,60.76518630981445
2015-05-20,60.64225769042969
2015-05-21,60.603885650634766
2015-05-22,60.38880920410156
2015-05-26,59.612998962402344
2015-05-27,60.273590087890625
2015-05-28,60.77285385131836
2015-05-29,59.858795166015625
2015-06-01,59.48241424560547
2015-06-02,59.25968551635742
2015-06-03,60.18141555786133
2015-06-04,59.397926330566406
2015-06-05,60.311988830566406
2015-06-08,60.51937484741211
2015-06-09,60.795928955078125
2015-06-10,61.97110366821289
2015-06-11,62.094017028808594
2015-06-12,61.940391540527344
2015-06-15,61.310523986816406
2015-06-16,61.325904846191406
2015-06-17,61.057071685791016
2015-06-18,61.37969207763672
2015-06-19,60.64225769042969
2015-06-22,61.080081939697266
2015-06-23,61.37196731567383
2015-06-24,61.26443862915039
2015-06-25,60.419525146484375
2015-06-26,60.66533660888672
2015-06-29,58.85247802734375
2015-06-30,59.400177001953125
2015-07-01,59.73188781738281
2015-07-02,59.407901763916016
2015-07-06,59.10703659057617
2015-07-07,59.11473846435547
2015-07-08,57.54871368408203
2015-07-09,57.81875991821289
2015-07-10,58.6056022644043
2015-07-13,59.569881439208984
2015-07-14,59.8167610168457
2015-07-15,60.163909912109375
2015-07-16,61.174461364746094
2015-07-17,61.23616409301758
2015-07-20,61.56019592285156
2015-07-21,61.675907135009766
2015-07-22,62.34703063964844
2015-07-23,61.49073028564453
2015-07-24,58.15045166015625
2015-07-27,57.726192474365234
2015-07-28,58.75988006591797
2015-07-29,58.95272445678711
2015-07-30,59.51588439941406
2015-07-31,59.06074142456055
2015-08-03,59.54674530029297
2015-08-04,60.28730773925781
2015-08-05,60.248748779296875
2015-08-06,60.44160842895508
2015-08-07,60.56504440307617
2015-08-10,61.351890563964844
2015-08-11,60.5033073425293
2015-08-12,59.562171936035156
