,LEN
2018-06-15,49.26081085205078
2018-06-18,48.46809005737305
2018-06-19,48.561344146728516
2018-06-20,48.710567474365234
2018-06-21,48.1976318359375
2018-06-22,47.749977111816406
2018-06-25,45.90340042114258
2018-06-26,48.13234329223633
2018-06-27,47.805938720703125
2018-06-28,48.53337097167969
2018-06-29,48.962371826171875
2018-07-02,48.65461730957031
2018-07-03,48.8504638671875
2018-07-05,49.54059600830078
2018-07-06,50.07219314575195
2018-07-09,50.94884490966797
2018-07-10,50.68771743774414
2018-07-11,50.370391845703125
2018-07-12,50.19306564331055
2018-07-13,50.45439910888672
2018-07-16,50.4450569152832
2018-07-17,51.84501647949219
2018-07-18,51.490352630615234
2018-07-19,51.46235656738281
2018-07-20,51.03304672241211
2018-07-23,50.67837905883789
2018-07-24,49.08242416381836
2018-07-25,47.92512512207031
2018-07-26,49.026432037353516
2018-07-27,48.63444137573242
2018-07-30,48.4197883605957
2018-07-31,48.78377151489258
2018-08-01,48.28914260864258
2018-08-02,47.42116165161133
2018-08-03,48.04646301269531
2018-08-06,48.307796478271484
2018-08-07,49.465087890625
2018-08-08,49.71708297729492
2018-08-09,49.885074615478516
2018-08-10,49.81974792480469
2018-08-13,47.39314651489258
2018-08-14,47.589149475097656
2018-08-15,46.879825592041016
2018-08-16,47.113155364990234
2018-08-17,47.197166442871094
2018-08-20,47.71979904174805
2018-08-21,49.70774459838867
2018-08-22,49.026432037353516
2018-08-23,48.26111602783203
2018-08-24,48.11178970336914
2018-08-27,48.923770904541016
2018-08-28,49.101097106933594
2018-08-29,49.17576217651367
2018-08-30,48.3824577331543
2018-08-31,48.22378921508789
2018-09-04,48.27046203613281
2018-09-05,49.017093658447266
2018-09-06,48.84911346435547
2018-09-07,47.159820556640625
2018-09-10,47.30916213989258
2018-09-11,47.757137298583984
2018-09-12,48.737117767333984
2018-09-13,48.85844802856445
2018-09-14,49.026432037353516
2018-09-17,47.747806549072266
2018-09-18,48.35445785522461
2018-09-19,47.962459564208984
2018-09-20,47.337154388427734
2018-09-21,46.786502838134766
2018-09-24,45.731868743896484
2018-09-25,45.61054611206055
2018-09-26,44.705238342285156
2018-09-27,43.9399299621582
2018-09-28,43.57594680786133
2018-10-01,44.014591217041016
2018-10-02,43.650611877441406
2018-10-03,43.15596389770508
2018-10-04,41.70933532714844
2018-10-05,41.7933349609375
2018-10-08,42.40930938720703
2018-10-09,41.354679107666016
2018-10-10,40.80403137207031
2018-10-11,40.421382904052734
2018-10-12,40.27204132080078
2018-10-15,40.16938018798828
2018-10-16,41.15867233276367
2018-10-17,40.206729888916016
2018-10-18,39.62752151489258
2018-10-19,38.14220428466797
2018-10-22,36.77830123901367
2018-10-23,38.020755767822266
2018-10-24,36.28318786621094
2018-10-25,37.54433822631836
2018-10-26,39.03899383544922
2018-10-29,38.31035232543945
2018-10-30,40.206729888916016
2018-10-31,40.150672912597656
2018-11-01,41.14088821411133
2018-11-02,40.4309196472168
2018-11-05,41.46784591674805
2018-11-06,41.0848388671875
2018-11-07,40.141326904296875
2018-11-08,39.14176559448242
2018-11-09,39.14176559448242
2018-11-12,38.002079010009766
2018-11-13,38.543888092041016
2018-11-14,38.870853424072266
2018-11-15,36.92778015136719
2018-11-16,38.34770965576172
2018-11-19,38.74007034301758
2018-11-20,39.365962982177734
2018-11-21,39.963844299316406
2018-11-23,39.92647171020508
2018-11-26,40.019893646240234
2018-11-27,40.047908782958984
2018-11-28,40.991424560546875
2018-11-29,40.206729888916016
2018-11-30,39.91712951660156
2018-12-03,40.739192962646484
2018-12-04,38.422454833984375
2018-12-06,39.66489791870117
2018-12-07,39.235172271728516
2018-12-10,38.413108825683594
2018-12-11,37.805904388427734
2018-12-12,38.46916198730469
2018-12-13,38.216941833496094
2018-12-14,37.56302261352539
2018-12-17,37.38552474975586
2018-12-18,38.31035232543945
2018-12-19,38.329044342041016
2018-12-20,38.18890380859375
2018-12-21,36.39530563354492
2018-12-24,35.55453872680664
2018-12-26,36.862388610839844
2018-12-27,36.899749755859375
2018-12-28,36.83435821533203
2018-12-31,36.57279586791992
2019-01-02,37.329471588134766
2019-01-03,36.94645309448242
2019-01-04,38.497188568115234
2019-01-07,39.59016799926758
2019-01-08,40.066585540771484
2019-01-09,43.24277114868164
2019-01-10,42.196495056152344
2019-01-11,43.3548698425293
2019-01-14,42.22452926635742
2019-01-15,42.8597526550293
2019-01-16,42.374000549316406
2019-01-17,41.83217239379883
2019-01-18,41.196937561035156
2019-01-22,40.6457633972168
2019-01-23,40.78589630126953
2019-01-24,41.954681396484375
2019-01-25,41.66482925415039
2019-01-28,41.62743377685547
2019-01-29,42.96451187133789
2019-01-30,43.385276794433594
2019-01-31,44.33900451660156
2019-02-01,44.0865478515625
2019-02-04,43.6470832824707
2019-02-05,43.862152099609375
2019-02-06,43.086063385009766
2019-02-07,43.18891525268555
2019-02-08,43.0393180847168
2019-02-11,43.00191879272461
2019-02-12,45.45168685913086
2019-02-13,45.04027557373047
2019-02-14,45.10573196411133
2019-02-15,45.72285842895508
2019-02-19,46.17165756225586
2019-02-20,45.76959991455078
2019-02-21,46.022056579589844
2019-02-22,46.985137939453125
2019-02-25,46.41476821899414
2019-02-26,46.2464599609375
2019-02-27,45.666751861572266
2019-02-28,44.86262512207031
2019-03-01,43.9743537902832
2019-03-04,44.50731658935547
2019-03-05,43.13282775878906
2019-03-06,42.91777038574219
2019-03-07,44.4605598449707
2019-03-08,44.62887191772461
2019-03-11,45.358184814453125
2019-03-12,45.40494155883789
2019-03-13,44.94677734375
2019-03-14,44.900028228759766
2019-03-15,44.62887191772461
2019-03-18,44.75042724609375
2019-03-19,43.56293487548828
2019-03-20,43.216976165771484
2019-03-21,44.47925567626953
2019-03-22,44.731719970703125
2019-03-25,46.33061599731445
2019-03-26,46.48021697998047
2019-03-27,48.31287384033203
2019-03-28,46.526981353759766
2019-03-29,45.9005012512207
2019-04-01,45.73219299316406
2019-04-02,45.685447692871094
2019-04-03,46.573726654052734
2019-04-04,47.39654541015625
2019-04-05,48.32221984863281
2019-04-08,47.966915130615234
2019-04-09,46.966434478759766
2019-04-10,47.53680419921875
2019-04-11,47.966915130615234
2019-04-12,47.65835952758789
2019-04-15,47.81731414794922
2019-04-16,48.060428619384766
2019-04-17,48.53728485107422
2019-04-18,49.47231674194336
2019-04-22,48.70559310913086
2019-04-23,49.089237213134766
2019-04-24,49.24832534790039
2019-04-25,48.2470703125
2019-04-26,48.68687057495117
2019-04-29,48.80851364135742
2019-04-30,48.68687057495117
2019-05-01,48.705589294433594
2019-05-02,48.99567413330078
2019-05-03,48.87401580810547
2019-05-06,48.5184326171875
2019-05-07,48.424861907958984
2019-05-08,47.84470748901367
2019-05-09,48.452938079833984
2019-05-10,48.527793884277344
2019-05-13,48.16285705566406
2019-05-14,49.36060333251953
2019-05-15,49.51968002319336
2019-05-16,50.21213912963867
2019-05-17,49.7161979675293
2019-05-20,48.48100662231445
2019-05-21,48.93016052246094
2019-05-22,48.43422317504883
2019-05-23,47.79792022705078
2019-05-24,48.574581146240234
2019-05-28,48.01313400268555
2019-05-29,47.30196762084961
2019-05-30,47.077392578125
2019-05-31,46.469154357910156
2019-06-03,47.1616096496582
2019-06-04,48.097354888916016
2019-06-05,48.780460357666016
2019-06-06,49.29509735107422
2019-06-07,49.931419372558594
2019-06-10,49.388675689697266
2019-06-11,48.91144561767578
2019-06-12,48.743019104003906
2019-06-13,49.669403076171875
2019-06-14,50.10919952392578
2019-06-17,49.60390853881836
2019-06-18,49.117313385009766
2019-06-19,48.743019104003906
2019-06-20,49.34190368652344
2019-06-21,48.05056381225586
2019-06-24,48.106712341308594
2019-06-25,45.12168502807617
2019-06-26,44.494728088378906
2019-06-27,45.31818389892578
2019-06-28,45.34625244140625
2019-07-01,44.99067306518555
2019-07-02,45.43046951293945
2019-07-03,46.05742645263672
2019-07-05,45.177825927734375
2019-07-08,45.1684684753418
2019-07-09,44.326290130615234
2019-07-10,45.34711837768555
2019-07-11,44.61662673950195
2019-07-12,44.76647186279297
2019-07-15,44.29819869995117
2019-07-16,44.738372802734375
2019-07-17,43.85802459716797
2019-07-18,43.79246520996094
2019-07-19,43.33356475830078
2019-07-22,43.08070373535156
2019-07-23,42.9495849609375
2019-07-24,43.80184555053711
2019-07-25,44.72900390625
2019-07-26,44.607261657714844
2019-07-29,44.93504333496094
2019-07-30,45.37521743774414
2019-07-31,44.55105972290039
2019-08-01,45.422054290771484
2019-08-02,44.93504333496094
2019-08-05,44.51359939575195
2019-08-06,45.131717681884766
2019-08-07,46.695735931396484
2019-08-08,47.63227462768555
2019-08-09,46.836219787597656
2019-08-12,46.133811950683594
2019-08-13,47.08907699584961
2019-08-14,46.27428436279297
2019-08-15,45.43140411376953
2019-08-16,46.124446868896484
2019-08-19,46.854942321777344
2019-08-20,47.716556549072266
2019-08-21,48.28785705566406
2019-08-22,48.69991683959961
2019-08-23,47.960052490234375
2019-08-26,47.800846099853516
2019-08-27,47.29512023925781
2019-08-28,47.2108268737793
2019-08-29,47.960052490234375
2019-08-30,47.76338577270508
2019-09-03,47.9225959777832
2019-09-04,48.6905632019043
2019-09-05,48.40958786010742
2019-09-06,48.69991683959961
2019-09-09,49.11199951171875
2019-09-10,49.917423248291016
2019-09-11,50.572994232177734
2019-09-12,51.116188049316406
2019-09-13,50.21712112426758
2019-09-16,49.95487594604492
2019-09-17,49.73011016845703
2019-09-18,50.713478088378906
2019-09-19,50.37632369995117
2019-09-20,50.666648864746094
2019-09-23,51.40651321411133
2019-09-24,51.69685363769531
2019-09-25,52.03399658203125
2019-09-26,52.043365478515625
2019-09-27,51.2473030090332
2019-09-30,52.30559158325195
2019-10-01,52.183837890625
2019-10-02,54.150569915771484
2019-10-03,54.79676818847656
2019-10-04,55.71458435058594
2019-10-07,55.56474304199219
2019-10-08,55.38679885864258
2019-10-09,55.274417877197266
2019-10-10,55.11520004272461
2019-10-11,54.80614471435547
2019-10-14,55.23695755004883
2019-10-15,55.939361572265625
2019-10-16,57.2879638671875
2019-10-17,57.212989807128906
2019-10-18,57.831512451171875
2019-10-21,57.184879302978516
2019-10-22,57.7378044128418
2019-10-23,57.79402542114258
2019-10-24,58.07517623901367
2019-10-25,57.92522430419922
2019-10-28,56.48202133178711
2019-10-29,55.732295989990234
2019-10-30,56.407047271728516
2019-10-31,55.854122161865234
2019-11-01,57.053672790527344
2019-11-04,55.58235549926758
2019-11-05,54.69206619262695
2019-11-06,55.498016357421875
2019-11-07,53.689308166503906
2019-11-08,54.16726303100586
2019-11-11,55.26372146606445
2019-11-12,54.842010498046875
2019-11-13,55.58235549926758
2019-11-14,55.98533248901367
2019-11-15,55.61983871459961
2019-11-18,56.2664794921875
2019-11-19,55.89162063598633
2019-11-20,55.97595977783203
2019-11-21,55.385555267333984
2019-11-22,55.085662841796875
2019-11-25,55.69480895996094
2019-11-26,56.65070724487305
2019-11-27,55.99470520019531
2019-11-29,55.90098190307617
2019-12-02,55.160640716552734
2019-12-03,55.226234436035156
2019-12-04,55.13252258300781
2019-12-05,56.041561126708984
2019-12-06,55.05754470825195
2019-12-09,55.66670227050781
2019-12-10,55.41366958618164
2019-12-11,55.96657943725586
2019-12-12,54.41091537475586
2019-12-13,54.63583755493164
2019-12-16,54.4577751159668
2019-12-17,53.614341735839844
2019-12-18,52.705299377441406
2019-12-19,51.768157958984375
2019-12-20,53.080162048339844
2019-12-23,52.143009185791016
2019-12-24,53.220733642578125
2019-12-26,52.49913024902344
2019-12-27,52.480377197265625
2019-12-30,52.236732482910156
2019-12-31,52.2835807800293
2020-01-02,52.30233383178711
2020-01-03,52.92085647583008
2020-01-06,54.401546478271484
2020-01-07,53.54874038696289
2020-01-08,53.970458984375
2020-01-09,54.06416702270508
2020-01-10,55.96657943725586
2020-01-13,56.744415283203125
2020-01-14,57.75653076171875
2020-01-15,58.8436393737793
2020-01-16,59.21849822998047
2020-01-17,59.124778747558594
2020-01-21,60.8585090637207
2020-01-22,61.6363410949707
2020-01-23,63.16210174560547
2020-01-24,62.570587158203125
2020-01-27,63.180885314941406
2020-01-28,63.640953063964844
2020-01-29,63.640953063964844
2020-01-30,63.15272903442383
2020-01-31,62.30767822265625
2020-02-03,62.589359283447266
2020-02-04,61.61286926269531
2020-02-05,63.80997848510742
2020-02-06,63.9883918762207
2020-02-07,64.77706909179688
2020-02-10,65.80052947998047
2020-02-11,66.87091064453125
2020-02-12,66.06340026855469
2020-02-13,65.50008392333984
2020-02-14,66.05403137207031
2020-02-18,65.83808898925781
2020-02-19,66.1385269165039
2020-02-20,66.69248962402344
2020-02-21,66.3357162475586
2020-02-24,64.93669891357422
2020-02-25,62.392181396484375
2020-02-26,60.86170959472656
2020-02-27,59.14347457885742
2020-02-28,56.65529251098633
2020-03-02,58.79607009887695
2020-03-03,60.317134857177734
2020-03-04,62.570587158203125
2020-03-05,60.74903869628906
2020-03-06,58.7303466796875
2020-03-09,51.97001266479492
2020-03-10,55.72575378417969
2020-03-11,50.148475646972656
2020-03-12,43.585330963134766
2020-03-13,42.89052200317383
2020-03-16,34.47766876220703
2020-03-17,32.834537506103516
2020-03-18,29.03184700012207
2020-03-19,29.67971420288086
2020-03-20,31.998891830444336
2020-03-23,27.557723999023438
2020-03-24,33.42605972290039
2020-03-25,38.22401428222656
2020-03-26,39.829593658447266
2020-03-27,37.801490783691406
2020-03-30,37.51981735229492
2020-03-31,35.867286682128906
2020-04-01,32.60919189453125
2020-04-02,31.379182815551758
2020-04-03,31.35101890563965
2020-04-06,36.825008392333984
2020-04-07,36.8625602722168
2020-04-08,40.712188720703125
2020-04-09,42.064247131347656
2020-04-13,38.824928283691406
2020-04-14,40.392948150634766
2020-04-15,37.38835906982422
2020-04-16,38.40242004394531
2020-04-17,40.30844497680664
2020-04-20,37.6482048034668
2020-04-21,37.80830001831055
2020-04-22,38.665218353271484
2020-04-23,38.84414291381836
2020-04-24,40.37907028198242
2020-04-27,42.71442794799805
2020-04-28,46.63180160522461
2020-04-29,50.134830474853516
2020-04-30,47.149723052978516
2020-05-01,46.57529830932617
2020-05-04,46.537628173828125
2020-05-05,48.12907028198242
2020-05-06,48.09140396118164
2020-05-07,47.87481689453125
2020-05-08,50.85993194580078
2020-05-11,49.90883255004883
2020-05-12,47.91249084472656
2020-05-13,46.06678009033203
2020-05-14,45.90673065185547
2020-05-15,47.68648910522461
2020-05-18,53.29887390136719
2020-05-19,55.02214050292969
2020-05-20,54.19346237182617
2020-05-21,55.558895111083984
2020-05-22,56.585323333740234
2020-05-26,58.16734313964844
2020-05-27,61.19953918457031
2020-05-28,56.67948913574219
2020-05-29,56.93374252319336
2020-06-01,56.63240432739258
2020-06-02,56.69832229614258
2020-06-03,59.768184661865234
2020-06-04,57.517578125
2020-06-05,59.99418640136719
2020-06-08,59.00542068481445
2020-06-09,58.58167266845703
2020-06-10,58.83592224121094
2020-06-11,53.882713317871094
2020-06-12,55.794307708740234
2020-06-15,59.79644012451172
2020-06-16,60.21076202392578
2020-06-17,59.75876235961914
2020-06-18,58.289756774902344
2020-06-19,56.67007827758789
2020-06-22,57.61174011230469
2020-06-23,57.62117004394531
2020-06-24,55.5965576171875
2020-06-25,56.274574279785156
2020-06-26,55.558895111083984
2020-06-29,57.39516067504883
2020-06-30,58.02608108520508
2020-07-01,56.29339599609375
2020-07-02,56.6606559753418
2020-07-06,58.32741928100586
2020-07-07,58.544002532958984
2020-07-08,61.72687530517578
2020-07-09,59.674808502197266
2020-07-10,61.571189880371094
2020-07-13,59.02381896972656
2020-07-14,62.542972564697266
2020-07-15,64.4582290649414
2020-07-16,65.86399841308594
2020-07-17,65.6658706665039
2020-07-20,64.95828247070312
2020-07-21,64.48653411865234
2020-07-22,66.92071533203125
2020-07-23,66.1187515258789
2020-07-24,65.84513854980469
2020-07-27,68.9020004272461
2020-07-28,66.40180206298828
2020-07-29,68.57177734375
2020-07-30,68.19439697265625
2020-07-31,68.26042938232422
2020-08-03,69.43978881835938
2020-08-04,68.61895751953125
2020-08-05,69.40201568603516
2020-08-06,69.14730072021484
2020-08-07,69.10012817382812
2020-08-10,70.28890991210938
2020-08-11,69.41146850585938
2020-08-12,70.09077453613281
2020-08-13,70.36438751220703
2020-08-14,70.05304718017578
2020-08-17,72.71365356445312
2020-08-18,72.80799102783203
2020-08-19,72.46832275390625
2020-08-20,72.59098815917969
2020-08-21,74.87419128417969
2020-08-24,74.2986831665039
2020-08-25,73.57221221923828
2020-08-26,72.78911590576172
2020-08-27,71.51542663574219
2020-08-28,71.6380844116211
2020-08-31,70.59082794189453
2020-09-01,73.7137222290039
2020-09-02,73.9401626586914
2020-09-03,71.05311584472656
2020-09-04,69.45865631103516
2020-09-08,69.22279357910156
2020-09-09,71.5060043334961
2020-09-10,71.23239135742188
2020-09-11,73.10047149658203
2020-09-14,74.53453826904297
2020-09-15,71.60977935791016
2020-09-16,74.43075561523438
2020-09-17,73.72315979003906
2020-09-18,74.70438385009766
2020-09-21,72.41172790527344
2020-09-22,75.33650207519531
2020-09-23,71.96829223632812
2020-09-24,73.15708923339844
2020-09-25,72.36454772949219
2020-09-28,75.13836669921875
2020-09-29,74.5062484741211
2020-09-30,77.06305694580078
2020-10-01,78.24241638183594
2020-10-02,79.11982727050781
2020-10-05,78.31788635253906
2020-10-06,76.10071563720703
2020-10-07,75.88371276855469
