,CTAS
2018-09-21,45.596092224121094
2018-09-24,45.469017028808594
2018-09-25,45.86747360229492
2018-09-26,43.32597732543945
2018-09-27,42.55706787109375
2018-09-28,42.60445022583008
2018-10-01,42.64968490600586
2018-10-02,42.18230438232422
2018-10-03,42.223228454589844
2018-10-04,41.973384857177734
2018-10-05,42.19306564331055
2018-10-08,41.88292694091797
2018-10-09,42.068145751953125
2018-10-10,40.3041877746582
2018-10-11,39.63434982299805
2018-10-12,40.26972198486328
2018-10-15,39.71403884887695
2018-10-16,40.90294647216797
2018-10-17,40.103878021240234
2018-10-18,38.97528839111328
2018-10-19,38.47990798950195
2018-10-22,38.47990798950195
2018-10-23,37.62268829345703
2018-10-24,36.26579666137695
2018-10-25,37.40946578979492
2018-10-26,36.93132400512695
2018-10-29,37.0239372253418
2018-10-30,38.314064025878906
2018-10-31,39.17127990722656
2018-11-01,38.93436813354492
2018-11-02,38.68882369995117
2018-11-05,38.26667785644531
2018-11-06,38.210689544677734
2018-11-07,39.07004928588867
2018-11-08,39.46434783935547
2018-11-09,39.04172897338867
2018-11-12,38.52108383178711
2018-11-13,38.804283142089844
2018-11-14,38.60822296142578
2018-11-15,39.695255279541016
2018-11-16,39.90873336791992
2018-11-19,39.12015914916992
2018-11-20,38.73240280151367
2018-11-21,39.361968994140625
2018-11-23,39.222537994384766
2018-11-26,39.7039680480957
2018-11-27,39.94142532348633
2018-11-28,41.006675720214844
2018-11-29,40.96310806274414
2018-11-30,40.81932830810547
2018-12-03,41.252830505371094
2018-12-04,39.10055923461914
2018-12-06,38.738929748535156
2018-12-07,37.338199615478516
2018-12-10,37.36869430541992
2018-12-11,37.12689971923828
2018-12-12,37.72160720825195
2018-12-13,37.43405532836914
2018-12-14,36.97658920288086
2018-12-17,36.20978546142578
2018-12-18,36.29255676269531
2018-12-19,35.95926284790039
2018-12-20,34.64566421508789
2018-12-21,34.8482666015625
2018-12-24,33.987796783447266
2018-12-26,35.73270797729492
2018-12-27,36.43415832519531
2018-12-28,36.36009216308594
2018-12-31,36.595359802246094
2019-01-02,36.48644256591797
2019-01-03,35.902618408203125
2019-01-04,37.59089279174805
2019-01-07,37.654075622558594
2019-01-08,38.06143569946289
2019-01-09,38.39474105834961
2019-01-10,38.66268539428711
2019-01-11,38.73020935058594
2019-01-14,38.48405456542969
2019-01-15,38.675758361816406
2019-01-16,38.83477783203125
2019-01-17,39.409889221191406
2019-01-18,40.2812614440918
2019-01-22,39.812889099121094
2019-01-23,39.67782211303711
2019-01-24,39.760616302490234
2019-01-25,40.29650115966797
2019-01-28,39.862998962402344
2019-01-29,39.88695526123047
2019-01-30,40.65376281738281
2019-01-31,40.8476448059082
2019-02-01,41.087276458740234
2019-02-04,41.46849822998047
2019-02-05,41.782196044921875
2019-02-06,41.72772216796875
2019-02-07,41.77128982543945
2019-02-08,42.31154251098633
2019-02-11,43.047855377197266
2019-02-12,43.697025299072266
2019-02-13,43.95189666748047
2019-02-14,43.87565994262695
2019-02-15,44.39412307739258
2019-02-19,44.32876968383789
2019-02-20,44.2350959777832
2019-02-21,44.21767044067383
2019-02-22,44.52700424194336
2019-02-25,44.540077209472656
2019-02-26,44.26559829711914
2019-02-27,44.65334701538086
2019-02-28,45.006256103515625
2019-03-01,45.38748550415039
2019-03-04,45.00408172607422
2019-03-05,44.738311767578125
2019-03-06,44.26995086669922
2019-03-07,44.11964416503906
2019-03-08,43.85605239868164
2019-03-11,44.50958251953125
2019-03-12,44.459468841552734
2019-03-13,44.7709846496582
2019-03-14,44.633750915527344
2019-03-15,44.777523040771484
2019-03-18,45.211021423339844
2019-03-19,44.988834381103516
2019-03-20,44.69911193847656
2019-03-21,45.337371826171875
2019-03-22,42.38125991821289
2019-03-25,42.9193229675293
2019-03-26,43.433441162109375
2019-03-27,43.36590576171875
2019-03-28,43.705745697021484
2019-03-29,44.02813720703125
2019-04-01,44.65334701538086
2019-04-02,44.895164489746094
2019-04-03,45.1783561706543
2019-04-04,44.73177719116211
2019-04-05,44.95616149902344
2019-04-08,44.943084716796875
2019-04-09,44.59889221191406
2019-04-10,44.65116882324219
2019-04-11,44.76009750366211
2019-04-12,45.1805305480957
2019-04-15,45.36134719848633
2019-04-16,45.6009635925293
2019-04-17,45.73386001586914
2019-04-18,46.548583984375
2019-04-22,45.9146614074707
2019-04-23,46.487586975097656
2019-04-24,47.010414123535156
2019-04-25,46.792572021484375
2019-04-26,47.22389602661133
2019-04-29,47.24350357055664
2019-04-30,47.30231857299805
2019-05-01,47.067047119140625
2019-05-02,47.877418518066406
2019-05-03,48.56362533569336
2019-05-06,48.55708694458008
2019-05-07,47.67482376098633
2019-05-08,47.90791702270508
2019-05-09,48.25428771972656
2019-05-10,48.541839599609375
2019-05-13,47.16290283203125
2019-05-14,47.94060134887695
2019-05-15,48.26300811767578
2019-05-16,48.73572540283203
2019-05-17,48.670372009277344
2019-05-20,48.66165542602539
2019-05-21,49.452423095703125
2019-05-22,49.29557800292969
2019-05-23,48.84028625488281
2019-05-24,48.46995544433594
2019-05-28,48.075660705566406
2019-05-29,48.34796905517578
2019-05-30,48.7095832824707
2019-05-31,48.323997497558594
2019-06-03,48.66383361816406
2019-06-04,49.3413200378418
2019-06-05,50.21487808227539
2019-06-06,50.439247131347656
2019-06-07,50.674530029296875
2019-06-10,51.092777252197266
2019-06-11,50.600460052490234
2019-06-12,51.12763214111328
2019-06-13,51.40211486816406
2019-06-14,51.49142837524414
2019-06-17,50.598270416259766
2019-06-18,50.417476654052734
2019-06-19,51.214778900146484
2019-06-20,50.676700592041016
2019-06-21,50.62224578857422
2019-06-24,50.7812614440918
2019-06-25,50.41964340209961
2019-06-26,50.70719909667969
2019-06-27,51.34112548828125
2019-06-28,51.69184494018555
2019-07-01,52.036033630371094
2019-07-02,51.84651565551758
2019-07-03,52.17981719970703
2019-07-05,52.17981719970703
2019-07-08,51.90315246582031
2019-07-09,51.938018798828125
2019-07-10,51.996826171875
2019-07-11,52.280029296875
2019-07-12,52.8137321472168
2019-07-15,52.99236297607422
2019-07-16,52.16020202636719
2019-07-17,56.71965408325195
2019-07-18,56.78064727783203
2019-07-19,56.17068099975586
2019-07-22,56.4277458190918
2019-07-23,56.8111457824707
2019-07-24,57.05513000488281
2019-07-25,56.804603576660156
2019-07-26,57.00720977783203
2019-07-29,56.78936767578125
2019-07-30,57.25990676879883
2019-07-31,56.73490524291992
2019-08-01,56.4277458190918
2019-08-02,56.29267883300781
2019-08-05,54.7046012878418
2019-08-06,56.02690505981445
2019-08-07,56.30139923095703
2019-08-08,57.573604583740234
2019-08-09,57.38406753540039
2019-08-12,56.94402313232422
2019-08-13,57.9831428527832
2019-08-14,55.92452621459961
2019-08-15,56.64339828491211
2019-08-16,57.597557067871094
2019-08-19,58.34257507324219
2019-08-20,58.34693908691406
2019-08-21,58.3055419921875
2019-08-22,57.610618591308594
