,WTW
2017-12-14,138.93899536132812
2017-12-15,141.22019958496094
2017-12-18,139.91665649414062
2017-12-19,139.5454864501953
2017-12-20,138.6131134033203
2017-12-21,137.9341583251953
2017-12-22,137.3638458251953
2017-12-26,137.48150634765625
2017-12-27,137.27333068847656
2017-12-28,137.52769470214844
2017-12-29,136.8917999267578
2018-01-02,133.5305938720703
2018-01-03,136.02879333496094
2018-01-04,137.40957641601562
2018-01-05,138.29078674316406
2018-01-08,137.54586791992188
2018-01-09,137.92738342285156
2018-01-10,139.54440307617188
2018-01-11,140.58909606933594
2018-01-12,141.22500610351562
2018-01-16,138.60870361328125
2018-01-17,140.39834594726562
2018-01-18,139.4990234375
2018-01-19,139.79873657226562
2018-01-22,140.4437255859375
2018-01-23,143.4143524169922
2018-01-24,144.45904541015625
2018-01-25,145.5037384033203
2018-01-26,148.92849731445312
2018-01-29,146.90272521972656
2018-01-30,145.6581268310547
2018-01-31,145.7762451171875
2018-02-01,148.91033935546875
2018-02-02,146.85731506347656
2018-02-05,143.07821655273438
2018-02-06,143.8957977294922
2018-02-07,142.9691619873047
2018-02-08,138.4088134765625
2018-02-09,138.20895385742188
2018-02-12,140.03497314453125
2018-02-13,141.08871459960938
2018-02-14,144.66798400878906
2018-02-15,145.00405883789062
2018-02-16,144.6498260498047
2018-02-20,145.0313262939453
2018-02-21,143.14181518554688
2018-02-22,142.197021484375
2018-02-23,145.31300354003906
2018-02-26,146.44850158691406
2018-02-27,146.2667999267578
2018-02-28,143.44158935546875
2018-03-01,140.79806518554688
2018-03-02,140.7344512939453
2018-03-05,142.55130004882812
2018-03-06,143.01461791992188
2018-03-07,144.3046112060547
2018-03-08,144.9586639404297
2018-03-09,149.11021423339844
2018-03-12,148.03826904296875
2018-03-13,147.52044677734375
2018-03-14,146.7391815185547
2018-03-15,147.42050170898438
2018-03-16,147.8928985595703
2018-03-19,144.6043243408203
2018-03-20,144.931396484375
2018-03-21,143.668701171875
2018-03-22,140.4982147216797
2018-03-23,137.63665771484375
2018-03-26,140.02584838867188
2018-03-27,137.5186309814453
2018-03-28,137.98373413085938
2018-03-29,138.8046112060547
2018-04-02,135.8860321044922
2018-04-03,135.1837615966797
2018-04-04,135.8495330810547
2018-04-05,135.43911743164062
2018-04-06,133.29583740234375
2018-04-09,133.15899658203125
2018-04-10,134.0893096923828
2018-04-11,134.09841918945312
2018-04-12,134.88278198242188
2018-04-13,136.88018798828125
2018-04-16,138.74070739746094
2018-04-17,139.48861694335938
2018-04-18,139.2332305908203
2018-04-19,139.26060485839844
2018-04-20,138.09320068359375
2018-04-23,137.7740020751953
2018-04-24,136.46971130371094
2018-04-25,136.21435546875
