,VMC
2016-05-06,106.01240539550781
2016-05-09,107.06854248046875
2016-05-10,108.93994903564453
2016-05-11,106.7535629272461
2016-05-12,107.57807922363281
2016-05-13,107.13340759277344
2016-05-16,107.59662628173828
2016-05-17,107.14264678955078
2016-05-18,107.01294708251953
2016-05-19,105.5121078491211
2016-05-20,107.23531341552734
2016-05-23,108.92142486572266
2016-05-24,110.55473327636719
2016-05-25,111.42708587646484
2016-05-26,110.67535400390625
2016-05-27,109.61742401123047
2016-05-31,108.34603118896484
2016-06-01,108.59661102294922
2016-06-02,107.19530487060547
2016-06-03,107.37163543701172
2016-06-06,108.01195526123047
2016-06-07,108.64299774169922
2016-06-08,109.84016418457031
2016-06-09,108.4202880859375
2016-06-10,107.17677307128906
2016-06-13,106.0538558959961
2016-06-14,105.95176696777344
2016-06-15,105.40424346923828
2016-06-16,105.8682632446289
2016-06-17,105.78473663330078
2016-06-20,106.92619323730469
2016-06-21,107.82637023925781
2016-06-22,107.45515441894531
2016-06-23,110.47122192382812
2016-06-24,110.06290435791016
2016-06-27,105.6455078125
2016-06-28,107.27883911132812
2016-06-29,110.1092758178711
2016-06-30,111.69621276855469
2016-07-01,111.25074005126953
2016-07-05,111.04659271240234
2016-07-06,112.86547088623047
2016-07-07,113.04182434082031
2016-07-08,114.7122802734375
2016-07-11,115.05562591552734
2016-07-12,116.62395477294922
2016-07-13,116.7631607055664
2016-07-14,115.75162506103516
2016-07-15,115.81658172607422
2016-07-18,115.99290466308594
2016-07-19,115.6402587890625
2016-07-20,116.4569091796875
2016-07-21,116.39196014404297
2016-07-22,117.30143737792969
2016-07-25,116.11355590820312
2016-07-26,115.40826416015625
2016-07-27,116.61468505859375
2016-07-28,117.80254364013672
2016-07-29,115.05562591552734
2016-08-01,107.93770599365234
2016-08-02,108.16971588134766
2016-08-03,109.14415740966797
2016-08-04,109.2276611328125
2016-08-05,110.41554260253906
2016-08-08,111.58480834960938
2016-08-09,110.96305084228516
2016-08-10,112.79124450683594
2016-08-11,112.3829345703125
2016-08-12,110.3598403930664
2016-08-15,111.148681640625
2016-08-16,109.52464294433594
2016-08-17,109.14415740966797
2016-08-18,109.598876953125
2016-08-19,108.2996597290039
2016-08-22,110.54002380371094
2016-08-23,111.04197692871094
2016-08-24,111.76709747314453
2016-08-25,109.2850570678711
2016-08-26,107.9092025756836
2016-08-29,108.62500762939453
2016-08-30,108.04863739013672
2016-08-31,105.85478210449219
2016-09-01,104.46965026855469
2016-09-02,106.42184448242188
2016-09-06,105.00880432128906
2016-09-07,104.9995346069336
2016-09-08,103.5493392944336
2016-09-09,100.277099609375
2016-09-12,104.21865844726562
2016-09-13,102.15492248535156
2016-09-14,101.42053985595703
2016-09-15,102.0247802734375
2016-09-16,100.71401977539062
