,JKHY
2015-08-26,61.335811614990234
2015-08-27,60.54133987426758
2015-08-28,61.39830780029297
2015-08-31,60.666297912597656
2015-09-01,58.568511962890625
2015-09-02,59.948486328125
2015-09-03,60.45926284790039
2015-09-04,59.53629684448242
2015-09-08,61.2478141784668
2015-09-09,60.638484954833984
2015-09-10,61.04172897338867
2015-09-11,61.919891357421875
2015-09-14,61.462890625
2015-09-15,62.35896301269531
2015-09-16,62.79804611206055
2015-09-17,62.726375579833984
2015-09-18,62.28729248046875
2015-09-21,62.726375579833984
2015-09-22,62.33211135864258
2015-09-23,62.56507110595703
2015-09-24,62.37690734863281
2015-09-25,62.66362762451172
2015-09-28,61.33742141723633
2015-09-29,61.73173522949219
2015-09-30,62.37690734863281
2015-10-01,62.4306640625
2015-10-02,63.50595474243164
2015-10-05,64.59919738769531
2015-10-06,64.4916763305664
2015-10-07,65.02932739257812
2015-10-08,65.87166595458984
2015-10-09,66.21216583251953
2015-10-12,66.38243865966797
2015-10-13,65.90751647949219
2015-10-14,65.4415283203125
2015-10-15,65.77307891845703
2015-10-16,65.89855194091797
2015-10-19,66.3913803100586
2015-10-20,66.31074523925781
2015-10-21,65.74620056152344
2015-10-22,67.40397644042969
2015-10-23,68.19254302978516
2015-10-26,68.39861297607422
2015-10-27,67.57421875
2015-10-28,69.4112319946289
2015-10-29,69.63524627685547
2015-10-30,69.3036880493164
2015-11-02,69.4918441772461
2015-11-03,69.11550903320312
2015-11-04,69.52769470214844
2015-11-05,69.16928100585938
2015-11-06,69.77861785888672
2015-11-09,70.34314727783203
2015-11-10,70.24461364746094
2015-11-11,69.8951187133789
2015-11-12,69.27679443359375
2015-11-13,68.9004135131836
2015-11-16,70.40587615966797
2015-11-17,70.58509063720703
2015-11-18,71.30197143554688
2015-11-19,70.88078308105469
2015-11-20,70.94353485107422
2015-11-23,70.64783477783203
2015-11-24,70.46862030029297
2015-11-25,70.52237701416016
2015-11-27,70.81902313232422
2015-11-30,71.35839080810547
2015-12-01,71.53819274902344
2015-12-02,71.14265441894531
2015-12-03,70.96286010742188
2015-12-04,71.01679229736328
2015-12-07,70.89993286132812
2015-12-08,70.31561279296875
2015-12-09,69.8301773071289
2015-12-10,70.05489349365234
2015-12-11,69.57848358154297
2015-12-14,69.96504974365234
2015-12-15,70.2347183227539
2015-12-16,69.88412475585938
2015-12-17,69.41666412353516
2015-12-18,69.6953353881836
2015-12-21,69.6773681640625
2015-12-22,69.90210723876953
2015-12-23,70.0459213256836
2015-12-24,70.24369812011719
