,GOOGL
2016-06-16,36.081703186035156
2016-06-17,35.0853157043457
2016-06-20,35.17897415161133
2016-06-21,35.315975189208984
2016-06-22,35.39519119262695
2016-06-23,35.61439514160156
2016-06-24,34.136253356933594
2016-06-27,33.93398666381836
2016-06-28,34.43815994262695
2016-06-29,34.633949279785156
2016-06-30,35.049442291259766
2016-07-01,35.38423156738281
2016-07-05,35.11719512939453
2016-07-06,35.32046127319336
2016-07-07,35.235267639160156
2016-07-08,35.759368896484375
2016-07-11,36.22867202758789
2016-07-12,36.49320983886719
2016-07-13,36.342254638671875
2016-07-14,36.65711975097656
2016-07-15,36.64864730834961
2016-07-18,37.52397155761719
2016-07-19,37.5344352722168
2016-07-20,37.71726989746094
2016-07-21,37.584251403808594
2016-07-22,37.826873779296875
2016-07-25,37.739192962646484
2016-07-26,37.745670318603516
2016-07-27,37.96088790893555
2016-07-28,38.153690338134766
2016-07-29,39.4240837097168
2016-08-01,39.90235137939453
2016-08-02,39.86149597167969
2016-08-03,39.80171203613281
2016-08-04,39.7185173034668
2016-08-05,40.200767517089844
2016-08-08,40.11608123779297
2016-08-09,40.228172302246094
2016-08-10,40.27848815917969
2016-08-11,40.2640380859375
2016-08-12,40.20674514770508
2016-08-15,40.15244674682617
2016-08-16,39.9148063659668
2016-08-17,40.12554168701172
2016-08-18,39.99252700805664
2016-08-19,39.83808135986328
2016-08-22,39.70357131958008
2016-08-23,39.685630798339844
2016-08-24,39.53667449951172
2016-08-25,39.42209243774414
2016-08-26,39.51774597167969
2016-08-29,39.64727783203125
2016-08-30,39.45297622680664
2016-08-31,39.349853515625
2016-09-01,39.42707061767578
2016-09-02,39.699581146240234
2016-09-06,40.25507354736328
2016-09-07,40.253578186035156
2016-09-08,39.99700927734375
2016-09-09,39.28160095214844
2016-09-12,39.79673767089844
2016-09-13,39.29356002807617
2016-09-14,39.38024139404297
2016-09-15,39.91680145263672
2016-09-16,39.75438690185547
2016-09-19,39.625850677490234
2016-09-20,39.84455871582031
2016-09-21,40.10611343383789
2016-09-22,40.650142669677734
2016-09-23,40.60082244873047
2016-09-26,39.9875373840332
2016-09-27,40.390079498291016
2016-09-28,40.3567008972168
2016-09-29,39.98704528808594
2016-09-30,40.05778503417969
2016-10-03,39.874454498291016
2016-10-04,39.99451446533203
2016-10-05,39.91680145263672
2016-10-06,40.00896453857422
2016-10-07,39.890892028808594
2016-10-10,40.56146240234375
2016-10-11,40.33229446411133
2016-10-12,40.44189453125
2016-10-13,40.058780670166016
2016-10-14,40.084686279296875
2016-10-17,40.196285247802734
2016-10-18,40.926143646240234
2016-10-19,41.19267272949219
2016-10-20,40.93311309814453
2016-10-21,41.05417251586914
2016-10-24,41.63606643676758
2016-10-25,41.27786636352539
2016-10-26,40.95652770996094
2016-10-27,40.71989059448242
2016-10-28,40.82999038696289
2016-10-31,40.34873580932617
2016-11-01,40.1285285949707
2016-11-02,39.27861404418945
2016-11-03,38.96823501586914
2016-11-04,38.913936614990234
2016-11-07,39.95665740966797
2016-11-08,40.452354431152344
2016-11-09,40.13400650024414
2016-11-10,38.87358093261719
2016-11-11,38.448123931884766
2016-11-14,37.524967193603516
2016-11-15,38.61800765991211
2016-11-16,38.85813903808594
2016-11-17,39.166019439697266
2016-11-18,38.658363342285156
