,VTR
2018-08-27,44.691673278808594
2018-08-28,45.460899353027344
2018-08-29,45.55990982055664
2018-08-30,45.384742736816406
2018-08-31,45.597991943359375
2018-09-04,45.12578582763672
2018-09-05,45.65131759643555
2018-09-06,45.78839874267578
2018-09-07,44.821144104003906
2018-09-10,45.14862823486328
2018-09-11,45.01154708862305
2018-09-12,44.866844177246094
2018-09-13,44.942996978759766
2018-09-14,44.067142486572266
2018-09-17,44.46318817138672
2018-09-18,43.86150360107422
2018-09-19,43.45783996582031
2018-09-20,43.389305114746094
2018-09-21,42.79523849487305
2018-09-24,41.60711669921875
2018-09-25,41.37101364135742
2018-09-26,40.868350982666016
2018-09-27,41.096832275390625
2018-09-28,42.03207778930664
2018-10-01,41.722900390625
2018-10-02,41.460105895996094
2018-10-03,40.85722732543945
2018-10-04,40.88040542602539
2018-10-05,40.9654426574707
2018-10-08,41.661075592041016
2018-10-09,42.01662826538086
2018-10-10,42.43400955200195
2018-10-11,41.24369812011719
2018-10-12,41.205055236816406
2018-10-15,41.6456184387207
2018-10-16,42.63497543334961
2018-10-17,42.774105072021484
2018-10-18,42.774105072021484
2018-10-19,43.23785400390625
2018-10-22,42.109371185302734
2018-10-23,42.851402282714844
2018-10-24,43.887115478515625
2018-10-25,43.97987747192383
2018-10-26,43.89485168457031
2018-10-29,44.25812911987305
2018-10-30,45.57985305786133
2018-10-31,44.861026763916016
2018-11-01,44.915122985839844
2018-11-02,43.74026870727539
2018-11-05,45.17019271850586
2018-11-06,45.556663513183594
2018-11-07,46.0590705871582
2018-11-08,45.99722671508789
2018-11-09,46.43006896972656
2018-11-12,46.56146240234375
2018-11-13,46.87837219238281
2018-11-14,46.80108642578125
2018-11-15,46.708316802978516
2018-11-16,47.45034408569336
2018-11-19,47.81361770629883
2018-11-20,48.192359924316406
2018-11-21,47.42715835571289
2018-11-23,47.481258392333984
2018-11-26,47.4967155456543
2018-11-27,47.92183303833008
2018-11-28,47.96821594238281
2018-11-29,48.269649505615234
2018-11-30,49.073509216308594
2018-12-03,49.15079116821289
2018-12-04,48.818443298339844
2018-12-06,50.56526565551758
2018-12-07,50.603912353515625
2018-12-10,50.078311920166016
2018-12-11,50.12469482421875
2018-12-12,48.79524612426758
2018-12-13,48.231014251708984
2018-12-14,48.354671478271484
2018-12-17,47.04841232299805
2018-12-18,47.64358139038086
2018-12-19,47.46580123901367
2018-12-20,47.17981719970703
2018-12-21,46.584659576416016
2018-12-24,44.45136642456055
2018-12-26,46.02042007446289
2018-12-27,45.74989700317383
2018-12-28,45.881290435791016
2018-12-31,45.89931106567383
2019-01-02,44.591041564941406
2019-01-03,45.34310531616211
2019-01-04,45.12375259399414
2019-01-07,45.37443923950195
2019-01-08,45.82880401611328
2019-01-09,45.609458923339844
2019-01-10,46.44769287109375
2019-01-11,47.09790802001953
2019-01-14,47.066566467285156
2019-01-15,47.473941802978516
2019-01-16,47.52094650268555
2019-01-17,47.41911697387695
2019-01-18,47.818634033203125
2019-01-22,48.351348876953125
2019-01-23,48.508026123046875
2019-01-24,48.53152084350586
2019-01-25,48.907554626464844
2019-01-28,49.51077651977539
2019-01-29,49.77713394165039
2019-01-30,50.04349136352539
2019-01-31,50.5213623046875
2019-02-01,49.67530059814453
2019-02-04,49.77713394165039
2019-02-05,50.380348205566406
2019-02-06,50.035648345947266
2019-02-07,50.49001693725586
2019-02-08,50.34901428222656
2019-02-11,49.94164276123047
2019-02-12,49.69878387451172
2019-02-13,50.30984878540039
2019-02-14,50.71721267700195
2019-02-15,51.08540344238281
2019-02-19,50.70938491821289
2019-02-20,49.61261749267578
2019-02-21,50.12181854248047
2019-02-22,50.333343505859375
2019-02-25,49.722293853759766
2019-02-26,49.44810104370117
2019-02-27,49.45594024658203
2019-02-28,49.15824890136719
2019-03-01,48.79788589477539
2019-03-04,49.07990264892578
2019-03-05,48.931060791015625
2019-03-06,48.484527587890625
2019-03-07,48.44535446166992
2019-03-08,48.5628662109375
2019-03-11,49.4951171875
2019-03-12,49.70662307739258
2019-03-13,49.76929473876953
2019-03-14,49.81629943847656
2019-03-15,49.032901763916016
2019-03-18,48.18683624267578
2019-03-19,47.8499641418457
2019-03-20,48.32000732421875
2019-03-21,49.91030502319336
2019-03-22,50.317684173583984
2019-03-25,50.68587112426758
2019-03-26,51.08540344238281
2019-03-27,50.356849670410156
2019-03-28,51.11674118041992
2019-03-29,50.60365295410156
2019-04-01,50.167476654052734
2019-04-02,50.445037841796875
2019-04-03,49.81061553955078
2019-04-04,49.485469818115234
2019-04-05,50.10403823852539
2019-04-08,49.33479690551758
2019-04-09,49.2554817199707
2019-04-10,49.644073486328125
2019-04-11,49.08102035522461
2019-04-12,49.19203567504883
2019-04-15,49.247554779052734
2019-04-16,47.38391876220703
2019-04-17,46.22609329223633
2019-04-18,46.81293487548828
2019-04-22,45.81370544433594
2019-04-23,46.305389404296875
2019-04-24,47.2015266418457
2019-04-25,47.169803619384766
2019-04-26,48.026283264160156
2019-04-29,47.502872467041016
2019-04-30,48.46245574951172
2019-05-01,48.47037887573242
2019-05-02,48.79551696777344
2019-05-03,49.548912048339844
2019-05-06,49.19996643066406
2019-05-07,48.3514289855957
2019-05-08,48.43072509765625
2019-05-09,48.92240905761719
2019-05-10,49.60441970825195
2019-05-13,50.29436492919922
2019-05-14,50.349884033203125
2019-05-15,50.904998779296875
2019-05-16,51.2856559753418
2019-05-17,51.52356719970703
2019-05-20,50.84156036376953
2019-05-21,51.15877151489258
2019-05-22,51.49184799194336
2019-05-23,52.0152473449707
2019-05-24,52.292808532714844
2019-05-28,51.309452056884766
2019-05-29,50.94465255737305
2019-05-30,50.88121795654297
2019-05-31,50.99224090576172
2019-06-03,50.873287200927734
2019-06-04,49.32686233520508
2019-06-05,50.57985305786133
2019-06-06,50.563995361328125
2019-06-07,51.24600601196289
2019-06-10,50.952571868896484
2019-06-11,51.142906188964844
2019-06-12,51.436344146728516
2019-06-13,51.88835906982422
2019-06-14,52.94310760498047
2019-06-17,54.402286529541016
2019-06-18,54.402286529541016
2019-06-19,55.23497772216797
2019-06-20,56.908294677734375
2019-06-21,55.766319274902344
2019-06-24,55.70287322998047
2019-06-25,55.07636260986328
2019-06-26,54.2674674987793
2019-06-27,55.05257797241211
2019-06-28,54.83036804199219
2019-07-01,54.47740936279297
2019-07-02,55.39993667602539
2019-07-03,56.5631217956543
2019-07-05,55.98553466796875
2019-07-08,56.23422622680664
2019-07-09,56.458831787109375
2019-07-10,56.84389114379883
2019-07-11,55.70477294921875
2019-07-12,55.44807815551758
2019-07-15,55.03092575073242
2019-07-16,54.68598937988281
2019-07-17,55.03092575073242
2019-07-18,55.271575927734375
2019-07-19,53.683231353759766
2019-07-22,53.98004150390625
2019-07-23,54.597740173339844
2019-07-24,54.453330993652344
2019-07-25,54.1404914855957
2019-07-26,53.77146911621094
2019-07-29,54.18860626220703
2019-07-30,54.30894088745117
