,ED
2017-01-04,55.532920837402344
2017-01-05,55.653717041015625
2017-01-06,55.819801330566406
2017-01-09,54.928977966308594
2017-01-10,54.83839416503906
2017-01-11,55.1328010559082
2017-01-12,55.57822799682617
2017-01-13,55.56312561035156
2017-01-17,56.318058013916016
2017-01-18,56.189720153808594
2017-01-19,55.48008346557617
2017-01-20,55.170555114746094
2017-01-23,55.079978942871094
2017-01-24,54.951629638671875
2017-01-25,54.91388702392578
2017-01-26,55.125267028808594
2017-01-27,55.20076370239258
2017-01-30,55.30644989013672
2017-01-31,56.12933349609375
2017-02-01,55.35929489135742
2017-02-02,56.219932556152344
2017-02-03,56.01607131958008
2017-02-06,56.09159469604492
2017-02-07,56.25010681152344
2017-02-08,56.80875015258789
2017-02-09,56.159515380859375
2017-02-10,56.4312858581543
2017-02-13,56.65227127075195
2017-02-14,56.14937210083008
2017-02-15,56.15700149536133
2017-02-16,56.60655975341797
2017-02-17,56.00458526611328
2017-02-21,56.781803131103516
2017-02-22,57.1551628112793
2017-02-23,57.84093475341797
2017-02-24,58.37430191040039
2017-02-27,58.267642974853516
2017-02-28,58.70199203491211
2017-03-01,58.04668045043945
2017-03-02,58.81626510620117
2017-03-03,58.42005157470703
2017-03-06,58.39717102050781
2017-03-07,58.39717102050781
2017-03-08,57.53615951538086
2017-03-09,57.246604919433594
2017-03-10,57.8942756652832
2017-03-13,58.12285232543945
2017-03-14,58.22954559326172
2017-03-15,59.15913772583008
2017-03-16,58.15336227416992
2017-03-17,58.42766571044922
2017-03-20,57.97808837890625
2017-03-21,58.9305419921875
2017-03-22,59.51726531982422
2017-03-23,59.349632263183594
2017-03-24,59.74586486816406
2017-03-27,59.8525505065918
2017-03-28,59.8372917175293
2017-03-29,59.57061767578125
2017-03-30,59.23534393310547
2017-03-31,59.17437744140625
2017-04-03,59.30391311645508
2017-04-04,59.4029541015625
2017-04-05,59.8372917175293
2017-04-06,59.68489074707031
2017-04-07,59.29629135131836
2017-04-10,59.441062927246094
2017-04-11,59.357261657714844
2017-04-12,59.87540054321289
2017-04-13,59.8372917175293
2017-04-17,60.09636306762695
2017-04-18,60.263999938964844
2017-04-19,60.02777099609375
2017-04-20,59.64680862426758
2017-04-21,60.263999938964844
2017-04-24,60.500205993652344
2017-04-25,60.500205993652344
2017-04-26,60.30208206176758
2017-04-27,60.637359619140625
2017-04-28,60.40877151489258
2017-05-01,60.081119537353516
2017-05-02,60.393531799316406
2017-05-03,60.01255798339844
2017-05-04,60.103981018066406
2017-05-05,60.812618255615234
2017-05-08,60.492591857910156
2017-05-09,60.0506477355957
2017-05-10,60.22589874267578
2017-05-11,60.545921325683594
2017-05-12,60.8812141418457
2017-05-15,61.188636779785156
2017-05-16,60.82737731933594
2017-05-17,60.99647903442383
2017-05-18,61.426910400390625
2017-05-19,61.77277755737305
2017-05-22,62.21855926513672
2017-05-23,62.49525451660156
2017-05-24,62.60285568237305
2017-05-25,63.05634307861328
2017-05-26,63.102447509765625
