,UDR
2017-09-22,29.40073585510254
2017-09-25,29.485816955566406
2017-09-26,29.45488166809082
2017-09-27,29.269229888916016
2017-09-28,29.431669235229492
2017-09-29,29.416208267211914
2017-10-02,29.369796752929688
2017-10-03,29.362056732177734
2017-10-04,29.694658279418945
2017-10-05,29.818424224853516
2017-10-06,29.75603675842285
2017-10-09,29.911998748779297
2017-10-10,30.130329132080078
2017-10-11,30.10693359375
2017-10-12,30.356462478637695
2017-10-13,30.411039352416992
2017-10-16,30.223901748657227
2017-10-17,30.231698989868164
2017-10-18,30.060152053833008
2017-10-19,30.036758422851562
2017-10-20,29.95878028869629
2017-10-23,30.060152053833008
2017-10-24,29.65467071533203
2017-10-25,29.795024871826172
2017-10-26,29.82621192932129
2017-10-27,30.02895736694336
2017-10-30,30.067941665649414
2017-10-31,30.247297286987305
2017-11-01,30.489025115966797
2017-11-02,29.732650756835938
2017-11-03,29.997764587402344
2017-11-06,30.325279235839844
2017-11-07,30.637184143066406
2017-11-08,31.229806900024414
2017-11-09,31.058263778686523
2017-11-10,30.988075256347656
2017-11-13,31.14403533935547
2017-11-14,31.18302345275879
2017-11-15,30.72295570373535
2017-11-16,30.80872344970703
2017-11-17,30.54360580444336
2017-11-20,30.71515655517578
2017-11-21,30.99588394165039
2017-11-22,30.925691604614258
2017-11-24,30.93349266052246
2017-11-27,30.800933837890625
2017-11-28,30.746347427368164
2017-11-29,30.691768646240234
2017-11-30,30.668378829956055
2017-12-01,30.58259391784668
2017-12-04,30.637184143066406
2017-12-05,30.25509262084961
2017-12-06,30.309673309326172
2017-12-07,30.27849769592285
2017-12-08,30.434438705444336
2017-12-11,30.590391159057617
2017-12-12,30.69955825805664
2017-12-13,30.434438705444336
2017-12-14,30.489025115966797
2017-12-15,30.691768646240234
2017-12-18,30.69955825805664
2017-12-19,29.74044418334961
2017-12-20,29.65467071533203
2017-12-21,29.381746292114258
2017-12-22,29.75603675842285
2017-12-26,29.88860511779785
2017-12-27,29.911998748779297
2017-12-28,30.114742279052734
2017-12-29,30.036758422851562
2018-01-02,29.67806053161621
2018-01-03,29.896400451660156
2018-01-04,29.288177490234375
2018-01-05,29.249189376831055
2018-01-08,29.32716941833496
2018-01-09,29.044116973876953
2018-01-10,28.627408981323242
2018-01-11,28.367944717407227
2018-01-12,28.06916046142578
2018-01-16,28.360082626342773
2018-01-17,28.367944717407227
2018-01-18,28.2106876373291
2018-01-19,28.281455993652344
2018-01-22,28.588090896606445
2018-01-23,29.1148738861084
2018-01-24,28.949766159057617
2018-01-25,28.87900161743164
2018-01-26,28.706024169921875
2018-01-29,28.344345092773438
2018-01-30,28.218551635742188
2018-01-31,28.721752166748047
2018-02-01,27.762529373168945
2018-02-02,27.676034927368164
2018-02-05,26.874061584472656
2018-02-06,26.976276397705078
2018-02-07,26.57528305053711
2018-02-08,25.883380889892578
2018-02-09,26.567426681518555
2018-02-12,26.520248413085938
2018-02-13,26.732540130615234
2018-02-14,26.567426681518555
2018-02-15,27.047039031982422
2018-02-16,27.2121524810791
2018-02-20,26.921241760253906
2018-02-21,26.1192626953125
2018-02-22,26.2922306060791
2018-02-23,26.842607498168945
2018-02-26,26.842607498168945
2018-02-27,26.402313232421875
2018-02-28,26.43376350402832
2018-03-01,26.49666404724121
2018-03-02,26.24506378173828
2018-03-05,26.473073959350586
2018-03-06,26.6381893157959
2018-03-07,26.850475311279297
2018-03-08,27.109935760498047
2018-03-09,27.707489013671875
2018-03-12,27.77039337158203
2018-03-13,27.841154098510742
2018-03-14,27.943363189697266
2018-03-15,28.045576095581055
2018-03-16,28.273584365844727
2018-03-19,28.02985191345215
2018-03-20,27.856874465942383
2018-03-21,27.746801376342773
2018-03-22,27.33795166015625
