,NDAQ
2014-09-29,11.921022415161133
2014-09-30,11.940728187561035
2014-10-01,11.808429718017578
2014-10-02,11.8478364944458
2014-10-03,12.030804634094238
2014-10-06,11.875985145568848
2014-10-07,11.60294246673584
2014-10-08,11.864725112915039
2014-10-09,11.687387466430664
2014-10-10,11.642350196838379
2014-10-13,11.253901481628418
2014-10-14,11.197598457336426
2014-10-15,11.203231811523438
2014-10-16,11.18352222442627
2014-10-17,11.304564476013184
2014-10-20,11.46782398223877
2014-10-21,11.59449577331543
2014-10-22,11.521308898925781
2014-10-23,11.625459671020508
2014-10-24,11.507233619689941
2014-10-27,11.538199424743652
2014-10-28,11.771834373474121
2014-10-29,11.9435453414917
2014-10-30,12.039249420166016
2014-10-31,12.177176475524902
2014-11-03,12.253181457519531
