,INVH
2017-06-27,18.117218017578125
2017-06-28,18.117218017578125
2017-06-29,17.89043617248535
2017-06-30,18.16761016845703
2017-07-03,18.20960807800293
2017-07-05,18.218013763427734
2017-07-06,17.882038116455078
2017-07-07,18.016427993774418
2017-07-10,17.999622344970703
2017-07-11,18.016427993774418
2017-07-12,18.050018310546875
2017-07-13,18.050018310546875
2017-07-14,18.092021942138672
2017-07-17,18.16761016845703
2017-07-18,18.041616439819336
2017-07-19,18.20960807800293
2017-07-20,18.18441390991211
2017-07-21,18.260007858276367
2017-07-24,18.285202026367188
2017-07-25,18.176008224487305
2017-07-26,17.999622344970703
2017-07-27,17.865238189697266
2017-07-28,17.915637969970703
2017-07-31,17.90723419189453
2017-08-01,18.033226013183594
2017-08-02,17.806442260742188
2017-08-03,17.705652236938477
2017-08-04,17.77284049987793
2017-08-07,17.73085594177246
2017-08-08,17.49567413330078
2017-08-09,17.630056381225586
2017-08-10,18.31879997253418
2017-08-11,18.478973388671875
2017-08-14,19.38943099975586
2017-08-15,19.338848114013672
2017-08-16,19.684486389160156
2017-08-17,19.836227416992188
2017-08-18,19.659198760986328
2017-08-21,19.6423397064209
2017-08-22,19.515888214111328
2017-08-23,19.549604415893555
2017-08-24,19.305130004882812
2017-08-25,19.296701431274418
2017-08-28,19.254552841186523
2017-08-29,19.102806091308594
2017-08-30,19.38943099975586
2017-08-31,19.507455825805664
2017-09-01,19.60861587524414
2017-09-05,19.330421447753903
2017-09-06,19.052223205566406
2017-09-07,18.816181182861328
2017-09-08,18.82461166381836
2017-09-11,19.31355857849121
2017-09-12,19.010072708129883
2017-09-13,18.70659446716309
2017-09-14,18.698156356811523
2017-09-15,18.883623123168945
2017-09-18,19.128097534179688
2017-09-19,19.38943099975586
2017-09-20,18.942630767822266
2017-09-21,19.026927947998047
2017-09-22,18.672870635986328
2017-09-25,18.96792221069336
2017-09-26,18.934202194213867
2017-09-27,19.102806091308594
2017-09-28,18.908912658691406
2017-09-29,19.094377517700195
2017-10-02,19.38100242614746
2017-10-03,19.07751846313477
2017-10-04,19.237689971923828
2017-10-05,19.161819458007812
2017-10-06,18.849899291992188
2017-10-09,18.900480270385746
2017-10-10,19.128097534179688
2017-10-11,19.085947036743164
2017-10-12,19.06065559387207
2017-10-13,19.07751846313477
2017-10-16,19.085947036743164
2017-10-17,19.094377517700195
2017-10-18,19.22083282470703
2017-10-19,19.170244216918945
2017-10-20,19.32198905944824
2017-10-23,19.16971778869629
2017-10-24,19.18663787841797
2017-10-25,19.296613693237305
2017-10-26,19.24585723876953
2017-10-27,19.423503875732425
2017-10-30,19.34737205505371
2017-10-31,19.093576431274418
2017-11-01,19.16125869750977
2017-11-02,19.635000228881836
2017-11-03,19.321992874145508
2017-11-06,19.55886459350586
2017-11-07,19.626544952392575
2017-11-08,19.592702865600582
2017-11-09,19.71113967895508
2017-11-10,20.074907302856445
2017-11-13,19.939552307128903
2017-11-14,19.88033103942871
2017-11-15,19.465803146362305
2017-11-16,19.618078231811523
2017-11-17,19.30507469177246
2017-11-20,19.30507469177246
2017-11-21,19.770355224609375
2017-11-22,19.88033103942871
2017-11-24,20.01568603515625
2017-11-27,19.787275314331055
2017-11-28,19.5250244140625
2017-11-29,19.88878631591797
2017-11-30,19.92262840270996
2017-12-01,19.88878631591797
2017-12-04,19.85495376586914
2017-12-05,19.516565322875977
2017-12-06,19.533483505249023
2017-12-07,19.66037368774414
2017-12-08,20.00722312927246
2017-12-11,20.024150848388672
2017-12-12,20.032609939575195
2017-12-13,20.04952812194824
2017-12-14,20.100292205810547
2017-12-15,20.38791847229004
2017-12-18,20.32023811340332
2017-12-19,20.024150848388672
2017-12-20,19.73652076721191
2017-12-21,19.804195404052734
2017-12-22,19.71113967895508
2017-12-26,19.770355224609375
2017-12-27,19.787275314331055
2017-12-28,19.964933395385746
2017-12-29,19.939552307128903
2018-01-02,19.871875762939453
2018-01-03,19.863414764404297
2018-01-04,19.49964714050293
2018-01-05,19.49964714050293
2018-01-08,19.550405502319336
2018-01-09,19.30507469177246
2018-01-10,19.35582733154297
2018-01-11,19.34737205505371
2018-01-12,19.212011337280273
2018-01-16,19.28815269470215
2018-01-17,19.042818069458008
2018-01-18,18.924386978149418
2018-01-19,18.763648986816406
2018-01-22,18.975143432617188
2018-01-23,19.372745513916016
2018-01-24,19.11050033569336
2018-01-25,19.102039337158203
2018-01-26,19.05974578857422
2018-01-29,18.755191802978516
2018-01-30,18.61137580871582
2018-01-31,19.02589988708496
2018-02-01,18.653669357299805
2018-02-02,18.670591354370117
2018-02-05,17.926136016845703
2018-02-06,17.976896286010742
2018-02-07,17.91767692565918
2018-02-08,17.384716033935547
2018-02-09,17.723102569580078
2018-02-12,17.859176635742188
2018-02-13,17.901697158813477
2018-02-14,18.13131523132324
2018-02-15,18.292903900146484
2018-02-16,18.301403045654297
2018-02-20,18.080286026000977
2018-02-21,17.731611251831055
2018-02-22,18.437471389770508
2018-02-23,18.667091369628903
2018-02-26,18.650081634521484
2018-02-27,18.301403045654297
2018-02-28,18.497005462646484
2018-03-01,18.633073806762695
2018-03-02,18.70110321044922
2018-03-05,18.752132415771484
2018-03-06,18.80315589904785
2018-03-07,19.032773971557617
2018-03-08,19.177350997924805
2018-03-09,19.270898818969727
2018-03-12,19.29641342163086
2018-03-13,19.270898818969727
2018-03-14,19.22837829589844
2018-03-15,19.245386123657227
2018-03-16,19.37295150756836
2018-03-19,19.21987533569336
2018-03-20,18.98175621032715
2018-03-21,18.87969970703125
2018-03-22,18.777645111083984
2018-03-23,18.62456512451172
2018-03-26,18.888206481933594
2018-03-27,19.10080909729004
2018-03-28,19.27940368652344
2018-03-29,19.415468215942383
2018-04-02,19.194358825683594
2018-04-03,19.347434997558594
2018-04-04,19.40697479248047
2018-04-05,19.25389289855957
2018-04-06,19.211366653442383
2018-04-09,19.177350997924805
2018-04-10,19.33893585205078
2018-04-11,19.27940368652344
2018-04-12,19.168851852416992
2018-04-13,19.202863693237305
2018-04-16,19.32192611694336
2018-04-17,19.51753044128418
2018-04-18,19.53453254699707
2018-04-19,19.14333152770996
2018-04-20,19.194358825683594
2018-04-23,19.22837829589844
2018-04-24,19.457990646362305
2018-04-25,19.53453254699707
2018-04-26,19.61957550048828
2018-04-27,19.74714469909668
2018-04-30,19.679113388061523
2018-05-01,19.815181732177734
2018-05-02,19.781160354614254
2018-05-03,19.713134765625
2018-05-04,20.010778427124023
2018-05-07,20.010778427124023
2018-05-08,19.985265731811523
2018-05-09,20.18086624145508
2018-05-10,20.14684677124023
2018-05-11,20.138347625732425
2018-05-14,19.88202857971191
2018-05-15,19.07034492492676
2018-05-16,18.95926856994629
2018-05-17,18.916547775268555
2018-05-18,18.77983665466309
2018-05-21,18.728574752807617
2018-05-22,18.60041618347168
2018-05-23,18.66022300720215
2018-05-24,18.702943801879883
2018-05-25,18.64313507080078
2018-05-29,18.69440269470215
2018-05-30,19.15577507019043
2018-05-31,18.805469512939453
2018-06-01,18.865280151367188
2018-06-04,19.095972061157227
2018-06-05,18.83965110778809
2018-06-06,18.67731285095215
2018-06-07,18.98489761352539
2018-06-08,18.93363571166992
2018-06-11,18.916547775268555
2018-06-12,18.925092697143555
2018-06-13,18.925092697143555
2018-06-14,19.15577507019043
2018-06-15,19.147235870361328
2018-06-18,19.198497772216797
2018-06-19,19.01053237915039
2018-06-20,19.2668514251709
2018-06-21,19.318113327026367
2018-06-22,19.309574127197266
2018-06-25,19.437728881835938
2018-06-26,19.60861587524414
2018-06-27,19.497541427612305
2018-06-28,19.67696762084961
2018-06-29,19.702598571777344
2018-07-02,19.471906661987305
2018-07-03,19.71113967895508
2018-07-05,19.702598571777344
