,LNT
2019-08-16,43.781959533691406
2019-08-19,44.078765869140625
2019-08-20,43.98548126220703
2019-08-21,44.23140335083008
2019-08-22,44.24835968017578
2019-08-23,43.79045104980469
2019-08-26,44.316192626953125
2019-08-27,44.384033203125
2019-08-28,44.4179573059082
2019-08-29,44.54515075683594
2019-08-30,44.47732162475586
2019-09-03,45.4185905456543
2019-09-04,45.376190185546875
2019-09-05,44.57060241699219
2019-09-06,44.316192626953125
2019-09-09,43.49364471435547
2019-09-10,43.213802337646484
2019-09-11,43.612369537353516
2019-09-12,43.84131622314453
2019-09-13,43.798927307128906
2019-09-16,44.03635787963867
2019-09-17,44.78258514404297
2019-09-18,44.90131378173828
2019-09-19,45.03699493408203
2019-09-20,45.09634780883789
2019-09-23,45.17266845703125
2019-09-24,45.92738723754883
2019-09-25,45.817142486572266
2019-09-26,46.012184143066406
2019-09-27,45.817142486572266
2019-09-30,45.73234558105469
2019-10-01,45.69842529296875
2019-10-02,45.20660400390625
2019-10-03,45.265953063964844
2019-10-04,46.0885124206543
2019-10-07,45.60514831542969
2019-10-08,45.2744255065918
2019-10-09,45.40163040161133
2019-10-10,45.35923385620117
2019-10-11,44.96914291381836
2019-10-14,44.4179573059082
2019-10-15,44.087242126464844
2019-10-16,44.341636657714844
2019-10-17,44.723243713378906
2019-10-18,44.92675018310547
2019-10-21,45.0709228515625
2019-10-22,45.257469177246094
2019-10-23,45.486427307128906
2019-10-24,45.503395080566406
2019-10-25,45.09634780883789
2019-10-28,44.714759826660156
2019-10-29,44.53667449951172
2019-10-30,45.206886291503906
2019-10-31,45.539852142333984
2019-11-01,45.275184631347656
2019-11-04,44.549476623535156
2019-11-05,44.14822006225586
2019-11-06,44.31043243408203
2019-11-07,43.96891403198242
2019-11-08,44.12260818481445
2019-11-11,44.05430221557617
2019-11-12,44.12260818481445
2019-11-13,44.93367385864258
2019-11-14,45.300804138183594
2019-11-15,45.147117614746094
2019-11-18,45.12150573730469
2019-11-19,44.8909912109375
2019-11-20,45.36909103393555
2019-11-21,45.57400131225586
2019-11-22,45.58253479003906
2019-11-25,45.036136627197266
2019-11-26,45.22396469116211
2019-11-27,45.29226303100586
2019-11-29,45.24956512451172
2019-12-02,44.7629280090332
2019-12-03,44.993446350097656
2019-12-04,45.39470672607422
2019-12-05,45.39470672607422
2019-12-06,45.343482971191406
2019-12-09,45.147117614746094
2019-12-10,45.206886291503906
2019-12-11,45.28372573852539
2019-12-12,44.8995246887207
2019-12-13,45.1898078918457
2019-12-16,45.65937805175781
2019-12-17,46.00088882446289
2019-12-18,46.34238815307617
2019-12-19,46.291168212890625
2019-12-20,46.914424896240234
2019-12-23,46.35946273803711
