,LRCX
2020-02-26,21.765724182128906
2020-02-27,20.965837478637695
2020-02-28,21.533098220825195
2020-03-02,22.039447784423828
2020-03-03,21.388530731201172
2020-03-04,22.47314453125
2020-03-05,21.951383590698242
2020-03-06,21.605010986328125
2020-03-09,19.637584686279297
2020-03-10,21.103065490722656
2020-03-11,20.300241470336914
2020-03-12,17.45440673828125
2020-03-13,19.21048927307129
2020-03-16,15.670438766479492
2020-03-17,16.826974868774414
2020-03-18,14.246787071228027
2020-03-19,14.31063175201416
2020-03-20,13.788141250610352
2020-03-23,14.152125358581543
2020-03-24,17.02684211730957
2020-03-25,17.241670608520508
2020-03-26,19.219425201416016
2020-03-27,17.807905197143555
2020-03-30,18.84735107421875
2020-03-31,17.717836380004883
2020-04-01,16.4871883392334
2020-04-02,16.283428192138672
2020-04-03,16.104778289794922
2020-04-06,18.511455535888672
2020-04-07,18.915264129638672
2020-04-08,19.692642211914062
2020-04-09,19.067346572875977
2020-04-13,19.10426139831543
2020-04-14,20.117868423461914
2020-04-15,19.40177345275879
2020-04-16,19.984983444213867
2020-04-17,20.598466873168945
2020-04-20,19.691165924072266
2020-04-21,17.985822677612305
2020-04-22,20.06397819519043
2020-04-23,19.486671447753906
2020-04-24,19.686731338500977
2020-04-27,19.5198917388916
2020-04-28,19.330900192260742
2020-04-29,20.670074462890625
2020-04-30,18.845874786376953
2020-05-01,17.350194931030273
2020-05-04,17.313282012939453
2020-05-05,17.9252872467041
2020-05-06,18.054475784301758
2020-05-07,18.28112030029297
2020-05-08,19.59297752380371
2020-05-11,19.35895538330078
2020-05-12,18.897552490234375
2020-05-13,18.322463989257812
2020-05-14,19.858747482299805
2020-05-15,18.591920852661133
2020-05-18,19.007549285888672
2020-05-19,19.31687355041504
2020-05-20,20.018943786621094
2020-05-21,19.246000289916992
2020-05-22,19.278484344482422
2020-05-26,19.663843154907227
2020-05-27,20.383638381958008
2020-05-28,19.697805404663086
2020-05-29,20.20350456237793
2020-06-01,20.00417709350586
2020-06-02,20.040353775024414
2020-06-03,21.179458618164062
2020-06-04,21.544893264770508
2020-06-05,22.510517120361328
2020-06-08,21.969379425048828
2020-06-09,22.31930923461914
2020-06-10,22.243270874023438
2020-06-11,20.850208282470703
2020-06-12,21.004499435424805
2020-06-15,21.49321746826172
2020-06-16,23.479286193847656
2020-06-17,24.117225646972656
2020-06-18,24.195621490478516
2020-06-19,24.23021125793457
2020-06-22,24.00347137451172
2020-06-23,24.286317825317383
2020-06-24,23.502342224121094
2020-06-25,24.02652931213379
2020-06-26,23.251781463623047
2020-06-29,23.70832633972168
2020-06-30,24.861234664916992
2020-07-01,24.401609420776367
2020-07-02,24.87967872619629
2020-07-06,25.74512481689453
2020-07-07,25.201723098754883
2020-07-08,25.655967712402344
2020-07-09,25.806612014770508
2020-07-10,26.13096809387207
2020-07-13,25.912683486938477
2020-07-14,26.598276138305664
2020-07-15,26.379989624023438
2020-07-16,26.50757598876953
2020-07-17,26.614421844482422
2020-07-20,27.189332962036133
2020-07-21,27.440662384033203
2020-07-22,27.820356369018555
2020-07-23,27.27157211303711
2020-07-24,26.572139739990234
2020-07-27,27.522130966186523
2020-07-28,26.818864822387695
2020-07-29,27.733501434326172
2020-07-30,29.094694137573242
2020-07-31,28.988632202148438
2020-08-03,29.31528663635254
2020-08-04,29.58814239501953
2020-08-05,29.47361946105957
2020-08-06,29.038589477539062
2020-08-07,28.6258487701416
2020-08-10,28.881027221679688
2020-08-11,28.362218856811523
2020-08-12,29.323740005493164
2020-08-13,28.977874755859375
2020-08-14,28.718082427978516
2020-08-17,29.13620948791504
2020-08-18,28.789562225341797
2020-08-19,28.60663604736328
2020-08-20,27.554420471191406
2020-08-21,27.165508270263672
2020-08-24,26.979509353637695
2020-08-25,27.093263626098633
2020-08-26,27.039457321166992
2020-08-27,26.243947982788086
2020-08-28,26.9610538482666
2020-08-31,25.8511962890625
2020-09-01,26.1755428314209
2020-09-02,27.877229690551758
2020-09-03,26.25009536743164
2020-09-04,25.603702545166016
2020-09-08,23.26715087890625
2020-09-09,23.128032684326172
2020-09-10,22.8667049407959
2020-09-11,22.596160888671875
2020-09-14,23.474674224853516
2020-09-15,23.74445343017578
2020-09-16,23.565366744995117
2020-09-17,23.510799407958984
2020-09-18,23.61225700378418
2020-09-21,24.20792007446289
2020-09-22,24.494609832763672
2020-09-23,24.36625099182129
2020-09-24,25.146387100219727
2020-09-25,25.384653091430664
2020-09-28,25.871944427490234
2020-09-29,26.05712890625
2020-09-30,25.597265243530273
2020-10-01,26.166688919067383
2020-10-02,25.362699508666992
2020-10-05,26.4058837890625
2020-10-06,26.309432983398438
2020-10-07,26.67902183532715
2020-10-08,27.424367904663086
2020-10-09,27.986083984375
2020-10-12,28.55705451965332
2020-10-13,28.871862411499023
2020-10-14,28.875713348388672
2020-10-15,28.97216796875
2020-10-16,28.15968894958496
2020-10-19,28.052438735961914
2020-10-20,28.052438735961914
2020-10-21,28.28777313232422
2020-10-22,27.623437881469727
2020-10-23,27.307859420776367
2020-10-26,26.82253646850586
2020-10-27,26.52933120727539
2020-10-28,26.148944854736328
2020-10-29,27.25693702697754
2020-10-30,26.39430809020996
2020-11-02,27.078704833984375
2020-11-03,28.58946418762207
