,SWKS
2019-06-05,60.679325103759766
2019-06-06,61.99184036254883
2019-06-07,62.634700775146484
2019-06-10,65.26866912841797
2019-06-11,66.04545593261719
2019-06-12,64.87579345703125
2019-06-13,65.49186706542969
2019-06-14,64.10794067382812
2019-06-17,64.67938232421875
2019-06-18,67.60795593261719
2019-06-19,67.4383316040039
2019-06-20,67.71511840820312
2019-06-21,67.16153717041016
2019-06-24,67.77762603759766
2019-06-25,66.35796356201172
2019-06-26,67.71511840820312
2019-06-27,68.70618438720703
2019-06-28,68.9919204711914
2019-07-01,73.13482666015625
2019-07-02,72.17945098876953
2019-07-03,72.0455322265625
2019-07-05,71.72407531738281
2019-07-08,70.8490982055664
2019-07-09,71.21516418457031
2019-07-10,71.34910583496094
2019-07-11,70.69731140136719
2019-07-12,72.33124542236328
2019-07-15,73.25090789794922
2019-07-16,72.5990982055664
2019-07-17,71.58123779296875
2019-07-18,72.69731903076172
2019-07-19,72.60803985595703
2019-07-22,74.34910583496094
2019-07-23,75.48308563232422
2019-07-24,77.09916687011719
2019-07-25,76.48310089111328
2019-07-26,76.76879119873047
2019-07-29,77.50094604492188
2019-07-30,78.34918212890625
2019-07-31,76.14379119873047
2019-08-01,73.90267944335938
2019-08-02,70.83125305175781
2019-08-05,67.6972427368164
2019-08-06,69.34014892578125
2019-08-07,71.34015655517578
2019-08-08,71.67051696777344
2019-08-09,69.21514129638672
2019-08-12,68.10797119140625
2019-08-13,70.03658294677734
2019-08-14,67.84905242919922
2019-08-15,67.4561996459961
2019-08-16,68.447265625
2019-08-19,68.83121490478516
2019-08-20,68.51870727539062
2019-08-21,69.2686996459961
2019-08-22,68.67941284179688
2019-08-23,65.67045593261719
2019-08-26,66.24534606933594
2019-08-27,65.45488739013672
2019-08-28,65.90399169921875
2019-08-29,67.32322692871094
2019-08-30,67.61064910888672
2019-09-03,66.62257385253906
2019-09-04,68.28434753417969
2019-09-05,71.25752258300781
2019-09-06,71.7425765991211
2019-09-09,71.60784149169922
2019-09-10,72.12881469726562
2019-09-11,75.01217651367188
2019-09-12,73.9522476196289
2019-09-13,73.78158569335938
2019-09-16,73.63787078857422
2019-09-17,72.71268463134766
2019-09-18,72.07491302490234
2019-09-19,71.20362091064453
2019-09-20,71.63479614257812
2019-09-23,71.71561431884766
2019-09-24,71.60784149169922
2019-09-25,72.74858856201172
2019-09-26,72.1827163696289
2019-09-27,69.5867919921875
2019-09-30,71.18565368652344
2019-10-01,69.53288269042969
2019-10-02,67.75437927246094
2019-10-03,69.40713500976562
2019-10-04,72.44319152832031
2019-10-07,72.64979553222656
2019-10-08,70.9610824584961
2019-10-09,72.49707794189453
2019-10-10,76.25175476074219
2019-10-11,76.70983123779297
2019-10-14,76.33258056640625
2019-10-15,77.82366180419922
2019-10-16,76.94339752197266
2019-10-17,78.64105987548828
2019-10-18,78.83866119384766
2019-10-21,80.7429428100586
2019-10-22,79.90758514404297
2019-10-23,80.20401763916016
2019-10-24,80.56330871582031
2019-10-25,80.8956527709961
2019-10-28,82.33285522460938
2019-10-29,81.92862701416016
2019-10-30,81.71305084228516
2019-10-31,81.79387664794922
2019-11-01,88.29714965820312
2019-11-04,88.4588394165039
