,CNP
2015-10-22,13.8732271194458
2015-10-23,13.503373146057129
2015-10-26,13.612156867980957
2015-10-27,13.481616020202637
2015-10-28,13.43810749053955
2015-10-29,13.43810749053955
2015-10-30,13.452611923217773
2015-11-02,13.416350364685059
2015-11-03,13.583147048950195
2015-11-04,13.546886444091797
2015-11-05,13.423600196838379
2015-11-06,12.662132263183594
2015-11-09,12.691143035888672
2015-11-10,12.601393699645996
2015-11-11,12.74852180480957
2015-11-12,12.439558029174805
2015-11-13,12.476335525512695
2015-11-16,12.674957275390625
2015-11-17,12.557256698608398
2015-11-18,12.623465538024902
2015-11-19,12.579325675964355
2015-11-20,12.571968078613281
2015-11-23,12.50576114654541
2015-11-24,12.549901962280273
2015-11-25,12.564613342285156
2015-11-27,12.50576114654541
2015-11-30,12.468982696533203
2015-12-01,12.498405456542969
2015-12-02,12.211509704589844
2015-12-03,12.101164817810059
2015-12-04,12.145303726196289
2015-12-07,12.071739196777344
2015-12-08,12.020244598388672
2015-12-09,12.071739196777344
2015-12-10,11.873116493225098
2015-12-11,12.277717590332031
2015-12-14,12.167373657226562
2015-12-15,12.424843788146973
2015-12-16,12.947142601013184
2015-12-17,13.123695373535156
2015-12-18,12.8220853805542
2015-12-21,12.895649909973145
2015-12-22,12.939786911010742
2015-12-23,13.278176307678223
2015-12-24,13.32231616973877
2015-12-28,13.373808860778809
2015-12-29,13.579789161682129
2015-12-30,13.462085723876953
2015-12-31,13.506218910217285
2016-01-04,13.440017700195312
2016-01-05,13.56507396697998
2016-01-06,13.395881652832031
2016-01-07,13.131051063537598
2016-01-08,13.101628303527832
2016-01-11,12.947142601013184
2016-01-12,12.72645378112793
2016-01-13,12.557256698608398
2016-01-14,12.969212532043457
2016-01-15,12.72645378112793
2016-01-19,12.873576164245605
2016-01-20,12.432196617126465
2016-01-21,12.8220853805542
2016-01-22,13.079557418823242
2016-01-25,12.579325675964355
2016-01-26,12.777950286865234
2016-01-27,12.733808517456055
2016-01-28,12.903005599975586
2016-01-29,13.145761489868164
2016-02-01,13.697491645812988
2016-02-02,13.550358772277832
2016-02-03,14.013813972473145
2016-02-04,13.94024658203125
2016-02-05,13.866682052612305
2016-02-08,13.557716369628906
2016-02-09,13.645992279052734
2016-02-10,13.616568565368652
2016-02-11,13.167457580566406
2016-02-12,13.4061861038208
2016-02-16,13.503173828125
2016-02-17,13.682219505310059
2016-02-18,13.846348762512207
2016-02-19,13.756823539733887
2016-02-22,13.906031608581543
2016-02-23,13.861270904541016
2016-02-24,14.070158958435059
2016-02-25,14.279046058654785
2016-02-26,13.823962211608887
2016-02-29,13.898565292358398
2016-03-01,13.9284086227417
2016-03-02,14.040310859680176
2016-03-03,14.010472297668457
2016-03-04,14.540154457092285
2016-03-07,14.68936538696289
2016-03-08,14.816190719604492
2016-03-09,14.883331298828125
2016-03-10,15.062378883361816
2016-03-11,15.129524230957031
2016-03-14,15.241426467895508
2016-03-15,15.301109313964844
2016-03-16,15.39063549041748
2016-03-17,15.718887329101562
2016-03-18,15.465235710144043
2016-03-21,15.629364967346191
2016-03-22,15.644283294677734
2016-03-23,15.621904373168945
2016-03-24,15.66666316986084
2016-03-28,15.50999641418457
2016-03-29,15.853174209594727
2016-03-30,15.554756164550781
2016-03-31,15.606977462768555
2016-04-01,15.815874099731445
2016-04-04,15.636823654174805
2016-04-05,15.301109313964844
2016-04-06,15.457773208618164
2016-04-07,15.465235710144043
2016-04-08,15.599518775939941
2016-04-11,15.562223434448242
2016-04-12,15.860634803771973
2016-04-13,15.815874099731445
2016-04-14,15.636823654174805
2016-04-15,15.659202575683594
2016-04-18,15.681589126586914
2016-04-19,15.66666316986084
2016-04-20,15.35333251953125
2016-04-21,15.330946922302246
2016-04-22,15.52491569519043
2016-04-25,15.71142578125
2016-04-26,15.741266250610352
2016-04-27,15.987460136413574
2016-04-28,15.935235977172852
2016-04-29,16.00238037109375
2016-05-02,16.18889045715332
2016-05-03,15.994915008544922
2016-05-04,16.173969268798828
2016-05-05,16.151588439941406
2016-05-06,16.13666343688965
2016-05-09,16.173969268798828
2016-05-10,16.487300872802734
2016-05-11,16.42015266418457
2016-05-12,16.690404891967773
2016-05-13,16.60736846923828
2016-05-16,16.78853988647461
2016-05-17,16.60736846923828
2016-05-18,16.25257682800293
2016-05-19,16.524328231811523
2016-05-20,16.660205841064453
2016-05-23,16.592267990112305
2016-05-24,16.63001251220703
2016-05-25,16.697946548461914
2016-05-26,16.871578216552734
2016-05-27,16.992359161376953
2016-05-31,17.0074520111084
2016-06-01,17.052743911743164
2016-06-02,17.060291290283203
2016-06-03,17.294309616088867
