,WBA
2016-07-01,58.091121673583984
2016-07-05,58.41283416748047
2016-07-06,57.0350456237793
2016-07-07,56.30067443847656
2016-07-08,57.20988845825195
2016-07-11,57.35675811767578
2016-07-12,56.80424499511719
2016-07-13,57.188907623291016
2016-07-14,58.594688415527344
2016-07-15,57.706459045410156
2016-07-18,57.89529037475586
2016-07-19,57.49663543701172
2016-07-20,57.706459045410156
2016-07-21,57.13995361328125
2016-07-22,56.89516830444336
2016-07-25,57.049041748046875
2016-07-26,56.88116455078125
2016-07-27,55.909034729003906
2016-07-28,55.573333740234375
2016-07-29,55.426456451416016
2016-08-01,55.44043731689453
2016-08-02,55.216636657714844
2016-08-03,55.67123031616211
2016-08-04,55.84608840942383
2016-08-05,56.3216667175293
2016-08-08,56.3916015625
2016-08-09,56.57345199584961
2016-08-10,57.69945526123047
2016-08-11,57.986228942871094
2016-08-12,58.27294921875
2016-08-15,58.475799560546875
2016-08-16,57.90928268432617
2016-08-17,57.97601318359375
2016-08-18,58.06734848022461
2016-08-19,58.025203704833984
2016-08-22,58.13058853149414
2016-08-23,57.87765884399414
2016-08-24,57.23833465576172
2016-08-25,56.33199691772461
2016-08-26,55.77696228027344
2016-08-29,56.451446533203125
2016-08-30,56.57088088989258
2016-08-31,56.70438766479492
2016-09-01,57.28749465942383
2016-09-02,57.76526641845703
2016-09-06,57.35778045654297
2016-09-07,58.22895431518555
2016-09-08,59.48655319213867
2016-09-09,58.25704574584961
2016-09-12,58.71372604370117
2016-09-13,57.786338806152344
2016-09-14,56.894065856933594
2016-09-15,57.18914794921875
2016-09-16,57.25238037109375
2016-09-19,56.774620056152344
2016-09-20,56.65519714355469
2016-09-21,56.613033294677734
2016-09-22,57.87765884399414
2016-09-23,57.645809173583984
2016-09-26,56.683292388916016
2016-09-27,56.88703918457031
2016-09-28,56.66923904418945
2016-09-29,55.65052032470703
2016-09-30,56.64114761352539
2016-10-03,56.47251510620117
2016-10-04,56.374168395996094
2016-10-05,56.56387710571289
2016-10-06,56.41632080078125
2016-10-07,56.12125015258789
2016-10-10,55.95964813232422
2016-10-11,54.85661697387695
2016-10-12,55.01118087768555
2016-10-13,54.94093704223633
2016-10-14,55.018211364746094
2016-10-17,54.80742645263672
2016-10-18,54.85661697387695
2016-10-19,54.22431182861328
2016-10-20,56.92215347290039
2016-10-21,57.30856704711914
2016-10-24,58.39054489135742
2016-10-25,57.926841735839844
2016-10-26,57.82146072387695
2016-10-27,57.723106384277344
2016-10-28,56.978370666503906
2016-10-31,58.1235466003418
2016-11-01,57.933876037597656
2016-11-02,57.561519622802734
2016-11-03,56.75355911254883
2016-11-04,56.451446533203125
2016-11-07,57.224273681640625
2016-11-08,56.26877975463867
2016-11-09,57.28749465942383
2016-11-10,56.81678009033203
2016-11-11,56.9432373046875
2016-11-14,57.44207000732422
2016-11-15,58.77957534790039
2016-11-16,58.716068267822266
2016-11-17,59.280704498291016
2016-11-18,58.77250671386719
2016-11-21,59.584197998046875
2016-11-22,59.231300354003906
2016-11-23,59.32307052612305
2016-11-25,59.591278076171875
2016-11-28,60.240570068359375
2016-11-29,60.367645263671875
2016-11-30,59.80299377441406
2016-12-01,59.44304275512695
2016-12-02,60.07118606567383
2016-12-05,59.99356460571289
2016-12-06,59.788875579833984
2016-12-07,59.98646545410156
2016-12-08,59.485389709472656
2016-12-09,60.974609375
2016-12-12,61.15106201171875
2016-12-13,61.920433044433594
2016-12-14,60.51584243774414
2016-12-15,60.501747131347656
2016-12-16,60.75583267211914
2016-12-19,60.74170684814453
2016-12-20,60.897003173828125
2016-12-21,60.59349060058594
2016-12-22,59.47833251953125
2016-12-23,59.485389709472656
2016-12-27,59.63361740112305
2016-12-28,58.99836349487305
2016-12-29,58.92073440551758
2016-12-30,58.41255569458008
2017-01-03,58.5537223815918
2017-01-04,58.56784439086914
2017-01-05,58.60311508178711
2017-01-06,58.652530670166016
2017-01-09,58.26432800292969
2017-01-10,58.349021911621094
2017-01-11,59.591278076171875
2017-01-12,59.231300354003906
2017-01-13,59.160709381103516
2017-01-17,59.44304275512695
2017-01-18,59.37245559692383
2017-01-19,58.927791595458984
2017-01-20,57.678524017333984
2017-01-23,57.558536529541016
2017-01-24,57.33268356323242
2017-01-25,57.89729309082031
2017-01-26,57.36090850830078
2017-01-27,57.523231506347656
2017-01-30,57.50912857055664
2017-01-31,57.833770751953125
2017-02-01,57.198570251464844
2017-02-02,56.88096618652344
2017-02-03,56.79624938964844
2017-02-06,57.0291748046875
2017-02-07,57.473846435546875
2017-02-08,57.54441452026367
2017-02-09,58.14434051513672
2017-02-10,58.800743103027344
2017-02-13,59.15168762207031
2017-02-14,59.40694808959961
2017-02-15,59.733070373535156
2017-02-16,60.725685119628906
2017-02-17,60.87457275390625
2017-02-21,61.264530181884766
2017-02-22,61.1794548034668
2017-02-23,61.67572784423828
2017-02-24,62.11531066894531
2017-02-27,61.83881759643555
2017-02-28,61.24324417114258
2017-03-01,61.51974868774414
2017-03-02,61.49848175048828
2017-03-03,60.895851135253906
2017-03-06,60.88875961303711
2017-03-07,60.96673583984375
2017-03-08,60.37828063964844
2017-03-09,60.48462677001953
2017-03-10,60.711490631103516
2017-03-13,60.69731521606445
2017-03-14,60.54844284057617
2017-03-15,60.832035064697266
2017-03-16,60.739845275878906
2017-03-17,60.910003662109375
2017-03-20,60.00250244140625
2017-03-21,58.99573516845703
2017-03-22,58.86809158325195
2017-03-23,58.83266067504883
2017-03-24,58.82554626464844
2017-03-27,59.243858337402344
2017-03-28,59.37147903442383
2017-03-29,59.39275360107422
2017-03-30,59.066612243652344
2017-03-31,58.882293701171875
2017-04-03,58.81138610839844
2017-04-04,58.492340087890625
2017-04-05,57.549373626708984
2017-04-06,57.89678192138672
2017-04-07,58.37180709838867
2017-04-10,58.499412536621094
2017-04-11,58.619964599609375
2017-04-12,58.54196548461914
2017-04-13,58.47816467285156
2017-04-17,58.93900680541992
2017-04-18,58.71921920776367
2017-04-19,59.20841979980469
2017-04-20,59.65508270263672
2017-04-21,59.577091217041016
2017-04-24,59.75435256958008
2017-04-25,60.917118072509766
2017-04-26,60.917118072509766
2017-04-27,60.895851135253906
2017-04-28,61.3566780090332
2017-05-01,61.29997253417969
2017-05-02,60.8391227722168
2017-05-03,60.8249397277832
2017-05-04,61.009281158447266
2017-05-05,60.895851135253906
2017-05-08,60.860382080078125
2017-05-09,60.95964050292969
2017-05-10,60.704402923583984
2017-05-11,60.61932373046875
2017-05-12,60.44207763671875
2017-05-15,60.23646545410156
2017-05-16,60.18306350708008
2017-05-17,58.20330810546875
2017-05-18,58.0039176940918
2017-05-19,57.40571975708008
2017-05-22,57.925559997558594
2017-05-23,57.85434341430664
2017-05-24,57.38435745239258
2017-05-25,57.50542068481445
2017-05-26,57.86148452758789
2017-05-30,57.08525085449219
2017-05-31,57.69768142700195
2017-06-01,58.52375411987305
2017-06-02,59.17893600463867
2017-06-05,59.37833786010742
2017-06-06,58.0039176940918
2017-06-07,58.01103210449219
2017-06-08,58.018150329589844
2017-06-09,57.67633056640625
2017-06-12,58.26027297973633
2017-06-13,58.253173828125
2017-06-14,59.02227020263672
2017-06-15,58.79438781738281
2017-06-16,55.86037826538086
2017-06-19,56.835994720458984
2017-06-20,55.76066207885742
2017-06-21,55.63246536254883
2017-06-22,54.38623046875
2017-06-23,54.36486053466797
2017-06-26,55.21232986450195
2017-06-27,55.020042419433594
2017-06-28,54.898963928222656
2017-06-29,55.810516357421875
2017-06-30,55.76778030395508
2017-07-03,55.63959503173828
2017-07-05,56.0028076171875
2017-07-06,55.347618103027344
2017-07-07,55.16959762573242
2017-07-10,54.94881820678711
2017-07-11,55.04140090942383
2017-07-12,55.20518493652344
2017-07-13,55.55412292480469
2017-07-14,56.195068359375
2017-07-17,56.38734436035156
2017-07-18,56.02415466308594
2017-07-19,56.65794372558594
2017-07-20,56.82887649536133
2017-07-21,56.18796157836914
2017-07-24,56.68644714355469
2017-07-25,57.014034271240234
2017-07-26,56.03126907348633
2017-07-27,56.10249328613281
2017-07-28,56.7006950378418
2017-07-31,57.44843292236328
2017-08-01,57.776031494140625
2017-08-02,57.70481491088867
2017-08-03,57.71905517578125
2017-08-04,57.72617721557617
2017-08-07,58.046634674072266
2017-08-08,57.74041748046875
2017-08-09,57.882843017578125
2017-08-10,56.79327392578125
2017-08-11,57.484066009521484
2017-08-14,58.06087875366211
2017-08-15,57.776031494140625
2017-08-16,58.15534591674805
2017-08-17,57.89054870605469
2017-08-18,57.27504348754883
2017-08-21,57.682987213134766
2017-08-22,58.169639587402344
2017-08-23,58.226898193359375
2017-08-24,57.61142349243164
2017-08-25,58.06230163574219
2017-08-28,58.083770751953125
2017-08-29,58.269832611083984
2017-08-30,58.5274772644043
2017-08-31,58.327091217041016
2017-09-01,58.126705169677734
2017-09-05,58.29846954345703
2017-09-06,58.51316833496094
2017-09-07,58.37004852294922
2017-09-08,58.248374938964844
2017-09-11,58.885311126708984
2017-09-12,59.21451950073242
2017-09-13,59.20736312866211
2017-09-14,58.692073822021484
2017-09-15,59.042762756347656
2017-09-18,59.11433029174805
2017-09-19,58.119544982910156
2017-09-20,56.42340087890625
2017-09-21,55.96540069580078
2017-09-22,56.11568069458008
2017-09-25,56.5092887878418
2017-09-26,56.59518051147461
2017-09-27,55.92958450317383
2017-09-28,55.47871780395508
2017-09-29,55.26403045654297
2017-10-02,54.8203010559082
2017-10-03,54.95628356933594
2017-10-04,54.269248962402344
2017-10-05,55.07078552246094
2017-10-06,52.387027740478516
2017-10-09,50.719512939453125
2017-10-10,49.98953628540039
2017-10-11,49.32396697998047
2017-10-12,49.38121032714844
2017-10-13,48.35064697265625
2017-10-16,48.171722412109375
2017-10-17,48.236141204833984
2017-10-18,48.47947311401367
2017-10-19,48.0930061340332
2017-10-20,48.70847702026367
2017-10-23,48.31486129760742
2017-10-24,48.15742111206055
2017-10-25,49.63885498046875
2017-10-26,48.02859878540039
2017-10-27,46.146392822265625
2017-10-30,47.42028045654297
2017-10-31,47.42743682861328
2017-11-01,47.957035064697266
2017-11-02,47.79243469238281
2017-11-03,47.856842041015625
2017-11-06,47.1912727355957
2017-11-07,48.60829544067383
2017-11-08,49.30965042114258
2017-11-09,49.767677307128906
2017-11-10,51.099334716796875
2017-11-13,50.653045654296875
2017-11-14,50.81139373779297
2017-11-15,50.530677795410156
2017-11-16,51.322471618652344
2017-11-17,51.286468505859375
2017-11-20,50.94816970825195
2017-11-21,51.22169494628906
2017-11-22,51.344058990478516
2017-11-24,50.588260650634766
2017-11-27,49.94762420654297
2017-11-28,51.999088287353516
2017-11-29,51.76874542236328
2017-11-30,52.37337875366211
2017-12-01,51.43043518066406
2017-12-04,51.516815185546875
2017-12-05,50.516292572021484
2017-12-06,51.14251708984375
2017-12-07,50.10597229003906
2017-12-08,51.50242233276367
2017-12-11,51.73996353149414
2017-12-12,51.83353042602539
2017-12-13,51.62479019165039
2017-12-14,50.64584732055664
2017-12-15,51.78314971923828
