,GOOG
2017-10-11,49.28541564941406
2017-10-12,49.21466827392578
2017-10-13,49.30683517456055
2017-10-16,49.422420501708984
2017-10-17,49.43138885498047
2017-10-18,49.46277618408203
2017-10-19,49.04627227783203
2017-10-20,49.233097076416016
2017-10-23,48.24913787841797
2017-10-24,48.3532600402832
2017-10-25,48.49225997924805
2017-10-26,48.45389938354492
2017-10-27,50.78104019165039
2017-10-30,50.67342758178711
2017-10-31,50.6500129699707
2017-11-01,51.09142303466797
2017-11-02,51.09540557861328
2017-11-03,51.43917465209961
2017-11-06,51.11135482788086
2017-11-07,51.48152160644531
2017-11-08,51.80635452270508
2017-11-09,51.37839126586914
2017-11-10,51.219459533691406
2017-11-13,51.103878021240234
2017-11-14,51.1163330078125
2017-11-15,50.86274337768555
2017-11-16,51.44017028808594
2017-11-17,50.77206802368164
2017-11-20,50.736698150634766
2017-11-21,51.53931427001953
2017-11-22,51.612548828125
2017-11-24,51.84421920776367
2017-11-27,52.52178192138672
2017-11-28,52.18299865722656
2017-11-29,50.90011215209961
2017-11-30,50.887657165527344
2017-12-01,50.327667236328125
2017-12-04,49.75522232055664
2017-12-05,50.07756805419922
2017-12-06,50.736698150634766
2017-12-07,51.36195373535156
2017-12-08,51.6668586730957
2017-12-11,51.868629455566406
2017-12-12,51.837738037109375
2017-12-13,51.84421920776367
2017-12-14,52.26968765258789
2017-12-15,53.01899719238281
2017-12-18,53.66417694091797
2017-12-19,53.34233856201172
2017-12-20,53.056861877441406
2017-12-21,52.99109649658203
2017-12-22,52.816226959228516
2017-12-26,52.64783477783203
2017-12-27,52.2806510925293
2017-12-28,52.2193717956543
2017-12-29,52.13268280029297
2018-01-02,53.05935287475586
2018-01-03,53.93022537231445
2018-01-04,54.125518798828125
2018-01-05,54.914188385009766
2018-01-08,55.14884567260742
2018-01-09,55.11496353149414
2018-01-10,54.93312072753906
2018-01-11,55.07809829711914
2018-01-12,55.91210174560547
2018-01-16,55.8871955871582
2018-01-17,56.3963623046875
2018-01-18,56.28725051879883
2018-01-19,56.671875
2018-01-22,57.58359909057617
2018-01-23,58.2890625
2018-01-24,58.00358963012695
2018-01-25,58.308990478515625
2018-01-26,58.581512451171875
2018-01-29,58.56855773925781
2018-01-30,57.97618865966797
2018-01-31,58.287567138671875
2018-02-01,58.17596435546875
2018-02-02,55.39595413208008
2018-02-05,52.60099792480469
2018-02-06,53.8365592956543
2018-02-07,52.24129104614258
2018-02-08,49.8967170715332
2018-02-09,51.703224182128906
2018-02-12,52.40869140625
2018-02-13,52.41666030883789
2018-02-14,53.293514251708984
2018-02-15,54.280967712402344
2018-02-16,54.54402160644531
2018-02-20,54.9256477355957
2018-02-21,55.36806106567383
2018-02-22,55.133399963378906
2018-02-23,56.137794494628906
2018-02-26,56.98275375366211
2018-02-27,55.71431350708008
2018-02-28,55.03874206542969
2018-03-01,53.2845458984375
2018-03-02,53.75286102294922
2018-03-05,54.35121154785156
2018-03-06,54.556968688964844
2018-03-07,55.28335952758789
2018-03-08,56.09843063354492
2018-03-09,57.79433822631836
2018-03-12,58.01654052734375
2018-03-13,56.70475387573242
2018-03-14,57.26872253417969
2018-03-15,57.27321243286133
2018-03-16,56.583187103271484
2018-03-19,54.79411697387695
2018-03-20,54.689002990722656
2018-03-21,54.34872055053711
2018-03-22,52.26620101928711
2018-03-23,50.895626068115234
2018-03-26,52.47196578979492
2018-03-27,50.07508087158203
2018-03-28,50.04817581176758
2018-03-29,51.4047966003418
2018-04-02,50.14332962036133
2018-04-03,50.48909378051758
2018-04-04,51.073490142822266
2018-04-05,51.20650863647461
2018-04-06,50.171730041503906
2018-04-09,50.59071731567383
