,STLD
2017-11-08,32.46533966064453
2017-11-09,31.966808319091797
2017-11-10,32.001182556152344
2017-11-13,32.10432815551758
2017-11-14,31.41668128967285
2017-11-15,31.8206787109375
2017-11-16,31.760515213012695
2017-11-17,31.674551010131836
2017-11-20,32.08713912963867
2017-11-21,32.2332649230957
2017-11-22,32.42236328125
2017-11-24,32.224674224853516
2017-11-27,32.1129264831543
2017-11-28,31.941009521484375
2017-11-29,32.551300048828125
2017-11-30,33.09281539916992
2017-12-01,32.93809127807617
2017-12-04,34.20165252685547
2017-12-05,33.29051971435547
2017-12-06,33.70309829711914
2017-12-07,34.158668518066406
2017-12-08,34.98384094238281
2017-12-11,34.98384094238281
2017-12-12,34.9322624206543
2017-12-13,35.39642333984375
2017-12-14,34.244625091552734
2017-12-15,34.253211975097656
2017-12-18,35.13855743408203
2017-12-19,35.58552169799805
2017-12-20,37.22727966308594
2017-12-21,37.35620880126953
2017-12-22,37.184295654296875
2017-12-26,37.54530715942383
2017-12-27,37.12411880493164
2017-12-28,37.80130386352539
2017-12-29,37.20607376098633
2018-01-02,38.69845962524414
2018-01-03,39.3454475402832
2018-01-04,39.63874816894531
2018-01-05,39.33681869506836
2018-01-08,39.6559944152832
2018-01-09,38.914119720458984
2018-01-10,39.72500991821289
2018-01-11,40.64804458618164
2018-01-12,40.553157806396484
2018-01-16,40.095947265625
2018-01-17,40.35474395751953
2018-01-18,39.90617752075195
2018-01-19,40.044193267822266
2018-01-22,40.17359161376953
2018-01-23,39.992435455322266
2018-01-24,40.510032653808594
2018-01-25,39.98381042480469
2018-01-26,40.96724319458008
2018-01-29,40.820579528808594
2018-01-30,40.35474395751953
2018-01-31,39.1642951965332
2018-02-01,39.302310943603516
2018-02-02,38.08597183227539
2018-02-05,37.29233932495117
2018-02-06,38.206756591796875
2018-02-07,38.26713562011719
2018-02-08,36.904144287109375
2018-02-09,37.58564758300781
2018-02-12,38.57769012451172
2018-02-13,38.69845962524414
2018-02-14,40.36336898803711
2018-02-15,40.66530227661133
2018-02-16,42.614891052246094
2018-02-20,42.1490592956543
2018-02-21,41.52794647216797
2018-02-22,41.40718460083008
2018-02-23,40.949989318847656
2018-02-26,41.42442321777344
2018-02-27,40.9844856262207
2018-02-28,39.89754867553711
2018-03-01,41.49345016479492
2018-03-02,41.691864013671875
2018-03-05,40.81196212768555
2018-03-06,40.518646240234375
2018-03-07,40.82920455932617
2018-03-08,39.681888580322266
2018-03-09,39.975181579589844
2018-03-12,40.52728271484375
2018-03-13,40.75157928466797
2018-03-14,40.604915618896484
2018-03-15,40.05282974243164
2018-03-16,40.50139236450195
2018-03-19,39.41445541381836
2018-03-20,39.19017028808594
2018-03-21,40.02694320678711
2018-03-22,37.024925231933594
2018-03-23,36.51596450805664
2018-03-26,37.55976104736328
2018-03-27,37.11981201171875
2018-03-28,36.99677658081055
2018-03-29,38.31376266479492
2018-04-02,37.11808395385742
2018-04-03,38.17512893676758
2018-04-04,38.50437927246094
2018-04-05,39.45744705200195
2018-04-06,37.6725959777832
2018-04-09,37.845882415771484
2018-04-10,39.11955261230469
2018-04-11,38.08848571777344
2018-04-12,39.067569732666016
2018-04-13,38.625675201416016
2018-04-16,38.98958206176758
2018-04-17,40.150604248046875
2018-04-18,40.98238754272461
2018-04-19,40.8524169921875
2018-04-20,40.44518280029297
2018-04-23,39.622066497802734
2018-04-24,39.63074493408203
2018-04-25,40.15926742553711
2018-04-26,40.80043411254883
2018-04-27,39.48344039916992
2018-04-30,38.824954986572266
2018-05-01,38.22711944580078
2018-05-02,38.72964859008789
2018-05-03,38.74698257446289
2018-05-04,40.0119743347168
2018-05-07,40.20259094238281
2018-05-08,40.28922653198242
2018-05-09,40.653141021728516
2018-05-10,41.39826965332031
2018-05-11,41.78817367553711
2018-05-14,42.07408905029297
2018-05-15,42.84521484375
2018-05-16,44.136192321777344
2018-05-17,44.51742935180664
2018-05-18,44.06689453125
2018-05-21,43.72032165527344
2018-05-22,43.68565368652344
2018-05-23,43.12247848510742
2018-05-24,43.139801025390625
2018-05-25,42.8365478515625
2018-05-29,42.160736083984375
2018-05-30,43.22644805908203
