,HRL
2018-11-19,39.18916320800781
2018-11-20,38.834938049316406
2018-11-21,39.24962615966797
2018-11-23,39.45698165893555
2018-11-26,39.491546630859375
2018-11-27,38.86949157714844
2018-11-28,38.783103942871094
2018-11-29,39.07683563232422
2018-11-30,38.95588684082031
2018-12-03,39.344669342041016
2018-12-04,38.80037307739258
2018-12-06,38.82628631591797
2018-12-07,38.30792236328125
2018-12-10,38.23879623413086
2018-12-11,38.757179260253906
2018-12-12,39.025001525878906
2018-12-13,39.145957946777344
2018-12-14,38.50662612915039
2018-12-17,37.297080993652344
2018-12-18,37.37484359741211
2018-12-19,37.158851623535156
2018-12-20,36.96877670288086
2018-12-21,36.75278854370117
2018-12-24,35.344547271728516
2018-12-26,36.57999801635742
2018-12-27,36.77007293701172
2018-12-28,36.60591125488281
2018-12-31,36.873741149902344
2019-01-02,35.707401275634766
2019-01-03,36.00979232788086
2019-01-04,36.027061462402344
2019-01-07,36.45904541015625
2019-01-08,36.5540885925293
2019-01-09,36.84783172607422
2019-01-10,37.36619567871094
2019-01-11,36.93211364746094
2019-01-14,37.07970428466797
2019-01-15,37.75688171386719
2019-01-16,37.192562103271484
2019-01-17,37.63533020019531
2019-01-18,38.06074142456055
2019-01-22,37.21861267089844
2019-01-23,37.08838653564453
2019-01-24,36.098670959472656
2019-01-25,35.99449920654297
2019-01-28,36.32439041137695
2019-01-29,36.246253967285156
2019-01-30,36.05525588989258
2019-01-31,36.74111557006836
2019-02-01,36.46330261230469
2019-02-04,36.498016357421875
2019-02-05,36.602210998535156
2019-02-06,36.558799743652344
2019-02-07,36.88002014160156
2019-02-08,37.279380798339844
2019-02-11,37.45302200317383
2019-02-12,37.99997329711914
2019-02-13,37.765567779541016
2019-02-14,37.3748893737793
2019-02-15,37.5051155090332
2019-02-19,37.59192657470703
2019-02-20,37.4443359375
2019-02-21,36.454627990722656
2019-02-22,37.25333786010742
2019-02-25,36.92343521118164
2019-02-26,36.61088943481445
2019-02-27,37.25333786010742
2019-02-28,37.64402389526367
2019-03-01,37.6700553894043
2019-03-04,37.348846435546875
2019-03-05,37.75688171386719
2019-03-06,37.73952102661133
2019-03-07,37.71348190307617
2019-03-08,37.32279968261719
2019-03-11,37.288063049316406
2019-03-12,36.81925582885742
2019-03-13,37.1491584777832
2019-03-14,37.07101821899414
2019-03-15,36.94948196411133
2019-03-18,36.940799713134766
2019-03-19,36.914756774902344
2019-03-20,36.723758697509766
2019-03-21,37.42697525024414
2019-03-22,37.843692779541016
2019-03-25,38.26042556762695
2019-03-26,38.52955627441406
2019-03-27,38.15624237060547
2019-03-28,38.555606842041016
2019-03-29,38.859458923339844
2019-04-01,38.00864791870117
2019-04-02,37.40092849731445
2019-04-03,36.40254211425781
2019-04-04,36.098670959472656
2019-04-05,36.40254211425781
2019-04-08,36.74111557006836
2019-04-09,36.246253967285156
2019-04-10,36.246253967285156
2019-04-11,36.0813102722168
2019-04-12,35.906795501708984
2019-04-15,35.863155364990234
2019-04-16,35.583927154541016
2019-04-17,35.53157043457031
2019-04-18,35.243629455566406
2019-04-22,35.27853012084961
2019-04-23,34.24015808105469
2019-04-24,34.73752975463867
2019-04-25,34.60663604736328
2019-04-26,34.85096740722656
2019-04-29,34.45830154418945
2019-04-30,34.85096740722656
2019-05-01,34.07435989379883
2019-05-02,34.64155578613281
2019-05-03,34.62410354614258
2019-05-06,34.379764556884766
2019-05-07,33.85621643066406
2019-05-08,34.318687438964844
2019-05-09,34.47575759887695
2019-05-10,34.78115463256836
2019-05-13,34.536834716796875
2019-05-14,34.38850021362305
2019-05-15,34.519378662109375
2019-05-16,34.74625015258789
2019-05-17,34.72008514404297
2019-05-20,34.658992767333984
2019-05-21,34.74625015258789
2019-05-22,34.45830154418945
2019-05-23,34.144168853759766
2019-05-24,35.138916015625
2019-05-28,33.90857696533203
2019-05-29,34.22270584106445
2019-05-30,34.571739196777344
2019-05-31,34.45830154418945
2019-06-03,35.269798278808594
2019-06-04,35.20872497558594
2019-06-05,36.14238357543945
2019-06-06,36.203460693359375
2019-06-07,36.69211959838867
2019-06-10,36.186012268066406
2019-06-11,36.50886535644531
2019-06-12,36.25583267211914
2019-06-13,36.430335998535156
2019-06-14,36.15110397338867
2019-06-17,35.74100112915039
2019-06-18,35.6624641418457
2019-06-19,35.93296432495117
2019-06-20,36.264549255371094
2019-06-21,36.13365936279297
2019-06-24,36.77064514160156
2019-06-25,35.33960723876953
2019-06-26,35.016754150390625
2019-06-27,35.138916015625
2019-06-28,35.374515533447266
2019-07-01,35.6973762512207
2019-07-02,35.95042419433594
2019-07-03,36.447792053222656
2019-07-05,36.212196350097656
2019-07-08,36.098758697509766
2019-07-09,35.93296432495117
2019-07-10,36.03767776489258
2019-07-11,35.96786880493164
2019-07-12,35.967864990234375
2019-07-15,36.16958999633789
2019-07-16,36.16082000732422
2019-07-17,36.13450622558594
2019-07-18,36.65196990966797
2019-07-19,36.187137603759766
2019-07-22,36.27484130859375
2019-07-23,36.090660095214844
2019-07-24,35.44163513183594
2019-07-25,35.810001373291016
2019-07-26,36.29238510131836
2019-07-29,36.34499740600586
2019-07-30,36.51163864135742
2019-07-31,35.9503288269043
2019-08-01,36.16082000732422
2019-08-02,36.27484130859375
2019-08-05,35.722293853759766
2019-08-06,35.53812026977539
2019-08-07,35.86261749267578
2019-08-08,36.6431999206543
2019-08-09,36.58179473876953
2019-08-12,36.68705368041992
2019-08-13,36.65196990966797
2019-08-14,35.68721389770508
2019-08-15,36.301151275634766
2019-08-16,36.35376739501953
2019-08-19,36.14327621459961
2019-08-20,35.871402740478516
2019-08-21,35.93278884887695
2019-08-22,37.66935348510742
2019-08-23,36.836151123046875
2019-08-26,37.38869857788086
2019-08-27,37.195735931396484
2019-08-28,37.099266052246094
2019-08-29,37.23081970214844
2019-08-30,37.371150970458984
2019-09-03,37.5728645324707
2019-09-04,37.30098342895508
2019-09-05,37.318538665771484
2019-09-06,37.36238479614258
2019-09-09,37.63425827026367
2019-09-10,38.30082321166992
2019-09-11,39.0638542175293
2019-09-12,38.59025192260742
2019-09-13,37.69565963745117
2019-09-16,37.56410217285156
2019-09-17,37.862300872802734
2019-09-18,37.6781120300293
2019-09-19,37.6781120300293
2019-09-20,37.660579681396484
2019-09-23,37.36238479614258
2019-09-24,37.6781120300293
2019-09-25,37.9763298034668
2019-09-26,38.186798095703125
2019-09-27,38.186798095703125
2019-09-30,38.35344696044922
2019-10-01,38.25696563720703
2019-10-02,37.48516845703125
2019-10-03,37.75705337524414
2019-10-04,38.362213134765625
2019-10-07,38.32714080810547
2019-10-08,37.78336715698242
2019-10-09,37.5728645324707
2019-10-10,36.54671859741211
2019-10-11,36.09942626953125
2019-10-14,35.93278884887695
2019-10-15,35.967864990234375
2019-10-16,35.57319259643555
2019-10-17,35.836307525634766
2019-10-18,35.97737503051758
2019-10-21,35.82749557495117
2019-10-22,35.73051071166992
2019-10-23,35.95090866088867
2019-10-24,36.03025817871094
2019-10-25,35.765777587890625
2019-10-28,35.69525909423828
2019-10-29,36.00381088256836
2019-10-30,36.04789352416992
2019-10-31,36.04789352416992
2019-11-01,36.37407684326172
2019-11-04,36.74434280395508
2019-11-05,36.691444396972656
2019-11-06,36.67381286621094
2019-11-07,36.700260162353516
2019-11-08,36.999996185302734
2019-11-11,36.691444396972656
2019-11-12,36.83250427246094
2019-11-13,37.158687591552734
2019-11-14,37.229209899902344
2019-11-15,37.361454010009766
2019-11-18,37.652366638183594
2019-11-19,37.67881393432617
2019-11-20,37.77579116821289
2019-11-21,37.661190032958984
2019-11-22,37.29974365234375
2019-11-25,37.69644546508789
2019-11-26,39.03645706176758
2019-11-27,39.565406799316406
2019-11-29,39.25685501098633
2019-12-02,40.05027770996094
2019-12-03,40.147247314453125
2019-12-04,39.89158630371094
2019-12-05,40.34119415283203
2019-12-06,39.97093200683594
2019-12-09,39.98857116699219
2019-12-10,40.20014572143555
2019-12-11,40.16488265991211
2019-12-12,39.9797477722168
2019-12-13,39.58303451538086
2019-12-16,39.55659484863281
2019-12-17,39.23040771484375
2019-12-18,39.159873962402344
2019-12-19,39.40672302246094
2019-12-20,39.63594055175781
2019-12-23,40.02382278442383
2019-12-24,39.9797477722168
2019-12-26,39.9356803894043
2019-12-27,39.90040588378906
2019-12-30,39.671199798583984
2019-12-31,39.76816940307617
2020-01-02,39.06290054321289
2020-01-03,39.010013580322266
2020-01-06,39.02763366699219
2020-01-07,39.26566696166992
2020-01-08,39.309749603271484
2020-01-09,39.221588134765625
2020-01-10,39.79142379760742
2020-01-13,40.677650451660156
2020-01-14,40.27885437011719
2020-01-15,40.14592361450195
2020-01-16,40.784000396728516
2020-01-17,41.03213882446289
2020-01-21,41.60818099975586
2020-01-22,41.27142333984375
2020-01-23,41.64363098144531
2020-01-24,41.8563232421875
2020-01-27,41.492977142333984
