,DHR
2015-07-15,36.456932067871094
2015-07-16,36.60964584350586
2015-07-17,36.61790084838867
2015-07-20,36.560115814208984
2015-07-21,36.23405456542969
2015-07-22,36.262943267822266
2015-07-23,36.75410079956055
2015-07-24,36.22993850708008
2015-07-27,35.99879837036133
2015-07-28,36.485816955566406
2015-07-29,37.52178955078125
2015-07-30,37.91389846801758
2015-07-31,37.790069580078125
2015-08-03,37.69514465332031
2015-08-04,37.872615814208984
2015-08-05,38.0789909362793
2015-08-06,37.79419708251953
2015-08-07,37.583709716796875
2015-08-10,37.95103454589844
2015-08-11,37.583709716796875
2015-08-12,37.26589584350586
2015-08-13,37.32367706298828
2015-08-14,37.52591323852539
2015-08-17,37.82722091674805
2015-08-18,37.76943588256836
2015-08-19,37.40623092651367
2015-08-20,36.63440704345703
2015-08-21,35.88735580444336
2015-08-24,34.69042205810547
2015-08-25,34.35197830200195
2015-08-26,35.771793365478516
2015-08-27,36.510589599609375
2015-08-28,36.34550094604492
2015-08-31,35.9162483215332
2015-09-01,34.995849609375
2015-09-02,35.6108283996582
2015-09-03,35.858463287353516
2015-09-04,35.3260383605957
2015-09-08,36.12674331665039
2015-09-09,35.66447448730469
2015-09-10,35.515892028808594
2015-09-11,35.84196090698242
2015-09-14,35.81306457519531
2015-09-15,36.485816955566406
2015-09-16,36.84490203857422
2015-09-17,36.374393463134766
2015-09-18,35.581939697265625
2015-09-21,35.668609619140625
2015-09-22,35.317787170410156
2015-09-23,35.35905838012695
2015-09-24,35.09077835083008
2015-09-25,35.20221710205078
2015-09-28,34.009403228759766
2015-09-29,34.343727111816406
2015-09-30,35.22634506225586
2015-10-01,35.27595901489258
2015-10-02,35.82579040527344
2015-10-05,36.39216232299805
2015-10-06,36.06142807006836
2015-10-07,36.561649322509766
2015-10-08,36.747684478759766
2015-10-09,36.59059143066406
2015-10-12,36.99159622192383
2015-10-13,36.871707916259766
2015-10-14,36.478973388671875
2015-10-15,36.81796646118164
2015-10-16,36.76836013793945
2015-10-19,36.85517120361328
2015-10-20,36.97093200683594
2015-10-21,36.84276580810547
2015-10-22,38.851924896240234
