,AEP
2015-09-21,40.01068878173828
2015-09-22,39.377418518066406
2015-09-23,39.59330749511719
2015-09-24,39.90994644165039
2015-09-25,40.291343688964844
2015-09-28,40.19778823852539
2015-09-29,40.3920783996582
2015-09-30,40.917396545410156
2015-10-01,40.39927673339844
2015-10-02,40.528812408447266
2015-10-05,41.34917068481445
2015-10-06,40.744693756103516
2015-10-07,40.32732391357422
2015-10-08,40.92460250854492
2015-10-09,40.831050872802734
2015-10-12,41.42113494873047
2015-10-13,41.485904693603516
2015-10-14,41.845706939697266
2015-10-15,42.25589370727539
2015-10-16,42.126365661621094
2015-10-19,42.1623420715332
2015-10-20,42.21271514892578
2015-10-21,42.41420364379883
2015-10-22,42.579715728759766
2015-10-23,41.363563537597656
2015-10-26,41.60824203491211
2015-10-27,41.50028991699219
2015-10-28,41.068519592285156
2015-10-29,40.44965362548828
2015-10-30,40.76628112792969
2015-11-02,40.938987731933594
2015-11-03,40.8382453918457
2015-11-04,40.8094596862793
2015-11-05,40.65114974975586
2015-11-06,39.219303131103516
2015-11-09,39.560909271240234
2015-11-10,40.04788589477539
2015-11-11,40.38222122192383
2015-11-12,40.2077751159668
2015-11-13,40.01881408691406
2015-11-16,40.85465621948242
2015-11-17,40.01154327392578
2015-11-18,40.273193359375
2015-11-19,40.934600830078125
2015-11-20,41.0944938659668
2015-11-23,40.69474792480469
2015-11-24,40.54939270019531
2015-11-25,40.418556213378906
2015-11-27,40.658409118652344
2015-11-30,40.709285736083984
2015-12-01,41.232601165771484
2015-12-02,40.21504592895508
2015-12-03,39.75715637207031
2015-12-04,40.58572006225586
2015-12-07,40.88373947143555
2015-12-08,40.614803314208984
2015-12-09,40.88373947143555
2015-12-10,39.88798904418945
2015-12-11,39.65541076660156
2015-12-14,39.640872955322266
2015-12-15,40.7310905456543
2015-12-16,41.43611145019531
2015-12-17,41.73410415649414
2015-12-18,40.905517578125
2015-12-21,41.101768493652344
2015-12-22,41.58147430419922
2015-12-23,42.33736038208008
2015-12-24,42.44639587402344
2015-12-28,42.59176254272461
2015-12-29,42.80252456665039
2015-12-30,42.8098030090332
2015-12-31,42.351898193359375
2016-01-04,42.39551544189453
2016-01-05,42.74439239501953
2016-01-06,42.9042854309082
2016-01-07,42.410057067871094
2016-01-08,42.34464645385742
2016-01-11,42.71531295776367
2016-01-12,42.27922058105469
2016-01-13,42.11932373046875
2016-01-14,42.98424530029297
2016-01-15,42.65717315673828
2016-01-19,43.29676818847656
2016-01-20,42.09751510620117
2016-01-21,41.89401626586914
2016-01-22,42.5408821105957
2016-01-25,41.973960876464844
2016-01-26,42.30103302001953
2016-01-27,42.29376220703125
2016-01-28,43.209564208984375
2016-01-29,44.3143196105957
2016-02-01,44.910308837890625
2016-02-02,45.062950134277344
2016-02-03,46.015098571777344
2016-02-04,45.27372741699219
2016-02-05,45.67347717285156
2016-02-08,45.827491760253906
2016-02-09,45.73948669433594
2016-02-10,46.128173828125
2016-02-11,44.962135314941406
2016-02-12,44.441436767578125
2016-02-16,44.8007926940918
2016-02-17,44.80812454223633
2016-02-18,45.798160552978516
2016-02-19,45.402137756347656
2016-02-22,46.091495513916016
2016-02-23,46.025489807128906
2016-02-24,46.208824157714844
2016-02-25,46.85419464111328
2016-02-26,45.079463958740234
2016-02-29,45.28480911254883
2016-03-01,45.2701416015625
2016-03-02,45.38746643066406
2016-03-03,45.29947280883789
2016-03-04,45.78349304199219
2016-03-07,46.37751007080078
2016-03-08,46.64884948730469
2016-03-09,47.15485763549805
2016-03-10,47.03019714355469
2016-03-11,47.10353469848633
2016-03-14,47.09619140625
2016-03-15,47.235530853271484
2016-03-16,47.763545989990234
2016-03-17,47.983558654785156
2016-03-18,47.51421356201172
2016-03-21,47.521549224853516
2016-03-22,47.49954605102539
2016-03-23,47.726890563964844
2016-03-24,47.71221923828125
2016-03-28,47.668209075927734
2016-03-29,48.4235725402832
2016-03-30,48.416236877441406
2016-03-31,48.69491195678711
2016-04-01,49.142250061035156
2016-04-04,48.82692337036133
2016-04-05,47.96156692504883
2016-04-06,48.13022994995117
2016-04-07,48.03489685058594
2016-04-08,48.40892028808594
2016-04-11,48.16689682006836
2016-04-12,48.628902435302734
2016-04-13,48.24758529663086
2016-04-14,48.10091018676758
2016-04-15,48.4382438659668
2016-04-18,48.57758331298828
2016-04-19,48.284236907958984
2016-04-20,46.7148551940918
2016-04-21,45.6588134765625
2016-04-22,46.010833740234375
2016-04-25,46.06215286254883
2016-04-26,46.128173828125
2016-04-27,46.88351821899414
2016-04-28,46.245506286621094
2016-04-29,46.56818389892578
2016-05-02,47.198875427246094
2016-05-03,47.301536560058594
2016-05-04,47.954227447509766
2016-05-05,47.778221130371094
2016-05-06,47.75603485107422
2016-05-09,48.2960205078125
2016-05-10,48.11848449707031
2016-05-11,48.2368278503418
2016-05-12,48.56970977783203
2016-05-13,48.53273391723633
2016-05-16,48.76943588256836
2016-05-17,47.71902847290039
2016-05-18,46.82398986816406
2016-05-19,47.230831146240234
2016-05-20,47.193843841552734
2016-05-23,46.56509017944336
2016-05-24,47.068092346191406
2016-05-25,46.920143127441406
2016-05-26,47.585899353027344
2016-05-27,47.57108688354492
2016-05-31,47.88177490234375
2016-06-01,48.00013732910156
2016-06-02,47.84479522705078
2016-06-03,48.680667877197266
2016-06-06,48.59929656982422
2016-06-07,48.702857971191406
2016-06-08,48.96916198730469
2016-06-09,49.531333923339844
2016-06-10,49.44997787475586
2016-06-13,49.228065490722656
2016-06-14,49.435176849365234
2016-06-15,48.99876022338867
2016-06-16,49.47216033935547
2016-06-17,49.71626281738281
2016-06-20,49.405582427978516
2016-06-21,49.39079666137695
2016-06-22,49.19106674194336
2016-06-23,49.25762939453125
2016-06-24,49.753273010253906
2016-06-27,50.55954360961914
2016-06-28,50.7740592956543
2016-06-29,50.8332405090332
2016-06-30,51.84666061401367
2016-07-01,51.88364028930664
2016-07-05,52.379249572753906
2016-07-06,52.71951675415039
2016-07-07,51.98720932006836
2016-07-08,52.305274963378906
2016-07-11,52.29787063598633
2016-07-12,51.46939468383789
2016-07-13,51.7874870300293
2016-07-14,51.32144546508789
2016-07-15,51.513790130615234
2016-07-18,51.74308776855469
2016-07-19,51.609947204589844
2016-07-20,51.299259185791016
2016-07-21,51.358436584472656
2016-07-22,51.824462890625
2016-07-25,51.609947204589844
2016-07-26,51.58774948120117
2016-07-27,50.93680953979492
2016-07-28,50.981178283691406
2016-07-29,51.26228332519531
2016-08-01,51.26967239379883
2016-08-02,51.04776382446289
2016-08-03,50.63352584838867
2016-08-04,50.7740592956543
2016-08-05,50.18968963623047
2016-08-08,50.08528518676758
2016-08-09,50.264286041259766
2016-08-10,50.391075134277344
2016-08-11,50.510406494140625
2016-08-12,50.38363265991211
2016-08-15,49.6153678894043
2016-08-16,48.988834381103516
2016-08-17,49.600440979003906
2016-08-18,50.271724700927734
2016-08-19,49.50349426269531
2016-08-22,49.6153678894043
2016-08-23,49.436363220214844
2016-08-24,49.48111343383789
2016-08-25,49.50349426269531
2016-08-26,48.25041961669922
2016-08-29,48.615901947021484
2016-08-30,47.97445297241211
2016-08-31,48.160919189453125
2016-09-01,48.04157638549805
2016-09-02,48.6606559753418
2016-09-06,49.257354736328125
2016-09-07,49.264808654785156
2016-09-08,49.30210876464844
2016-09-09,47.51947021484375
2016-09-12,48.26534652709961
2016-09-13,47.594058990478516
2016-09-14,47.75068283081055
2016-09-15,47.95953369140625
2016-09-16,48.339935302734375
2016-09-19,48.794898986816406
2016-09-20,48.489105224609375
2016-09-21,49.369232177734375
2016-09-22,49.675048828125
2016-09-23,49.71979904174805
2016-09-26,49.496036529541016
2016-09-27,48.854583740234375
2016-09-28,48.750160217285156
2016-09-29,48.108707427978516
2016-09-30,47.89241409301758
2016-10-03,47.370296478271484
2016-10-04,46.37828826904297
2016-10-05,46.37828826904297
2016-10-06,46.43050765991211
2016-10-07,46.08738708496094
2016-10-10,46.400665283203125
2016-10-11,45.75176239013672
2016-10-12,46.24403762817383
2016-10-13,46.63934326171875
2016-10-14,46.46778869628906
2016-10-17,46.96752166748047
2016-10-18,47.2658805847168
2016-10-19,47.131622314453125
2016-10-20,46.92277526855469
2016-10-21,46.60205078125
2016-10-24,47.01227951049805
2016-10-25,47.333003997802734
2016-10-26,47.38520431518555
2016-10-27,47.131622314453125
2016-10-28,47.29571533203125
2016-10-31,48.3623046875
2016-11-01,47.273338317871094
2016-11-02,46.69901657104492
2016-11-03,46.93023681640625
2016-11-04,46.54237365722656
2016-11-07,47.16891098022461
2016-11-08,47.6055908203125
2016-11-09,46.11486053466797
2016-11-10,44.977989196777344
2016-11-11,45.16621398925781
2016-11-14,44.21003723144531
2016-11-15,44.767173767089844
2016-11-16,44.41331100463867
2016-11-17,44.31543731689453
2016-11-18,43.99922180175781
2016-11-21,44.661773681640625
2016-11-22,44.54883575439453
2016-11-23,44.28532409667969
2016-11-25,44.962928771972656
2016-11-28,45.851341247558594
2016-11-29,46.129920959472656
2016-11-30,44.45848846435547
