,EFX
2016-11-18,112.40728759765625
2016-11-21,112.75037384033203
2016-11-22,111.48931884765625
2016-11-23,111.33171844482422
2016-11-25,111.32244873046875
2016-11-28,110.5157699584961
2016-11-29,110.63629913330078
2016-11-30,106.12071990966797
2016-12-01,103.42250061035156
2016-12-02,105.73128509521484
2016-12-05,106.00946044921875
2016-12-06,105.2398681640625
2016-12-07,107.54865264892578
2016-12-08,109.04147338867188
2016-12-09,108.63349914550781
2016-12-12,108.51295471191406
2016-12-13,108.00296783447266
2016-12-14,107.41880798339844
2016-12-15,108.60565948486328
2016-12-16,108.45730590820312
2016-12-19,107.57645416259766
2016-12-20,107.64136505126953
2016-12-21,110.01506805419922
2016-12-22,110.25613403320312
2016-12-23,110.94227600097656
2016-12-27,109.95942687988281
2016-12-28,109.85743713378906
2016-12-29,110.03362274169922
2016-12-30,109.62565612792969
2017-01-03,110.11705780029297
2017-01-04,110.65483093261719
2017-01-05,111.2482681274414
2017-01-06,112.19403076171875
2017-01-09,111.11843872070312
2017-01-10,111.30387115478516
2017-01-11,111.74897003173828
2017-01-12,112.06421661376953
2017-01-13,111.55423736572266
2017-01-17,111.87879180908203
2017-01-18,111.50788116455078
2017-01-19,111.4337158203125
2017-01-20,109.48654174804688
2017-01-23,109.57926940917969
2017-01-24,110.21906280517578
2017-01-25,109.99649047851562
2017-01-26,109.26399993896484
2017-01-27,109.49581146240234
2017-01-30,108.80037689208984
2017-01-31,108.74474334716797
2017-02-01,108.67985534667969
2017-02-02,109.458740234375
2017-02-03,111.59132385253906
2017-02-06,111.75824737548828
2017-02-07,112.3238525390625
2017-02-08,113.11197662353516
2017-02-09,118.80513763427734
2017-02-10,121.05826568603516
2017-02-13,120.65031433105469
2017-02-14,120.83578491210938
2017-02-15,120.59468841552734
2017-02-16,120.4741439819336
2017-02-17,120.66883850097656
2017-02-21,119.94561767578125
2017-02-22,119.66746520996094
2017-02-23,119.81582641601562
2017-02-24,119.96417236328125
2017-02-27,121.29010772705078
2017-02-28,121.5682601928711
2017-03-01,123.85600280761719
2017-03-02,123.60497283935547
2017-03-03,123.50265502929688
2017-03-06,122.81446075439453
2017-03-07,122.1727523803711
2017-03-08,122.58195495605469
2017-03-09,123.27017974853516
2017-03-10,123.93043518066406
2017-03-13,124.04200744628906
2017-03-14,124.14435577392578
2017-03-15,125.72533416748047
2017-03-16,125.58583068847656
2017-03-17,126.59017944335938
2017-03-20,126.1996078491211
2017-03-21,125.64160919189453
2017-03-22,127.39000701904297
2017-03-23,126.14382934570312
2017-03-24,126.41353607177734
2017-03-27,126.06015014648438
2017-03-28,126.74832153320312
2017-03-29,126.18095397949219
2017-03-30,126.9993896484375
2017-03-31,127.16682434082031
2017-04-03,126.57160949707031
2017-04-04,126.30189514160156
2017-04-05,126.85061645507812
2017-04-06,126.54371643066406
2017-04-07,126.68316650390625
2017-04-10,126.09730529785156
2017-04-11,126.23685455322266
2017-04-12,125.8369369506836
2017-04-13,125.41839599609375
2017-04-17,127.43649291992188
2017-04-18,127.67828369140625
2017-04-19,126.85061645507812
2017-04-20,127.69689178466797
2017-04-21,127.71549987792969
2017-04-24,129.49176025390625
2017-04-25,129.7056884765625
2017-04-26,129.02679443359375
2017-04-27,126.65528106689453
2017-04-28,125.8369369506836
2017-05-01,125.5486068725586
2017-05-02,126.92500305175781
2017-05-03,126.55301666259766
2017-05-04,127.27845001220703
2017-05-05,129.09190368652344
2017-05-08,127.62251281738281
2017-05-09,126.35768127441406
2017-05-10,126.39495086669922
2017-05-11,126.15310668945312
2017-05-12,125.59513854980469
2017-05-15,127.06448364257812
2017-05-16,126.18095397949219
2017-05-17,124.83250427246094
2017-05-18,125.79971313476562
2017-05-19,126.82267761230469
2017-05-22,127.68761444091797
2017-05-23,127.54771423339844
2017-05-24,127.20262908935547
2017-05-25,127.89277648925781
2017-05-26,127.23995208740234
2017-05-30,127.50111389160156
2017-05-31,127.58503723144531
2017-06-01,128.60154724121094
2017-06-02,128.3404998779297
2017-06-05,128.85337829589844
2017-06-06,127.89277648925781
2017-06-07,128.1259307861328
2017-06-08,126.32595825195312
2017-06-09,126.3912582397461
2017-06-12,127.61299896240234
2017-06-13,130.88658142089844
2017-06-14,131.51138305664062
2017-06-15,132.080322265625
2017-06-16,132.9756622314453
2017-06-19,132.24822998046875
2017-06-20,130.15908813476562
2017-06-21,129.66477966308594
2017-06-22,129.57151794433594
2017-06-23,130.00054931640625
2017-06-26,130.03787231445312
2017-06-27,129.0305938720703
2017-06-28,130.11245727539062
2017-06-29,127.91136932373047
2017-06-30,128.1632537841797
2017-07-03,128.7135009765625
2017-07-05,130.1497039794922
2017-07-06,127.97673034667969
2017-07-07,129.04922485351562
2017-07-10,129.6368408203125
2017-07-11,129.57151794433594
2017-07-12,130.38291931152344
2017-07-13,129.75807189941406
2017-07-14,130.35494995117188
2017-07-17,130.62539672851562
2017-07-18,131.98709106445312
2017-07-19,133.10626220703125
2017-07-20,133.35806274414062
2017-07-21,134.19740295410156
2017-07-24,134.7849884033203
2017-07-25,135.04612731933594
2017-07-26,136.3611297607422
2017-07-27,133.06893920898438
2017-07-28,135.31658935546875
2017-07-31,135.6430206298828
2017-08-01,136.4077911376953
2017-08-02,135.6896209716797
2017-08-03,135.17669677734375
2017-08-04,135.63368225097656
2017-08-07,135.67098999023438
2017-08-08,132.77976989746094
2017-08-09,133.31141662597656
2017-08-10,132.49069213867188
2017-08-11,131.8285675048828
2017-08-14,133.19015502929688
2017-08-15,133.2554931640625
2017-08-16,133.36737060546875
2017-08-17,131.15704345703125
2017-08-18,130.46688842773438
2017-08-21,130.4202117919922
2017-08-22,132.63990783691406
2017-08-23,131.84498596191406
2017-08-24,131.28387451171875
2017-08-25,131.5831298828125
2017-08-28,131.50828552246094
2017-08-29,131.67662048339844
2017-08-30,132.2564697265625
2017-08-31,133.2384490966797
2017-09-01,132.4154510498047
2017-09-05,131.9572296142578
2017-09-06,132.22840881347656
2017-09-07,133.4722442626953
2017-09-08,115.24512481689453
2017-09-11,105.79020690917969
2017-09-12,108.44619750976562
2017-09-13,92.5757827758789
2017-09-14,90.39678192138672
2017-09-15,86.9552230834961
2017-09-18,88.2645263671875
2017-09-19,88.7227554321289
2017-09-20,89.77954864501953
2017-09-21,91.88373565673828
2017-09-22,98.23377990722656
2017-09-25,98.28052520751953
2017-09-26,99.17832946777344
2017-09-27,99.54306030273438
2017-09-28,99.47760772705078
2017-09-29,99.12222290039062
2017-10-02,100.82427978515625
2017-10-03,103.29322052001953
2017-10-04,104.67733001708984
2017-10-05,105.6499252319336
2017-10-06,104.12554931640625
2017-10-09,104.9765853881836
2017-10-10,106.18301391601562
2017-10-11,103.34000396728516
2017-10-12,101.75948333740234
2017-10-13,102.40476989746094
2017-10-16,101.65663146972656
2017-10-17,101.54439544677734
2017-10-18,103.45222473144531
2017-10-19,103.34934997558594
2017-10-20,102.84431457519531
2017-10-23,102.27386474609375
2017-10-24,101.75015258789062
2017-10-25,100.57178497314453
2017-10-26,101.89041900634766
2017-10-27,102.30192565917969
2017-10-30,101.94652557373047
2017-10-31,101.49762725830078
2017-11-01,102.68534851074219
2017-11-02,101.86235809326172
2017-11-03,101.65663146972656
2017-11-06,101.03003692626953
2017-11-07,100.45956420898438
2017-11-08,100.2538070678711
2017-11-09,101.89041900634766
2017-11-10,101.69402313232422
2017-11-13,101.74079132080078
2017-11-14,102.22708129882812
2017-11-15,103.06878662109375
2017-11-16,102.4796142578125
2017-11-17,104.15363311767578
2017-11-20,103.72341918945312
2017-11-21,103.53639221191406
2017-11-22,103.05773162841797
2017-11-24,103.14220428466797
2017-11-27,103.705322265625
2017-11-28,105.19755554199219
2017-11-29,105.7231216430664
2017-11-30,107.10270690917969
2017-12-01,105.98588562011719
2017-12-04,106.42698669433594
2017-12-05,107.35611724853516
2017-12-06,108.57617950439453
2017-12-07,109.6460952758789
2017-12-08,110.1810531616211
2017-12-11,111.23217010498047
2017-12-12,110.95059967041016
2017-12-13,110.1810531616211
2017-12-14,110.92247009277344
2017-12-15,112.16128540039062
2017-12-18,111.05384826660156
2017-12-19,112.09557342529297
2017-12-20,111.57941436767578
2017-12-21,112.21759796142578
2017-12-22,112.36774444580078
2017-12-26,111.66387939453125
2017-12-27,112.41468811035156
2017-12-28,112.36774444580078
2017-12-29,110.6690444946289
2018-01-02,112.18944549560547
2018-01-03,112.77130889892578
2018-01-04,114.16030883789062
2018-01-05,115.27714538574219
2018-01-08,114.48876953125
2018-01-09,114.73280334472656
2018-01-10,113.72858428955078
2018-01-11,114.01953125
2018-01-12,115.29590606689453
2018-01-16,114.64834594726562
2018-01-17,115.6431655883789
2018-01-18,115.28651428222656
2018-01-19,116.87260437011719
2018-01-22,117.31370544433594
2018-01-23,117.3042984008789
2018-01-24,117.99880981445312
2018-01-25,118.9560775756836
2018-01-26,119.65059661865234
2018-01-29,117.09783172607422
2018-01-30,115.51174926757812
2018-01-31,117.24801635742188
2018-02-01,116.51594543457031
2018-02-02,114.01953125
2018-02-05,111.1195297241211
2018-02-06,111.12889862060547
2018-02-07,110.36872863769531
2018-02-08,106.9900894165039
2018-02-09,105.30077362060547
2018-02-12,107.36550903320312
2018-02-13,107.50629425048828
2018-02-14,107.03701782226562
2018-02-15,109.96517181396484
2018-02-16,110.23733520507812
2018-02-20,108.44479370117188
2018-02-21,106.83055114746094
2018-02-22,108.12569427490234
2018-02-23,108.30400848388672
2018-02-26,107.96614074707031
2018-02-27,107.16841125488281
2018-02-28,106.05157470703125
2018-03-01,104.64380645751953
2018-03-02,110.02146911621094
2018-03-05,113.88813781738281
2018-03-06,113.9256820678711
2018-03-07,113.67227935791016
2018-03-08,113.5221176147461
2018-03-09,117.61785125732422
2018-03-12,117.57075500488281
2018-03-13,116.50682067871094
2018-03-14,115.98896026611328
2018-03-15,116.42208099365234
2018-03-16,116.2431869506836
2018-03-19,115.11334991455078
2018-03-20,115.89481353759766
2018-03-21,113.99288177490234
2018-03-22,110.75398254394531
2018-03-23,109.0780258178711
2018-03-26,111.07408905029297
2018-03-27,109.61471557617188
2018-03-28,112.08155059814453
2018-03-29,110.9234390258789
2018-04-02,108.23065185546875
2018-04-03,111.46012115478516
2018-04-04,112.11920928955078
2018-04-05,112.62763977050781
2018-04-06,110.70690155029297
2018-04-09,110.01956176757812
2018-04-10,111.0835189819336
2018-04-11,110.45269012451172
2018-04-12,110.07608795166016
2018-04-13,109.2192611694336
2018-04-16,109.8406753540039
2018-04-17,111.94972229003906
2018-04-18,111.47896575927734
2018-04-19,111.83675384521484
2018-04-20,111.93090057373047
2018-04-23,112.62763977050781
2018-04-24,112.16629791259766
2018-04-25,112.83477020263672
2018-04-26,109.1910171508789
2018-04-27,107.59980010986328
2018-04-30,105.50015258789062
2018-05-01,106.42285919189453
2018-05-02,106.1215591430664
2018-05-03,105.9238510131836
2018-05-04,105.88619232177734
2018-05-07,106.39463806152344
2018-05-08,104.75634002685547
2018-05-09,107.20436096191406
2018-05-10,108.10821533203125
2018-05-11,108.01406860351562
2018-05-14,106.85597229003906
2018-05-15,107.35498809814453
2018-05-16,107.7786865234375
2018-05-17,107.96699523925781
2018-05-18,108.00469207763672
2018-05-21,109.68060302734375
2018-05-22,108.8802719116211
2018-05-23,108.9838638305664
2018-05-24,108.32256317138672
2018-05-25,108.84217071533203
2018-05-29,107.61400604248047
2018-05-30,108.19032287597656
2018-05-31,107.6612548828125
2018-06-01,107.97300720214844
2018-06-04,110.33482360839844
2018-06-05,111.02446746826172
2018-06-06,117.82653045654297
2018-06-07,119.49870300292969
2018-06-08,120.75518798828125
2018-06-11,117.56200408935547
2018-06-12,117.7603988647461
2018-06-13,118.16664123535156
2018-06-14,118.41226959228516
2018-06-15,117.15576934814453
2018-06-18,117.89266967773438
2018-06-19,119.05467987060547
2018-06-20,120.95357513427734
2018-06-21,120.1883773803711
2018-06-22,119.60260772705078
2018-06-25,117.69428253173828
2018-06-26,117.58088684082031
2018-06-27,116.19216918945312
2018-06-28,119.18693542480469
2018-06-29,118.1949691772461
2018-07-02,117.36359405517578
2018-07-03,117.26912689208984
2018-07-05,119.19637298583984
2018-07-06,120.2072525024414
2018-07-09,121.42591857910156
2018-07-10,121.5204086303711
2018-07-11,121.54875183105469
2018-07-12,121.44482421875
2018-07-13,119.97105407714844
2018-07-16,119.64039611816406
2018-07-17,118.92242431640625
2018-07-18,119.2247314453125
2018-07-19,118.90351104736328
2018-07-20,119.51758575439453
2018-07-23,120.05609130859375
2018-07-24,120.15999603271484
2018-07-25,120.64181518554688
2018-07-26,116.43778228759766
2018-07-27,116.6645278930664
2018-07-30,118.61064147949219
2018-07-31,118.56341552734375
2018-08-01,118.29890441894531
2018-08-02,118.82793426513672
2018-08-03,120.69850158691406
2018-08-06,120.97247314453125
2018-08-07,120.51898956298828
2018-08-08,120.43397521972656
2018-08-09,121.3031005859375
2018-08-10,121.26535034179688
2018-08-13,121.71881103515625
2018-08-14,122.36121368408203
2018-08-15,121.89830017089844
2018-08-16,122.58792877197266
2018-08-17,125.73388671875
2018-08-20,125.5071792602539
2018-08-21,126.858154296875
2018-08-22,126.86756896972656
2018-08-23,128.0993194580078
2018-08-24,125.60746002197266
2018-08-27,125.35161590576172
2018-08-28,125.6358642578125
2018-08-29,126.85813903808594
2018-08-30,126.37488555908203
2018-08-31,126.93386840820312
2018-09-04,127.54975128173828
2018-09-05,127.47393798828125
2018-09-06,128.6299285888672
2018-09-07,128.7720489501953
2018-09-10,127.49293518066406
2018-09-11,127.75825500488281
2018-09-12,128.52566528320312
2018-09-13,128.76255798339844
2018-09-14,129.5015411376953
2018-09-17,128.80044555664062
2018-09-18,130.80909729003906
2018-09-19,127.26557159423828
2018-09-20,126.5169906616211
2018-09-21,126.4032974243164
2018-09-24,124.96314239501953
2018-09-25,124.82102966308594
2018-09-26,123.98725891113281
2018-09-27,123.54193878173828
2018-09-28,123.71247863769531
2018-10-01,123.9209213256836
2018-10-02,125.43685150146484
2018-10-03,124.86840057373047
2018-10-04,121.52378845214844
2018-10-05,122.4333724975586
2018-10-08,120.8037338256836
2018-10-09,120.61421203613281
2018-10-10,115.8673324584961
2018-10-11,112.29534912109375
2018-10-12,116.58744049072266
2018-10-15,116.63478088378906
2018-10-16,117.92334747314453
2018-10-17,117.74334716796875
2018-10-18,116.87165832519531
2018-10-19,117.07063293457031
2018-10-22,116.49266815185547
2018-10-23,112.78804016113281
2018-10-24,109.30130767822266
2018-10-25,93.1467514038086
2018-10-26,92.08558654785156
2018-10-29,91.54552459716797
2018-10-30,93.8289566040039
2018-10-31,96.11238098144531
2018-11-01,99.23904418945312
2018-11-02,98.40528869628906
2018-11-05,98.46212768554688
2018-11-06,98.12100982666016
2018-11-07,98.41474914550781
2018-11-08,96.63349151611328
2018-11-09,96.75666809082031
2018-11-12,95.1080551147461
2018-11-13,95.1080551147461
2018-11-14,92.59723663330078
2018-11-15,94.3974380493164
2018-11-16,95.61969757080078
2018-11-19,96.18817901611328
2018-11-20,95.59127044677734
2018-11-21,96.0667953491211
2018-11-23,96.12391662597656
2018-11-26,97.26531219482422
2018-11-27,97.96914672851562
