,APTV
2018-02-13,89.37459564208984
2018-02-14,91.26509094238281
2018-02-15,91.89525604248047
2018-02-16,90.97954559326172
2018-02-20,90.92046356201172
2018-02-21,91.12723541259766
2018-02-22,91.51123809814453
2018-02-23,91.62938690185547
2018-02-26,93.26387786865234
2018-02-27,91.19615936279297
2018-02-28,89.92599487304688
2018-03-01,86.42070770263672
2018-03-02,87.24781036376953
2018-03-05,87.45457458496094
2018-03-06,88.56719970703125
2018-03-07,88.04534912109375
2018-03-08,88.321044921875
2018-03-09,90.8515396118164
2018-03-12,90.04414367675781
2018-03-13,89.50260162353516
2018-03-14,87.92719268798828
2018-03-15,87.5924301147461
2018-03-16,87.94689178466797
2018-03-19,86.53887176513672
2018-03-20,86.4994888305664
2018-03-21,86.78501892089844
2018-03-22,82.50190734863281
2018-03-23,79.96156311035156
2018-03-26,83.7326889038086
2018-03-27,83.0335922241211
2018-03-28,81.54681396484375
2018-03-29,83.66375732421875
2018-04-02,80.32588195800781
2018-04-03,81.31050109863281
2018-04-04,82.92529296875
2018-04-05,84.57946014404297
2018-04-06,82.53144073486328
2018-04-09,82.38374328613281
2018-04-10,84.70746612548828
2018-04-11,84.08714294433594
2018-04-12,84.54007720947266
2018-04-13,84.1954574584961
2018-04-16,85.58377838134766
2018-04-17,86.7751693725586
2018-04-18,86.35179901123047
2018-04-19,84.69760131835938
2018-04-20,84.983154296875
2018-04-23,85.20962524414062
2018-04-24,84.53023529052734
2018-04-25,83.90007019042969
2018-04-26,86.07609558105469
2018-04-27,84.68777465820312
2018-04-30,83.2797622680664
2018-05-01,83.23052215576172
2018-05-02,88.64598083496094
2018-05-03,89.7192153930664
2018-05-04,91.16661834716797
2018-05-07,91.84600830078125
2018-05-08,92.41844177246094
2018-05-09,93.1586685180664
2018-05-10,94.80686950683594
2018-05-11,94.96479797363281
2018-05-14,94.47132110595703
2018-05-15,94.7476577758789
2018-05-16,96.5833969116211
2018-05-17,96.94857025146484
2018-05-18,96.07018280029297
2018-05-21,96.89921569824219
2018-05-22,96.8597412109375
2018-05-23,96.61300659179688
2018-05-24,96.4057388305664
2018-05-25,96.37613677978516
2018-05-29,94.95491027832031
2018-05-30,95.21153259277344
2018-05-31,96.22808837890625
2018-06-01,97.78748321533203
2018-06-04,98.15264892578125
2018-06-05,98.82378387451172
2018-06-06,99.67255401611328
2018-06-07,99.34687042236328
2018-06-08,99.49490356445312
2018-06-11,100.49173736572266
2018-06-12,100.63977813720703
2018-06-13,100.29434204101562
2018-06-14,101.27143096923828
2018-06-15,101.3898696899414
2018-06-18,101.5872573852539
2018-06-19,99.24817657470703
2018-06-20,98.28096008300781
2018-06-21,96.01095581054688
2018-06-22,94.9845199584961
2018-06-25,93.87914276123047
2018-06-26,93.64226531982422
2018-06-27,92.06314849853516
2018-06-28,90.73075103759766
2018-06-29,90.4346694946289
2018-07-02,90.94788360595703
2018-07-03,89.72407531738281
2018-07-05,91.85587310791016
2018-07-06,93.03036499023438
2018-07-09,94.28379821777344
2018-07-10,95.08321380615234
2018-07-11,91.82626342773438
2018-07-12,91.89537048339844
2018-07-13,92.40857696533203
2018-07-16,92.32962799072266
2018-07-17,95.08321380615234
2018-07-18,95.5174789428711
2018-07-19,93.73109436035156
2018-07-20,91.72757720947266
2018-07-23,91.52031707763672
2018-07-24,92.0039291381836
2018-07-25,93.95809173583984
2018-07-26,92.03353881835938
2018-07-27,92.38883209228516
2018-07-30,91.29330444335938
2018-07-31,96.79065704345703
2018-08-01,94.63909149169922
2018-08-02,95.50762176513672
2018-08-03,97.16568756103516
2018-08-06,96.74130249023438
2018-08-07,97.16568756103516
2018-08-08,96.81039428710938
2018-08-09,95.4582748413086
2018-08-10,93.29683685302734
2018-08-13,91.55978393554688
2018-08-14,92.80335235595703
2018-08-15,89.79314422607422
2018-08-16,90.58271026611328
2018-08-17,91.5499267578125
2018-08-20,93.24749755859375
2018-08-21,92.5368881225586
2018-08-22,89.6352310180664
2018-08-23,87.92780303955078
2018-08-24,87.3158950805664
2018-08-27,90.84919738769531
2018-08-28,90.85906219482422
2018-08-29,89.59576416015625
2018-08-30,87.78962707519531
2018-08-31,86.86189270019531
2018-09-04,85.904541015625
2018-09-05,84.14777374267578
2018-09-06,83.67402648925781
2018-09-07,83.22989654541016
2018-09-10,84.40437316894531
2018-09-11,83.85167694091797
2018-09-12,83.75298309326172
2018-09-13,84.94718933105469
2018-09-14,85.74663543701172
2018-09-17,84.33528900146484
2018-09-18,84.88797760009766
2018-09-19,86.1611557006836
2018-09-20,88.59893035888672
2018-09-21,89.0924072265625
2018-09-24,86.84214782714844
2018-09-25,83.70362854003906
2018-09-26,83.57533264160156
2018-09-27,83.04237365722656
2018-09-28,82.80551147460938
2018-10-01,82.99302673339844
2018-10-02,83.8319320678711
2018-10-03,84.01946258544922
2018-10-04,81.74947357177734
2018-10-05,77.97929382324219
2018-10-08,78.6603012084961
2018-10-09,75.5612564086914
2018-10-10,74.64338684082031
2018-10-11,72.95569610595703
2018-10-12,73.05438995361328
2018-10-15,72.68922424316406
2018-10-16,73.31099700927734
2018-10-17,73.0149154663086
2018-10-18,73.24191284179688
2018-10-19,73.32087707519531
