,ETN
2016-08-23,56.13982009887695
2016-08-24,55.82463836669922
2016-08-25,55.899261474609375
2016-08-26,55.841217041015625
2016-08-29,56.164710998535156
2016-08-30,55.7002067565918
2016-08-31,55.1942138671875
2016-09-01,55.509403228759766
2016-09-02,56.0236930847168
2016-09-06,55.260562896728516
2016-09-07,55.36009979248047
2016-09-08,54.81264114379883
2016-09-09,52.73063659667969
2016-09-12,53.90849685668945
2016-09-13,52.4320068359375
2016-09-14,52.2412223815918
2016-09-15,52.33246612548828
2016-09-16,51.71863555908203
2016-09-19,52.46519470214844
2016-09-20,52.042152404785156
2016-09-21,52.86334991455078
2016-09-22,53.161956787109375
2016-09-23,52.514957427978516
2016-09-26,52.174869537353516
2016-09-27,52.59790802001953
2016-09-28,53.56011199951172
2016-09-29,53.220027923583984
2016-09-30,54.50572204589844
2016-10-03,54.63845443725586
2016-10-04,53.35274887084961
2016-10-05,54.364715576171875
2016-10-06,54.331546783447266
2016-10-07,53.48545455932617
2016-10-10,53.20343780517578
2016-10-11,52.35736083984375
2016-10-12,53.30297088623047
2016-10-13,52.38223648071289
2016-10-14,52.506675720214844
2016-10-17,52.35736083984375
2016-10-18,52.41542434692383
2016-10-19,52.82185363769531
2016-10-20,52.92142105102539
2016-10-21,52.84675216674805
2016-10-24,52.56472396850586
2016-10-25,52.40711975097656
2016-10-26,53.26148986816406
2016-10-27,51.66888427734375
2016-10-28,51.7435417175293
2016-10-31,52.89652633666992
2016-11-01,50.35000228881836
2016-11-02,50.49930191040039
2016-11-03,50.00528335571289
2016-11-04,50.876102447509766
2016-11-07,52.27443313598633
2016-11-08,52.75171661376953
2016-11-09,55.53163528442383
2016-11-10,57.524478912353516
2016-11-11,56.36060333251953
2016-11-14,56.1512565612793
2016-11-15,55.13809585571289
2016-11-16,54.87852478027344
2016-11-17,54.25053024291992
2016-11-18,53.71463394165039
2016-11-21,54.87852478027344
2016-11-22,54.91203308105469
2016-11-23,55.67400360107422
2016-11-25,55.94193649291992
2016-11-28,55.246971130371094
2016-11-29,55.004127502441406
2016-11-30,55.69073486328125
2016-12-01,56.64529037475586
2016-12-02,56.73740768432617
2016-12-05,56.94673538208008
2016-12-06,57.31515121459961
2016-12-07,57.691959381103516
2016-12-08,57.75893783569336
2016-12-09,58.21946334838867
2016-12-12,58.49578857421875
2016-12-13,57.65008544921875
2016-12-14,56.66204833984375
2016-12-15,56.846248626708984
2016-12-16,56.98858642578125
2016-12-19,56.78763961791992
2016-12-20,57.31515121459961
2016-12-21,56.78763961791992
2016-12-22,56.99697494506836
2016-12-23,57.15607833862305
2016-12-27,57.348655700683594
2016-12-28,56.687156677246094
2016-12-29,56.61179733276367
2016-12-30,56.17638397216797
2017-01-03,57.382137298583984
2017-01-04,57.0806999206543
2017-01-05,56.39409637451172
2017-01-06,56.94673538208008
2017-01-09,56.000553131103516
2017-01-10,56.27687072753906
2017-01-11,57.323516845703125
2017-01-12,57.10581588745117
2017-01-13,57.49099349975586
2017-01-17,56.56992721557617
2017-01-18,56.77089309692383
2017-01-19,56.7122802734375
2017-01-20,56.87974166870117
2017-01-23,56.72064971923828
2017-01-24,57.91804122924805
2017-01-25,59.60107421875
2017-01-26,59.70991134643555
2017-01-27,59.40848922729492
2017-01-30,58.956321716308594
2017-01-31,59.26613998413086
2017-02-01,59.70991134643555
2017-02-02,58.629764556884766
2017-02-03,58.797245025634766
2017-02-06,58.59627151489258
2017-02-07,58.813961029052734
2017-02-08,58.587894439697266
2017-02-09,59.27452087402344
2017-02-10,59.450355529785156
2017-02-13,60.45512771606445
2017-02-14,60.296058654785156
2017-02-15,60.37140655517578
2017-02-16,60.10347366333008
2017-02-17,59.97785186767578
2017-02-21,60.19557189941406
2017-02-22,60.70633316040039
2017-02-23,60.38814926147461
2017-02-24,60.61423110961914
2017-02-27,60.580745697021484
2017-02-28,60.27092361450195
2017-03-01,61.32595443725586
2017-03-02,60.878501892089844
2017-03-03,60.72654724121094
2017-03-06,60.650569915771484
2017-03-07,60.39728546142578
2017-03-08,60.642112731933594
2017-03-09,60.447933197021484
2017-03-10,61.19931411743164
2017-03-13,61.4188346862793
2017-03-14,60.633670806884766
2017-03-15,62.440364837646484
2017-03-16,61.925384521484375
2017-03-17,61.840938568115234
2017-03-20,61.94227981567383
2017-03-21,60.777217864990234
2017-03-22,61.241546630859375
2017-03-23,61.44415283203125
2017-03-24,61.494815826416016
2017-03-27,61.35972595214844
2017-03-28,61.87470626831055
2017-03-29,62.423484802246094
2017-03-30,62.64297866821289
2017-03-31,62.60077667236328
2017-04-03,62.609230041503906
2017-04-04,63.21708297729492
2017-04-05,63.02291488647461
2017-04-06,63.090423583984375
2017-04-07,62.955345153808594
2017-04-10,63.824928283691406
2017-04-11,63.64761734008789
2017-04-12,62.67672348022461
2017-04-13,62.06047058105469
2017-04-17,62.71054458618164
2017-04-18,62.87092590332031
2017-04-19,62.161766052246094
2017-04-20,62.49946975708008
2017-04-21,62.34748458862305
2017-04-24,63.723628997802734
2017-04-25,64.60163116455078
2017-04-26,64.7704849243164
2017-04-27,64.5762710571289
2017-04-28,63.85870361328125
2017-05-01,64.27237701416016
2017-05-02,65.0997314453125
2017-05-03,64.94658660888672
2017-05-04,64.5296630859375
2017-05-05,65.39754486083984
2017-05-08,65.3294448852539
