,NI
2015-06-01,13.586268424987793
2015-06-02,13.430370330810547
2015-06-03,13.291797637939453
2015-06-04,13.187860488891602
2015-06-05,13.075272560119629
2015-06-08,12.994431495666504
2015-06-09,13.008866310119629
2015-06-10,13.176313400268555
2015-06-11,13.38128662109375
2015-06-12,13.268698692321777
2015-06-15,13.38128662109375
2015-06-16,13.473677635192871
2015-06-17,13.973127365112305
2015-06-18,14.065510749816895
2015-06-19,13.87208366394043
2015-06-22,13.947148323059082
2015-06-23,13.67287540435791
2015-06-24,13.568947792053223
2015-06-25,13.436145782470703
2015-06-26,13.35241985321045
2015-06-29,13.265811920166016
2015-06-30,13.161882400512695
2015-07-01,13.12145709991455
2015-07-02,12.483298301696777
2015-07-06,12.373091697692871
2015-07-07,12.578821182250977
2015-07-08,12.593514442443848
2015-07-09,12.306963920593262
2015-07-10,12.424519538879395
2015-07-13,12.424519538879395
2015-07-14,12.32900333404541
2015-07-15,12.475953102111816
2015-07-16,12.725765228271484
2015-07-17,12.4171724319458
2015-07-20,12.424519538879395
2015-07-21,12.373091697692871
2015-07-22,12.46125602722168
2015-07-23,12.152666091918945
2015-07-24,12.512690544128418
2015-07-27,12.674334526062012
2015-07-28,12.666986465454102
2015-07-29,12.633625030517578
2015-07-30,12.692936897277832
2015-07-31,12.945014953613281
2015-08-03,12.655867576599121
2015-08-04,12.470512390136719
2015-08-05,12.477931022644043
2015-08-06,12.492759704589844
2015-08-07,12.537242889404297
2015-08-10,12.514994621276855
2015-08-11,12.67069149017334
2015-08-12,13.130365371704102
2015-08-13,13.13778018951416
2015-08-14,13.21192455291748
2015-08-17,13.345376014709473
2015-08-18,13.152610778808594
2015-08-19,13.204506874084473
2015-08-20,13.004331588745117
2015-08-21,12.811562538146973
2015-08-24,12.248091697692871
2015-08-25,12.010842323303223
2015-08-26,12.381543159484863
2015-08-27,12.64103889465332
2015-08-28,12.648452758789062
2015-08-31,12.448272705078125
2015-09-01,12.21843433380127
2015-09-02,12.07756519317627
2015-09-03,12.203605651855469
2015-09-04,11.988595962524414
2015-09-08,12.329645156860352
2015-09-09,12.211018562316895
2015-09-10,12.292572021484375
2015-09-11,12.314817428588867
2015-09-14,12.411200523376465
2015-09-15,12.50016975402832
2015-09-16,12.74483871459961
2015-09-17,12.959846496582031
2015-09-18,12.91535758972168
2015-09-21,12.967257499694824
2015-09-22,12.841216087341309
2015-09-23,12.930188179016113
2015-09-24,13.041399955749512
2015-09-25,13.308304786682129
2015-09-28,13.21933650970459
2015-09-29,13.271234512329102
2015-09-30,13.753154754638672
2015-10-01,13.69383716583252
2015-10-02,13.95333194732666
2015-10-05,14.123858451843262
2015-10-06,13.879191398620605
2015-10-07,14.03488826751709
2015-10-08,14.153510093688965
2015-10-09,14.07196044921875
2015-10-12,14.123858451843262
2015-10-13,14.16833782196045
2015-10-14,14.13868522644043
2015-10-15,14.375938415527344
2015-10-16,14.427836418151855
2015-10-19,14.494561195373535
2015-10-20,14.487150192260742
2015-10-21,14.383350372314453
2015-10-22,14.642843246459961
2015-10-23,14.539046287536621
2015-10-26,14.509387969970703
2015-10-27,14.286962509155273
2015-10-28,14.275753021240234
2015-10-29,14.118796348571777
2015-10-30,14.320598602294922
2015-11-02,14.335551261901855
2015-11-03,14.290704727172852
2015-11-04,14.470087051391602
2015-11-05,14.619568824768066
2015-11-06,14.171119689941406
2015-11-09,14.14122200012207
2015-11-10,14.387873649597168
2015-11-11,14.514930725097656
2015-11-12,14.305649757385254
2015-11-13,14.260805130004883
2015-11-16,14.440191268920898
2015-11-17,14.335551261901855
2015-11-18,14.634517669677734
2015-11-19,14.731682777404785
2015-11-20,14.82137680053711
2015-11-23,14.761579513549805
2015-11-24,14.589674949645996
2015-11-25,14.305649757385254
2015-11-27,14.365449905395508
2015-11-30,14.343023300170898
2015-12-01,14.492510795593262
2015-12-02,14.417767524719238
2015-12-03,14.14869499206543
2015-12-04,14.275753021240234
2015-12-07,14.305649757385254
2015-12-08,14.387873649597168
2015-12-09,14.395341873168945
2015-12-10,14.230916023254395
2015-12-11,13.946887969970703
2015-12-14,14.081425666809082
2015-12-15,13.98426342010498
2015-12-16,14.432716369628906
2015-12-17,14.410294532775879
2015-12-18,14.171119689941406
2015-12-21,14.118796348571777
2015-12-22,14.283226013183594
2015-12-23,14.447659492492676
2015-12-24,14.432716369628906
2015-12-28,14.552306175231934
2015-12-29,14.798951148986816
2015-12-30,14.813899993896484
2015-12-31,14.582200050354004
2016-01-04,14.589674949645996
2016-01-05,14.82137680053711
2016-01-06,14.90359115600586
2016-01-07,14.574728965759277
2016-01-08,14.552306175231934
2016-01-11,14.791478157043457
2016-01-12,14.604622840881348
2016-01-13,14.552306175231934
2016-01-14,14.948432922363281
2016-01-15,14.754104614257812
2016-01-19,14.97833251953125
2016-01-20,14.544829368591309
2016-01-21,14.597152709960938
2016-01-22,15.15771484375
2016-01-25,15.232457160949707
2016-01-26,15.180137634277344
2016-01-27,15.053072929382324
2016-01-28,15.50900650024414
2016-01-29,15.703330993652344
2016-02-01,15.920087814331055
2016-02-02,15.890190124511719
2016-02-03,16.05462074279785
2016-02-04,15.930401802062988
2016-02-05,15.794879913330078
2016-02-08,15.742185592651367
2016-02-09,15.990628242492676
2016-02-10,16.171316146850586
2016-02-11,15.885231971740723
2016-02-12,16.02074432373047
2016-02-16,15.892756462097168
2016-02-17,16.073442459106445
2016-02-18,16.464927673339844
2016-02-19,16.464927673339844
2016-02-22,16.495040893554688
2016-02-23,16.412221908569336
2016-02-24,16.37458610534668
2016-02-25,16.58538818359375
2016-02-26,16.193897247314453
2016-02-29,16.171316146850586
2016-03-01,16.186370849609375
2016-03-02,16.615493774414062
2016-03-03,16.818767547607422
2016-03-04,16.863937377929688
2016-03-07,16.833824157714844
2016-03-08,16.92417335510254
2016-03-09,17.029563903808594
2016-03-10,17.14249610900879
2016-03-11,17.119909286499023
2016-03-14,17.150026321411133
2016-03-15,17.06720733642578
2016-03-16,17.390933990478516
2016-03-17,17.564098358154297
2016-03-18,17.165075302124023
2016-03-21,17.23283576965332
2016-03-22,17.165075302124023
2016-03-23,17.330705642700195
2016-03-24,17.338232040405273
2016-03-28,17.25542640686035
2016-03-29,17.443645477294922
2016-03-30,17.609262466430664
