,DHI
2014-10-23,20.56393051147461
2014-10-24,20.581857681274414
2014-10-27,20.554969787597656
2014-10-28,20.814926147460938
2014-10-29,20.546003341674805
2014-10-30,20.447389602661133
2014-10-31,20.429468154907227
2014-11-03,20.590824127197266
2014-11-04,20.295001983642578
2014-11-05,20.178468704223633
2014-11-06,20.56393051147461
2014-11-07,20.7342472076416
2014-11-10,21.0031795501709
2014-11-11,21.46932029724121
2014-11-12,21.523101806640625
2014-11-13,21.77410125732422
2014-11-14,21.854778289794922
2014-11-17,21.95338249206543
2014-11-18,22.07887840270996
2014-11-19,22.285062789916992
2014-11-20,22.679485321044922
2014-11-21,22.849802017211914
2014-11-24,22.930484771728516
2014-11-25,22.885665893554688
2014-11-26,22.789518356323242
2014-11-28,22.90633773803711
2014-12-01,22.55586814880371
2014-12-02,22.798500061035156
2014-12-03,22.55586814880371
2014-12-04,22.079580307006836
2014-12-05,22.367143630981445
2014-12-08,22.385116577148438
2014-12-09,22.133502960205078
2014-12-10,21.351682662963867
2014-12-11,21.890867233276367
2014-12-12,21.558368682861328
2014-12-15,21.369659423828125
2014-12-16,21.001216888427734
2014-12-17,21.738101959228516
2014-12-18,21.989723205566406
2014-12-19,22.3132266998291
2014-12-22,22.421064376831055
2014-12-23,22.295257568359375
2014-12-24,22.286273956298828
2014-12-26,22.385116577148438
2014-12-29,22.376134872436523
2014-12-30,22.412086486816406
2014-12-31,22.726600646972656
2015-01-02,22.4300594329834
2015-01-05,21.962764739990234
2015-01-06,21.666215896606445
2015-01-07,22.78052520751953
2015-01-08,23.301733016967773
2015-01-09,23.418561935424805
2015-01-12,23.43653106689453
2015-01-13,22.304248809814453
2015-01-14,22.59181022644043
2015-01-15,20.830476760864258
2015-01-16,21.351682662963867
2015-01-20,20.623788833618164
2015-01-21,21.037166595458984
2015-01-22,21.288782119750977
2015-01-23,20.758590698242188
2015-01-26,21.908836364746094
2015-01-27,21.71114158630371
2015-01-28,21.459522247314453
2015-01-29,22.322214126586914
2015-01-30,22.034645080566406
2015-02-02,22.331205368041992
2015-02-03,22.888357162475586
2015-02-04,23.34149742126465
2015-02-05,23.224393844604492
2015-02-06,23.864002227783203
2015-02-09,23.82796287536621
2015-02-10,24.233356475830078
2015-02-11,24.179306030273438
2015-02-12,24.629737854003906
2015-02-13,24.494606018066406
2015-02-17,24.656761169433594
2015-02-18,24.521635055541992
2015-02-19,24.6207275390625
2015-02-20,24.611717224121094
2015-02-23,24.44955825805664
2015-02-24,24.890993118286133
2015-02-25,24.665775299072266
2015-02-26,24.521635055541992
2015-02-27,24.602710723876953
2015-03-02,24.44955825805664
2015-03-03,23.93606948852539
2015-03-04,24.206335067749023
2015-03-05,24.341455459594727
2015-03-06,23.575727462768555
2015-03-09,23.611757278442383
2015-03-10,23.34149742126465
2015-03-11,23.413570404052734
2015-03-12,23.963098526000977
2015-03-13,23.737878799438477
2015-03-16,23.981117248535156
2015-03-17,23.74688720703125
2015-03-18,24.41352653503418
2015-03-19,24.278406143188477
2015-03-20,24.6207275390625
2015-03-23,24.431547164916992
2015-03-24,24.7108211517334
2015-03-25,24.242359161376953
2015-03-26,24.044178009033203
2015-03-27,24.7108211517334
2015-03-30,25.23332405090332
2015-03-31,25.65673065185547
2015-04-01,25.449527740478516
2015-04-02,26.134185791015625
2015-04-06,25.863920211791992
2015-04-07,25.251340866088867
2015-04-08,25.710783004760742
2015-04-09,25.65673065185547
2015-04-10,25.773847579956055
2015-04-13,25.566638946533203
2015-04-14,25.89095115661621
2015-04-15,26.16121482849121
2015-04-16,25.638713836669922
2015-04-17,25.467544555664062
2015-04-20,25.260351181030273
2015-04-21,25.728796005249023
2015-04-22,24.3504695892334
2015-04-23,23.55770492553711
2015-04-24,23.93606948852539
2015-04-27,23.65679931640625
2015-04-28,23.78291893005371
2015-04-29,23.3685245513916
2015-04-30,22.882055282592773
2015-05-01,23.23339080810547
2015-05-04,23.080242156982422
2015-05-05,22.68386459350586
2015-05-06,22.764942169189453
2015-05-07,23.17033576965332
2015-05-08,23.350502014160156
2015-05-11,22.918094635009766
2015-05-12,22.918094635009766
2015-05-13,22.830486297607422
2015-05-14,23.29107093811035
2015-05-15,23.760684967041016
2015-05-18,23.89614486694336
2015-05-19,24.176111221313477
2015-05-20,24.311574935913086
2015-05-21,24.293516159057617
2015-05-22,24.067737579345703
2015-05-26,23.724563598632812
2015-05-27,23.814870834350586
2015-05-28,23.79680824279785
2015-05-29,23.589094161987305
2015-06-01,23.878082275390625
2015-06-02,23.760684967041016
2015-06-03,23.89614486694336
2015-06-04,23.670373916625977
2015-06-05,23.62521743774414
2015-06-08,23.408472061157227
2015-06-09,23.29107093811035
2015-06-10,23.73358917236328
2015-06-11,23.860021591186523
2015-06-12,24.121929168701172
2015-06-15,24.067737579345703
2015-06-16,23.941307067871094
2015-06-17,24.01355743408203
2015-06-18,24.221269607543945
2015-06-19,24.645727157592773
2015-06-22,24.907629013061523
2015-06-23,24.934722900390625
2015-06-24,25.214679718017578
2015-06-25,25.16049575805664
2015-06-26,25.259838104248047
2015-06-29,24.73603630065918
2015-06-30,24.70894432067871
2015-07-01,24.889558792114258
2015-07-02,24.916658401489258
2015-07-06,24.889558792114258
2015-07-07,25.37723731994629
2015-07-08,24.880531311035156
2015-07-09,24.988906860351562
2015-07-10,25.45852279663086
2015-07-13,25.5307674407959
2015-07-14,25.593992233276367
2015-07-15,24.943754196166992
2015-07-16,24.871505737304688
2015-07-17,24.510257720947266
2015-07-20,24.257389068603516
2015-07-21,24.483163833618164
2015-07-22,25.16049575805664
2015-07-23,24.772167205810547
2015-07-24,24.139989852905273
2015-07-27,24.149023056030273
2015-07-28,24.916658401489258
2015-07-29,25.810726165771484
2015-07-30,26.6144962310791
2015-07-31,26.81317710876465
2015-08-03,26.804147720336914
2015-08-04,26.343563079833984
2015-08-05,25.9842529296875
2015-08-06,25.902803421020508
2015-08-07,25.803241729736328
2015-08-10,26.301025390625
2015-08-11,26.590646743774414
2015-08-12,27.115575790405273
2015-08-13,27.767221450805664
2015-08-14,27.731019973754883
2015-08-17,28.246904373168945
2015-08-18,28.6541805267334
2015-08-19,29.151962280273438
2015-08-20,28.6541805267334
2015-08-21,28.065893173217773
2015-08-24,26.72640609741211
2015-08-25,25.59507942199707
2015-08-26,26.71735382080078
2015-08-27,27.441404342651367
2015-08-28,27.269439697265625
2015-08-31,27.486648559570312
2015-09-01,26.844058990478516
2015-09-02,27.767221450805664
2015-09-03,28.310258865356445
2015-09-04,27.5047550201416
2015-09-08,28.491268157958984
2015-09-09,27.984432220458984
2015-09-10,27.85773277282715
2015-09-11,28.364566802978516
2015-09-14,28.446025848388672
2015-09-15,28.346464157104492
2015-09-16,28.58177947998047
2015-09-17,29.0976619720459
2015-09-18,28.608930587768555
2015-09-21,27.77627182006836
2015-09-22,27.106529235839844
2015-09-23,27.28754234313965
2015-09-24,27.58620834350586
2015-09-25,27.731019973754883
2015-09-28,26.536344528198242
2015-09-29,26.08380699157715
2015-09-30,26.572542190551758
2015-10-01,26.771663665771484
2015-10-02,26.90741539001465
2015-10-05,28.12019157409668
2015-10-06,27.151775360107422
2015-10-07,27.676721572875977
2015-10-08,27.74007225036621
2015-10-09,27.74007225036621
2015-10-12,27.99349021911621
