,EBAY
2014-09-17,19.756017684936523
2014-09-18,20.041234970092773
2014-09-19,19.927143096923828
2014-09-22,19.953767776489258
2014-09-23,20.056442260742188
2014-09-24,20.128694534301758
2014-09-25,19.832073211669922
2014-09-26,20.128694534301758
2014-09-29,20.026016235351562
2014-09-30,21.5357723236084
2014-10-01,21.09082794189453
2014-10-02,20.862655639648438
2014-10-03,20.702932357788086
2014-10-06,20.364479064941406
2014-10-07,20.14391326904297
2014-10-08,20.729557037353516
2014-10-09,20.102081298828125
2014-10-10,19.72178840637207
2014-10-13,19.18938636779785
2014-10-14,19.238826751708984
2014-10-15,19.105722427368164
2014-10-16,18.20823860168457
2014-10-17,18.234859466552734
2014-10-20,18.710220336914062
2014-10-21,19.341501235961914
2014-10-22,19.063888549804688
2014-10-23,19.314884185791016
2014-10-24,19.440378189086914
2014-10-27,19.466999053955078
2014-10-28,19.47079849243164
2014-10-29,19.52023696899414
2014-10-30,19.603897094726562
2014-10-31,19.96517562866211
2014-11-03,20.041234970092773
2014-11-04,20.257993698120117
2014-11-05,20.379688262939453
2014-11-06,20.254194259643555
2014-11-07,20.35306739807129
2014-11-10,20.4937744140625
2014-11-11,20.607866287231445
2014-11-12,20.558425903320312
2014-11-13,20.676315307617188
2014-11-14,20.67251205444336
2014-11-17,20.851247787475586
2014-11-18,21.060405731201172
2014-11-19,20.89307403564453
2014-11-20,20.740964889526367
2014-11-21,20.695329666137695
2014-11-24,20.68392562866211
2014-11-25,20.687721252441406
2014-11-26,20.75237274169922
2014-11-28,20.870262145996094
2014-12-01,20.866458892822266
2014-12-02,20.923503875732422
2014-12-03,20.843645095825195
2014-12-04,20.790401458740234
2014-12-05,20.843645095825195
2014-12-08,20.97294044494629
2014-12-09,21.068016052246094
2014-12-10,21.018579483032227
2014-12-11,21.596616744995117
2014-12-12,21.208715438842773
2014-12-15,21.083227157592773
2014-12-16,21.27337074279785
2014-12-17,21.452104568481445
2014-12-18,21.87803077697754
2014-12-19,21.72971534729004
2014-12-22,21.801969528198242
2014-12-23,21.763944625854492
2014-12-24,21.71450424194336
2014-12-26,21.691692352294922
2014-12-29,21.687883377075195
2014-12-30,21.760141372680664
2014-12-31,21.341821670532227
2015-01-02,21.376047134399414
2015-01-05,21.197309494018555
2015-01-06,20.923503875732422
2015-01-07,20.88927459716797
2015-01-08,21.452104568481445
2015-01-09,21.155481338500977
2015-01-12,20.991952896118164
2015-01-13,20.9653377532959
2015-01-14,20.547012329101562
2015-01-15,20.162921905517578
2015-01-16,20.406307220458984
2015-01-20,20.41391944885254
2015-01-21,20.299829483032227
2015-01-22,21.733516693115234
2015-01-23,21.585208892822266
2015-01-26,21.319000244140625
