,MAS
2017-08-08,33.69908905029297
2017-08-09,33.31400680541992
2017-08-10,32.64235305786133
2017-08-11,32.85728454589844
2017-08-14,33.4035530090332
2017-08-15,33.51102066040039
2017-08-16,33.56474685668945
2017-08-17,32.66027069091797
2017-08-18,32.59757614135742
2017-08-21,32.71399688720703
2017-08-22,33.12594223022461
2017-08-23,32.88414001464844
2017-08-24,32.669219970703125
2017-08-25,32.51697540283203
2017-08-28,32.50801086425781
2017-08-29,32.51697540283203
2017-08-30,32.57071304321289
2017-08-31,32.92892074584961
2017-09-01,33.188629150390625
2017-09-05,32.821468353271484
2017-09-06,32.95579147338867
2017-09-07,33.134891510009766
2017-09-08,33.64535140991211
2017-09-11,33.70804977416992
2017-09-12,34.12894821166992
2017-09-13,33.59161376953125
2017-09-14,33.47520065307617
2017-09-15,33.412513732910156
2017-09-18,33.358768463134766
2017-09-19,33.484153747558594
2017-09-20,33.6005744934082
2017-09-21,33.77968215942383
2017-09-22,34.11103057861328
2017-09-25,34.21849822998047
2017-09-26,34.38865280151367
2017-09-27,34.540897369384766
2017-09-28,34.728946685791016
2017-09-29,34.93491744995117
2017-10-02,35.45433807373047
2017-10-03,35.11403274536133
2017-10-04,35.14985275268555
2017-10-05,34.90806198120117
2017-10-06,35.131954193115234
2017-10-09,34.87223434448242
2017-10-10,34.702091217041016
2017-10-11,34.890140533447266
2017-10-12,35.0562744140625
2017-10-13,34.94852066040039
2017-10-16,34.98445129394531
2017-10-17,34.9305534362793
2017-10-18,34.715057373046875
2017-10-19,35.07423400878906
2017-10-20,35.99912643432617
2017-10-23,36.017086029052734
2017-10-24,36.66361999511719
2017-10-25,35.621986389160156
2017-10-26,36.017086029052734
2017-10-27,36.06199645996094
2017-10-30,35.460357666015625
2017-10-31,35.75667953491211
2017-11-01,35.35259246826172
2017-11-02,34.92157745361328
2017-11-03,35.03831481933594
2017-11-06,35.2179069519043
2017-11-07,35.09218978881836
2017-11-08,35.137081146240234
2017-11-09,34.67912673950195
2017-11-10,34.6701545715332
2017-11-13,34.92157745361328
2017-11-14,35.0562744140625
2017-11-15,34.84973907470703
2017-11-16,35.14606475830078
2017-11-17,35.34362030029297
2017-11-20,35.77463912963867
2017-11-21,35.92729949951172
2017-11-22,35.86443328857422
2017-11-24,35.541168212890625
2017-11-27,35.972190856933594
2017-11-28,36.75341796875
2017-11-29,37.74116516113281
2017-11-30,38.53136444091797
2017-12-01,38.16320037841797
2017-12-04,38.88157653808594
2017-12-05,38.59421920776367
2017-12-06,37.84891891479492
2017-12-07,37.99259948730469
2017-12-08,38.36076354980469
2017-12-11,38.09136962890625
2017-12-12,37.88484573364258
2017-12-13,37.732200622558594
2017-12-14,37.579532623291016
2017-12-15,37.99259948730469
2017-12-18,38.6121940612793
2017-12-19,38.6121940612793
2017-12-20,39.21381378173828
2017-12-21,39.72565460205078
2017-12-22,39.35749435424805
2017-12-26,39.528099060058594
2017-12-27,39.40238952636719
2017-12-28,39.61790084838867
2017-12-29,39.45625686645508
2018-01-02,39.339542388916016
2018-01-03,39.5101432800293
2018-01-04,39.55504608154297
2018-01-05,39.92320251464844
2018-01-08,40.11176681518555
2018-01-09,40.794212341308594
2018-01-10,40.14769744873047
2018-01-11,41.160274505615234
2018-01-12,41.18727493286133
2018-01-16,40.719242095947266
2018-01-17,41.25028610229492
2018-01-18,41.646305084228516
2018-01-19,41.31328582763672
2018-01-22,41.286277770996094
2018-01-23,40.91725158691406
2018-01-24,41.32228088378906
2018-01-25,40.8902473449707
2018-01-26,40.80024719238281
2018-01-29,40.17920684814453
2018-01-30,40.07119369506836
2018-01-31,40.19719314575195
2018-02-01,39.666160583496094
2018-02-02,38.613067626953125
2018-02-05,37.15496063232422
2018-02-06,38.109031677246094
2018-02-07,38.42405319213867
2018-02-08,36.63291549682617
2018-02-09,37.920013427734375
2018-02-12,38.81108093261719
2018-02-13,38.487064361572266
2018-02-14,38.64906692504883
2018-02-15,38.55006408691406
2018-02-16,38.89210510253906
2018-02-20,38.27104568481445
2018-02-21,38.16304016113281
2018-02-22,38.32504653930664
2018-02-23,38.72108459472656
2018-02-26,38.58607482910156
2018-02-27,37.70400619506836
2018-02-28,37.01094436645508
2018-03-01,36.76792526245117
2018-03-02,36.4619026184082
2018-03-05,37.04694366455078
2018-03-06,37.02894973754883
2018-03-07,37.14594650268555
2018-03-08,37.3079719543457
2018-03-09,38.235050201416016
2018-03-12,38.22604751586914
2018-03-13,38.06403350830078
2018-03-14,37.41597366333008
2018-03-15,37.45198059082031
2018-03-16,37.41597366333008
2018-03-19,36.98394012451172
2018-03-20,36.92094039916992
2018-03-21,37.39796829223633
2018-03-22,36.92995071411133
2018-03-23,36.22789001464844
2018-03-26,36.7319221496582
2018-03-27,36.425907135009766
2018-03-28,35.849857330322266
2018-03-29,36.398895263671875
2018-04-02,35.102787017822266
2018-04-03,35.660831451416016
2018-04-04,36.641910552978516
2018-04-05,36.839935302734375
2018-04-06,36.173885345458984
2018-04-09,36.20087432861328
2018-04-10,36.72291946411133
2018-04-11,36.542911529541016
2018-04-12,36.8361930847168
2018-04-13,36.682777404785156
2018-04-16,36.92642593383789
2018-04-17,37.35956954956055
2018-04-18,37.27836990356445
2018-04-19,35.870609283447266
2018-04-20,35.41039276123047
2018-04-23,35.59989547729492
2018-04-24,32.6309928894043
2018-04-25,33.54240798950195
2018-04-26,33.68680191040039
2018-04-27,34.309452056884766
2018-04-30,34.1740837097168
2018-05-01,34.74259567260742
2018-05-02,34.04774856567383
2018-05-03,34.30042266845703
2018-05-04,34.580169677734375
2018-05-07,34.56212615966797
2018-05-08,34.4538459777832
2018-05-09,33.957515716552734
2018-05-10,34.16507339477539
2018-05-11,34.354576110839844
2018-05-14,33.96653366088867
2018-05-15,33.7048454284668
2018-05-16,34.21018600463867
2018-05-17,33.840206146240234
2018-05-18,34.156036376953125
2018-05-21,34.04774856567383
2018-05-22,33.38899612426758
2018-05-23,33.87630844116211
2018-05-24,33.858238220214844
2018-05-25,34.201168060302734
2018-05-29,33.885318756103516
2018-05-30,34.435794830322266
2018-05-31,33.63264846801758
2018-06-01,33.957515716552734
2018-06-04,34.64335250854492
2018-06-05,34.85993194580078
2018-06-06,34.634315490722656
2018-06-07,34.75162124633789
2018-06-08,35.06747817993164
2018-06-11,34.932106018066406
2018-06-12,35.07649230957031
2018-06-13,34.26433181762695
2018-06-14,34.67041015625
2018-06-15,34.50797653198242
2018-06-18,34.09288024902344
2018-06-19,34.074825286865234
2018-06-20,34.68846130371094
2018-06-21,34.0657958984375
2018-06-22,34.327510833740234
2018-06-25,34.14702606201172
2018-06-26,34.36360168457031
2018-06-27,33.740936279296875
2018-06-28,33.515342712402344
2018-06-29,33.768009185791016
2018-07-02,33.65069580078125
2018-07-03,33.569480895996094
2018-07-05,34.309452056884766
2018-07-06,34.67041015625
2018-07-09,34.95016098022461
2018-07-10,34.81480026245117
2018-07-11,34.02970886230469
2018-07-12,34.11568069458008
2018-07-13,34.39619827270508
2018-07-16,34.10662841796875
2018-07-17,34.65862274169922
2018-07-18,34.80341720581055
2018-07-19,35.273983001708984
2018-07-20,35.28303146362305
2018-07-23,34.92105484008789
2018-07-24,34.848663330078125
2018-07-25,34.27857208251953
2018-07-26,34.98440933227539
2018-07-27,35.6450080871582
2018-07-30,35.71739959716797
2018-07-31,36.495635986328125
2018-08-01,36.16986083984375
2018-08-02,35.6450080871582
2018-08-03,35.744537353515625
2018-08-06,36.016029357910156
2018-08-07,35.9345703125
2018-08-08,35.49116897583008
2018-08-09,35.400665283203125
2018-08-10,34.930110931396484
2018-08-13,34.1337776184082
2018-08-14,34.61338806152344
2018-08-15,34.69483184814453
2018-08-16,34.87580871582031
2018-08-17,35.06584548950195
2018-08-20,34.98440933227539
2018-08-21,35.51831817626953
2018-08-22,35.19252395629883
2018-08-23,35.06584548950195
2018-08-24,35.21968078613281
2018-08-27,35.382572174072266
2018-08-28,35.19252395629883
2018-08-29,35.06584548950195
2018-08-30,34.54099655151367
2018-08-31,34.36000442504883
2018-09-04,34.16996765136719
2018-09-05,34.495750427246094
2018-09-06,34.314762115478516
2018-09-07,34.142822265625
2018-09-10,34.233314514160156
2018-09-11,34.450496673583984
2018-09-12,34.95726776123047
2018-09-13,34.59529113769531
2018-09-14,34.559104919433594
2018-09-17,34.676727294921875
2018-09-18,34.839603424072266
2018-09-19,35.047752380371094
2018-09-20,34.939151763916016
2018-09-21,34.87580871582031
2018-09-24,34.16091537475586
2018-09-25,33.99803924560547
2018-09-26,33.77180099487305
2018-09-27,33.70846939086914
2018-09-28,33.1202507019043
2018-10-01,32.83973693847656
2018-10-02,33.0297737121582
2018-10-03,33.011661529541016
2018-10-04,32.694950103759766
2018-10-05,32.4144172668457
2018-10-08,32.02531051635742
2018-10-09,30.676963806152344
2018-10-10,30.206401824951172
2018-10-11,29.60699462890625
2018-10-12,29.325454711914062
2018-10-15,29.10748291015625
2018-10-16,29.38903045654297
2018-10-17,29.025754928588867
2018-10-18,28.153892517089844
2018-10-19,28.081239700317383
2018-10-22,27.509075164794922
2018-10-23,28.099401473999023
2018-10-24,27.07314682006836
2018-10-25,27.391014099121094
2018-10-26,25.12053871154785
2018-10-29,24.92981719970703
2018-10-30,26.791603088378906
2018-10-31,27.24570083618164
2018-11-01,28.508087158203125
2018-11-02,28.444515228271484
2018-11-05,28.535329818725586
2018-11-06,28.535329818725586
2018-11-07,28.59890365600586
2018-11-08,28.181133270263672
2018-11-09,28.181133270263672
2018-11-12,27.7724552154541
2018-11-13,28.10848617553711
2018-11-14,28.26287078857422
2018-11-15,28.49900245666504
2018-11-16,28.417264938354492
2018-11-19,27.954090118408203
2018-11-20,27.836023330688477
2018-11-21,27.972251892089844
2018-11-23,28.01766586303711
2018-11-26,28.444515228271484
2018-11-27,28.190221786499023
2018-11-28,29.016672134399414
2018-11-29,28.408191680908203
2018-11-30,28.780542373657227
2018-12-03,29.543426513671875
2018-12-04,27.86327362060547
2018-12-06,27.690715789794922
2018-12-07,27.363767623901367
2018-12-10,27.191213607788086
2018-12-11,26.637210845947266
2018-12-12,26.90058708190918
2018-12-13,26.81885528564453
2018-12-14,26.82793426513672
2018-12-17,26.23760986328125
2018-12-18,26.23760986328125
2018-12-19,26.54639434814453
2018-12-20,26.31934356689453
2018-12-21,25.88341522216797
2018-12-24,25.011560440063477
2018-12-26,25.946989059448242
2018-12-27,26.47374153137207
2018-12-28,26.246688842773438
2018-12-31,26.555479049682617
2019-01-02,26.837018966674805
2019-01-03,26.401086807250977
2019-01-04,27.917760848999023
2019-01-07,28.698802947998047
2019-01-08,28.962182998657227
2019-01-09,29.734140396118164
2019-01-10,29.907331466674805
2019-01-11,29.679454803466797
2019-01-14,29.570064544677734
2019-01-15,28.667652130126953
2019-01-16,28.047815322875977
2019-01-17,28.813499450683594
2019-01-18,29.36953353881836
2019-01-22,28.24834442138672
2019-01-23,28.202770233154297
2019-01-24,28.685880661010742
2019-01-25,28.822612762451172
2019-01-28,29.269264221191406
2019-01-29,29.378646850585938
2019-01-30,29.33307456970215
2019-01-31,29.542722702026367
2019-02-01,30.116985321044922
2019-02-04,30.426910400390625
2019-02-05,30.25371551513672
2019-02-06,30.308401107788086
2019-02-07,32.37758255004883
2019-02-08,32.72396469116211
2019-02-11,33.02477264404297
2019-02-12,33.52611541748047
2019-02-13,33.89072799682617
2019-02-14,33.95454406738281
2019-02-15,34.14595031738281
2019-02-19,34.55613708496094
2019-02-20,34.2462272644043
2019-02-21,34.38295364379883
2019-02-22,34.46498489379883
2019-02-25,34.537906646728516
2019-02-26,34.41940689086914
2019-02-27,34.537906646728516
2019-02-28,34.23710250854492
2019-03-01,36.46125030517578
2019-03-04,36.424781799316406
2019-03-05,36.06017303466797
2019-03-06,35.868743896484375
2019-03-07,35.522369384765625
2019-03-08,35.76848602294922
2019-03-11,35.859619140625
2019-03-12,35.78670883178711
2019-03-13,35.51325225830078
2019-03-14,35.467674255371094
2019-03-15,35.5314826965332
2019-03-18,35.68644332885742
2019-03-19,35.51325225830078
2019-03-20,35.148643493652344
2019-03-21,35.64998245239258
2019-03-22,34.86606979370117
2019-03-25,35.29448318481445
2019-03-26,35.376522064208984
2019-03-27,35.166866302490234
2019-03-28,35.65909194946289
2019-03-29,35.83229064941406
2019-04-01,35.83229064941406
2019-04-02,36.078407287597656
2019-04-03,36.087520599365234
2019-04-04,36.57062530517578
2019-04-05,37.1448974609375
2019-04-08,37.23604965209961
2019-04-09,36.689125061035156
2019-04-10,36.83496856689453
2019-04-11,36.85325622558594
2019-04-12,36.99039840698242
2019-04-15,37.05438995361328
2019-04-16,36.99953079223633
2019-04-17,36.56069564819336
2019-04-18,36.60640335083008
2019-04-22,36.29555892944336
2019-04-23,36.56069564819336
2019-04-24,36.56069564819336
2019-04-25,34.284217834472656
2019-04-26,35.1801872253418
2019-04-29,35.95729446411133
2019-04-30,35.71044921875
2019-05-01,35.93901443481445
2019-05-02,36.33213806152344
2019-05-03,36.97210693359375
2019-05-06,36.652122497558594
2019-05-07,35.55502700805664
2019-05-08,34.99733352661133
2019-05-09,34.58592987060547
2019-05-10,34.686485290527344
2019-05-13,33.817962646484375
2019-05-14,34.14708709716797
2019-05-15,34.61335372924805
2019-05-16,34.88762664794922
2019-05-17,34.32994079589844
2019-05-20,34.43964385986328
2019-05-21,34.80533218383789
2019-05-22,34.677337646484375
2019-05-23,33.73567581176758
2019-05-24,34.08308410644531
2019-05-28,33.34254837036133
2019-05-29,32.83971405029297
2019-05-30,32.766578674316406
2019-05-31,31.92547035217285
2019-06-03,32.54715347290039
2019-06-04,34.00081253051758
2019-06-05,34.028236389160156
2019-06-06,34.2202262878418
2019-06-07,34.70478057861328
2019-06-10,34.63164138793945
2019-06-11,34.686485290527344
2019-06-12,34.89677047729492
2019-06-13,35.692161560058594
2019-06-14,35.006473541259766
2019-06-17,34.686485290527344
2019-06-18,34.60419845581055
2019-06-19,34.339080810546875
2019-06-20,35.34475326538086
2019-06-21,34.83277130126953
2019-06-24,35.51845169067383
2019-06-25,35.10704803466797
2019-06-26,35.55502700805664
2019-06-27,35.65559768676758
2019-06-28,35.87500762939453
2019-07-01,36.176719665527344
2019-07-02,36.28641128540039
2019-07-03,36.37784957885742
2019-07-05,36.42356872558594
2019-07-08,36.1492805480957
2019-07-09,35.92073059082031
2019-07-10,35.10704803466797
2019-07-11,34.960304260253906
2019-07-12,35.538089752197266
2019-07-15,35.71234130859375
2019-07-16,36.13421630859375
2019-07-17,35.42802810668945
2019-07-18,35.04285430908203
2019-07-19,34.71268081665039
2019-07-22,34.45589065551758
2019-07-23,35.40052032470703
2019-07-24,35.950782775878906
2019-07-25,38.86721420288086
2019-07-26,38.06013870239258
2019-07-29,37.39982604980469
2019-07-30,38.11518096923828
2019-07-31,37.39065933227539
2019-08-01,35.914100646972656
2019-08-02,36.65696716308594
2019-08-05,35.492225646972656
2019-08-06,36.23509979248047
2019-08-07,35.90493392944336
2019-08-08,36.528568267822266
2019-08-09,35.914100646972656
2019-08-12,35.629798889160156
2019-08-13,35.92327880859375
2019-08-14,34.776885986328125
2019-08-15,34.85025405883789
2019-08-16,35.272132873535156
2019-08-19,35.602291107177734
2019-08-20,36.35432434082031
2019-08-21,37.52822494506836
2019-08-22,37.19805908203125
2019-08-23,35.4555549621582
2019-08-26,36.14338684082031
2019-08-27,36.07918167114258
2019-08-28,36.70282745361328
2019-08-29,37.674964904785156
2019-08-30,37.35397720336914
2019-09-03,36.537750244140625
2019-09-04,37.289764404296875
2019-09-05,37.84003448486328
2019-09-06,38.28942108154297
2019-09-09,38.57372283935547
2019-09-10,38.8580322265625
2019-09-11,39.527523040771484
2019-09-12,39.61006546020508
2019-09-13,39.619239807128906
2019-09-16,39.179019927978516
2019-09-17,37.8675537109375
2019-09-18,38.04179763793945
2019-09-19,37.64744186401367
2019-09-20,37.26226043701172
2019-09-23,37.15219497680664
2019-09-24,36.90458297729492
2019-09-25,37.31729507446289
2019-09-26,38.02346420288086
2019-09-27,38.2252311706543
2019-09-30,38.2252311706543
2019-10-01,38.53704071044922
2019-10-02,37.51905059814453
2019-10-03,38.04179763793945
2019-10-04,38.98643112182617
2019-10-07,38.803009033203125
2019-10-08,38.02346420288086
2019-10-09,38.50953674316406
2019-10-10,38.50493240356445
2019-10-11,39.397396087646484
2019-10-14,39.112178802490234
2019-10-15,39.67341995239258
2019-10-16,40.188663482666016
2019-10-17,40.15185546875
2019-10-18,40.345069885253906
2019-10-21,40.5934944152832
2019-10-22,40.73149871826172
2019-10-23,40.49228286743164
2019-10-24,40.63948440551758
2019-10-25,41.05352783203125
2019-10-28,40.998321533203125
2019-10-29,41.08112716674805
2019-10-30,42.52562713623047
2019-10-31,42.55324935913086
2019-11-01,42.93046951293945
2019-11-04,42.47963333129883
2019-11-05,42.83845520019531
2019-11-06,42.4244384765625
2019-11-07,42.53483200073242
2019-11-08,42.599239349365234
2019-11-11,42.461238861083984
2019-11-12,42.912071228027344
2019-11-13,42.93966293334961
2019-11-14,42.396827697753906
2019-11-15,41.98279571533203
2019-11-18,42.056400299072266
2019-11-19,41.96440124511719
2019-11-20,42.10239791870117
2019-11-21,42.43362808227539
2019-11-22,42.378421783447266
2019-11-25,42.70964813232422
2019-11-26,43.353694915771484
2019-11-27,43.362911224365234
2019-11-29,42.829261779785156
2019-12-02,42.19441223144531
2019-12-03,41.49515914916992
2019-12-04,41.92758560180664
2019-12-05,42.33242416381836
2019-12-06,42.654441833496094
2019-12-09,42.30481719970703
2019-12-10,42.17601013183594
2019-12-11,42.70964813232422
2019-12-12,43.62971878051758
2019-12-13,43.25250244140625
2019-12-16,43.335296630859375
2019-12-17,43.65732955932617
2019-12-18,43.740135192871094
2019-12-19,43.39969253540039
2019-12-20,44.04375076293945
2019-12-23,43.997745513916016
2019-12-24,44.15415954589844
2019-12-26,44.31977462768555
2019-12-27,44.28296661376953
2019-12-30,44.24616622924805
2019-12-31,44.15415954589844
2020-01-02,44.41178512573242
2020-01-03,44.07136154174805
2020-01-06,43.730926513671875
2020-01-07,43.316898345947266
2020-01-08,43.666526794433594
2020-01-09,43.75418472290039
2020-01-10,43.62500762939453
2020-01-13,44.067893981933594
2020-01-14,43.883365631103516
2020-01-15,44.29856491088867
2020-01-16,45.11977005004883
2020-01-17,45.29507827758789
2020-01-21,45.50730895996094
2020-01-22,45.47962188720703
2020-01-23,45.59033203125
2020-01-24,44.79682159423828
2020-01-27,44.252437591552734
2020-01-28,44.962913513183594
2020-01-29,44.289344787597656
2020-01-30,44.92599868774414
2020-01-31,43.84645080566406
2020-02-03,44.47388458251953
2020-02-04,45.29507827758789
2020-02-05,46.0424690246582
2020-02-06,45.70105743408203
2020-02-07,45.03672409057617
2020-02-10,45.811790466308594
2020-02-11,43.855674743652344
2020-02-12,43.42201232910156
2020-02-13,42.89606857299805
2020-02-14,42.084110260009766
2020-02-18,42.02873229980469
2020-02-19,41.54893493652344
2020-02-20,41.89033889770508
2020-02-21,41.687347412109375
2020-02-24,41.613529205322266
2020-02-25,40.8753662109375
2020-02-26,40.90305709838867
2020-02-27,39.76813507080078
2020-02-28,38.125736236572266
2020-03-02,39.998817443847656
2020-03-03,39.832733154296875
2020-03-04,41.696571350097656
2020-03-05,40.54319381713867
2020-03-06,38.8454475402832
2020-03-09,36.022003173828125
2020-03-10,37.664398193359375
2020-03-11,36.47412109375
2020-03-12,34.490325927734375
2020-03-13,36.714019775390625
2020-03-16,32.42348861694336
2020-03-17,33.57685470581055
