,DRI
2019-08-07,102.72631072998047
2019-08-08,105.42120361328125
2019-08-09,105.74942779541016
2019-08-12,104.22058868408203
2019-08-13,104.6524658203125
2019-08-14,100.8864974975586
2019-08-15,99.25401306152344
2019-08-16,101.14564514160156
2019-08-19,103.27910614013672
2019-08-20,102.67447662353516
2019-08-21,103.24454498291016
2019-08-22,104.42788696289062
2019-08-23,104.10829162597656
2019-08-26,104.68702697753906
2019-08-27,103.23591613769531
2019-08-28,103.82325744628906
2019-08-29,105.23982238769531
2019-08-30,104.49699401855469
2019-09-03,103.23591613769531
2019-09-04,105.48168182373047
2019-09-05,107.1573486328125
2019-09-06,108.38389587402344
2019-09-09,110.18914031982422
2019-09-10,109.6535873413086
2019-09-11,109.8695297241211
2019-09-12,108.8848648071289
2019-09-13,109.99046325683594
2019-09-16,109.61906433105469
2019-09-17,108.83302307128906
2019-09-18,109.80908203125
2019-09-19,104.23787689208984
2019-09-20,103.477783203125
2019-09-23,102.95086669921875
2019-09-24,101.76752471923828
2019-09-25,102.35488891601562
2019-09-26,100.5755386352539
2019-09-27,100.50643920898438
2019-09-30,102.11304473876953
2019-10-01,101.06788635253906
2019-10-02,100.0745620727539
2019-10-03,99.7204360961914
2019-10-04,100.55826568603516
2019-10-07,100.01410675048828
2019-10-08,98.41615295410156
2019-10-09,97.9025650024414
2019-10-10,97.51957702636719
2019-10-11,98.39875793457031
2019-10-14,96.14421081542969
2019-10-15,96.00494384765625
2019-10-16,95.75250244140625
2019-10-17,95.00389862060547
2019-10-18,96.14421081542969
2019-10-21,95.89177703857422
2019-10-22,94.725341796875
2019-10-23,96.10069274902344
2019-10-24,96.1093978881836
2019-10-25,97.8155288696289
2019-10-28,96.92765808105469
2019-10-29,99.01679229736328
2019-10-30,98.35521697998047
2019-10-31,97.72846984863281
2019-11-01,97.64144134521484
2019-11-04,96.5794677734375
2019-11-05,98.16371154785156
2019-11-06,98.18113708496094
2019-11-07,98.78174591064453
2019-11-08,100.02655029296875
2019-11-11,99.54778289794922
2019-11-12,97.87645721435547
2019-11-13,97.9983139038086
2019-11-14,97.9025650024414
2019-11-15,98.01573181152344
2019-11-18,98.6076889038086
