,PG
2017-11-24,73.45276641845703
2017-11-27,73.87630462646484
2017-11-28,74.24168395996094
2017-11-29,74.2250747680664
2017-11-30,74.73165130615234
2017-12-01,75.03892517089844
2017-12-04,75.91089630126953
2017-12-05,75.90257263183594
2017-12-06,75.77800750732422
2017-12-07,74.82300567626953
2017-12-08,75.04723358154297
2017-12-11,74.93097686767578
2017-12-12,74.61539459228516
2017-12-13,75.47074127197266
2017-12-14,75.5704116821289
2017-12-15,76.30950164794922
2017-12-18,76.30120086669922
2017-12-19,76.1351089477539
2017-12-20,76.01053619384766
2017-12-21,76.12677001953125
2017-12-22,76.50880432128906
2017-12-26,76.79945373535156
2017-12-27,76.48387908935547
2017-12-28,76.458984375
2017-12-29,76.30120086669922
2018-01-02,75.27975463867188
2018-01-03,75.18840026855469
2018-01-04,75.71987915039062
2018-01-05,75.76971435546875
2018-01-08,76.16831970214844
2018-01-09,75.61194610595703
2018-01-10,75.1302719116211
2018-01-11,74.864501953125
2018-01-12,74.41607666015625
2018-01-16,74.92264556884766
2018-01-17,75.73649597167969
2018-01-18,75.46034240722656
2018-01-19,76.20508575439453
2018-01-22,76.89124298095703
2018-01-23,74.51480865478516
2018-01-24,73.89558410644531
2018-01-25,73.92068481445312
2018-01-26,73.41027069091797
2018-01-29,72.6822738647461
2018-01-30,72.757568359375
2018-01-31,72.24713134765625
2018-02-01,71.83712768554688
2018-02-02,70.49830627441406
2018-02-05,67.8289794921875
2018-02-06,68.93350982666016
2018-02-07,68.4816665649414
2018-02-08,67.1260757446289
2018-02-09,66.87506866455078
2018-02-12,68.05490112304688
2018-02-13,68.1971435546875
2018-02-14,67.51099395751953
2018-02-15,68.95861053466797
2018-02-16,69.11762237548828
2018-02-20,68.06327056884766
2018-02-21,67.14280700683594
2018-02-22,67.64488220214844
2018-02-23,67.82061004638672
2018-02-26,68.30592346191406
2018-02-27,67.39383697509766
2018-02-28,65.70356750488281
2018-03-01,65.85417175292969
2018-03-02,66.52360534667969
2018-03-05,67.18466186523438
2018-03-06,66.95872497558594
2018-03-07,66.23910522460938
2018-03-08,66.91688537597656
2018-03-09,67.18466186523438
2018-03-12,66.8248519897461
2018-03-13,66.70770263671875
2018-03-14,66.10521697998047
2018-03-15,65.82907104492188
2018-03-16,66.08013916015625
2018-03-19,65.82071685791016
2018-03-20,65.52782440185547
2018-03-21,64.4651107788086
2018-03-22,63.93798828125
2018-03-23,63.519596099853516
2018-03-26,63.93798828125
2018-03-27,65.09271240234375
2018-03-28,65.97132873535156
2018-03-29,66.3395004272461
2018-04-02,64.76638793945312
2018-04-03,65.65335083007812
2018-04-04,66.14705657958984
2018-04-05,65.9378662109375
2018-04-06,65.62825012207031
2018-04-09,65.40234375
2018-04-10,65.57805633544922
2018-04-11,65.49436950683594
2018-04-12,65.09271240234375
2018-04-13,65.57805633544922
2018-04-16,65.77886199951172
2018-04-17,65.62825012207031
2018-04-18,65.435791015625
2018-04-19,63.29662322998047
2018-04-20,62.3254280090332
2018-04-23,61.649810791015625
2018-04-24,61.22756576538086
2018-04-25,61.05866241455078
2018-04-26,61.438690185546875
2018-04-27,61.48934555053711
2018-04-30,61.09244918823242
2018-05-01,60.771514892578125
2018-05-02,59.910125732421875
2018-05-03,60.264808654785156
2018-05-04,61.16844940185547
2018-05-07,60.78841781616211
2018-05-08,60.33238220214844
2018-05-09,61.11777877807617
2018-05-10,61.77651596069336
2018-05-11,61.962303161621094
2018-05-14,61.886287689208984
2018-05-15,61.60759353637695
2018-05-16,62.0974235534668
2018-05-17,62.46055221557617
2018-05-18,62.029850006103516
2018-05-21,62.545021057128906
2018-05-22,62.51966094970703
2018-05-23,62.646339416503906
2018-05-24,62.300106048583984
2018-05-25,62.75613784790039
2018-05-29,62.53657150268555
2018-05-30,63.2459716796875
2018-05-31,61.793373107910156
2018-06-01,62.029850006103516
2018-06-04,62.646339416503906
2018-06-05,62.468997955322266
2018-06-06,62.7899284362793
2018-06-07,63.98067092895508
2018-06-08,65.1799087524414
2018-06-11,65.4754638671875
2018-06-12,65.23057556152344
2018-06-13,64.5802993774414
2018-06-14,64.1749267578125
2018-06-15,65.34879302978516
2018-06-18,64.04826354980469
2018-06-19,64.46206665039062
2018-06-20,64.05670166015625
2018-06-21,64.55496978759766
2018-06-22,65.39102935791016
2018-06-25,65.69508361816406
2018-06-26,65.87242126464844
2018-06-27,65.6106185913086
2018-06-28,65.91463470458984
2018-06-29,65.92308044433594
2018-07-02,65.98218536376953
2018-07-03,65.78795623779297
2018-07-05,66.89427185058594
2018-07-06,66.97872161865234
2018-07-09,65.75419616699219
2018-07-10,67.40945434570312
2018-07-11,66.85205841064453
2018-07-12,66.62403869628906
2018-07-13,66.97872161865234
2018-07-16,67.16451263427734
2018-07-17,67.58678436279297
2018-07-18,67.32496643066406
2018-07-19,67.09232330322266
2018-07-20,67.04972839355469
2018-07-23,66.90483856201172
2018-07-24,67.31391143798828
2018-07-25,67.72296905517578
2018-07-26,68.25131225585938
2018-07-27,68.66886901855469
2018-07-30,68.34503936767578
2018-07-31,68.92453002929688
2018-08-01,68.7285385131836
2018-08-02,69.87896728515625
2018-08-03,70.16020202636719
2018-08-06,70.32209014892578
2018-08-07,70.42437744140625
2018-08-08,70.17723846435547
2018-08-09,69.3676528930664
2018-08-10,69.39324188232422
2018-08-13,69.46992492675781
2018-08-14,69.29096221923828
2018-08-15,70.13462829589844
2018-08-16,71.31916809082031
2018-08-17,71.31916809082031
2018-08-20,71.27654266357422
2018-08-21,71.49813079833984
2018-08-22,71.06350708007812
2018-08-23,70.93567657470703
2018-08-24,71.03795623779297
