,KDP
2016-02-10,11.914091110229492
2016-02-11,11.863767623901367
2016-02-12,12.178939819335938
2016-02-16,12.184239387512207
2016-02-17,11.829339027404785
2016-02-18,11.910118103027344
2016-02-19,11.989575386047363
2016-02-22,12.094185829162598
2016-02-23,12.194830894470215
2016-02-24,12.271635055541992
2016-02-25,12.343143463134766
2016-02-26,12.206748008728027
2016-02-29,12.120668411254883
2016-03-01,12.276930809020996
2016-03-02,12.18026351928711
2016-03-03,12.176286697387695
2016-03-04,12.153775215148926
2016-03-07,11.945873260498047
2016-03-08,12.017382621765137
2016-03-09,12.185559272766113
2016-03-10,12.198800086975098
2016-03-11,12.125547409057617
2016-03-14,12.086920738220215
2016-03-15,12.077598571777344
2016-03-16,12.013671875
2016-03-17,12.22544002532959
2016-03-18,12.033644676208496
2016-03-21,12.018996238708496
2016-03-22,11.903120040893555
2016-03-23,11.981706619262695
2016-03-24,11.751287460327148
2016-03-28,11.912443161010742
2016-03-29,11.98969841003418
2016-03-30,11.97903823852539
2016-03-31,11.909780502319336
2016-04-01,12.160178184509277
2016-04-04,12.120220184326172
2016-04-05,12.157512664794922
2016-04-06,12.15218448638916
2016-04-07,11.983033180236816
2016-04-08,12.18947982788086
2016-04-11,12.086920738220215
2016-04-12,12.066943168640137
2016-04-13,11.901789665222168
2016-04-14,11.753951072692871
2016-04-15,11.777925491333008
2016-04-18,11.829865455627441
2016-04-19,11.93242073059082
2016-04-20,11.700674057006836
2016-04-21,11.510213851928711
2016-04-22,11.536849975585938
2016-04-25,11.671370506286621
2016-04-26,11.691352844238281
2016-04-27,12.037642478942871
2016-04-28,12.068275451660156
2016-04-29,12.108234405517578
2016-05-02,12.261397361755371
2016-05-03,12.260069847106934
2016-05-04,12.351967811584473
2016-05-05,12.38393497467041
2016-05-06,12.513127326965332
2016-05-09,12.638324737548828
2016-05-10,12.710248947143555
2016-05-11,12.622343063354492
2016-05-12,12.72756290435791
2016-05-13,12.640993118286133
2016-05-16,12.577058792114258
2016-05-17,12.308012962341309
2016-05-18,12.233428001403809
2016-05-19,12.280044555664062
2016-05-20,12.148192405700684
2016-05-23,12.241421699523926
2016-05-24,12.345308303833008
2016-05-25,12.222776412963867
2016-05-26,12.277383804321289
2016-05-27,12.273388862609863
2016-05-31,12.173498153686523
2016-06-01,12.300026893615723
2016-06-02,12.258733749389648
2016-06-03,12.347973823547363
2016-06-06,12.296030044555664
2016-06-07,12.224103927612305
2016-06-08,12.234766006469727
2016-06-09,12.302685737609863
2016-06-10,12.353593826293945
2016-06-13,12.274559020996094
2016-06-14,12.286612510681152
2016-06-15,12.230353355407715
2016-06-16,12.379044532775879
2016-06-17,12.239731788635254
2016-06-20,12.320103645324707
2016-06-21,12.373689651489258
2016-06-22,12.33885669708252
2016-06-23,12.40047836303711
2016-06-24,12.348237037658691
2016-06-27,12.839858055114746
2016-06-28,12.689827919006348
2016-06-29,12.60275650024414
2016-06-30,12.944344520568848
2016-07-01,12.813067436218262
2016-07-05,13.03945541381836
2016-07-06,13.093040466308594
2016-07-07,12.995250701904297
2016-07-08,13.011327743530273
2016-07-11,12.93228816986084
2016-07-12,12.968461036682129
2016-07-13,13.022043228149414
2016-07-14,12.987215042114258
2016-07-15,12.995250701904297
2016-07-18,12.94300651550293
2016-07-19,13.109116554260254
2016-07-20,13.099736213684082
2016-07-21,13.070269584655762
2016-07-22,13.173413276672363
2016-07-25,13.130549430847168
2016-07-26,13.019362449645996
2016-07-27,12.88674545288086
2016-07-28,13.110454559326172
2016-07-29,13.196189880371094
2016-08-01,13.127867698669434
2016-08-02,12.995250701904297
2016-08-03,12.948365211486816
2016-08-04,13.019362449645996
2016-08-05,12.96444320678711
2016-08-08,12.850578308105469
2016-08-09,12.846558570861816
2016-08-10,12.99792766571045
2016-08-11,12.991232872009277
2016-08-12,13.024720191955566
2016-08-15,12.993910789489746
2016-08-16,12.754124641418457
2016-08-17,12.84521770477295
2016-08-18,12.811729431152344
2016-08-19,12.719295501708984
2016-08-22,12.655001640319824
2016-08-23,12.521038055419922
2016-08-24,12.513005256652832
2016-08-25,12.52773666381836
2016-08-26,12.495588302612305
2016-08-29,12.510324478149414
2016-08-30,12.480854988098145
2016-08-31,12.551851272583008
