,CF
2015-08-04,46.36684036254883
2015-08-05,47.201786041259766
2015-08-06,48.25889205932617
2015-08-07,45.14887619018555
2015-08-10,46.688568115234375
2015-08-11,43.86963653564453
2015-08-12,47.465755462646484
2015-08-13,48.68242645263672
2015-08-14,49.15214920043945
2015-08-17,49.30616760253906
2015-08-18,48.874935150146484
2015-08-19,47.689064025878906
2015-08-20,47.02682876586914
2015-08-21,45.833251953125
2015-08-24,43.04568099975586
2015-08-25,42.96097946166992
2015-08-26,43.207393646240234
2015-08-27,44.57037353515625
2015-08-28,44.25465774536133
2015-08-31,44.18534851074219
2015-09-01,42.22943115234375
2015-09-02,42.77616500854492
2015-09-03,43.86963653564453
2015-09-04,42.722267150878906
2015-09-08,43.82343292236328
2015-09-09,43.86193084716797
2015-09-10,43.43070983886719
2015-09-11,43.03028106689453
2015-09-14,41.46708679199219
2015-09-15,42.183223724365234
2015-09-16,42.183223724365234
2015-09-17,41.46708679199219
2015-09-18,40.06559371948242
2015-09-21,39.82688903808594
2015-09-22,39.34944534301758
2015-09-23,36.76209259033203
2015-09-24,35.745628356933594
2015-09-25,35.70710754394531
2015-09-28,33.92831039428711
2015-09-29,34.028411865234375
2015-09-30,34.57515335083008
2015-10-01,34.4981575012207
2015-10-02,36.27695083618164
2015-10-05,37.763153076171875
2015-10-06,38.15587615966797
2015-10-07,40.21190643310547
2015-10-08,40.7047233581543
2015-10-09,39.103031158447266
2015-10-12,38.795013427734375
2015-10-13,39.33404541015625
2015-10-14,40.45061492919922
2015-10-15,41.12826919555664
2015-10-16,40.288909912109375
2015-10-19,39.64207077026367
2015-10-20,39.865379333496094
2015-10-21,40.20420455932617
2015-10-22,41.351566314697266
2015-10-23,41.67499923706055
2015-10-26,40.88954162597656
2015-10-27,39.71137237548828
2015-10-28,40.242698669433594
2015-10-29,39.50345230102539
2015-10-30,39.0953369140625
2015-11-02,40.31200408935547
2015-11-03,40.01170349121094
2015-11-04,39.8576774597168
2015-11-05,36.06904220581055
2015-11-06,35.8226318359375
2015-11-09,37.09320068359375
2015-11-10,36.45406723022461
2015-11-11,36.6619758605957
2015-11-12,36.506996154785156
2015-11-13,37.23543167114258
2015-11-16,37.173439025878906
2015-11-17,38.3513298034668
2015-11-18,38.42109298706055
2015-11-19,36.08853530883789
2015-11-20,34.01947021484375
2015-11-23,34.87189483642578
2015-11-24,35.49183654785156
2015-11-25,35.158626556396484
2015-11-27,34.95713806152344
2015-11-30,35.75531768798828
2015-12-01,34.87189483642578
2015-12-02,34.91838455200195
2015-12-03,35.538330078125
2015-12-04,34.437923431396484
2015-12-07,33.51576614379883
2015-12-08,32.609092712402344
2015-12-09,33.41501998901367
2015-12-10,32.73307800292969
2015-12-11,31.857402801513672
2015-12-14,31.05147933959961
2015-12-15,31.624942779541016
2015-12-16,32.10539245605469
2015-12-17,31.958152770996094
2015-12-18,32.244869232177734
2015-12-21,32.020137786865234
2015-12-22,33.12055206298828
2015-12-23,34.22868728637695
2015-12-24,33.51576614379883
2015-12-28,32.73307800292969
2015-12-29,33.04304885864258
2015-12-30,31.896162033081055
2015-12-31,31.624942779541016
2016-01-04,31.38469123840332
2016-01-05,30.400543212890625
2016-01-06,27.773530960083008
2016-01-07,26.45613670349121
2016-01-08,26.20816421508789
2016-01-11,25.146516799926758
2016-01-12,25.216251373291016
2016-01-13,24.61180877685547
2016-01-14,25.278249740600586
2016-01-15,24.464570999145508
2016-01-19,23.441659927368164
2016-01-20,22.643482208251953
2016-01-21,23.45716094970703
2016-01-22,23.216928482055664
2016-01-25,22.163021087646484
2016-01-26,22.852720260620117
2016-01-27,23.294422149658203
2016-01-28,23.503658294677734
2016-01-29,23.24793243408203
2016-02-01,23.433910369873047
2016-02-02,22.821720123291016
2016-02-03,23.28667640686035
2016-02-04,23.70513916015625
2016-02-05,23.22468376159668
2016-02-08,21.705814361572266
2016-02-09,22.062288284301758
2016-02-10,21.796003341674805
2016-02-11,22.743654251098633
2016-02-12,23.495508193969727
2016-02-16,24.388336181640625
2016-02-17,24.826921463012695
2016-02-18,26.91801643371582
2016-02-19,25.845062255859375
2016-02-22,26.26798439025879
2016-02-23,25.1636905670166
2016-02-24,24.86608123779297
2016-02-25,25.970375061035156
2016-02-26,27.372272491455078
2016-02-29,28.55489158630371
2016-03-01,28.390411376953125
2016-03-02,27.207799911499023
2016-03-03,28.343414306640625
2016-03-04,27.090314865112305
2016-03-07,28.883819580078125
2016-03-08,27.615053176879883
2016-03-09,27.7403621673584
2016-03-10,26.346298217773438
2016-03-11,27.91266632080078
2016-03-14,27.834352493286133
2016-03-15,26.338468551635742
2016-03-16,26.745723724365234
2016-03-17,27.450592041015625
2016-03-18,27.403596878051758
2016-03-21,27.458412170410156
2016-03-22,26.57341957092285
2016-03-23,25.821565628051758
2016-03-24,25.01488494873047
2016-03-28,24.897411346435547
2016-03-29,24.991390228271484
2016-03-30,25.046215057373047
2016-03-31,24.544973373413086
2016-04-01,25.1636905670166
2016-04-04,24.44316291809082
2016-04-05,23.581663131713867
2016-04-06,22.962942123413086
2016-04-07,22.861133575439453
2016-04-08,23.31537437438965
2016-04-11,23.61298942565918
2016-04-12,23.918428421020508
2016-04-13,24.450998306274414
2016-04-14,23.957584381103516
2016-04-15,24.30219078063965
2016-04-18,24.568471908569336
2016-04-19,26.393285751342773
2016-04-20,27.309612274169922
2016-04-21,26.81620979309082
2016-04-22,26.033029556274414
2016-04-25,25.97819709777832
2016-04-26,26.385452270507812
2016-04-27,26.46377944946289
2016-04-28,26.87885856628418
2016-04-29,25.899885177612305
2016-05-02,26.11133575439453
2016-05-03,24.803421020507812
2016-05-04,25.14803123474121
2016-05-05,24.114229202270508
2016-05-06,24.27869987487793
2016-05-09,23.81661605834961
2016-05-10,23.88710594177246
2016-05-11,23.301790237426758
2016-05-12,22.028335571289062
