,IP
2014-05-27,28.372812271118164
2014-05-28,28.38494873046875
2014-05-29,28.439586639404297
2014-05-30,28.913057327270508
2014-06-02,28.61562728881836
2014-06-03,28.979846954345703
2014-06-04,28.761308670043945
2014-06-05,29.0466251373291
2014-06-06,29.07090187072754
2014-06-09,29.253009796142578
2014-06-10,29.422983169555664
2014-06-11,29.2226505279541
2014-06-12,29.180173873901367
2014-06-13,29.18623161315918
2014-06-16,29.42905044555664
2014-06-17,29.520105361938477
2014-06-18,29.623306274414062
2014-06-19,29.635446548461914
2014-06-20,29.738636016845703
2014-06-23,29.50189971923828
2014-06-24,29.471542358398438
2014-06-25,29.562593460083008
2014-06-26,29.592941284179688
2014-06-27,29.775060653686523
2014-06-30,30.637056350708008
2014-07-01,30.843442916870117
2014-07-02,30.555089950561523
2014-07-03,30.807449340820312
2014-07-07,30.438127517700195
2014-07-08,30.18577003479004
2014-07-09,30.672035217285156
2014-07-10,30.641258239746094
2014-07-11,30.81975555419922
2014-07-14,30.813608169555664
2014-07-15,30.628944396972656
2014-07-16,30.832061767578125
2014-07-17,30.425817489624023
2014-07-18,30.592012405395508
2014-07-21,29.761037826538086
2014-07-22,28.997779846191406
2014-07-23,29.539447784423828
2014-07-24,31.176769256591797
2014-07-25,30.727426528930664
2014-07-28,30.75820541381836
2014-07-29,30.074966430664062
2014-07-30,29.68102264404297
2014-07-31,29.23784065246582
2014-08-01,29.20705795288086
2014-08-04,29.45327377319336
2014-08-05,29.280925750732422
2014-08-06,29.3917179107666
2014-08-07,29.15165901184082
2014-08-08,29.557924270629883
2014-08-11,29.60099983215332
2014-08-12,29.422500610351562
2014-08-13,29.14345932006836
2014-08-14,29.65812110900879
2014-08-15,29.341890335083008
2014-08-18,29.540313720703125
2014-08-19,29.49690818786621
2014-08-20,29.180667877197266
2014-08-21,29.52790641784668
2014-08-22,29.217866897583008
2014-08-25,29.273685455322266
2014-08-26,29.645721435546875
2014-08-27,29.85034942626953
2014-08-28,29.918556213378906
2014-08-29,30.042577743530273
2014-09-02,30.04877281188965
2014-09-03,30.420818328857422
2014-09-04,30.303003311157227
2014-09-05,30.56963539123535
2014-09-08,30.414615631103516
2014-09-09,29.99916648864746
2014-09-10,29.974353790283203
2014-09-11,31.22690773010254
2014-09-12,30.873470306396484
2014-09-15,30.87967300415039
2014-09-16,30.433210372924805
2014-09-17,30.135570526123047
2014-09-18,30.38361930847168
2014-09-19,30.340208053588867
2014-09-22,30.464231491088867
2014-09-23,30.135570526123047
2014-09-24,30.129375457763672
2014-09-25,29.6705265045166
2014-09-26,29.918556213378906
2014-09-29,29.68912696838379
2014-09-30,29.60231590270996
2014-10-01,29.273685455322266
2014-10-02,28.976041793823242
2014-10-03,29.63332748413086
2014-10-06,29.37289047241211
2014-10-07,29.093862533569336
2014-10-08,29.639528274536133
2014-10-09,29.131065368652344
2014-10-10,28.61020278930664
2014-10-13,28.188541412353516
2014-10-14,28.058332443237305
2014-10-15,28.349763870239258
2014-10-16,28.604001998901367
2014-10-17,28.93262481689453
2014-10-20,30.005373001098633
2014-10-21,30.892070770263672
2014-10-22,30.315399169921875
2014-10-23,30.74324607849121
2014-10-24,30.954078674316406
2014-10-27,30.358808517456055
2014-10-28,30.861068725585938
2014-10-29,30.470415115356445
