,MPC
2018-10-03,70.0042724609375
2018-10-04,69.09671783447266
2018-10-05,68.4808578491211
2018-10-08,67.95415496826172
2018-10-09,67.87311553955078
2018-10-10,65.35299682617188
2018-10-11,63.797183990478516
2018-10-12,64.89109802246094
2018-10-15,63.03544998168945
2018-10-16,64.88298034667969
2018-10-17,64.13750457763672
2018-10-18,63.87009811401367
2018-10-19,59.89947509765625
2018-10-22,60.06964111328125
2018-10-23,58.416568756103516
2018-10-24,55.15095138549805
2018-10-25,56.69057083129883
2018-10-26,55.799232482910156
2018-10-29,54.47837829589844
2018-10-30,55.750606536865234
2018-10-31,57.08763122558594
2018-11-01,57.59814453125
2018-11-02,56.309722900390625
2018-11-05,56.52851104736328
2018-11-06,55.402156829833984
2018-11-07,56.57714080810547
2018-11-08,54.85922622680664
2018-11-09,54.4378662109375
2018-11-12,53.400638580322266
2018-11-13,51.998775482177734
2018-11-14,51.73136520385742
2018-11-15,52.963069915771484
2018-11-16,53.027889251708984
2018-11-19,51.382930755615234
2018-11-20,50.51770782470703
2018-11-21,52.01960372924805
2018-11-23,50.38710021972656
2018-11-26,52.38691711425781
2018-11-27,52.027767181396484
2018-11-28,53.2847900390625
2018-11-29,52.974609375
2018-11-30,53.18684387207031
2018-12-03,52.778709411621094
2018-12-04,51.70126724243164
2018-12-06,51.87267303466797
2018-12-07,50.24834442138672
2018-12-10,49.77490997314453
2018-12-11,50.068756103515625
2018-12-12,50.64014434814453
2018-12-13,50.70543670654297
2018-12-14,48.86887741088867
2018-12-17,48.028141021728516
2018-12-18,48.12609100341797
2018-12-19,47.85673141479492
2018-12-20,46.86906433105469
2018-12-21,46.31400680541992
2018-12-24,44.33868408203125
2018-12-26,47.62818145751953
2018-12-27,48.2403564453125
2018-12-28,47.53838348388672
2018-12-31,48.166900634765625
2019-01-02,48.68113708496094
2019-01-03,47.97100067138672
2019-01-04,50.32180404663086
2019-01-07,50.819705963134766
2019-01-08,51.317630767822266
2019-01-09,52.4195671081543
2019-01-10,51.9379768371582
2019-01-11,52.95013427734375
2019-01-14,52.958282470703125
2019-01-15,52.50934982299805
2019-01-16,52.51750946044922
2019-01-17,53.70106887817383
2019-01-18,53.94594955444336
2019-01-22,52.9093132019043
2019-01-23,52.93379211425781
2019-01-24,51.51352310180664
2019-01-25,52.3052864074707
2019-01-28,52.011444091796875
2019-01-29,52.35426330566406
2019-01-30,53.32559585571289
2019-01-31,54.08470916748047
2019-02-01,53.43987274169922
2019-02-04,53.79903030395508
2019-02-05,54.83566665649414
2019-02-06,54.5826301574707
2019-02-07,51.9951171875
2019-02-08,51.195186614990234
2019-02-11,50.37893295288086
2019-02-12,50.501373291015625
2019-02-13,51.95429611206055
2019-02-14,52.272640228271484
2019-02-15,53.178672790527344
2019-02-19,53.49962615966797
2019-02-20,53.58192443847656
2019-02-21,53.21158981323242
2019-02-22,53.50784683227539
2019-02-25,53.28566360473633
2019-02-26,53.15398406982422
2019-02-27,52.1746826171875
2019-02-28,51.03079605102539
2019-03-01,51.58216857910156
2019-03-04,51.03079605102539
2019-03-05,50.04326248168945
2019-03-06,49.319068908691406
2019-03-07,48.422061920166016
2019-03-08,47.31930923461914
2019-03-11,48.71831130981445
2019-03-12,48.43851852416992
2019-03-13,49.02280044555664
2019-03-14,49.12156677246094
2019-03-15,49.74700164794922
2019-03-18,51.088401794433594
2019-03-19,51.04724884033203
2019-03-20,51.178924560546875
2019-03-21,51.67268371582031
2019-03-22,50.44650650024414
2019-03-25,50.33951187133789
2019-03-26,50.98964309692383
2019-03-27,51.178924560546875
2019-03-28,50.15846633911133
2019-03-29,49.25322723388672
2019-04-01,50.240760803222656
2019-04-02,49.31083679199219
2019-04-03,49.689395904541016
2019-04-04,50.48765182495117
2019-04-05,52.23229217529297
2019-04-08,52.14175796508789
2019-04-09,51.154232025146484
2019-04-10,52.33927536010742
2019-04-11,51.936031341552734
2019-04-12,50.685157775878906
2019-04-15,49.82106399536133
2019-04-16,49.393123626708984
2019-04-17,49.57418441772461
2019-04-18,49.22032165527344
2019-04-22,50.30659484863281
2019-04-23,50.248992919921875
2019-04-24,48.9651985168457
2019-04-25,49.91158676147461
2019-04-26,49.6976203918457
2019-04-29,50.19139862060547
2019-04-30,50.092628479003906
2019-05-01,49.33552932739258
2019-05-02,48.29861831665039
2019-05-03,49.34375
2019-05-06,48.956974029541016
2019-05-07,48.9075927734375
2019-05-08,45.451229095458984
2019-05-09,43.583133697509766
2019-05-10,43.73950958251953
2019-05-13,41.73974609375
2019-05-14,42.225284576416016
2019-05-15,42.56621170043945
2019-05-16,43.954872131347656
2019-05-17,43.19817352294922
2019-05-20,43.339534759521484
2019-05-21,44.30411911010742
2019-05-22,43.1732292175293
2019-05-23,41.6931037902832
2019-05-24,41.81782913208008
2019-05-28,40.745147705078125
2019-05-29,40.736839294433594
2019-05-30,39.173553466796875
2019-05-31,38.24223709106445
2019-06-03,39.190189361572266
2019-06-04,40.321075439453125
2019-06-05,39.655853271484375
2019-06-06,39.996768951416016
2019-06-07,39.07377243041992
2019-06-10,39.64752960205078
2019-06-11,39.72237777709961
2019-06-12,39.05714416503906
2019-06-13,39.830474853515625
2019-06-14,39.880348205566406
2019-06-17,40.50401306152344
2019-06-18,41.277339935302734
2019-06-19,41.293975830078125
2019-06-20,43.19817352294922
2019-06-21,43.78856658935547
2019-06-24,42.90713882446289
2019-06-25,42.73251724243164
2019-06-26,45.07744216918945
2019-06-27,45.21049118041992
2019-06-28,46.46611785888672
2019-07-01,45.834144592285156
2019-07-02,45.31027603149414
2019-07-03,45.16891098022461
2019-07-05,45.626258850097656
2019-07-08,45.185543060302734
2019-07-09,45.43500518798828
2019-07-10,45.71772384643555
2019-07-11,46.10023498535156
2019-07-12,46.13349533081055
2019-07-15,45.59299087524414
2019-07-16,46.2998046875
2019-07-17,45.16059875488281
2019-07-18,46.03371047973633
2019-07-19,45.93392562866211
2019-07-22,45.91728973388672
2019-07-23,46.32474136352539
2019-07-24,47.9129753112793
2019-07-25,46.98165512084961
2019-07-26,47.264381408691406
2019-07-29,46.69893264770508
2019-07-30,47.43899917602539
2019-07-31,46.89018630981445
2019-08-01,46.03371047973633
2019-08-02,44.58684158325195
2019-08-05,42.133811950683594
2019-08-06,41.23575973510742
2019-08-07,40.0217170715332
2019-08-08,41.17755126953125
2019-08-09,40.2379150390625
2019-08-12,38.54159164428711
2019-08-13,39.20682144165039
2019-08-14,37.11134719848633
2019-08-15,37.75164031982422
2019-08-16,38.43349075317383
2019-08-19,39.75563049316406
2019-08-20,39.28474807739258
2019-08-21,39.71358108520508
2019-08-22,39.42770004272461
2019-08-23,38.47753143310547
2019-08-26,38.71297836303711
2019-08-27,38.11595916748047
2019-08-28,38.956809997558594
2019-08-29,40.8319206237793
2019-08-30,41.37847900390625
2019-09-03,41.74005126953125
2019-09-04,42.59772491455078
2019-09-05,44.128082275390625
2019-09-06,44.119659423828125
2019-09-09,45.05302429199219
2019-09-10,45.809783935546875
2019-09-11,45.4986686706543
2019-09-12,44.72508239746094
2019-09-13,44.809173583984375
2019-09-16,44.0692253112793
2019-09-17,44.910072326660156
2019-09-18,45.204368591308594
2019-09-19,45.338905334472656
2019-09-20,46.33111572265625
2019-09-23,46.90289306640625
2019-09-24,46.650638580322266
2019-09-25,50.57744598388672
2019-09-26,51.15762710571289
2019-09-27,52.486175537109375
2019-09-30,51.08195877075195
2019-10-01,50.770835876464844
2019-10-02,49.778621673583984
2019-10-03,50.451297760009766
2019-10-04,51.07353973388672
2019-10-07,50.78765106201172
2019-10-08,50.29995346069336
2019-10-09,50.922183990478516
2019-10-10,52.07415771484375
2019-10-11,53.327030181884766
2019-10-14,53.09158706665039
2019-10-15,53.85677719116211
2019-10-16,52.71320343017578
2019-10-17,53.8988151550293
2019-10-18,54.7733039855957
2019-10-21,54.37809371948242
2019-10-22,54.80693054199219
2019-10-23,55.38713073730469
2019-10-24,55.79073715209961
2019-10-25,57.18656539916992
2019-10-28,56.82498550415039
2019-10-29,57.19496154785156
2019-10-30,55.65620422363281
2019-10-31,53.77268600463867
2019-11-01,55.89163589477539
2019-11-04,57.1276969909668
2019-11-05,55.86642074584961
2019-11-06,54.050174713134766
2019-11-07,55.70664978027344
2019-11-08,55.68983459472656
2019-11-11,55.25259017944336
2019-11-12,54.57149124145508
2019-11-13,54.02493667602539
2019-11-14,54.1931037902832
2019-11-15,54.39491653442383
2019-11-18,54.26878356933594
2019-11-19,52.437503814697266
2019-11-20,52.395111083984375
2019-11-21,53.615970611572266
2019-11-22,52.86988830566406
2019-11-25,52.929237365722656
2019-11-26,52.2849006652832
2019-11-27,52.115333557128906
2019-11-29,51.411643981933594
2019-12-02,51.60664367675781
2019-12-03,50.89448165893555
2019-12-04,50.89448165893555
2019-12-05,50.74186325073242
2019-12-06,51.03860855102539
2019-12-09,49.53797149658203
2019-12-10,49.74143981933594
2019-12-11,48.418853759765625
2019-12-12,50.0212287902832
2019-12-13,49.690574645996094
2019-12-16,51.504905700683594
2019-12-17,51.89490509033203
2019-12-18,51.64054489135742
2019-12-19,51.82707214355469
2019-12-20,52.23402786254883
2019-12-23,51.42860794067383
2019-12-24,51.69142150878906
2019-12-26,51.26750564575195
2019-12-27,51.19121170043945
2019-12-30,50.589256286621094
2019-12-31,51.08099365234375
2020-01-02,52.48836898803711
2020-01-03,49.3683967590332
2020-01-06,49.359928131103516
2020-01-07,50.139915466308594
2020-01-08,49.61427307128906
2020-01-09,50.35187530517578
2020-01-10,51.05556106567383
2020-01-13,50.546871185302734
2020-01-14,50.73339080810547
2020-01-15,49.28363037109375
2020-01-16,48.774932861328125
2020-01-17,48.232322692871094
2020-01-21,47.63038635253906
2020-01-22,47.45234298706055
2020-01-23,46.90972900390625
2020-01-24,46.197566986083984
2020-01-27,44.67997360229492
2020-01-28,44.87497329711914
2020-01-29,45.43453598022461
2020-01-30,46.07887649536133
2020-01-31,46.20603942871094
2020-02-03,44.13737487792969
2020-02-04,45.26496887207031
2020-02-05,47.08777618408203
2020-02-06,47.01995086669922
2020-02-07,46.367130279541016
2020-02-10,46.689300537109375
2020-02-11,48.12211608886719
2020-02-12,49.96188735961914
2020-02-13,50.445133209228516
2020-02-14,49.453182220458984
2020-02-18,48.35708236694336
2020-02-19,49.40182113647461
2020-02-20,51.60257339477539
2020-02-21,50.63492965698242
2020-02-24,47.84328842163086
2020-02-25,45.488365173339844
2020-02-26,44.7604866027832
2020-02-27,41.04399871826172
2020-02-28,40.60727310180664
2020-03-02,40.87274169921875
2020-03-03,38.68052673339844
2020-03-04,39.28852462768555
2020-03-05,35.28945541381836
2020-03-06,33.52540588378906
2020-03-09,28.96114730834961
2020-03-10,29.560590744018555
2020-03-11,26.854578018188477
2020-03-12,19.601444244384766
2020-03-13,21.33979606628418
2020-03-16,17.374984741210938
2020-03-17,17.383546829223633
2020-03-18,14.343565940856934
2020-03-19,14.31787395477295
2020-03-20,16.227497100830078
2020-03-23,14.2322416305542
2020-03-24,14.985814094543457
2020-03-25,18.07717514038086
2020-03-26,19.815526962280273
