,CMS
2019-02-15,44.89591598510742
2019-02-19,44.912933349609375
2019-02-20,44.912933349609375
2019-02-21,45.440425872802734
2019-02-22,46.1125373840332
2019-02-25,45.78923416137695
2019-02-26,45.814762115478516
2019-02-27,45.814762115478516
2019-02-28,46.28269958496094
2019-03-01,46.02745819091797
2019-03-04,46.070003509521484
2019-03-05,45.942386627197266
2019-03-06,45.9679069519043
2019-03-07,46.18059539794922
2019-03-08,46.48688888549805
2019-03-11,46.75062561035156
2019-03-12,47.065425872802734
2019-03-13,47.04840850830078
2019-03-14,46.92078399658203
2019-03-15,47.24406814575195
2019-03-18,47.065425872802734
2019-03-19,46.257171630859375
2019-03-20,46.45284652709961
2019-03-21,46.98033905029297
2019-03-22,47.337669372558594
2019-03-25,47.49932861328125
2019-03-26,47.83963394165039
2019-03-27,47.53334426879883
2019-03-28,46.971832275390625
2019-03-29,47.25259017944336
2019-04-01,46.78465270996094
2019-04-02,46.70809555053711
2019-04-03,46.67405319213867
2019-04-04,46.427330017089844
2019-04-05,46.886756896972656
2019-04-08,46.23165512084961
2019-04-09,46.469871520996094
2019-04-10,46.27418518066406
2019-04-11,46.73361587524414
2019-04-12,46.776153564453125
2019-04-15,46.68257522583008
2019-04-16,45.98493194580078
2019-04-17,46.01896286010742
2019-04-18,45.780738830566406
2019-04-22,45.56804656982422
2019-04-23,46.104026794433594
2019-04-24,46.28269958496094
2019-04-25,46.5889778137207
2019-04-26,46.70809555053711
2019-04-29,46.47837448120117
2019-04-30,47.26108932495117
2019-05-01,46.776153564453125
2019-05-02,46.7615966796875
2019-05-03,47.34417724609375
2019-05-06,47.215675354003906
2019-05-07,47.070011138916016
2019-05-08,46.49599838256836
2019-05-09,46.60737991333008
2019-05-10,47.66118240356445
2019-05-13,48.36371612548828
2019-05-14,47.849666595458984
2019-05-15,47.849666595458984
2019-05-16,48.166664123535156
2019-05-17,48.372283935546875
2019-05-20,48.595035552978516
2019-05-21,48.278045654296875
2019-05-22,48.57790756225586
2019-05-23,49.134796142578125
2019-05-24,49.04055404663086
2019-05-28,48.12383270263672
2019-05-29,47.54123306274414
2019-05-30,47.76399230957031
2019-05-31,48.07242202758789
2019-06-03,48.83492660522461
2019-06-04,48.475101470947266
2019-06-05,49.657413482666016
2019-06-06,49.87159729003906
2019-06-07,49.51177215576172
2019-06-10,49.263301849365234
2019-06-11,48.98057556152344
2019-06-12,49.64885330200195
2019-06-13,49.64885330200195
2019-06-14,50.33424758911133
2019-06-17,50.00868225097656
2019-06-18,49.79449462890625
2019-06-19,50.45419692993164
2019-06-20,50.634117126464844
2019-06-21,50.67694854736328
2019-06-24,50.56557846069336
2019-06-25,50.51417922973633
2019-06-26,49.297576904296875
2019-06-27,49.27187728881836
2019-06-28,49.61457824707031
2019-07-01,49.400390625
2019-07-02,49.88874435424805
2019-07-03,50.53130340576172
2019-07-05,50.30855178833008
2019-07-08,50.44562911987305
2019-07-09,50.44562911987305
2019-07-10,50.47990036010742
2019-07-11,50.548439025878906
2019-07-12,50.18860626220703
2019-07-15,50.22287368774414
2019-07-16,50.034385681152344
2019-07-17,50.26571273803711
2019-07-18,50.659820556640625
2019-07-19,49.91443634033203
2019-07-22,49.94014358520508
2019-07-23,49.92300796508789
2019-07-24,49.700252532958984
2019-07-25,49.657413482666016
2019-07-26,50.28284454345703
