,TPL
2015-06-19,44.45793533325195
2015-06-22,44.60316848754883
2015-06-23,44.75137710571289
2015-06-24,43.86515808105469
2015-06-25,43.423561096191406
2015-06-26,44.45793533325195
2015-06-29,43.36427307128906
2015-06-30,44.60020446777344
2015-07-01,43.63991928100586
2015-07-02,43.54803466796875
2015-07-06,43.00564956665039
2015-07-07,42.59663772583008
2015-07-08,41.5829963684082
2015-07-09,42.08388137817383
2015-07-10,42.52846908569336
2015-07-13,43.16865539550781
2015-07-14,43.50951385498047
2015-07-15,43.27238845825195
2015-07-16,43.42058563232422
2015-07-17,42.89005661010742
2015-07-20,43.10938262939453
2015-07-21,42.41584396362305
2015-07-22,42.23503494262695
2015-07-23,40.46857452392578
2015-07-24,40.382625579833984
2015-07-27,38.88587951660156
2015-07-28,38.96590805053711
2015-07-29,38.39683532714844
2015-07-30,38.95997619628906
2015-07-31,38.7554817199707
2015-08-03,38.23382568359375
2015-08-04,38.067848205566406
2015-08-05,38.23382568359375
2015-08-06,38.45315170288086
2015-08-07,38.73471450805664
2015-08-10,38.61616516113281
2015-08-11,38.556888580322266
2015-08-12,38.207157135009766
2015-08-13,38.34645080566406
2015-08-14,38.53021240234375
2015-08-17,37.99672317504883
2015-08-18,36.648162841796875
2015-08-19,35.49226379394531
2015-08-20,34.75129318237305
2015-08-21,34.83427429199219
2015-08-24,33.53907012939453
2015-08-25,32.77439880371094
2015-08-26,32.21420669555664
2015-08-27,33.86212921142578
2015-08-28,34.80760192871094
2015-08-31,35.2017936706543
2015-09-01,35.22551345825195
2015-09-02,35.86274719238281
2015-09-03,36.96232223510742
2015-09-04,36.751895904541016
2015-09-08,38.92144775390625
2015-09-09,39.31267166137695
2015-09-10,41.345890045166016
2015-09-11,41.16804504394531
2015-09-14,41.47629928588867
2015-09-15,41.79047393798828
2015-09-16,41.79047393798828
2015-09-17,41.98904037475586
2015-09-18,41.417015075683594
2015-09-21,42.97600555419922
2015-09-22,42.41584396362305
2015-09-23,41.86455535888672
2015-09-24,42.232078552246094
2015-09-25,42.30913543701172
2015-09-28,42.18169403076172
2015-09-29,42.35358810424805
2015-09-30,41.56817626953125
2015-10-01,41.95643615722656
2015-10-02,42.24985885620117
2015-10-05,42.042396545410156
2015-10-06,43.03232955932617
2015-10-07,43.41762924194336
2015-10-08,44.02818298339844
2015-10-09,43.287208557128906
2015-10-12,43.12419891357422
2015-10-13,43.393917083740234
2015-10-14,43.30500411987305
2015-10-15,44.15563201904297
2015-10-16,44.32456588745117
2015-10-19,44.1141242980957
2015-10-20,43.68733215332031
2015-10-21,43.71105194091797
2015-10-22,44.333457946777344
2015-10-23,43.50951385498047
2015-10-26,43.34648132324219
2015-10-27,44.0103874206543
2015-10-28,44.01335906982422
2015-10-29,44.22380065917969
2015-10-30,44.392730712890625
2015-11-02,43.58063888549805
2015-11-03,43.58360290527344
2015-11-04,43.423561096191406
2015-11-05,43.909629821777344
2015-11-06,44.08449172973633
2015-11-09,43.7318000793457
2015-11-10,43.56878662109375
2015-11-11,43.27238845825195
2015-11-12,41.99794006347656
2015-11-13,43.6280632019043
2015-11-16,43.076778411865234
2015-11-17,41.81120681762695
2015-11-18,41.71636962890625
2015-11-19,40.31148910522461
2015-11-20,40.1751594543457
2015-11-23,41.59782409667969
2015-11-24,42.75373077392578
2015-11-25,43.29313659667969
2015-11-27,42.86338424682617
2015-11-30,44.51721954345703
2015-12-01,45.16333770751953
2015-12-02,44.858062744140625
2015-12-03,44.783966064453125
2015-12-04,44.683197021484375
2015-12-07,43.56878662109375
2015-12-08,43.21311569213867
2015-12-09,43.15976333618164
2015-12-10,43.0352897644043
2015-12-11,42.30617141723633
2015-12-14,41.49110794067383
2015-12-15,41.40516662597656
2015-12-16,39.742435455322266
2015-12-17,39.34231185913086
2015-12-18,38.773258209228516
2015-12-21,37.395050048828125
2015-12-22,39.27709197998047
2015-12-23,40.1544189453125
2015-12-24,40.51895523071289
2015-12-28,38.89773941040039
2015-12-29,37.51953887939453
2015-12-30,36.3339958190918
2015-12-31,38.80289077758789
2016-01-04,36.977149963378906
2016-01-05,37.35060119628906
2016-01-06,36.802276611328125
2016-01-07,37.836669921875
2016-01-08,36.310279846191406
2016-01-11,36.233219146728516
2016-01-12,35.06546401977539
2016-01-13,33.63094711303711
2016-01-14,34.4904670715332
2016-01-15,33.40569305419922
2016-01-19,32.70918273925781
2016-01-20,34.30670166015625
2016-01-21,36.793392181396484
2016-01-22,37.47804641723633
2016-01-25,36.55924606323242
2016-01-26,36.494041442871094
2016-01-27,35.874595642089844
2016-01-28,36.751895904541016
2016-01-29,36.13245391845703
2016-02-01,37.341697692871094
2016-02-02,38.3879508972168
2016-02-03,37.84259796142578
2016-02-04,37.495819091796875
2016-02-05,35.581172943115234
2016-02-08,35.578208923339844
2016-02-09,34.816490173339844
2016-02-10,35.57228088378906
2016-02-11,34.41045379638672
2016-02-12,34.97358322143555
2016-02-16,36.45846939086914
2016-02-17,36.994930267333984
2016-02-18,38.21604919433594
2016-02-19,38.83845138549805
2016-02-22,37.63216781616211
2016-02-23,39.07853317260742
2016-02-24,39.05778121948242
2016-02-25,38.951087951660156
2016-02-26,39.493473052978516
2016-02-29,40.308528900146484
2016-03-01,40.66716766357422
2016-03-02,41.73710250854492
2016-03-03,41.938655853271484
2016-03-04,44.45793533325195
2016-03-07,44.757904052734375
2016-03-08,43.37983322143555
2016-03-09,43.45408248901367
2016-03-10,43.36201095581055
2016-03-11,44.01541519165039
2016-03-14,43.75404357910156
2016-03-15,43.281822204589844
2016-03-16,44.79948425292969
2016-03-17,44.68364715576172
2016-03-18,43.537235260009766
2016-03-21,45.06975555419922
2016-03-22,44.47575378417969
2016-03-23,44.25300979614258
2016-03-24,43.516448974609375
2016-03-28,44.19955825805664
2016-03-29,43.846107482910156
2016-03-30,44.40745162963867
2016-03-31,43.21648025512695
2016-04-01,43.15410614013672
2016-04-04,44.3272590637207
2016-04-05,43.451107025146484
2016-04-06,43.51942443847656
2016-04-07,44.04512405395508
2016-04-08,44.47575378417969
2016-04-11,44.146095275878906
2016-04-12,44.62425994873047
2016-04-13,44.69553756713867
2016-04-14,44.550010681152344
2016-04-15,44.609413146972656
2016-04-18,44.229248046875
2016-04-19,44.330223083496094
2016-04-20,44.550010681152344
2016-04-21,44.07481384277344
2016-04-22,44.13419723510742
2016-04-25,45.441009521484375
2016-04-26,45.441009521484375
2016-04-27,46.45378112792969
2016-04-28,45.88650894165039
2016-04-29,44.995513916015625
2016-05-02,45.441009521484375
2016-05-03,45.52119445800781
2016-05-04,44.94205093383789
2016-05-05,45.08461380004883
2016-05-06,44.995513916015625
2016-05-09,44.401512145996094
2016-05-10,46.77750778198242
2016-05-11,47.82592010498047
2016-05-12,48.14371109008789
2016-05-13,48.7080078125
2016-05-16,48.42585754394531
2016-05-17,47.37150955200195
2016-05-18,47.76058578491211
2016-05-19,47.22301483154297
2016-05-20,47.5200080871582
2016-05-23,48.116973876953125
2016-05-24,48.7080078125
2016-05-25,48.292205810546875
2016-05-26,48.114013671875
2016-05-27,49.27824783325195
2016-05-31,50.49000930786133
2016-06-01,51.678009033203125
2016-06-02,50.10391616821289
2016-06-03,50.95332336425781
2016-06-06,50.983036041259766
2016-06-07,50.751365661621094
2016-06-08,50.80482482910156
2016-06-09,50.35636520385742
2016-06-10,49.397056579589844
2016-06-13,49.361412048339844
2016-06-14,49.5990104675293
2016-06-15,50.19301986694336
2016-06-16,50.17222213745117
2016-06-17,50.46921920776367
2016-06-20,50.638511657714844
2016-06-21,50.96223831176758
2016-06-22,51.214683532714844
2016-06-23,49.973228454589844
2016-06-24,49.00203323364258
2016-06-27,48.49119567871094
2016-06-28,48.7080078125
2016-06-29,49.8960075378418
2016-06-30,50.08906173706055
2016-07-01,50.93550491333008
2016-07-05,50.252410888671875
2016-07-06,50.49000930786133
2016-07-07,50.807804107666016
2016-07-08,50.9652099609375
2016-07-11,50.48703384399414
2016-07-12,50.72762680053711
2016-07-13,50.32666778564453
2016-07-14,50.1454963684082
2016-07-15,50.484066009521484
2016-07-18,50.19301986694336
2016-07-19,50.484066009521484
2016-07-20,50.19301986694336
2016-07-21,49.8960075378418
2016-07-22,50.48703384399414
2016-07-25,50.33854293823242
2016-07-26,49.15351486206055
2016-07-27,48.476348876953125
2016-07-28,47.72197341918945
2016-07-29,47.5200080871582
2016-08-01,46.51021194458008
2016-08-02,48.1763801574707
2016-08-03,49.8960075378418
2016-08-04,51.2978515625
2016-08-05,51.9720458984375
2016-08-08,52.88382339477539
2016-08-09,52.539306640625
2016-08-10,52.123512268066406
2016-08-11,51.76710891723633
2016-08-12,52.13539123535156
2016-08-15,52.494754791259766
2016-08-16,52.194786071777344
2016-08-17,52.71157455444336
2016-08-18,53.43031692504883
2016-08-19,53.029361724853516
2016-08-22,53.26696014404297
2016-08-23,52.33141326904297
2016-08-24,52.34626007080078
2016-08-25,51.30083084106445
2016-08-26,51.5592155456543
2016-08-29,52.01362228393555
2016-08-30,52.717506408691406
2016-08-31,52.47991180419922
2016-09-01,52.432395935058594
2016-09-02,52.50960922241211
2016-09-06,52.877891540527344
2016-09-07,54.96282958984375
2016-09-08,65.55089569091797
2016-09-09,58.50900650024414
2016-09-12,59.10301971435547
2016-09-13,59.13271713256836
2016-09-14,61.737388610839844
2016-09-15,64.15496826171875
2016-09-16,65.3370361328125
2016-09-19,64.13418579101562
2016-09-20,65.04598999023438
2016-09-21,65.18258666992188
2016-09-22,65.19747924804688
2016-09-23,64.76679229736328
2016-09-26,66.31121063232422
2016-09-27,67.41901397705078
2016-09-28,69.2040023803711
2016-09-29,69.5989990234375
2016-09-30,71.08101654052734
2016-10-03,71.1107177734375
2016-10-04,71.03054809570312
2016-10-05,73.26398468017578
2016-10-06,74.76678466796875
2016-10-07,76.32901763916016
2016-10-10,76.79235076904297
2016-10-11,76.8190689086914
2016-10-12,79.92864990234375
2016-10-13,80.65038299560547
2016-10-14,81.61563110351562
2016-10-17,81.02754974365234
2016-10-18,81.27999877929688
2016-10-19,83.3025894165039
2016-10-20,82.56307220458984
2016-10-21,84.64204406738281
2016-10-24,88.21198272705078
2016-10-25,90.43653869628906
2016-10-26,85.53602600097656
2016-10-27,77.21705627441406
2016-10-28,80.02369689941406
2016-10-31,78.78815460205078
2016-11-01,79.06737518310547
2016-11-02,78.3159408569336
2016-11-03,75.59840393066406
2016-11-04,74.55594635009766
2016-11-07,75.28951263427734
2016-11-08,74.97171783447266
2016-11-09,78.90103149414062
2016-11-10,83.4570083618164
2016-11-11,84.43119812011719
2016-11-14,83.57581329345703
2016-11-15,84.88558197021484
2016-11-16,83.29959869384766
2016-11-17,85.53898620605469
2016-11-18,86.30227661132812
2016-11-21,87.3150634765625
2016-11-22,85.53303527832031
2016-11-23,86.71807861328125
2016-11-25,86.54581451416016
2016-11-28,85.89241790771484
2016-11-29,86.09733581542969
2016-11-30,88.30109405517578
2016-12-01,87.16654205322266
2016-12-02,89.6910400390625
2016-12-05,88.25652313232422
2016-12-06,87.86450958251953
2016-12-07,89.30494689941406
2016-12-08,90.16922760009766
2016-12-09,90.40682983398438
2016-12-12,88.3842544555664
2016-12-13,89.99398040771484
2016-12-14,88.56542205810547
2016-12-15,88.79115295410156
2016-12-16,88.84162139892578
2016-12-19,88.47928619384766
2016-12-20,89.15644073486328
2016-12-21,89.10595703125
2016-12-22,89.24851989746094
2016-12-23,88.80302429199219
2016-12-27,89.17427825927734
2016-12-28,88.50898742675781
2016-12-29,88.37832641601562
2016-12-30,88.14069366455078
2017-01-03,88.97824096679688
2017-01-04,91.49978637695312
2017-01-05,96.13298034667969
2017-01-06,95.04299926757812
2017-01-09,95.51228332519531
2017-01-10,95.93102264404297
2017-01-11,94.29753112792969
