,HES
2016-06-06,52.17057800292969
2016-06-07,53.260528564453125
2016-06-08,53.51139831542969
2016-06-09,52.23114013671875
2016-06-10,49.9128303527832
2016-06-13,49.73115921020508
2016-06-14,50.235084533691406
2016-06-15,49.65296173095703
2016-06-16,48.7407112121582
2016-06-17,49.48789596557617
2016-06-20,50.66949462890625
2016-06-21,50.9996337890625
2016-06-22,50.40883255004883
2016-06-23,51.92927551269531
2016-06-24,48.50612258911133
2016-06-27,45.72591018676758
2016-06-28,47.906646728515625
2016-06-29,50.19162368774414
2016-06-30,52.21597671508789
2016-07-01,52.259429931640625
2016-07-05,49.48789596557617
2016-07-06,49.41838455200195
2016-07-07,49.07086181640625
2016-07-08,49.35757827758789
2016-07-11,48.714637756347656
2016-07-12,52.24205017089844
2016-07-13,50.40883255004883
2016-07-14,50.400146484375
2016-07-15,49.46182632446289
2016-07-18,50.04393768310547
2016-07-19,48.7494010925293
2016-07-20,48.966609954833984
2016-07-21,47.70682907104492
2016-07-22,47.02043533325195
2016-07-25,45.882301330566406
2016-07-26,46.63816833496094
2016-07-27,44.831031799316406
2016-07-28,45.32624435424805
2016-07-29,46.61211013793945
2016-08-01,44.50957107543945
2016-08-02,44.961360931396484
2016-08-03,46.38620376586914
2016-08-04,46.80324172973633
2016-08-05,47.47223663330078
2016-08-08,48.58432388305664
2016-08-09,48.14990997314453
2016-08-10,47.541725158691406
2016-08-11,49.122982025146484
2016-08-12,48.897098541259766
2016-08-15,49.218563079833984
2016-08-16,49.235931396484375
2016-08-17,49.261993408203125
2016-08-18,50.06130599975586
2016-08-19,49.72247314453125
2016-08-22,48.82759475708008
2016-08-23,49.01872253417969
2016-08-24,48.95791244506836
2016-08-25,49.35757827758789
2016-08-26,49.235931396484375
2016-08-29,49.01872253417969
2016-08-30,48.72333908081055
2016-08-31,47.176841735839844
2016-09-01,46.316707611083984
2016-09-02,46.116878509521484
2016-09-06,44.50957107543945
2016-09-07,44.144657135009766
2016-09-08,45.65640640258789
2016-09-09,43.37141799926758
2016-09-12,43.336669921875
2016-09-13,41.50345230102539
2016-09-14,40.75626754760742
2016-09-15,40.74754333496094
2016-09-16,40.59904479980469
2016-09-19,40.14483642578125
2016-09-20,39.891536712646484
2016-09-21,41.053253173828125
2016-09-22,41.734554290771484
2016-09-23,40.97464370727539
2016-09-26,41.603538513183594
2016-09-27,40.88729476928711
2016-09-28,43.53391647338867
