,GEN
2019-11-18,12.63330364227295
2019-11-19,12.710494041442871
2019-11-20,12.638446807861328
2019-11-21,12.643595695495605
2019-11-22,12.682388305664062
2019-11-25,12.88410758972168
2019-11-26,12.930657386779785
2019-11-27,12.889277458190918
2019-11-29,12.878933906555176
2019-12-02,12.925483703613281
2019-12-03,12.904797554016113
2019-12-04,13.127202987670898
2019-12-05,13.184098243713379
2019-12-06,13.16858196258545
2019-12-09,13.137547492980957
2019-12-10,13.592707633972168
2019-12-11,13.644429206848145
2019-12-12,13.540984153747559
2019-12-13,13.447882652282715
2019-12-16,13.432365417480469
2019-12-17,13.406505584716797
2019-12-18,13.437538146972656
2019-12-19,13.458229064941406
2019-12-20,13.194442749023438
2019-12-23,13.308232307434082
2019-12-24,13.282369613647461
2019-12-26,13.163410186767578
2019-12-27,13.240994453430176
2019-12-30,13.178926467895508
2019-12-31,13.19961166381836
2020-01-02,13.458229064941406
2020-01-03,13.359952926635742
2020-01-06,13.649600982666016
2020-01-07,13.835803031921387
2020-01-08,13.76339340209961
2020-01-09,13.804770469665527
2020-01-10,13.701323509216309
2020-01-13,13.758221626281738
2020-01-14,13.85132122039795
2020-01-15,14.22372055053711
2020-01-16,14.420267105102539
2020-01-17,14.549574851989746
2020-01-21,14.508195877075195
2020-01-22,14.590953826904297
2020-01-23,14.689226150512695
2020-01-24,14.51854133605957
2020-01-27,14.187517166137695
2020-01-28,14.316822052001953
2020-01-29,14.316822052001953
2020-01-30,14.63750171661377
2020-01-31,14.699570655822754
2020-02-03,15.3530855178833
2020-02-04,15.69327163696289
2020-02-05,15.791743278503418
2020-02-06,15.764885902404785
2020-02-07,17.662761688232422
2020-02-10,18.08351707458496
2020-02-11,18.450557708740234
2020-02-12,18.450557708740234
2020-02-13,18.584842681884766
2020-02-14,18.495315551757812
2020-02-18,18.378938674926758
2020-02-19,18.531126022338867
2020-02-20,18.6117000579834
2020-02-21,18.436071395874023
2020-02-24,17.940725326538086
2020-02-25,17.229217529296875
2020-02-26,17.382328033447266
2020-02-27,17.049089431762695
2020-02-28,17.13915252685547
2020-03-02,17.949729919433594
2020-03-03,17.37332534790039
2020-03-04,17.7515869140625
2020-03-05,17.427358627319336
2020-03-06,16.823930740356445
2020-03-09,15.481980323791504
2020-03-10,16.15746307373047
2020-03-11,16.076398849487305
2020-03-12,15.545023918151855
2020-03-13,15.716150283813477
